"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
41,43,807,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
42,44,808,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
43,45,809,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
44,46,810,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
45,47,114,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","","","",0
46,48,840,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
47,49,869,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","","","",0
48,50,872,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"","","",0
49,51,873,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","","","",0
50,52,931,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","","","",0
51,53,936,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,"","",0
52,54,969,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,"","",0
53,55,971,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","","","",0
54,56,1000,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
55,57,1024,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
56,58,1028,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
57,59,1035,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","","","",0
58,60,187,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","","","",0
59,61,1046,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","","","",0
60,62,1047,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","","","",0
61,63,1045,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1,"",0
62,64,1081,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
63,65,1097,1,2,"",2,4,1,0,40,80,1,0,0,0,"","","","","","",0
64,66,1100,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
65,67,1105,"",0,"",4,2,1,0,0,0,"",0,0,0,"","","","","","",0
66,68,1114,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
67,69,1114,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
68,70,1114,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
69,71,1115,"",0,"",3,6,"",0,0,0,"",0,0,0,"","","","","","",0
70,72,1117,"",6,"",3,4,"",1000,0,0,"",0,35,0,"","","","","","",0
71,73,1123,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
72,74,1126,1,0,"",2,2,1,0,0,0,"",0,0,1,"","","","","","",0
73,75,1146,1,0,"",3,4,1,0,0,0,"",0,0,1,"",1,1,"","","",25
74,76,562,1,0,"",3,4,"",333,15,100,1,-80,33,0,"","","","","","",0
75,77,"",1,0,"",4,7,"",0,5,28,"",0,0,0,"","","","",1,196,0
76,78,1172,"",0,"",2,6,"",0,0,0,"",0,0,1,"","","","","","",0
77,79,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",199,0
78,80,1185,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
79,81,1185,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
80,82,1185,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
81,83,1185,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
82,84,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",201,0
83,85,1035,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
84,86,1035,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
85,87,1024,1,0,"",4,6,"",0,20,60,"",0,0,307201,"","","","","","",0
86,88,1124,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
87,89,1125,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
88,90,1223,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
89,91,1223,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
90,92,1223,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
91,93,1223,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
92,94,1125,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
93,95,1248,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
94,96,1249,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
95,97,1028,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
96,98,1278,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
97,99,1290,1,0,"",2,4,1,0,10,0,"",0,0,1,"",1,"","","","",0
98,100,1292,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
