"rownum","Id","i32","SoldItem_TagsKeys","SoldItem_Weights","[rid]","[i32]","[rid]","[i32]","i32","i32","i32","[rid]","i32","i32","[i32]"
35,"A1_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[4],[],0,0,0,[],5,-1,"[750,245,5]"
36,"A2_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[0],[],0,0,0,[],5,-1,"[699,296,5]"
37,"A3_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[4,0,17]",[],0,0,0,[],5,-1,"[648,346,6]"
38,"A4_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[597,397,6]"
39,"A5_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[546,447,7]"
40,"A6_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[495,498,7]"
41,"A7_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[444,548,8]"
42,"A8_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[393,599,8]"
43,"A9_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[342,649,9]"
44,"A10_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[291,700,9]"
45,"Epilogue_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[240,750,10]"
46,"A1_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11]",[],0,0,0,[],5,-1,"[750,245,5]"
47,"A2_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,8,12,19,20,21]",[],0,0,0,[],5,-1,"[699,296,5]"
48,"A3_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[648,346,6]"
49,"A4_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[597,397,6]"
50,"A5_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[546,447,7]"
51,"A6_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[495,498,7]"
52,"A7_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[444,548,8]"
53,"A8_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[393,599,8]"
54,"A9_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[342,649,9]"
55,"A10_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[291,700,9]"
56,"Epilogue_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,14,6,7,8]","[3000,1000,1900,100,25,10,25]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[240,750,10]"
57,"Siosa_HardMode",0,[0],[0],[],[],[],[],0,0,0,"[35,36,37]",1,-1,[]
58,"Kirac_HardMode",0,[0],[0],[],[],[],[],0,0,0,[],1,-1,[]
59,"ExpeditionHaggler_HardMode",0,[],[],[],[],[],[],0,0,1,[],1,-1,[]
60,"ExpeditionGambler_HardMode",0,[],[],[],[],[],[],0,0,3,[],1,-1,[]
61,"ExpeditionDealer_HardMode",0,[],[],[],[],[],[],0,0,2,[],1,-1,[]
62,"ExpeditionSaga_HardMode",0,[],[],[],[],[],[],0,0,4,[],1,-1,[]
63,"A1_Gamble",10,"[33,0]","[0,1000]","[0,9,1,2,3,4,5,6,7,8]","[2808,125,1123,374,437,562,499,32,15,32]",[],[],0,0,3,[],5,0,[]
64,"A2_Gamble",10,"[33,0]","[0,1000]","[0,9,1,2,3,4,5,6,7,8]","[2808,125,1123,374,437,562,499,32,15,32]",[],[],0,0,3,[],5,1,[]
65,"A3_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,2,[]
66,"A4_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,3,[]
67,"A5_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,4,[]
68,"A6_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,5,[]
69,"A7_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,6,[]
70,"A8_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,7,[]
71,"A9_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,8,[]
72,"A10_Gamble",10,"[134,33,0]","[1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,24]","[2808,125,1123,374,437,562,499,32,15,32,10]",[],[],0,0,3,[],5,9,[]
73,"Epilogue_Gamble",10,"[134,57,33,0]","[1000,1000,0,1000]","[0,9,1,2,3,4,5,6,7,8,19,24]","[2808,125,1123,374,437,562,499,32,15,32,200,10]",[],[],75,0,3,[],5,10,[]
74,"A1_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[750,245,5]"
75,"A2_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[699,296,5]"
76,"A3_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[648,346,6]"
77,"A4_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[597,397,6]"
78,"A5_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[546,447,7]"
79,"A6_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[495,498,7]"
80,"A7_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[444,548,8]"
81,"A8_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[393,599,8]"
82,"A9_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[342,649,9]"
83,"A10_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[291,700,9]"
84,"Epilogue_Weapons_HardMode_Gold",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[],[],0,0,0,[],5,-1,"[240,750,10]"
85,"A1_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]",[16],[],0,0,0,[],5,-1,"[750,245,5]"
86,"A2_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[699,296,5]"
87,"A3_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[648,346,6]"
88,"A4_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[597,397,6]"
89,"A5_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[546,447,7]"
90,"A6_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[495,498,7]"
91,"A7_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[444,548,8]"
92,"A8_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[393,599,8]"
93,"A9_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[342,649,9]"
94,"A10_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[291,700,9]"
95,"Epilogue_Magic_HardMode_Gold",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13,6,7,8]","[3000,1000,2000,25,10,25]","[16,8,19,20,21]",[],0,0,0,[],5,-1,"[240,750,10]"
96,"Azmeri_Warden",0,[0],[0],[],[],[],[],0,0,7,[],1,-1,[]
97,"Azmeri_VoodooShaman",0,[0],[0],[],[],[],[],0,0,6,[],1,-1,[]
98,"Azmeri_Primalist",0,[0],[0],[],[],[],[],0,0,8,[],1,-1,[]
99,"Azmeri_UniqueDealer",0,[0],[0],[],[],[],[],0,0,9,[],1,-1,[]
