"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotGroup"
51,"Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard",220,591,265,52,1,1,1,0
52,"Metadata/Items/Currency/CurrencyRemoveModShard",211,196,265,53,1,1,1,0
53,"Metadata/Items/Currency/CurrencyRemoveMod",203,197,180,54,1,1,1,0
54,"Metadata/Items/Currency/CurrencyRerollMapType",205,845,365,55,1,1,1,0
55,"Metadata/Items/Currency/CurrencyRerollMapTypeShard",213,845,450,56,1,1,1,0
56,"Metadata/Items/Currency/CurrencyUpgradeMapTier",206,760,365,57,1,1,1,0
57,"Metadata/Items/Currency/CurrencyRerollUnique",209,111,450,58,1,1,1,0
58,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSockets",204,196,450,59,1,1,1,0
59,"Metadata/Items/Currency/CurrencyStrongboxQuality",207,281,450,60,1,1,1,0
60,"Metadata/Items/AtlasExiles/ApplyInfluence",9674,725,262,61,1,1,1,1
61,"Metadata/Items/Currency/CurrencyRerollUniqueShard",216,111,534,62,1,1,1,0
62,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSocketsShard",212,196,534,63,1,1,1,0
63,"Metadata/Items/Currency/CurrencyUpgradeMapTierShard",214,760,450,64,1,1,1,0
64,"Metadata/Items/Currency/CurrencyStrongboxQualityShard",215,281,534,65,1,1,1,0
65,"Metadata/Items/AtlasExiles/AddModToRareCrusader",9670,725,85,66,1,1,1,1
66,"Metadata/Items/AtlasExiles/AddModToRareRedeemer",9671,633,173,67,1,1,1,1
67,"Metadata/Items/AtlasExiles/AddModToRareHunter",9672,633,85,68,1,1,1,1
68,"Metadata/Items/AtlasExiles/AddModToRareWarlord",9673,725,173,69,1,1,1,1
69,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",9,676,450,70,1,1,1,0
70,"Metadata/Items/Currency/CurrencyUpgradeInfluenceMod",9870,633,262,71,1,1,1,1
71,"Metadata/Items/Currency/CurrencyAddAtlasModMaven",182,676,367,72,1,1,1,0
72,"Metadata/Items/Currency/CurrencyEnkindlingOrb",9960,308,78,73,1,1,1,0
73,"Metadata/Items/Currency/CurrencyInstillingOrb",9961,393,78,74,1,1,1,0
74,"Metadata/Items/Currency/CurrencyRerollRareVeiled",3,845,180,75,1,1,1,0
75,"Metadata/Items/Currency/CurrencyRerollDefences",24,676,534,76,1,1,1,0
76,"Metadata/Items/Currency/CurrencyCleansingFireOrb1",304,146,262,77,1,1,1,1
77,"Metadata/Items/Currency/CurrencyCleansingFireOrb2",305,239,262,78,1,1,1,1
78,"Metadata/Items/Currency/CurrencyCleansingFireOrb3",306,146,354,79,1,1,1,1
79,"Metadata/Items/Currency/CurrencyCleansingFireOrb4",307,239,354,80,1,1,1,1
80,"Metadata/Items/Currency/CurrencyGreatTangleOrb1",308,146,85,81,1,1,1,1
81,"Metadata/Items/Currency/CurrencyGreatTangleOrb2",309,239,85,82,1,1,1,1
82,"Metadata/Items/Currency/CurrencyGreatTangleOrb3",310,146,173,83,1,1,1,1
83,"Metadata/Items/Currency/CurrencyGreatTangleOrb4",311,239,173,84,1,1,1,1
84,"Metadata/Items/Currency/CurrencyConflictOrb",312,192,462,85,1,1,1,1
85,"Metadata/Items/Currency/CurrencyEldritchRerollRare",10413,633,373,86,1,1,1,1
86,"Metadata/Items/Currency/CurrencyEldritchAddModToRare",10414,678,464,87,1,1,1,1
87,"Metadata/Items/Currency/CurrencyEldritchRemoveMod",10415,722,373,88,1,1,1,1
88,"Metadata/Items/Currency/CurrencyHellscapeRerollRare",9985,353,85,89,1,1,1,1
89,"Metadata/Items/Currency/CurrencyHellscapeAddModToRare",9986,436,85,90,1,1,1,1
90,"Metadata/Items/Currency/CurrencyHellscapeWeaponQuality",9989,521,85,91,1,1,1,1
91,"Metadata/Items/Currency/CurrencyHellscapeArmourQuality",9988,353,173,92,1,1,1,1
92,"Metadata/Items/Currency/CurrencyHellscapeUpgradeModTier",9990,436,173,93,1,1,1,1
93,"Metadata/Items/Currency/CurrencyHellscapeUpgradeToUnique",9987,521,173,94,1,1,1,1
94,"Metadata/Items/Currency/CurrencyHellscapeRerollSocketLinks",9983,353,262,95,1,1,1,1
95,"Metadata/Items/Currency/CurrencyHellscapeRerollSocketNumbers",9984,436,262,96,1,1,1,1
96,"Metadata/Items/Currency/CurrencyHellscapeRerollSocketColours",9982,521,262,97,1,1,1,1
97,"Metadata/Items/Currency/HarvestSeedRed",10490,146,569,98,1,1,1,1
98,"Metadata/Items/Currency/HarvestSeedGreen",10491,239,569,99,1,1,1,1
99,"Metadata/Items/Currency/HarvestSeedBlue",10492,635,569,100,1,1,1,1
100,"Metadata/Items/Currency/HarvestSeedBoss",10493,724,569,101,1,1,1,1
101,"Metadata/Items/Currency/CurrencyFractureRare",210,27,450,102,1,1,1,0
102,"Metadata/Items/Currency/CurrencyFractureRareShard",221,27,534,103,1,1,1,0
103,"Metadata/Items/Currency/CurrencyHinekorasLock",10561,27,366,104,1,1,1,0
