"rownum","string","i32","bool","bool"
248,"ReviveAllWithOnslaught",46005,1,""
249,"SummonExile",17950,1,""
250,"SummonStandaloneMapBoss",47560,1,""
251,"BirdmanConsume",22587,1,""
252,"SandSpitterSpray",28111,1,""
253,"VaalCloud",47408,1,""
254,"MonsterSummonAnimatedWeapon",29619,1,""
255,"SummonSandSpitters",5163,1,""
256,"SkeletonExplosionSlam",59290,1,""
257,"MoltenStrike",43457,1,""
258,"Convocation",35228,1,""
259,"SummonKaomTotems",12269,1,""
260,"ComboStrike",14956,1,""
261,"DropBearAmbush",63534,1,""
262,"KiteWestBossUsePortal",46785,1,""
263,"MerveilIceSpear",5723,1,""
264,"MerveilGeyser",54448,1,""
265,"BrutusCageSummon",56787,1,""
266,"BrutusSpikedGround",47856,1,""
267,"FireNova",63120,1,""
268,"TornadoShot",31905,1,""
269,"BrutusGroundSlam",60807,1,""
270,"MerveilWarp",48466,1,""
271,"MerveilTeleport",33986,1,""
272,"MonsterProjectileSpell",33319,1,""
273,"MerveilAnimateWeapon",15153,1,""
274,"MossMonsterSlam",293,1,""
275,"LavaHoundCharge",21613,1,""
276,"MerveilSummonStatue",26993,1,""
277,"MerveilSummonDaughters",28467,1,""
278,"MerveilSummonSpawn",56634,1,""
279,"MerveilMultiGeyser",65443,1,""
280,"Heal",5214,1,""
281,"HeraldOfAsh",31276,1,""
282,"HeraldOfIce",7197,1,""
283,"HeraldOfThunder",26016,1,""
284,"HeraldOfAgony",51542,1,""
285,"HeraldOfLight",38691,1,""
286,"RampageSummonAnimatedWeapon",65314,1,""
287,"MonsterGroundEffectRing",10714,1,""
288,"Consecrate",54103,1,""
289,"PoachersMark",55937,1,""
290,"SummonCritters",19096,1,""
291,"SummonSpecificMonsters",50489,1,""
292,"SummonSpecificMonstersCannotDie",21826,1,""
293,"MonsterUseFlask",35375,1,""
294,"LightningTouch",41610,1,""
295,"LightningTendrilsChannelled",45905,1,""
296,"Beacon",38204,1,""
297,"LightningCircle",15170,1,""
298,"DanceOnCorpse",65082,1,""
299,"BatScreech",54983,1,""
300,"Sandstorm",39721,1,""
301,"DropBearRain",21724,1,""
302,"DropBearEnrage",49018,1,""
303,"LightningChannel",13009,1,""
304,"VollCharge",36986,1,""
305,"MinerThrowFire",13804,1,""
306,"VollSlam",31026,1,""
307,"WaterVortex",19629,1,""
308,"MonsterDodge",35715,1,""
309,"VollReviveUndead",2021,1,""
310,"SummonTaniwhaTail",11073,1,""
311,"MonsterMortar",35572,1,""
312,"MonsterMortarAttack",5429,1,""
313,"Earthquake",22149,1,""
314,"ClusterBurst",19862,1,""
315,"Haunt",31336,1,""
316,"BloodlineDaemonNova",38636,1,""
317,"DaressoCloneCharge",16673,1,""
318,"DaressoSummonClones",43928,1,""
319,"DaressoSummonClonesSpell",11779,1,""
320,"CloneShot",13079,1,""
321,"DecoyShot",11147,1,""
322,"DaressoEnrage",25111,1,""
323,"MonsterTeleport",6775,1,""
324,"ColdThorns",4190,1,""
325,"DaemonPulseBeam",27848,1,""
326,"SummonStorms",3052,1,""
327,"DualWieldCounterattack",32707,1,""
328,"ShieldCounterattack",7765,1,""
329,"StaticStrike",28061,1,""
330,"StaticStrikeNew",8788,1,""
331,"LivingBomb",50819,1,""
332,"TriggeredThunderbolt",52452,1,""
333,"HitCounterattack",37618,1,""
334,"RuneExplosion",17822,1,""
335,"TormentSpiritPause",49188,1,""
336,"DaressoAttackCombo",60550,1,""
337,"SummonChaosElemental",10207,1,""
338,"SummonIceElemental",37251,1,""
339,"SummonFireElemental",34338,1,""
340,"BullThorns",12072,1,""
341,"GladiatorSwordThrow",48410,1,""
342,"HandfingerHammerThrow",40825,1,""
343,"IceCrash_",21465,1,""
344,"DeathExplode",30653,1,""
345,"MinerThrowSpawn",53676,1,""
346,"MinerExcavateElemental",17793,1,""
347,"Wait",30862,1,""
348,"SkeletonSoldierArrowSpray",61033,1,""
349,"NewShockNova",13964,1,""
350,"FlameDash",23757,1,""
351,"VultureTakeoff",8881,1,""
352,"PietyCorruptedBallLightning",61082,1,""
353,"PietyCorruptedLightningBeam",13863,1,""
354,"VaalAuraElementalDamageHealing",18691,1,""
355,"CurseTransfer",51382,1,""
356,"BarrelExplosion",57654,1,""
357,"MalachaiElementalCone",60436,1,""
358,"MalachaiTeleportSlam",32611,1,""
359,"MalachaiShadowBarrage",63004,1,""
360,"MalachaiTeleport",10477,1,""
361,"Fortify",41025,1,""
362,"IceElementalSpear",43259,1,""
363,"KaomFireChasm",23604,1,""
364,"KaomVolcanoMortar",5327,1,""
365,"IceStrike",49390,1,""
366,"FireElementalCone",59919,1,""
367,"ShavronneLightningTouch",31637,1,""
368,"ShavronneTeleport",2190,1,""
369,"DaressoReave",60590,1,""
370,"DaressoCharge",3955,1,""
371,"CurseConsume",8418,1,""
372,"FireMortar",60164,1,""
373,"VikingUpheaval",21922,1,""
374,"SummonEye",10676,1,""
375,"TriggerKaomArcherSpawners",39200,1,""
376,"TriggerKaomSkullSpawners",5283,1,""
377,"NewPunishment",59575,1,""
378,"NewArcticArmour",26344,1,""
379,"VaalArcticArmour",58122,1,""
380,"RevenantReviveUndead",41331,1,""
381,"MonsterSnipe",20802,1,""
382,"ElementalStrike",44576,1,""
383,"PietyAllyBeam",49824,1,""
384,"TrapIceRune",23177,1,""
385,"InvisibleFire",29692,1,""
386,"MalachaiShield",41236,1,""
387,"MortarWithGroundEffects",53349,1,""
388,"MinerBeacon",42090,1,""
389,"MalachaiTransformPiety",48489,1,""
390,"PietyTransformToCorruptPiety",56899,1,""
391,"CorruptPietyTransformToPiety",62031,1,""
392,"PietyTransformEnd",23545,1,""
393,"MalachaiImpale",45018,1,""
394,"PietyActivateEyeSpawner",44725,1,""
395,"MalachaiOpenHeart",13727,1,""
396,"HeartGrantShield",35494,1,""
397,"GainCharges",20312,1,""
398,"DaressoSwordTrap",19307,1,""
399,"MalachaiSpawnTriBomb",25459,1,""
400,"RepeatableWave",26661,1,""
401,"NewPhaseRun",37374,1,""
402,"FireElementalMeteor",26462,1,""
403,"BlastRain",28488,1,""
404,"ShrapnelShot",20831,1,""
405,"BurnwillowTargetArea",36221,1,""
406,"StaticTether",38268,1,""
407,"PietyReverseCleave",50763,1,""
408,"RainOfBlades",19291,1,""
409,"SpinningEtherealBlades",34705,1,""
410,"VaalBladeVortex",13745,1,""
411,"FrostBomb",24119,1,""
412,"FireNovaOnKill",368,1,""
413,"UniqueAnimateWeapon",18636,1,""
414,"StormCloud",10585,1,""
415,"LbRetractableTrap",43594,1,""
416,"SummonExplosiveIcyRagingSpirit",8597,1,""
417,"TriggeredClone",27097,1,""
418,"TriggeredConsecrate",16172,1,""
419,"TriggeredLightningCones",55607,1,""
420,"SummonRockGolem",5195,1,""
421,"TriggeredCleave",20262,1,""
422,"WhirlingLeap",36416,1,""
423,"ExplosiveHit",5197,1,""
424,"RighteousLightning",14825,1,""
425,"LbArrowTrap",242,1,""
426,"QuakeSlam",20811,1,""
427,"VaalEarthquake",45734,1,""
428,"VaalEarthquakeFootstep",23677,1,""
429,"AnimateWeaponExplosive",24129,1,""
430,"Contagion",11273,1,""
431,"Wither",930,1,""
432,"WitherChannelled",34931,1,""
433,"Siphon",57760,1,""
434,"EnchantmentMeteor",9185,1,""
435,"ReviveAfterDuration",8994,1,""
436,"GraspingOrnaments",13575,1,""
437,"OfferingOfJudgement",36198,1,""
438,"PlayerProjectileSpell",33351,1,""
439,"EnchantedWeaponProjectile",17449,1,""
440,"TotemSnipe",10842,1,""
441,"LbEdgeTrap",44184,1,""
442,"DropBearDesecration",7956,1,""
443,"LbBeamTrap",49395,1,""
444,"TotemAncestorMelee",52232,1,""
445,"StormCloudLightningWarp",30705,1,""
446,"LbBossFlee",38407,1,""
447,"VinktarHide",22089,1,""
448,"VinktarLightningBond",21560,1,""
449,"ShadowBlades",38424,1,""
450,"SummonSpecificMonstersFromMortars",64242,1,""
451,"LbBossSummonLieutenants",62448,1,""
452,"LbBossSpiritMortar",59959,1,""
453,"TriggeredExplosion",14803,1,""
454,"LbBossShield",22366,1,""
455,"SummonSpecificMonstersInFront",31949,1,""
456,"IzaroTaunt",38491,1,""
457,"Shrink",37790,1,""
458,"MonsterSlam",17381,1,""
459,"RigwaldWolfForm",65331,1,""
460,"RigwaldWolfBarrage",32278,1,""
461,"OakSunder",17800,1,""
462,"ShockwaveSlam",29540,1,""
463,"NewSunder",24541,1,""
464,"RangeFinder",2067,1,""
465,"TalismanDegen",61954,1,""
466,"TalismanSummonLightningSpiral",13882,1,""
467,"MonsterSubmergeDelete",53059,1,""
468,"SummonRigwaldsPack",20329,1,""
469,"CastGroundEffect",19462,1,""
470,"FrostBolt",24210,1,""
471,"FrostBoltChannel",60568,1,""
472,"FrostBoltNova",38141,1,""
473,"BlightChannel",35302,1,""
474,"VaalBlight",50219,1,""
475,"Blight",7333,1,""
476,"Riptide",5624,1,""
477,"MoltenBurst",20327,1,""
478,"TriggeredLightningWeaponSpiral",58776,1,""
479,"IzaroAbsorbElemental",43370,1,""
480,"ChargedAttack",1276,1,""
481,"ChargedAttackChannelled",44898,1,""
482,"VaalChargedAttack",15666,1,""
483,"RepeatingShockwave",23095,1,""
484,"AwakenGargoyle",39268,1,""
485,"OfferingSpirit",38460,1,""
486,"TrapBlade",44436,1,""
487,"IzaroPedestalBuff",46215,1,""
488,"DoomArrow",27293,1,""
489,"HydraDoomArrow",42214,1,""
490,"Icefire",20189,1,""
491,"FaceLastTarget",7028,1,1
492,"LightningGolemWrath",16252,1,""
493,"LightningGolemArc",38425,1,""
494,"SummonLightningElemental",20547,1,""
495,"ChronosStatueCast",19975,1,""
496,"IzaroReave",39454,1,""
497,"Enrage",60637,1,""
498,"PerandusRevive",23156,1,""
499,"IzaroWarp",1084,1,""
500,"MonsterProjectileEquippedWeapon",51167,1,""
501,"DeleteTarget",22411,1,""
502,"AncestorTotemSlash",39949,1,""
503,"AncestorTotemSlam",49546,1,""
504,"VaalAncestralWarchief",31655,1,""
505,"DoubleSlash",728,1,""
506,"WalkingDoubleSlash",15221,1,""
507,"ElementalProjectiles",18499,1,""
508,"CastAuraSlow",6590,1,""
509,"CastAuraPhysicalDegeneration",10319,1,""
510,"SkeletalChains",45814,1,""
511,"CastAuraIncreasedDamageTaken",48688,1,""
512,"SummonDaemonsAtLocators",48568,1,""
513,"CastAuraDamageOnMovementSkillUse",3762,1,""
514,"FlaskChargeNova",34196,1,""
515,"BleedNova",36044,1,""
516,"Kill",32053,1,""
517,"WandTeleport",22788,1,""
518,"GoddessWarp",63786,1,""
519,"GoddessBeam",44185,1,""
520,"ThrowRandomWeapon",10291,1,""
521,"IncaBossFreezingPulse",59515,1,""
522,"WhirlingCharge",12377,1,""
523,"StrongboxCorpseExplode",61077,1,""
524,"PhoenixFirebomb",42966,1,""
525,"RepeatedPulse",59355,1,""
526,"TauntTarget",16242,1,""
527,"CurseNova",53857,1,""
528,"Vulnerable",10032,1,""
529,"SuperGoatEmerge",23702,1,""
530,"FireOrbs",37617,1,""
531,"HydraTurretProjectile",60007,1,""
532,"AtlasFrostBoltVortex",4733,1,""
533,"GroundEffectSlam",34900,1,""
534,"HydraBarrage",21082,1,""
535,"MinotaurArcTrap",37427,1,""
536,"IceWarp",53914,1,""
537,"AtlasRiftwalk",25620,1,""
538,"HydraTeleportShot",7517,1,""
539,"FireBeam",29795,1,""
540,"MarkerWarp",41057,1,""
541,"MinotaurSlam",34049,1,""
542,"ShaperBanishZana",46864,1,""
543,"ShaperOpenPortal",47782,1,""
544,"ShaperTeleportSlam",47391,1,""
545,"ShaperBanishPlayer",7520,1,""
546,"ShaperBeam",39584,1,""
547,"MinotaurBurrow",1567,1,""
548,"TrapGroundSmoke",63828,1,""
549,"MinotaurSweep",22293,1,""
550,"ShaperProjectile",37246,1,""
551,"ChimeraHideAttack",60107,1,""
552,"ShaperBulletHell",31233,1,""
553,"ChimeraFlickerLance",8171,1,""
554,"FireBurst",7485,1,""
555,"AtlasCharge",52982,1,""
556,"StormCascade",52432,1,""
557,"SummonEssenceSpirits",11983,1,""
558,"SummonSpecificBarrels",61252,1,""
559,"SummonSpecificBarrelsInFront",55873,1,""
560,"SummonSpecificBarrelsFromMortar",37648,1,""
561,"ChimeraComboAttack",7605,1,""
562,"HellfireBarrage",12474,1,""
563,"ChangeStance",34274,1,""
564,"BeatChest",51129,1,""
565,"PirateBossBreakChest",12528,1,""
566,"ChimeraChargedAttack",41085,1,""
567,"FireStormCascade",44413,1,""
568,"AtlasSplitForm",9593,1,""
569,"BonePrison",52213,1,""
570,"MonsterMortarAroundCaster",30266,1,""
571,"BladeVortex",1471,1,""
572,"HydraForkArrow",12743,1,""
573,"Restore",29761,1,""
574,"ChangeToStance1",5831,1,1
575,"ChangeToStance2",5828,1,1
576,"ChangeToStance3",5829,1,1
577,"ChangeToStance4",5826,1,1
578,"ChangeToStance5",5827,1,1
579,"ChangeToStance1Immediate",7768,1,1
580,"ChangeToStance2Immediate",25928,1,1
581,"ChangeToStance3Immediate",63286,1,1
582,"ChangeToStance4Immediate",2767,1,1
583,"ChangeToStance5Immediate",42257,1,1
584,"AtlasGrowingMaelstrom",63509,1,""
585,"AtlasSpiderWeb",32393,1,""
586,"CoverInSpiders",33131,1,""
587,"ReviveSpecificMonsters",44318,1,""
588,"AtlasLightningGolemBuff",1860,1,""
589,"AtlasLightningGolemNova",54822,1,""
590,"ZanaDisruptPortal",53951,1,""
591,"SummonGoldAnimatedArmour",3432,1,""
592,"StormflayLightningStrike",33249,1,""
593,"LightningOrbs",11060,1,""
594,"ZanaExtendShield",37513,1,""
595,"ZanaRetreat",11337,1,""
596,"AtlasRandomMaelstrom",51429,1,""
597,"MassSummonBloodRaven",8760,1,""
598,"HotdogUpheaval",16838,1,""
599,"CoverInAsh",59453,1,""
600,"EmpoweringHowl",49352,1,""
601,"Flamebreath",10375,1,""
602,"NewBladeVortex",48699,1,""
603,"ThrownShieldProjectile",41602,1,""
604,"AvariusCleave",22605,1,""
605,"AvariusOffsetProjectile",65519,1,""
606,"AvariusSuperProjectile",41249,1,""
607,"AvariusPentagonProjectile",31775,1,""
608,"AvariusRapidProjectile",32827,1,""
609,"AvariusDivineSlam",21342,1,""
610,"AvariusSummonTemplars",59393,1,""
611,"AvariusRaiseStatues",52744,1,""
612,"MonsterConsume",29486,1,""
613,"MortarInCone",39018,1,""
614,"BreachBlizzard",20001,1,""
615,"BreachTeamWarp",8567,1,""
616,"BrineKingTideRush",24860,1,""
617,"BrineKingUpheaval",50148,1,""
618,"BrineKingFloodArena",22865,1,""
619,"BrineKingStormCall",55118,1,""
620,"BrutusWallHook",42685,1,""
621,"BreachBoneNova",46397,1,""
622,"BreachFlickerStrike",5191,1,""
623,"BreachMassFlickerStrike",31447,1,""
624,"Mortar",51587,1,""
625,"Envy",56463,1,""
626,"TransitionObject",64185,1,""
627,"BreachBallLightning",47761,1,""
628,"BreachRecall",58671,1,""
629,"BreachSummonMonsterAtMarker",59079,1,""
630,"BreachSpellBarrage",57785,1,""
631,"MaligaroTeleportSlam",57998,1,""
632,"MaligaroComboAttack",14369,1,""
633,"MaligaroSoulComboAttack",12207,1,""
634,"MaligaroTelekineticBlades",29208,1,""
635,"MaligaroVanish",57193,1,""
636,"NovaProjectileSpell",58056,1,""
637,"RapidSlam",37266,1,""
638,"MaligaroBarrage",40304,1,""
639,"LightningSpell",47684,1,""
640,"WandStrike",61814,1,""
641,"DoedreBubbleBurst",28485,1,""
642,"DoedreWarp",30415,1,""
643,"DoedreFormWarp",5119,1,""
644,"SummonSpider",64386,1,""
645,"BreachLightningOrbs",53774,1,""
646,"LunarisComboAttack",11568,1,""
647,"MeleeThrustAttack",60466,1,""
648,"SolarisSkyBeam",64100,1,""
649,"SolarisEnergyLance",9705,1,""
650,"LunarisSpellBarrage",59927,1,""
651,"LunarisDarkProjectile",63869,1,""
652,"DeathProjectileSpell",44606,1,""
653,"SolarisSolarFlare",37229,1,""
654,"LunarisGlaiveProjectile",59076,1,""
655,"SolarisBackflip",24429,1,""
656,"SpiderGodComboAttack",50479,1,""
657,"SpiderGodAcidLightning",5058,1,""
658,"SpiderGodLaserBarrage",25502,1,""
659,"SpiderGodRiptide",64742,1,""
660,"YeenaFireBreath",16704,1,""
661,"BreachFlameVortex",63150,1,""
662,"AvariusDivineBeam",9422,1,""
663,"AvariusCharge",2842,1,""
664,"ExplosiveDoomArrow",28620,1,""
665,"SpectralSawblade",48863,1,""
666,"SpiderGodWebZone",19424,1,""
667,"PurgeHoundWhirlingBlades",52146,1,""
668,"StormBurst",57992,1,""
669,"RaiseSkeletonChannelled",33414,1,""
670,"AvariusKillStatues",53554,1,""
671,"MatriachFireMortar",11131,1,""
672,"MonsterAreaOfEffectSpell",51538,1,""
673,"ShavronneLightningPulse",15477,1,""
674,"TukohamaSunder",4542,1,""
675,"TukohamaTotemShield",8991,1,""
676,"TukohamaSlam",36438,1,""
677,"BrineKingSlam",28158,1,""
678,"MonsterSelfSlam",6358,1,""
679,"ShavronneLevitatingProjectile",53390,1,""
680,"OfferingBlood",32935,1,""
681,"TeleportStrike",18837,1,""
682,"ShavronneEmpowerBeam",20557,1,""
683,"MainHandAttack",56416,1,""
684,"OffHandAttack",37730,1,""
685,"BlackguardZombieEnrage",53322,1,1
686,"ShavronneProjectileBarrage",59929,1,""
687,"CreateLesserShrine",25303,1,""
688,"FigureheadIncinerate",2008,1,""
689,"SolarisLunarisTransform",28045,1,""
690,"SummoningArrow",61113,1,""
691,"KitavaXBlast",59933,1,""
692,"KitavaXNuke",30972,1,""
693,"KitavaSwipe",45275,1,""
694,"KitavaSlam",9374,1,""
695,"KitavaDevouringDarkness",57510,1,""
696,"KitavaThrowDebris",32527,1,""
697,"KitavaHeartSummon",4782,1,""
698,"DoedreEmptyCauldron",8906,1,""
699,"AbberathsFury",16046,1,""
700,"AbberathMeteorUpheaval",49510,1,""
701,"AbberathFireballCombo",59474,1,""
702,"AbberathEmerge",23422,1,""
703,"AbberathHide",23783,1,""
704,"ChargedDash",19010,1,""
705,"ChargedDashAim",11638,1,""
706,"CastAuraChaosDegenUnique",1028,1,""
707,"BrineKingCleave",36533,1,""
708,"DespairBearUpheaval",3417,1,""
709,"DespairBearEarthquake",22580,1,""
710,"DespairBearRoar",47309,1,""
711,"EarthquakeCascade",12538,1,""
