"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile","[i32]"
29,"ToggleStatuesMerciless_Cold","",545,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
30,"ToggleStatuesMerciless_Lightning","",547,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
31,"ToggleStatuesMerciless_Fire2","",544,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,-20,20,500,0]"
32,"ToggleStatuesMerciless_Cold2","",546,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,-20,20,500,0]"
33,"ToggleStatuesMerciless_Lightning2","",548,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,-20,20,500,0]"
34,"ToggleStatuesEndgame_Fire","",543,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
35,"ToggleStatuesEndgame_Cold","",545,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
36,"ToggleStatuesEndgame_Lightning","",547,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
37,"ToggleStatuesEndgame_Fire2","",544,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[30,-20,30,500,0]"
38,"ToggleStatuesEndgame_Cold2","",546,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[30,-20,30,500,0]"
39,"ToggleStatuesEndgame_Lightning2","",548,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[30,-20,30,500,0]"
40,"PowerPylonsCruel_Vulnerability",4822,"",[],"",[]
41,"PowerPylonsCruel_TempChains",4820,"",[],"",[]
42,"PowerPylonsCruel_EleWeakness",4824,"",[],"",[]
43,"PowerPylonsCruel_Vulnerability2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
44,"PowerPylonsCruel_TempChains2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
45,"PowerPylonsCruel_EleWeakness2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
46,"PowerPylonsMerciless_Vulnerability",4821,"",[],"",[]
47,"PowerPylonsMerciless_TempChains",4819,"",[],"",[]
48,"PowerPylonsMerciless_EleWeakness",4823,"",[],"",[]
49,"PowerPylonsMerciless_Vulnerability2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
50,"PowerPylonsMerciless_TempChains2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
51,"PowerPylonsMerciless_EleWeakness2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
52,"PowerPylonsEndgame_Vulnerability",4821,"",[],"",[]
53,"PowerPylonsEndgame_TempChains",4819,"",[],"",[]
54,"PowerPylonsEndgame_EleWeakness",4823,"",[],"",[]
55,"PowerPylonsEndgame_Vulnerability2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
56,"PowerPylonsEndgame_TempChains2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
57,"PowerPylonsEndgame_EleWeakness2","",654,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
58,"ElementalNormal_Fire",1107,618,[20],"",[]
59,"ElementalNormal_Cold",1108,620,[20],"",[]
60,"ElementalNormal_Lightning",1109,622,[20],"",[]
61,"ElementalNormal_Fire2",1110,619,"[20,500,667]","","[20,500,0]"
62,"ElementalNormal_Cold2",1111,621,"[20,500,667]","","[20,500,0]"
63,"ElementalNormal_Lightning2",1112,623,"[20,500,667]","","[20,500,0]"
64,"ElementalCruel_Fire",1107,618,[30],"",[]
65,"ElementalCruel_Cold",1108,620,[30],"",[]
66,"ElementalCruel_Lightning",1109,622,[30],"",[]
67,"ElementalCruel_Fire2",1110,619,"[30,500,667]","","[30,500,0]"
68,"ElementalCruel_Cold2",1111,621,"[30,500,667]","","[30,500,0]"
69,"ElementalCruel_Lightning2",1112,623,"[30,500,667]","","[30,500,0]"
70,"ElementalMerciless_Fire",1107,618,[40],"",[]
71,"ElementalMerciless_Cold",1108,620,[40],"",[]
72,"ElementalMerciless_Lightning",1109,622,[40],"",[]
73,"ElementalMerciless_Fire2",1110,619,"[40,500,667]","","[40,500,0]"
74,"ElementalMerciless_Cold2",1111,621,"[40,500,667]","","[40,500,0]"
75,"ElementalMerciless_Lightning2",1112,623,"[40,500,667]","","[40,500,0]"
76,"ElementalEndgame_Fire",1107,618,[60],"",[]
77,"ElementalEndgame_Cold",1108,620,[60],"",[]
78,"ElementalEndgame_Lightning",1109,622,[60],"",[]
79,"ElementalEndgame_Fire2",1110,619,"[60,500,667]","","[60,500,0]"
80,"ElementalEndgame_Cold2",1111,621,"[60,500,667]","","[60,500,0]"
81,"ElementalEndgame_Lightning2",1112,623,"[60,500,667]","","[60,500,0]"
82,"PortalSummon1_Fire",4835,"",[],"",[]
83,"PortalSummon1_Cold",4836,"",[],"",[]
84,"PortalSummon1_Lightning",4837,"",[],"",[]
85,"PortalSummon2_Fire",4838,654,"[500,667]","","[500,0]"
86,"PortalSummon2_Cold",4839,654,"[500,667]","","[500,0]"
87,"PortalSummon2_Lightning",4840,654,"[500,667]","","[500,0]"
88,"GargoylesNormal_Fire",4827,637,[-20],"",[]
89,"GargoylesNormal_Cold",4826,635,"[20,20]","",[]
90,"GargoylesNormal_Lightning",4825,633,[12],"",[]
91,"GargoylesNormal_Fire2",4830,638,"[-20,500,667]","","[-20,500,0]"
92,"GargoylesNormal_Cold2",4829,636,"[20,20,500,667]","","[20,20,500,0]"
93,"GargoylesNormal_Lightning2",4828,634,"[12,500,667]","","[12,500,0]"
94,"GargoylesCruel_Fire",4827,637,[-20],"",[]
95,"GargoylesCruel_Cold",4826,635,"[20,20]","",[]
96,"GargoylesCruel_Lightning",4825,633,[20],"",[]
97,"GargoylesCruel_Fire2",4830,638,"[-20,500,667]","","[-20,500,0]"
98,"GargoylesCruel_Cold2",4829,636,"[20,20,500,667]","","[20,20,500,0]"
99,"GargoylesCruel_Lightning2",4828,634,"[20,500,667]","","[20,500,0]"
100,"GargoylesMerciless_Fire",4827,637,[-20],"",[]
101,"GargoylesMerciless_Cold",4826,635,"[20,20]","",[]
102,"GargoylesMerciless_Lightning",4825,633,[20],"",[]
103,"GargoylesMerciless_Fire2",4830,638,"[-20,500,667]","","[-20,500,0]"
104,"GargoylesMerciless_Cold2",4829,636,"[20,20,500,667]","","[20,20,500,0]"
105,"GargoylesMerciless_LIghtning2",4828,634,"[20,500,667]","","[20,500,0]"
106,"GargoylesEndgame_Fire",4827,637,[-25],"",[]
107,"GargoylesEndgame_Cold",4826,635,"[30,30]","",[]
108,"GargoylesEndgame_Lightning",4825,633,[20],"",[]
109,"GargoylesEndgame_Fire2",4830,638,"[-25,500,667]","","[-25,500,0]"
110,"GargoylesEndgame_Cold2",4829,636,"[30,30,500,667]","","[30,30,500,0]"
111,"GargoylesEndgame_Lightning2",4828,634,"[20,500,667]","","[20,500,0]"
112,"ChronoStatues1_1",4841,"",[],"",[]
113,"ChronoStatues1_2",4842,"",[],"",[]
114,"ChronoStatues1_3",4843,"",[],"",[]
115,"ChronoStatues2_1",4844,654,"[500,667]","","[500,0]"
116,"ChronoStatues2_2",4845,654,"[500,667]","","[500,0]"
117,"ChronoStatues2_3",4846,654,"[500,667]","","[500,0]"
118,"Pedestals1_1",4847,643,[10],"",[]
119,"Pedestals1_2",4848,641,[25],"",[]
120,"Pedestals1_3",4849,639,[10],"",[]
121,"Pedestals2_1","",644,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,500,0]"
122,"Pedestals2_2","",642,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,500,0]"
123,"Pedestals2_3","",640,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,500,0]"
