"rownum","WorldArea","MonsterPacks","i32","i32"
75,86,"[2079,2080]",2,0
76,87,"[1967,1966]",2,0
77,88,"[2074,1967]",2,0
78,89,"[1967,1966]",2,0
79,90,"[1967,1966]",2,0
80,91,"[2083,2076]",2,0
81,92,"[2084,2085,2089]",2,0
82,93,"[2078,2086]",2,0
83,94,"[2087,1967]",2,0
84,95,"[2082,2073]",2,0
85,96,"[2082,1967]",2,0
86,97,"[2081,1967]",2,0
87,98,"[2082,1967]",2,0
88,99,[2077],1,0
89,100,"[2074,2077,2088]",2,0
90,101,"[2075,2074]",2,0
91,103,"[2097,2090,2096]",2,0
92,104,"[2095,2098,2096,2090]",2,0
93,105,"[2099,2111,2107]",2,0
94,106,"[2100,2091,2110]",2,0
95,107,"[2112,2092,2101]",2,0
96,108,"[2113,2108,2093,2114]",2,0
97,109,"[2102,2109]",2,0
98,110,"[2096,2090]",2,0
99,111,"[2096,2090,2095]",2,0
100,112,"[1966,1967]",2,0
101,113,"[2096,1967]",2,0
102,114,"[2103,1966]",2,0
103,115,"[2104,1966]",2,0
104,116,"[2105,1966]",2,0
105,117,"[2094,2106]",2,0
106,118,"[2119,2133]",2,0
107,120,"[2137,2120]",2,0
108,121,"[2120,2130,2124,2135,2117]",2,0
109,122,"[2134,2136,2131]",2,0
110,123,"[2130,2128]",2,0
111,124,"[2135,2121,2130,2128,2127]",2,0
112,125,"[2116,2136]",2,0
113,126,"[2136,2122]",2,0
114,127,"[2136,2122,2116]",2,0
115,128,"[2133,2130,2132,2115]",2,0
116,129,"[2133,2130,2127]",2,0
117,130,"[2126,2125,2129]",2,0
118,131,"[2118,2136]",2,0
119,132,"[2118,2136,2129]",2,0
120,133,"[2121,2118,2136,2129]",2,0
121,134,"[2116,2118,2136,2122,2129]",2,0
122,135,"[2140,2138,2151,2161,2152]",2,0
123,137,"[2162,2144]",2,0
124,138,"[2148,2150]",2,0
125,139,"[2153,2150]",2,0
126,140,"[2154,2145,2149]",2,0
127,141,"[2155,2146]",2,0
128,142,"[2156,2147,2141,2159]",2,0
129,143,"[2156,2147,2141]",2,0
130,144,"[2142,2143,2157]",2,0
131,145,"[2158,2151]",2,0
132,146,"[2158,2160,2139,2151]",2,0
133,148,"[2164,2166,2174]",2,0
134,149,"[2173,2177,2165,2178]",2,0
135,150,"[2167,2178]",2,0
136,151,"[2179,2180,2168]",2,0
137,152,"[2173,2166,2174]",2,0
138,153,"[2173,2166,2174]",2,0
139,154,"[2177,2170,2171,2181,2165]",2,0
140,155,"[2175,2169,2163]",2,0
141,156,"[2176,2172]",2,0
142,166,"[1972,1977,1978,1967,1979,1980,1981,1984,1966,1991,1992,1999,2000,2001,2002,2004,1968,1969,2005,2007,2006,2008,2010,2009,2011,2012,1970,2013,2014,2015,2016,2017,2029,2018,2024,2027,2031,2028,2021,2025,2030,2023,2022,2026,2034,2035,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2079,2080,2074,2083,2076,2084,2085,2089,2086,2087,2082,2073,2081,2077,2088,2075,2097,2090,2096,2095,2098,2099,2111,2107,2100,2091,2110,2112,2092,2101,2113,2093,2114,2102,2103,2104,2105,2094,2106,2119,2137,2120,2130,2124,2135,2136,2131,2128,2121,2127,2116,2122,2132,2126,2125,2129,2118,2140,2138,2151,2161,2152,2162,2144,2148,2150,2153,2154,2145,2149,2155,2146,2156,2147,2141,2159,2142,2143,2157,2158,2160,2139,2164,2166,2174,2173,2177,2165,2178,2167,2179,2180,2168,2170,2171,2181,2175,2169,2163,2176,2172]",4,0
