"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","i32","i32","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","[rid]","bool"
36,1022,0,339,[],[],8515,"",[],[],0,"",[],5,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
37,398,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],1292,0,0,[],0,0,[],[],[],[],[],""
38,398,1,339,[1234],[20],6442,"",[],[],0,"",[7381],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],288,0,0,[],30,0,[],[],[],[],[],""
39,398,2,190,[],[],8508,"",[70],[-20],0,"","[5875,5887]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],1762,0,0,[],0,0,[],[],[],[],[],""
40,398,3,190,[],[],8509,"",[70],[-40],0,"",[7429],0,"","","on_start_ShieldCharge = \""TriggerSkill( MetamorphCloneStampede, TargetLocation );\""",[],1762,0,0,[],0,0,[],[],[],[],[],""
41,406,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],1292,0,0,[],0,0,[],[],[],[],[],""
42,406,1,339,[1234],[20],6442,"",[],[],0,"",[7381],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],288,0,0,[],30,0,[],[],[],[],[],""
43,406,2,190,[],[],8508,"",[70],[-20],0,"","[5875,5887]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],1762,0,0,[],0,0,[],[],[],[],[],""
44,406,3,190,[],[],8509,"",[70],[-40],0,"",[7429],0,"","","on_start_ShieldCharge = \""TriggerSkill( MetamorphCloneStampede, TargetLocation );\""",[],1762,0,0,[],0,0,[],[],[],[],[],""
45,1015,0,339,[],[],8515,"",[],[],0,"",[],5,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
46,1016,0,339,[],[],8515,"",[],[],0,"",[],5,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
47,1017,0,339,[],[],8515,"",[],[],0,"",[],5,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
48,930,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
49,930,1,8244,[],[],8444,"",[434],[100],0,"",[],0,"","","",[],2128,0,0,[],10,0,[],[],[],[],[],""
50,930,2,8244,[],[],8446,"","[434,70]","[100,-30]",0,"",[859],0,"","","on_event_contact_for_GeometryAttack = \""TriggerSkill( MetamorphFreezingPulseNova, Ahead );\""",[],2398,0,0,[],0,0,[],[],[],[],[],""
51,411,0,345,[],[],8515,"",[],[],0,"",[],0,"","","",[3570],1292,0,0,[],0,0,[],[],[],[],[],""
52,411,3,8243,[],[],8609,114,[],[],0,5917,[],0,"","","",[3570],2462,0,95,[],0,0,[],[],[],[],[],""
53,411,4,8243,[],[],8506,23,[],[],0,"",[4771],0,"","","on_event_contact_for_GeometryTrigger = \""TriggerSkill( MetamorphosisCastCausticGround, Self );\""",[3570],2718,0,67,[],0,0,[],[],[],[],[],""
54,772,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
55,476,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
56,793,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
57,947,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
58,947,1,8244,[],[],8444,"",[434],[100],0,"",[],0,"","","",[],2128,0,0,[],0,0,[],[],[],[],[],""
59,947,2,8244,[],[],8446,"","[434,70]","[100,-30]",0,"",[859],0,"","","on_event_contact_for_GeometryAttack = \""TriggerSkill( MetamorphFreezingPulseNova, Ahead );\""",[],2398,0,0,[],0,0,[],[],[],[],[],""
60,947,3,7880,[],[],8610,20,[],[],0,"",[],0,"","","",[],2812,0,96,[],-40,0,[],[],[],[],[],""
61,947,4,7880,[],[],8500,20,[318],[50],0,7881,[4772],0,"","","",[],2878,0,98,[],0,0,[],[],[],[],[],""
62,584,0,339,[],[],8515,"",[],[],0,"",[],6,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
63,584,2,339,[],[],8547,114,[],[],0,7382,[],0,"","","",[],2904,0,99,[],0,0,[],[],[],[],[],""
64,466,0,345,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],20,0,[],[],[],[],[],""
65,466,1,5880,[],[],8611,"",[],[],0,5918,[],0,"","","",[],2934,0,97,[],0,0,[],[],[],[],[],""
66,466,3,8256,[],[],8504,22,[],[],0,"",[],0,"","","",[],2956,0,65,[],0,0,[],[],[],[],[],""
67,466,4,2774,[],[],8500,23,[],[],0,3024,[],0,"","","",[],2972,0,98,[],30,0,[],[],[],[],[],""
68,589,0,339,[],[],8515,"",[],[],0,"",[],6,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
69,589,2,339,[],[],8547,114,[],[],0,7382,[],0,"","","",[],2904,0,99,[],70,0,[],[],[],[],[],""
70,500,0,339,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
71,500,1,339,[],[],8479,1,[],[],0,1544,[],0,"","","",[],3018,0,56,[],0,0,[],[],[],[],[],""
72,500,3,339,[],[],8483,1,[1215],[200],0,1544,[],0,"","","",[],3070,0,52,[],0,0,[],[],[],[],[],""
73,2428,0,339,[],[],8515,"",[],[],0,"",[],2,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
74,2428,1,642,[],[],8471,40,[173],[4],0,"",[],2,"","","",[],542,0,49,[],70,0,[],[],[],[],[],""
75,2391,0,339,[],[],8515,"",[],[],0,"",[],2,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
76,2391,1,642,[],[],8471,40,[173],[4],0,"",[],2,"","","",[],542,0,49,[],70,0,[],[],[],[],[],""
77,2454,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
78,2454,2,1970,[],[],8501,21,"[175,6184,195]","[50,12,1]",0,"",[],0,"","","",[],1040,0,62,[],40,0,[],[],[],[],[],""
79,203,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
80,203,1,661,[],[],8507,14,[],[],0,"",[],0,"","","",[],3198,0,0,[],0,0,[],[],[],[],[],""
81,203,4,661,[],[],8510,14,[],[],0,"","[8572,5927]",0,"","","on_event_hit_ground_for_LeapSlam = \""TriggerSkill( MetamorphGeometryEarthquake );\""",[],3418,0,0,[],0,0,[],[],[],[],[],""
82,1377,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],1292,0,0,[],0,0,[],[],[],[],[],""
83,1377,2,2217,[],[],8477,"",[],[],0,"",[],0,"","","",[],3452,0,51,[],0,0,[],[],[],[],[],""
84,870,1,770,[],[],8472,20,[214],[2],0,"",[],0,"","","",[],3496,0,49,[],0,0,[],[],[],[],[],""
85,870,2,770,[],[],8473,20,"[1783,2128,2129,2130,1795]","[1,30,1000,360,50]",0,"",[],0,"","","",[],3610,0,49,[],0,0,[],[],[],[],[],""
86,870,3,883,[],[],8506,"",[],[],0,7530,[],0,"","","",[],3634,0,67,[],0,0,[],[],[],[],[],""
87,870,4,883,[],[],8575,"",[357],[1500],0,8252,[],0,"","","",[],3696,0,122,[],0,0,[],[],[],[],[],""
88,244,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
89,244,1,3,[],[],8452,20,[173],[4],0,"",[],0,"","","",[],3738,0,0,[],0,0,[],[],[],[],[],""
90,244,2,1319,[],[],8505,"",[],[],0,"",[],0,"","","",[],3758,0,66,[],0,0,[],[],[],[],[],""
91,244,3,3,[],[],8576,20,[],[],0,"",[],0,"","","",[],3786,0,123,[],0,0,[],[],[],[],[],""
92,507,0,339,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
93,507,1,1691,[],[],8453,"","[195,173]","[1,2]",0,"",[],0,"","","",[],3850,0,0,[],20,0,[],[],[],[],[],""
94,4922,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],-20,0,[],[],[],[],[],""
95,4922,3,3604,[],[],8509,"",[],[],0,"",[8618],0,"","","on_event_metamortar_for_VollCharge = \""TriggerSkill( MetamorphosisMortar );\""",[],1762,0,0,[],80,0,"[1,10]","[6880,2513]",[],[],[],""
96,4923,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],-20,0,[],[],[],[],[],""
97,4923,3,339,[],[],8509,"",[],[],0,3604,[8618],0,"","","on_event_metamortar_for_VollCharge = \""TriggerSkill( MetamorphosisMortar );\""",[],1762,0,0,[],80,0,"[1,10]","[6880,2513]",[],[],[],""
98,497,2,1285,[],[],8481,1,[6855],[50],0,"",[],0,"","","",[],4154,0,56,[],-40,0,[],[],[],[],[],""
99,497,4,1276,[],[],8521,53,[],[],0,"",[],0,"","","",[],4192,0,71,[],-80,0,[],[],[],[],[],""
100,241,1,3148,[],[],8444,"",[],[],0,"",[],0,"","","",[],4226,0,0,[],0,0,[],[],[],[],[],""
101,241,2,697,[],[],8467,"",[6375],[30],0,"",[4747],0,"","","on_event_hit_ground_for_LeapSlam = \""TriggerSkill( TheFaunCastGroundEffectLavaTemporary ); KillGroundEffectsOfType( Fire, 2, 3.0 );\""",[],4558,0,0,[],0,0,[],[],[],[],[],""
102,241,3,8258,[],[],8455,"",[434],[100],0,"",[],0,"","","",[],4596,0,0,[],0,0,[],[],[],[],[],""
103,382,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
104,382,2,1822,[],[],8498,"",[],[],0,1085,[],0,"","","",[],4630,0,58,[],0,0,[],[],[],[],[],""
105,382,3,1822,[],[],8610,20,[173],[2],0,8563,[],0,"","","",[],4682,0,96,[],-65,0,[],[],[],[],[],""
106,495,0,345,[],[],8515,"",[],[],0,"",[],0,"","","",[5415],12,0,0,[],0,0,[],[],[],[],[],""
107,495,1,833,[],[],8444,"",[],[],0,"",[],0,"","","",[5415],4750,0,0,[],40,0,[],[],[],[],[],""
108,495,4,5232,[],[],8465,"",[173],[2],0,"",[],0,"","on_event_metafx_for_ThrownShieldProjectile = \""PlayEffect( ColdSurge1 );\""","",[5415],4962,0,0,[],0,0,"[100,3000,100]","[2400,357,434]",[],[],[2409],""
109,511,0,339,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
110,511,1,1624,[],[],8453,1,[173],[4],0,"",[],0,"","","",[],5096,0,0,[],50,0,[],[],[],[],[],""
111,588,0,338,[],[],8515,"",[],[],0,"",[],6,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
112,588,2,338,[],[],8547,114,[],[],0,7382,[],0,"","","",[],2904,0,99,[],70,0,[],[],[],[],[],""
113,1070,0,339,[],[],8515,"",[],[],0,"",[],1,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
114,1070,3,339,[],[],8459,114,[1215],[-50],0,8568,[8553],0,"","on_start_EmptyActionSpell = \""PlayEffect( MetamorphosisSkillSurgeMedium );\""","on_event_contact_for_EmptyActionSpell = \""TriggerSkill( MetamorphosisTriggerCircleGS2 );\""",[],5498,0,0,[],50,50,[100],[434],[],[],[3741],""
115,1071,0,339,[],[],8515,"",[],[],0,"",[],1,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
116,1071,3,339,[],[],8459,114,[1215],[-50],0,8568,[8553],0,"","on_start_EmptyActionSpell = \""PlayEffect( MetamorphosisSkillSurgeMedium );\""","on_event_contact_for_EmptyActionSpell = \""TriggerSkill( MetamorphosisTriggerCircleGS2 );\""",[],5498,0,0,[],50,50,[100],[434],[],[],[3741],""
117,1072,0,339,[],[],8515,"",[],[],0,"",[],1,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
118,1072,3,339,[],[],8459,114,[1215],[-50],0,8568,[8553],0,"","on_start_EmptyActionSpell = \""PlayEffect( MetamorphosisSkillSurgeMedium );\""","on_event_contact_for_EmptyActionSpell = \""TriggerSkill( MetamorphosisTriggerCircleGS2 );\""",[],5498,0,0,[],50,50,[100],[434],[],[],[3741],""
119,139,1,2002,[],[],8453,"",[],[],0,"",[],0,"","","",[],5688,0,0,[],0,0,[],[],[],[],[],""
120,139,2,3273,[],[],8517,"",[],[],0,"",[],0,"","","",[],5700,0,0,[],-50,0,[],[],[],[],[],""
121,139,3,7346,[],[],8518,51,[],[],0,"",[],0,"","","",[],5724,0,0,[],-10,0,[],[],[],[],[],""
122,139,4,3243,"[434,1215]","[50,50]",8521,13,[434],[-40],0,"",[],0,"","","",[],5808,0,71,[],0,0,[],[],[],[],[],""
123,385,0,345,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
124,385,3,2930,[],[],8498,"",[],[],0,2931,[],0,"","","",[],5836,0,58,[],0,0,[],[],[],[],[],""
125,385,4,2930,[],[],8512,"",[],[],0,3421,[],0,"","","",[],5866,0,0,[],0,0,[],[],[],[],[],""
126,389,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
127,389,2,1822,[],[],8498,"",[],[],0,1085,[],0,"","","",[],4630,0,58,[],0,0,[],[],[],[],[],""
128,389,3,976,[],[],8511,"",[1215],[-50],0,"",[8544],0,"","","on_event_contact_for_Enfeeble = \""TriggerSkill( MetamorphosisSummonMetaVolatiles, TargetLocation );\""",[],6130,0,0,[],0,0,"[5,3,0]","[887,2163,4793]",[],[],[],""
129,515,0,339,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
130,515,1,1608,[],[],8453,1,"[173,3832,1927]","[4,1,-33]",0,"",[],0,"","","",[],6294,0,0,[],20,0,[],[],[],[],[],""
131,539,0,733,[],[],8472,20,[173],[4],0,"",[],0,"","","",[],6346,0,49,[],50,0,[],[],[],[],[],""
132,539,1,733,[],[],8524,20,"[455,175,1795]","[25,-25,40]",0,"",[],0,"","on_event_metafx_for_GeometryTrigger = \""PlayEffect( ColdSurge1 );\""","",[],6570,0,124,[],40,0,[],[],[],[],[2409],""
133,539,4,733,[],[],8465,114,[1215],[-75],0,8568,[3620],0,"","on_event_metafx_for_EmptyActionSpell = \""PlayEffect( ColdSurge1 );\"" on_event_contact_for_EmptyActionSpell = \""PlayEffect( ColdSurge1 );\""","on_event_contact_for_EmptyActionSpell = \""TriggerSkill( BloodlinesBearerColdBeacon );\""",[],7094,0,0,[],0,0,"[3000,-25,50]","[357,434,2489]",[],[],[2409],""
134,571,0,739,[],[],8472,20,[173],[4],0,"",[],0,"","","",[],7216,0,49,[],50,0,[],[],[],[],[],""
135,571,2,739,[],[],8454,20,"[1783,2128,2129,2130,175,659,1795]","[1,15,500,120,100,33,50]",0,"",[],0,"","on_event_metafx_for_SkeletonProjectileLightning = \""PlayEffect( LightningSurge1 );\""","",[],7566,0,0,[],-20,0,"[3000,-75,60]",[],[],[],[2410],""
136,571,4,739,[],[],8464,114,[1215],[-75],0,8568,[3623],0,"","on_event_metafx_for_EmptyActionSpell = \""PlayEffect( LightningSurge1 );\"" on_event_contact_for_EmptyActionSpell = \""PlayEffect( LightningSurge1 );\""","on_event_contact_for_EmptyActionSpell = \""TriggerSkill( BloodlinesBearerLightningBeacon );\""",[],8130,0,0,[],0,0,"[3000,-25,60]","[357,434,2489]",[],[],[2410],""
137,605,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[11759],12,0,0,[],0,0,[],[],[],[],[],""
138,217,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
139,217,1,661,[],[],8507,"",[],[],0,"",[],0,"","","",[],3198,0,0,[],0,0,[],[],[],[],[],""
140,255,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
141,255,1,746,[],[],8496,"",[],[],0,"",[],0,"","","",[],3610,0,57,[],50,0,[],[],[],[],[],""
142,255,2,864,[],[],8505,"","[434,1853,357]","[50,1,4000]",0,"",[],0,"","","",[],8320,0,66,[],50,0,[],[],[],[],[],""
143,261,0,346,[],[],8515,"",[],[],0,"",[],0,"","","",[],1066,0,0,[],0,0,[],[],[],[],[],""
144,261,3,1321,[],[],8463,"",[195],[1],0,"",[],0,"","","",[],3758,0,0,[],0,0,[],[],[],[],[],""
145,261,4,3112,[214],[2],8465,"","[865,1215]","[5000,-66]",0,"",[],0,"","","",[],8422,0,0,[],0,0,[],[],[],[],[],""
146,319,0,345,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
147,319,1,5222,[],[],8516,"",[611],[100],0,"",[],0,"","","",[],8474,0,0,[],0,0,[],[],[],[],[],""
148,319,4,8263,[],[],8464,"",[],[],0,"",[],0,"","on_event_metafx_for_CastGroundEffect = \""PlayEffect( FlameSurge3 );\""","",[],8638,0,0,[],33,0,[],[],[],[],[2396],""
149,301,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
150,301,3,339,[],[],8537,24,"[1927,10911]","[-50,-15]",0,8618,[],0,"","","",[],8726,0,82,[],50,0,[],[],[],[],[],""
151,149,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
152,149,1,338,[],[],8479,114,[],[],0,8562,[],0,"","on_start_GeometryTrigger = \""PlayEffect( MetamorphosisSkillSurgeFast );\""","",[],8902,0,56,[],-20,0,[],[],[],[],[3742],""
153,407,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],1292,0,0,[],0,0,[],[],[],[],[],""
154,407,1,339,[1234],[20],6442,"",[],[],0,"",[7381],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],288,0,0,[],30,0,[],[],[],[],[],""
155,407,2,190,[],[],8508,"",[70],[-20],0,"","[5875,5887]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],1762,0,0,[],0,0,[],[],[],[],[],""
156,407,3,190,[],[],8509,"",[70],[-40],0,"",[7428],0,"","","on_start_ShieldCharge = \""TriggerSkill( MetamorphRhoaStampede );\""",[],1762,0,0,[],0,0,[],[],[],[],[],""
157,490,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[8207],12,0,0,[],0,0,[],[],[],[],[],""
158,490,1,2432,[],[],8453,"",[173],[4],0,"",[],0,"","","",[8207],9244,0,0,[],30,0,[],[],[],[],[],""
159,490,4,2738,[],[],8532,"","[357,617]","[4000,-33]",0,"",[],0,"","","",[8207],9334,0,78,[],0,0,[],[],[],[],[],""
160,784,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
161,921,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
162,921,3,525,[],[],8499,"",[434],[50],0,"",[],0,"","","",[],9382,0,58,[],50,0,[],[],[],[],[],""
163,921,4,525,[],[],8541,114,"[887,2163,4793]","[12,1,0]",0,8544,[8553],0,"","on_event_metafx_for_GeometryTrigger = \""PlayEffect( ColdSurge1 );\""","on_event_contact_for_GeometryTrigger = \""TriggerSkill( MetamorphosisTriggerCircleGS2 );\""",[],9664,0,129,[],0,-66,[200],[3903],[],[],[2409],""
164,161,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
165,161,2,1294,[],[],8446,"","[214,70,634]","[2,160,-50]",0,"",[],0,"","","",[],9790,0,0,[],60,0,[],[],[],[],[],""
166,475,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[3754],12,0,0,[],0,0,[],[],[],[],[],""
167,475,4,339,[],[],8512,"",[1215],[-50],0,3421,[],0,"","","",[3754],5866,0,0,[],0,0,[],[],[],[],[],""
168,773,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
169,918,1,8244,[],[],8514,"",[434],[100],0,"",[],0,"","","",[4315],2128,0,68,[],0,0,[],[],[],[],[],""
170,918,2,80,[],[],8527,"",[434],[50],0,81,[],0,"","","",[4315],9934,0,74,[],0,0,[],[],[],[],[],""
171,918,3,8265,[],[],8529,"",[],[],0,"",[],0,"","","",[4315],9974,0,76,[],0,0,[],[],[],[],[],""
172,918,4,5139,[],[],8528,"","[434,357]","[300,10000]",0,"",[],0,"","","",[4315],10070,0,75,[],0,0,[],[],[],[],[],""
173,937,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
174,937,2,80,[],[],8527,"",[434],[50],0,81,[],0,"","","",[],9934,0,74,[],0,0,[],[],[],[],[],""
175,937,3,80,[],[],8518,"","[434,70]","[200,-50]",0,8244,[859],0,"","on_event_metafx_for_GeometryAttack = \""PlayEffect( ColdSurge1 );\""","on_event_contact_for_GeometryAttack = \""TriggerSkill( MetamorphFreezingPulseNova, Ahead );\""",[],10296,0,0,[],0,0,"[30,3,100]","[2130,2128,2129]",[],[],[2409],""
176,164,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
177,166,0,338,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
178,166,2,1608,[],[],8481,1,"[173,8453]","[4,50]",0,"",[],0,"","on_start_GeometryTrigger = \""PlayEffect( MetamorphosisSkillSurgeFast );\""","",[],10442,0,56,[],-33,0,[],[],[],[],[3742],""
179,441,0,488,[10607],[1],8452,"",[],[],0,481,[],0,"","","",[],10512,0,0,[],0,0,[],[],[],[],[],""
180,441,1,488,[10607],[1],8479,1,[],[],0,481,[],4,"","","",[],10512,0,56,[],0,0,[],[],[],[],[],""
