"rownum","Id","PanelImage","HeaderImage","Screenshots","Description","League","bool","ItemImages","HoverImages","TrailerVideoLink","BackgroundImage","bool","bool"
10,"Delve11","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading11",[],"We're also launching two sets of Supporter Packs alongside Delve - the Shadowstalker and Dreadforge Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions!","Delve","",[],[],"","",1,""
11,"Betrayal1","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading1",[],"In Path of Exile: Betrayal, Jun Ortoi is investigating a mysterious organisation known as the Immortal Syndicate. Help her to manipulate their ranks, reveal the identities of their members, uncover their safehouses and take down their mastermind.","Betrayal","",[],[],"","","",""
12,"Betrayal2","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2/Screenshot3""]","The Immortal Syndicate has four divisions, each with its own goals: Fortification, Transportation, Research and Intervention. In each area, you will encounter a Syndicate member. Other members can show up to aid their friends or sabotage their enemies. When the battle is complete, you must decide how to continue your investigation.","Betrayal",1,[],[],"","","",""
13,"Betrayal3","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading3",[],"There are eighteen Syndicate members, each with their own personalities, friendships and rivalries that change as you manipulate the organisation. You will need to bargain, execute, interrogate and even induce them to betray each other in order to further the investigation.","Betrayal","",[],[],"","","",""
14,"Betrayal4","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4/Screenshot3""]","Your goal is to gain intelligence leading to the captains of each division. Raid their safehouses to pillage their supplies and uncover the ultimate identity of the Immortal Syndicate's mastermind.\n\nEach Syndicate member stores different item types in the safehouse. High-ranked members will have better items. Each division has a different twist on item rewards. Manipulate the Syndicate, maneuvering certain members into positions that are going to be the most rewarding for you","Betrayal",1,[],[],"","","",""
15,"Betrayal5","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading5",[],"Members of the Immortal Syndicate can drop items with new Veiled Modifiers. Take these to Jun to Unveil the item and pick from one of three properties for the item to receive. As you Unveil specific modifiers, you learn the ability to craft these onto other items and can work towards unlocking higher-level versions of these properties.","Betrayal","","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/SoulHunger"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/HonourCarapace"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/EagleRefuge"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/CorruptionCord"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/AgonyTread""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/SoulHungerHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/HonourCarapaceHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/EagleRefugeHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/CorruptionCordHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/AgonyTreadHOVER""]","","","",""
16,"Betrayal6","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading6","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6/Screenshot3""]","As the Immortal Syndicate ascended in power, the old cohort of Forsaken Masters mysteriously vanished. In their absence, Einhar, Alva, Niko, Jun and Zana have risen as a new group of Masters to aid you. Their league content, including Delve and Incursion, has been added as core Path of Exile content. Bestiary has been reimagined and simplified; Einhar will handle the nets as you focus on hunting the beasts.","Betrayal",1,[],[],"","","",""
17,"Betrayal7","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading7",[],"We have revamped the entire process of Mastercrafting, from the user interface to the way you acquire new crafting options. Individual Mastercrafting options are now unlocked by completing specific content, such as Incursion rooms or Delve encounters, rather than by grinding Master levels.","Betrayal","",[],[],"","","",""
18,"Betrayal8","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading8","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8/Screenshot3""]","Hideouts, favour and decorations are now shared across all leagues. You can load and save your hideout templates and share them with other community members.","Betrayal",1,[],[],"","","",""
19,"Betrayal9","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading9","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel9/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel9/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel9/Screenshot3""]","We have added four new maps to the Atlas of Worlds. These new maps are fleshed-out versions of fan-favourite tilesets from deep in Delve's Azurite Mine. The entire Atlas of Worlds has been rearranged.","Betrayal","","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/ChannelMap"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/FleetFungalHollowMapofInsulation"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/CyclopeanZiggurat"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/ProfaneCramp""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/ChannelMapHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/FungalHollowMapHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/CyclopeanZigguratHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/ProfaneCrampHOVER""]","","","",""
20,"Betrayal10","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading10","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel10/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel10/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel10/Screenshot3"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel10/Screenshot4"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel10/Screenshot5"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel10/Screenshot6""]","Alongside other balance improvements, Betrayal introduces ten new or revamped skills across three core character archetypes. These include several completely new types of skills, such as Brands and Banners.","Betrayal",1,[],[],"","","",""
21,"Betrayal11","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel12",[],"Many of the 15 new unique items in Betrayal have Veiled mods, allowing you to customise the item more than ever before. Betrayal also includes five new Divination Cards, designed by our supporters.","Betrayal","","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/TheCrimsonStorm"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/Vivinsect"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/SolsticeVigil""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/TheCrimsonStormHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/VivinsectHOVER"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/items/SolsticeVigilHOVER""]","","",1,""
22,"Synthesis1","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading1",[],"In Path of Exile: Synthesis, you will encounter Cavas, recover his lost memories and chain them together to reach valuable rewards, new boss fights and crafting opportunities.\n\nOur March expansion contains the Synthesis challenge league, new items, new gems, a complete rebalance of spells throughout Path of Exile, an integrated version of the Betrayal league and much, much more.","Synthesis","",[],[],"","","",""
23,"Synthesis2","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel2/Screenshot3""]","To help Cavas remember his past, you will find fragments of his decaying memories throughout Wraeclast. Fight your way through the monsters that inhabit his memories in order to activate stabilisers before the memories collapse around you.","Synthesis",1,[],[],"","","",""
24,"Synthesis3","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel3/Screenshot3""]","Stabilised memory fragments can be pieced together to navigate the void in Cavas' mind and reach his distant memories. But beware, these fragments can only be explored a limited number of times before they collapse completely, so plan your path carefully.","Synthesis","",[],[],"","","",""
25,"Synthesis4","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel4/Screenshot3""]","Within Cavas' distant memories are many types of valuable rewards. As you progress deeper within the recesses of his darkest memories, his mind starts to synthesise encounters with dangerous and twisted manifestations.","Synthesis",1,[],[],"","","",""
26,"Synthesis5","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading5",[],"Decaying memories yield Fractured Items with broken mods that are locked in place. While these are not generally useful as-is, you'll find occasional Fractured Items that have excellent locked mods, resulting in much easier crafting.","Synthesis","","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HarbingerBow"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HarbingerBow"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HubrisCirclet"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HubrisCirclet""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HarbingerBowHover1"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HarbingerBowHover2"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HubrisCircletHover1"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/HubrisCircletHover2""]","","","",""
27,"Synthesis6","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading6",[],"In the Memory Nexus lies the Synthesiser, a powerful device that lets you destroy Fractured Items to create base types with custom implicit mods. These implicit mods are somewhat controllable by careful choice of input items to consume.","Synthesis",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/SaphireRing"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/MagistrateCrown"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/StealthBoots""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/SaphireRingHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/MagistrateCrownHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/StealthBootsHover""]","","","",""
28,"Synthesis7","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading7","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel7/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel7/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel7/Screenshot3""]","Synthesis also contains a complete balance overhaul of all spells in Path of Exile, six new Chaos and Holy spells and significant incentives for hand-casting including several new support gems.","Synthesis","",[],[],"","","",""
29,"Synthesis8","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading8","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel8/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel8/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel8/Screenshot3"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel8/Screenshot4"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel8/Screenshot5"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel8/Screenshot6""]","The new Holy Spellcaster archetype features Path of Exile's first Holy spells, including Divine Ire, Purifying Flame and Wave of Conviction. The Chaos Spellcaster archetype not only provides an easier introduction to Chaos spells with Soulrend, but adds many new tools to Path of Exile's existing arsenal of Chaos spells.","Synthesis",1,[],[],"","","",""
30,"Synthesis9","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading9",[],"In addition to Fractured Items, Synthesised Items and over a dozen new Divination Cards designed by our supporters, Path of Exile: Synthesis contains 16 powerful new unique items with a focus on impacting the way players play Path of Exile.","Synthesis","","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/AssasinsMitts"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/VoidSceptre"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/SulphurFlask"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/TheMadKing"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/ArroganceOfTheVaal"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/TheSeeker""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/AssasinsMittsHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/VoidSceptreHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/SulphurFlaskHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/TheMadKingHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/ArroganceOfTheVaalHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/items/TheSeekerHover""]","","","",""
31,"Synthesis10","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading10",[],"Synthesis also includes many other improvements: The content from December's Betrayal expansion has been integrated into the core game, the layout of the Atlas of Worlds has shifted once again, and a lot of Path of Exile's music has been overhauled. Check out the full patch notes in early March for more information!","Synthesis",1,[],[],"","","",""
32,"Synthesis11","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Synthesis/Heading11",[],"We're also launching two sets of Supporter Packs alongside Synthesis - the Sunspire and Doomguard Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions including new Hideouts!\n\nPath of Exile: Synthesis will launch on March 8th (PST) on PC, March 11 on Xbox One and mid-March on PlayStation 4.","Synthesis","",[],[],"","",1,""
33,"Legion1","Art/2DArt/UIImages/Login/LeagueInfo/Legion/TrailerThumbnail","",[],"","Legion","",[],[],"http://web.poecdn.com/public/videos/LegionTrailer_EN.bk2","","",""
34,"Legion2","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading1",[],"Trapped for thousands of years in the Domain of Timeless Conflict, the mightiest military leaders of Wraeclast's history have been fighting an eternal war. In Path of Exile: Legion, you will free their legions from the endless battle and defeat them in combat to earn their valuable rewards.\n\nPath of Exile's June expansion contains the Legion challenge league, new items, new gems, a game-wide overhaul of melee combat, and much, much more.","Legion","",[],[],"","","",""
35,"Legion3","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel2/Screenshot3""]","As you explore Wraeclast in the Legion league, you'll discover Monoliths. Tag these to reveal an ancient conflict between multiple Legions, frozen in time. Untether monsters by dealing damage to them, but be prepared to fight those monsters when the effect of the Monolith wears off. As certain monsters are powerful and drop valuable items, Legion grants you full control over risk and reward.","Legion",1,[],[],"","","",""
