"rownum","i32","[rid]","i32","i32","i32","i32","i32","bool","i32","bool","bool","[rid]","i32","i32","i32","i32","i32","bool","bool","i32","bool","i32","i32","bool","bool","bool","i32","bool","bool","i32","row"
19,20,[3507],0,0,360,0,4,1,0,1,"",[],4,11,4,0,0,"","",7,"",110,0,"","","",0,"","",13,13
20,21,[3506],0,0,376,0,2,1,0,"","",[],1,0,2,0,0,"","",7,"",27,0,1,"","",0,"","",13,13
21,22,[3530],0,0,392,0,3,1,0,1,"",[],3,0,4,0,0,1,"",7,"",111,0,"","","",0,"","",13,13
22,23,[3541],0,0,408,0,3,1,0,1,"",[],1,0,2,0,0,1,"",7,"",18,0,"","","",5500,"","",13,13
23,24,[3667],0,0,424,0,4,1,0,1,"",[],1,0,4,0,0,1,"",7,"",14,0,"","","",0,"","",13,13
24,25,"[3713,3714,3715]",0,0,472,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",55,0,"","","",0,"","",13,13
25,26,"[3717,3718,3719]",0,0,520,0,4,1,0,"","",[],1,0,2,0,0,"","",7,"",40,0,"","","",0,"","",13,13
26,27,[3817],0,0,536,0,4,1,0,1,"",[],1,0,2,0,0,1,"",7,"",27,0,"","","",5500,"","",13,13
27,28,[3855],0,0,552,0,3,1,0,1,"",[],3,0,2,0,0,1,"",7,"",60,0,"","",1,0,"","",13,13
28,29,[3827],0,0,568,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,"",11,0,"","","",0,"","",13,13
29,30,[4132],0,0,584,0,2,1,0,1,"",[],3,0,2,0,0,"","",7,"",23,0,"","",1,0,"",1,13,13
30,31,[4309],0,0,600,0,3,1,0,1,1,[],3,0,4,-10,0,"","",7,"",30,0,"","",1,0,"",1,13,13
31,32,[4200],0,0,616,0,3,1,0,1,"",[],3,0,4,10,0,"","",7,"",30,0,"","",1,0,"",1,13,13
32,33,[4300],0,0,632,0,2,1,0,1,"",[],1,0,7,0,0,"","",7,"",12,0,1,"","",0,"",1,13,13
33,34,[4342],0,0,648,0,4,1,0,"","",[],1,0,5,0,0,"","",7,"",37,0,"","","",0,"","",13,13
34,35,[4772],0,0,664,0,2,1,0,1,"",[],1,0,7,0,0,"","",7,"",12,0,1,"","",0,"",1,13,13
35,36,[4758],0,0,680,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,"",28,0,"","",1,0,"",1,13,13
36,37,[4799],0,0,696,0,4,1,0,"","",[],1,0,2,0,0,"","",7,"",20,0,"","","",0,"",1,13,13
37,38,[4879],0,0,712,0,3,1,0,1,"",[],1,0,7,0,0,1,"",7,"",20,0,"","","",0,"",1,13,13
38,39,[4941],0,0,728,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,13,13
39,40,[5030],0,0,744,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,13,13
40,41,[5031],0,0,760,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,13,13
41,42,[4994],0,0,776,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",20,0,"","",1,0,"",1,13,13
42,43,[4995],0,0,792,0,4,1,0,1,"",[],1,0,7,0,0,"","",7,"",12,0,"","",1,0,"",1,13,13
43,44,[5123],0,0,808,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,1,15,0,"","","",0,"",1,13,13
44,45,[5160],0,0,824,0,2,1,0,"","",[],1,0,4,180,0,"","",7,1,85,0,"","",1,0,1,1,13,13
45,46,[5158],0,0,840,0,3,1,0,"","",[],4,0,2,0,0,"","",7,"",35,0,"","",1,0,1,1,13,13
46,47,[5103],0,0,856,0,3,1,0,1,"",[],3,0,4,0,0,1,"",7,1,161,0,"","",1,0,1,1,13,13
47,48,[5352],0,0,872,0,4,1,0,1,"",[],3,0,13,0,0,"","",7,"",130,0,"","","",0,"",1,4,11
48,49,[5559],0,0,888,0,4,1,0,"","",[],1,0,2,0,0,"","",7,1,18,0,"","","",0,"","",13,13
49,50,[5568],0,0,904,0,4,1,0,1,"",[],3,0,2,0,0,"","",7,"",27,-20,"","",1,0,"",1,13,13
50,51,[5596],0,0,920,0,4,1,0,1,"",[],3,0,2,0,0,"","",7,"",27,-20,"","",1,0,"",1,13,13
51,52,[5709],0,0,936,0,4,1,0,"","",[],1,0,2,0,0,"","",7,1,75,0,"","","",0,"","",13,13
52,53,[5732],0,0,952,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,"",12,0,1,"","",0,1,1,13,13
53,54,[5735],0,0,968,0,4,1,0,1,"",[],1,0,7,0,0,1,"",7,"",36,0,1,"","",0,1,1,13,13
