"rownum","Id","[i32]","Size","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32"
33,"DaisyChain6_Split4",[],3,90,"[30,30,30]","[40,40,40]",[0],"[0,6000,6000]","[200,16000,16000]","[3,3,2]",3
34,"DaisyChain7",[35],1,360,[40],[80],[0],[0],[200],[],32
35,"DaisyChain7_Split1",[36],2,90,"[40,30]","[80,60]",[0],[26000],[36000],[2],32
36,"DaisyChain7_Split2",[37],2,90,"[40,30]","[80,60]",[0],[26000],[36000],[2],16
37,"DaisyChain7_Split3",[38],2,90,"[40,30]","[80,60]",[0],[16000],[26000],[2],8
38,"DaisyChain7_Split4",[],4,90,"[30,30,30,30]","[40,40,40,40]",[0],"[0,6000,6000,0]","[200,16000,16000,200]","[3,3,2,3]",4
39,"DaisyChain8",[40],2,360,[40],[80],[0],[0],[200],[],80
40,"DaisyChain8_Split1",[41],2,90,"[40,30]","[80,60]",[0],[26000],[36000],[2],40
41,"DaisyChain8_Split2",[42],2,90,"[40,30]","[80,60]",[0],[26000],[36000],[2],20
42,"DaisyChain8_Split3",[43],2,90,"[40,30]","[80,60]",[0],[16000],[26000],[2],10
43,"DaisyChain8_Split4",[],5,90,"[30,30,30,30,30]","[40,40,40,40,40]",[0],"[0,6000,6000,0,6000]","[200,16000,16000,200,16000]","[3,3,2,3,2]",5
44,"Bilinear1",[],2,360,[80],[120],[0],[0],[200],[2],2
45,"Bilinear1_2",[],2,360,[80],[120],[0],[0],[200],[2],2
46,"Bilinear1_3",[],2,360,[80],[120],[0],[0],[200],[3],2
47,"Bilinear1_4",[],2,360,[80],[120],[0],[0],[200],[3],2
48,"BilinearAsymmetric2_1",[49],2,360,[80],[120],[0],[0],[200],[2],4
49,"BilinearAsymmetric2_1Split",[],2,120,[40],[70],[0],[0],[200],[2],2
50,"BilinearSymmetric2_2","[51,0]",2,360,[80],[120],[0],[0],[200],[2],8
51,"BilinearSymmetric2_2Split",[],2,120,[40],[70],[0],[0],[200],[2],2
52,"BilinearAsymmetric3_1",[53],2,360,[80],[120],[0],[0],[200],[2],6
53,"BilinearAsymmetric3_1Split",[],3,120,[40],[70],[0],[0],[200],[2],3
54,"BilinearAsymmetric3_2","[55,0]",2,360,[80],[120],[0],[0],[200],[2],10
55,"BilinearAsymmetric3_2Split",[],3,120,[40],[70],[0],[0],[200],[2],3
56,"BilinearAsymmetric3_2Split2",[],2,120,[40],[70],[0],[0],[200],[2],2
57,"BilinearSymmetric3_3","[58,0]",2,360,[80],[120],[0],[0],[200],[2],12
58,"BilinearSymmetric3_3Split",[],3,120,[40],[70],[0],[0],[200],[2],3
59,"Trilinear1_2",[],3,360,[75],[125],[0],[0],[200],[2],3
60,"Trilinear1_2_DelayWaves",[],3,360,[75],[125],[0],"[0,6000,16000]","[200,16000,26000]","[3,3,3]",3
61,"AnatomyShape1_1Leg",[62],1,360,[40],[60],[0],[0],[200],[],3
62,"AnatomyShape1_1Leg_ArmsSplit",[63],3,180,"[60,40]","[80,60]",[0],"[0,6000,16000]","[200,16000,26000]",[2],3
63,"AnatomyShape1_1Leg_LegsSplit",[],1,90,[40],[60],[0],[0],[200],[2],1
64,"AnatomyShape1_1Arm",[65],1,360,[40],[60],[0],[0],[200],[],4
65,"AnatomyShape1_1Arm_ArmsSplit",[66],2,180,"[60,40]","[80,60]",[0],[0],[200],[2],4
66,"AnatomyShape1_1Arm_LegsSplit",[],2,90,[40],[60],[0],"[0,6000,6000]","[200,16000,16000]",[2],2
67,"AnatomyShape_Full",[68],1,360,[40],[60],[0],[0],[200],[],6
68,"AnatomyShape_Full_ArmsSplit",[69],3,180,"[60,40]","[80,60]",[0],"[0,0,16000]","[200,200,26000]",[2],6
69,"AnatomyShape_Full_LegsSplit",[],2,90,[40],[60],[0],"[0,6000]","[200,16000]",[2],2
70,"BasicTree1Into2",[71],1,360,[40],[60],[0],[0],[200],[],2
71,"BasicTree1Into2Split",[],2,120,"[40,60]","[60,100]",[0],"[6000,0]","[16000,200]",[2],2
72,"BasicTree1Into2Into2",[73],1,360,[40],[60],[0],[0],[200],[],4
73,"BasicTree1Into2Into2Split1",[74],2,180,"[30,60]","[50,100]",[0],"[0,6000]","[200,16000]",[2],4
74,"BasicTree1Into2Into2Split2",[],2,120,[40],[60],[0],"[0,6000]","[200,16000]","[3,3]",2
75,"ChristmasTree6Nodes",[76],1,360,[30],[80],[0],[0],[200],[],18
76,"ChristmasTree6NodesSplit1",[77],3,180,"[30,30,30]","[80,60,60]",[0],"[0,16000,16000]","[200,26000,26000]",[2],18
77,"ChristmasTree6NodesSplit2",[78],3,180,"[30,30,30]","[80,60,60]",[0],"[0,6000,6000]","[200,16000,16000]",[2],6
78,"ChristmasTree6NodesSplit3",[],2,180,[30],[60],[0],[0],[200],[2],2
79,"ChristmasTree8Nodes",[80],1,360,[30],[80],[0],[0],[200],[],54
80,"ChristmasTree8NodesSplit1",[81],3,180,"[30,30,30]","[80,60,60]",[0],"[0,26000,26000]","[200,36000,36000]",[2],54
81,"ChristmasTree8NodesSplit2",[82],3,180,"[30,30,30]","[80,60,60]",[0],"[0,16000,16000]","[200,26000,26000]",[2],18
82,"ChristmasTree8NodesSplit3",[83],3,180,"[30,30,30]","[80,60,60]",[0],"[0,6000,6000]","[200,16000,16000]",[2],6
83,"ChristmasTree8NodesSplit4",[],2,180,[30],[60],[0],[0],[200],[2],2
84,"Quadlinear",[],4,360,[80],[150],[0],[0],[200],[2],4
85,"Pentilinear",[],5,360,[80],[150],[0],[0],[200],[2],5
86,"BasicTree3With1Into2",[87],3,360,"[30,75,75]","[60,125,125]",[0],"[0,6000,16000]","[200,16000,26000]",[2],6
87,"BasicTree3With1Into2Split1",[],2,90,[30],[60],[0],[0],[200],[2],2
88,"BasicTree3With2Into2","[89,0]",3,360,"[30,30,75]","[60,60,125]",[0],"[0,0,6000]","[200,200,16000]",[2],12
89,"BasicTree3With2Into2Split1",[],2,90,[30],[60],[0],[0],[200],[2],2
90,"BasicTree3With2Into2Split2",[],2,90,[30],[60],[0],[0],[200],[2],2
91,"BasicTree4Into2","[92,0,93,0]",4,360,[60],[100],[0],[0],[200],[],32
92,"BasicTree4Into2Split1",[],2,120,[30],[70],[0],"[0,6000]","[200,16000]",[2],2
93,"BasicTree4Into2Split2",[],2,120,[30],[70],[0],"[0,6000]","[200,16000]",[2],2
94,"BasicTree4Into2Split3",[],2,120,[30],[70],[0],"[0,6000]","[200,16000]",[2],2
95,"BasicTree4Into2Split4",[],2,120,[30],[70],[0],"[0,6000]","[200,16000]",[2],2
96,"BlightedMapTree1","[97,0,104,0]",4,360,[30],[150],[0],"[0,30000,90000,150000]","[0,60200,120200,180200]",[2],320
97,"BlightedMapTree1Branch1","[98,0]",2,140,[30],[150],[0],[0],[200],[2],16
98,"BlightedMapTree1Branch1Leaf1","[100,0]",2,140,[30],[150],[0],"[0,0]","[200,200]",[2],4
99,"BlightedMapTree1Branch1Leaf2","[102,0]",2,140,[30],[150],[0],"[10000,10000]","[40000,40000]",[2],4
100,"BlightedMapTree1Branch1Leaf1_1",[],1,140,[30],[150],[0],[0],[200],[2],1
101,"BlightedMapTree1Branch1Leaf1_2",[],1,140,[30],[150],[0],[0],[200],[2],1
102,"BlightedMapTree1Branch1Leaf2_1",[],1,140,[30],[150],[0],[10000],[40000],[2],1
103,"BlightedMapTree1Branch1Leaf2_2",[],1,140,[30],[150],[0],[10000],[40000],[4],1
104,"BlightedMapTree1Branch2","[105,0]",2,140,[30],[150],[0],[30000],[60200],[2],20
105,"BlightedMapTree1Branch2Leaf1","[107,0]",2,140,[30],[150],[0],"[30000,30000]","[60200,60200]",[2],4
106,"BlightedMapTree1Branch2Leaf2","[109,0]",3,200,[30],[150],[0],"[60000,60000,70000]","[100000,100000,110000]",[2],6
107,"BlightedMapTree1Branch2Leaf1_1",[],1,140,[30],[150],[0],[30000],[60200],[4],1
108,"BlightedMapTree1Branch2Leaf1_2",[],1,140,[30],[150],[0],[30000],[60200],[2],1
109,"BlightedMapTree1Branch2Leaf2_1",[],1,140,[30],[150],[0],[60000],[100000],[2],1
110,"BlightedMapTree1Branch2Leaf2_2",[],1,140,[30],[150],[0],[60000],[100000],[4],1
111,"BlightedMapTree1Branch3","[112,0]",2,140,[30],[150],[0],[90000],[120200],[2],20
112,"BlightedMapTree1Branch3Leaf1","[114,0]",2,140,[30],[150],[0],"[90000,90000]","[120200,120200]",[2],4
113,"BlightedMapTree1Branch3Leaf2","[116,0]",3,200,[30],[150],[0],"[120000,120000,130000]","[160000,160000,170000]",[2],6
114,"BlightedMapTree1Branch3Leaf1_1",[],1,140,[30],[150],[0],[90000],[120200],[2],1
115,"BlightedMapTree1Branch3Leaf1_2",[],1,140,[30],[150],[0],[90000],[120200],[4],1
116,"BlightedMapTree1Branch3Leaf2_1",[],1,140,[30],[150],[0],[120000],[160000],[4],1
117,"BlightedMapTree1Branch3Leaf2_2",[],1,140,[30],[150],[0],[120000],[160000],[4],1
118,"BlightedMapTree1Branch4","[119,0]",2,140,[30],[150],[0],[150000],[180200],[2],24
119,"BlightedMapTree1Branch4Leaf1","[121,0]",3,200,[30],[150],[0],"[150000,150000,160000]","[180200,180200,200000]",[2],6
120,"BlightedMapTree1Branch4Leaf2","[123,0]",3,200,[30],[150],[0],"[180000,180000,190000]","[220000,220000,230000]",[2],6
121,"BlightedMapTree1Branch4Leaf1_1",[],1,140,[30],[150],[0],[150000],[180200],[4],1
122,"BlightedMapTree1Branch4Leaf1_2",[],1,140,[30],[150],[0],[150000],[180200],[4],1
123,"BlightedMapTree1Branch4Leaf2_1",[],1,140,[30],[150],[0],[180000],[220000],[4],1
124,"BlightedMapTree1Branch4Leaf2_2",[],1,140,[30],[150],[0],[180000],[220000],[4],1
125,"BasicTree2Into2With2LeavesSymmetricalSegment1","[126,0]",2,360,[40],[70],[0],"[0,0]","[200,200]",[2],32
126,"BasicTree2Into2With2LeavesSymmetricalSegment2",[127],2,220,"[40,25]","[70,70]",[0],"[0,16000]","[200,26000]",[2],8
127,"BasicTree2Into2With2LeavesSymmetricalSegment3",[128],2,220,"[40,25]","[70,70]",[0],"[0,6000]","[200,16000]",[2],4
128,"BasicTree2Into2With2LeavesSymmetricalSegment4",[],2,220,[25],[70],[0],[0],[200],[2],2
129,"BasicTree2Into2With2LeavesSymmetricalSegment2_2",[130],2,220,"[40,25]","[70,70]",[0],"[0,16000]","[200,26000]",[2],8
130,"BasicTree2Into2With2LeavesSymmetricalSegment3_2",[131],2,220,"[40,25]","[70,70]",[0],"[0,6000]","[200,16000]",[2],4
131,"BasicTree2Into2With2LeavesSymmetricalSegment4_2",[],2,220,[25],[70],[0],[0],[200],[2],2
132,"BasicTree2Into2With2By1LeavesAsymmetrical","[133,0]",2,360,[40],[70],[0],"[0,0]","[200,200]",[2],24
133,"BasicTree2Into2With2By1LeavesAsymmetrical2",[134],2,220,"[40,25]","[70,70]",[0],"[0,16000]","[200,26000]",[2],8
134,"BasicTree2Into2With2By1LeavesAsymmetrical3",[135],2,220,"[40,25]","[70,70]",[0],"[0,6000]","[200,16000]",[2],4
135,"BasicTree2Into2With2By1LeavesAsymmetrical4",[],2,220,[25],[70],[0],[0],[200],[2],2
136,"BasicTree2Into2With2By1LeavesAsymmetrical2_2",[137],1,220,[40],[70],[0],[0],[200],[2],4
137,"BasicTree2Into2With2By1LeavesAsymmetrical3_2",[138],2,220,"[40,25]","[70,70]",[0],"[0,6000]","[200,16000]",[2],4
138,"BasicTree2Into2With2By1LeavesAsymmetrical4_2",[],2,220,[25],[70],[0],[0],[200],[2],2
139,"BasicTree2Into2With1LeafSymmetrical","[140,0]",2,360,[40],[70],[0],"[0,0]","[200,200]",[2],16
140,"BasicTree2Into2With1LeafSymmetrical2",[141],1,220,[40],[70],[0],[0],[200],[2],4
141,"BasicTree2Into2With1LeafSymmetrical3",[142],2,220,"[40,25]","[70,70]",[0],"[0,6000]","[200,16000]",[2],4
142,"BasicTree2Into2With1LeafSymmetrical4",[],2,220,[25],[70],[0],[0],[200],[2],2
143,"BasicTree2Into2With1LeafSymmetrical2_2",[144],1,220,[40],[70],[0],[0],[200],[2],4
144,"BasicTree2Into2With1LeafSymmetrical3_2",[145],2,220,"[40,25]","[70,70]",[0],"[0,6000]","[200,16000]",[2],4
145,"BasicTree2Into2With1LeafSymmetrical4_2",[],2,220,[25],[70],[0],[0],[200],[2],2
146,"BasicTree2Into2With1LeafAsymmetrical","[147,0]",2,360,[40],[70],[0],"[0,0]","[200,200]",[2],12
147,"BasicTree2Into2With1LeafAsymmetrical2",[148],1,220,[40],[70],[0],[0],[200],[2],4
148,"BasicTree2Into2With1LeafAsymmetrical3",[149],2,220,"[40,25]","[70,70]",[0],"[0,6000]","[200,16000]",[2],4
149,"BasicTree2Into2With1LeafAsymmetrical4",[],2,220,[25],[70],[0],[0],[200],[2],2
150,"BasicTree2Into2With1LeafAsymmetrical2_2",[151],1,220,[40],[70],[0],[0],[200],[2],2
151,"BasicTree2Into2With1LeafAsymmetrical3_2",[152],1,220,[40],[70],[0],[0],[200],[2],2
152,"BasicTree2Into2With1LeafAsymmetrical4_2",[],2,220,[25],[70],[0],[0],[200],[2],2
