"rownum","Id","AOFiles","LoopAnimationIds","ImpactAnimationIds","ProjectileSpeed","bool","i32","bool","bool","InheritsFrom","i32","rid","i32","bool","bool","Stuck_AOFile","Bounce_AOFile","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","[string]","bool","[i32]"
10,"Metadata/Projectiles/SandSpitterLightning","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/lightning.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
11,"Metadata/Projectiles/SandSpitterChaos","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/chaos.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
12,"Metadata/Projectiles/SeaWitch","[""Metadata/Effects/Spells/wave/rig.ao""]","[""wave""]",[],300,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
13,"Metadata/Projectiles/Scavenger","[""Metadata/Effects/Spells/monsters_effects/scavenger_rock/rig.ao""]","[""rock_travel""]","[""rock_explode""]",1000,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],1,[]
14,"Metadata/Projectiles/SkeletonProjectileFire","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_fire.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
15,"Metadata/Projectiles/SkeletonProjectileCold","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_ice.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
16,"Metadata/Projectiles/SkeletonProjectileLightning","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_lightning.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
17,"Metadata/Projectiles/Spark","[""Metadata/Effects/Spells/electrical_surge/rig.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,1,2,1,"","Metadata/Projectiles/ProjectileGround",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
18,"Metadata/Projectiles/SkeletonSpark","[""Metadata/Effects/Spells/monsters_effects/monster_spark/skeleton_spark/rig.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,1,2,1,"","Metadata/Projectiles/ProjectileGround",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
19,"Metadata/Projectiles/SpiderSpark","[""Metadata/Effects/Microtransactions/Spells/spark/sparkspider/spark_spider2.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,"",2,"","","Metadata/Projectiles/ProjectileGround",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
20,"Metadata/Projectiles/RootSpiderSpit","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
21,"Metadata/Projectiles/RootSpiderSpitBoss","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",3,1,"","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
22,"Metadata/Projectiles/IceSpear","[""Metadata/Effects/Spells/frozen_spear/rig.ao""]","[""frozenspear_idle""]","[""frozenspear_impact""]",1000,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
23,"Metadata/Projectiles/IceSpearMTX1","[""Metadata/Effects/Spells/ice_spear/projectile.ao""]","[""frozenspear_idle""]","[""frozenspear_impact""]",600,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
24,"Metadata/Projectiles/FreezingPulse","[""Metadata/Effects/Spells/freezing_pulse/rig.ao""]","[""freezing_tide""]","[""freezing_tide_end""]",1800,"",2,"","","Metadata/Projectiles/Projectile",5,"",4,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
25,"Metadata/Projectiles/FreezingPulseMTX","[""Metadata/Effects/Microtransactions/Spells/freezing_pulse/rig.ao""]","[""freezing_pulse""]","[""end""]",1800,"",2,"","","Metadata/Projectiles/Projectile",5,"",4,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
26,"Metadata/Projectiles/UndyingFreezingPulse","[""Metadata/Effects/Spells/monsters_effects/act3/undying_freezing_pulse/base.ao""]","[""spellcast""]","[""spellend""]",680,"",3,"","","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
27,"Metadata/Projectiles/IncaMinionProjectile","[""Metadata/Effects/Spells/monsters_effects/incasummon_projectile_poison/rig.ao""]","[""projectile""]","[""projectileexplode""]",2000,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
28,"Metadata/Projectiles/TeleportBall","[""Metadata/Effects/Spells/fade/fadeprojectile.ao""]","[""projectilesloop""]","[""projectile_fadeout""]",750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
29,"Metadata/Projectiles/IncaBossMinionProjectile","[""Metadata/Effects/Spells/monsters_effects/incasummon_ projectile/rig.ao""]","[""projectile""]","[""projectileexplode""]",2000,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
30,"Metadata/Projectiles/LightningSlash","[""Metadata/Effects/Spells/lightning_strike_02/proj.ao""]","[""proj1"",""proj2"",""proj3""]","[""impact""]",1600,"",2,"","","Metadata/Projectiles/ProjectileGround",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
31,"Metadata/Projectiles/Snake","[""Metadata/Effects/Spells/monsters_effects/snake_spit/rig.ao""]","[""snakespit""]","[""snakespitexplode""]",1800,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
32,"Metadata/Projectiles/ShadowProjectile","[""Metadata/Effects/Spells/ninja_shotgun/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
33,"Metadata/Projectiles/ShadowProjectileStar","[""Metadata/Effects/Microtransactions/Spells/ninja_shotgun/stars/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
34,"Metadata/Projectiles/SpiderEtherealKnives","[""Metadata/Effects/Spells/monsters_effects/act2/spider/spider_spine_spit/rig.ao""]","[""spine_shoot""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
35,"Metadata/Projectiles/EbonyEtherealKnvies","[""Metadata/Effects/Spells/ninja_shotgun_ebony/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
36,"Metadata/Projectiles/EtherealKnivesSawBlade","[""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj.ao"",""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj2.ao"",""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj3.ao"",""Metadata/Effects/Microtransactions/Spells/ethereal_knives_saw/ethereal_knife_proj4.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
37,"Metadata/Projectiles/InsectSpawnerSpit","[""Metadata/Effects/Spells/monsters_effects/insect_spawner_spit/rig.ao""]","[""insectspit""]","[""insectspitexplode""]",700,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
38,"Metadata/Projectiles/InsectSpawnerSpitParasiteBoss","[""Metadata/Effects/Spells/monsters_effects/act7/Ryslatha/spit_parasite/rig.ao""]","[""insectspit""]","[""insectspitexplode""]",700,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
39,"Metadata/Projectiles/ScavengerFire","[""Metadata/Effects/Spells/monsters_effects/scav_driftwoodthrow/rig.ao""]","[""scav_driftwoodthrow""]","[""scav_driftwoodexplode""]",1000,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
40,"Metadata/Projectiles/IncaBossSprayIce","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
41,"Metadata/Projectiles/IncaBossSprayLightning","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
42,"Metadata/Projectiles/IncaBossSprayFire","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
43,"Metadata/Projectiles/IncaBossSprayIceColdSnap","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/iceshoot.ao""]","[""iceshoot_explode""]",[],750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
44,"Metadata/Projectiles/IncaBossSummon","[""Metadata/Effects/Spells/monsters_effects/act2/inca_boss/summon_monster_proj.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
45,"Metadata/Projectiles/IncaBossSummonAtziri","[""Metadata/Effects/Spells/monsters_effects/act2/AtziriOversoul/summon_monster_proj.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
46,"Metadata/Projectiles/IncaBossSummonIce","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/MapBosses/machinarium/summon_projectiles/summon_projectile_cold.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
47,"Metadata/Projectiles/IncaBossSummonLightning","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/MapBosses/machinarium/summon_projectiles/summon_projectile_lightning.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
48,"Metadata/Projectiles/IncaBossSummonFire","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/MapBosses/machinarium/summon_projectiles/summon_projectile_fire.ao""]","[""ball_shoot""]","[""ball_shoot_explode""]",750,1,2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
49,"Metadata/Projectiles/ArcticBreath","[""Metadata/Effects/Spells/arcticbreath/rig.ao""]","[""articbreath""]","[""articbreath_end""]",844,"",2,"","","Metadata/Projectiles/ProjectileGround",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
50,"Metadata/Projectiles/ArcticBreathFlying","[""Metadata/Effects/Spells/arctic_breath_02/projectile/arctic_breath_projectile.ao""]","[""projectile""]","[""impact""]",2000,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
51,"Metadata/Projectiles/ArcticBreathFlyingLesser","[""Metadata/Effects/Spells/arctic_breath_02/projectile/arctic_proj_lesser.ao""]","[""projectile""]","[""impact""]",2000,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
52,"Metadata/Projectiles/TotemFireSpray","[""Metadata/Effects/Spells/totems/spells/firespray.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
53,"Metadata/Projectiles/GhostFlameTotemFireSpray","[""Metadata/Effects/Microtransactions/Spells/totem/spell/flame_totem/ghost_flame/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
54,"Metadata/Projectiles/TotemHolyFireSpray","[""Metadata/Effects/Spells/totems/HolyFlameTotem/projectile/projectile.ao""]","[""projectile""]",[],900,1,2,"","","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
55,"Metadata/Projectiles/GhostFlameTotemHolyFireSpray","[""Metadata/Effects/Microtransactions/Spells/totem/spell/flame_totem/ghost_flame/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",900,1,2,"","","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
56,"Metadata/Projectiles/FlameBearerFireSpray","[""Metadata/Effects/Spells/monsters_effects/act3/flamebearer_headspray/rig.ao""]","[""headspray_shoot""]","[""headspray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
57,"Metadata/Projectiles/SnakeFireSpray","[""Metadata/Effects/Spells/monsters_effects/act2/snake_fire/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
58,"Metadata/Projectiles/SnakeLightningSpray","[""Metadata/Effects/Spells/monsters_effects/act2/snake_lightning/rig.ao""]","[""firespray_shoot""]","[""firespray_end""]",750,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
59,"Metadata/Projectiles/DefaultArrow","[""Metadata/Effects/Spells/base_arrow_attack/arrow_base.ao""]",[],[],3260,"",1,"",1,"Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Spells/base_arrow_attack/arrow_base_stuck.ao","Metadata/Effects/Spells/base_arrow_attack/arrow_base_bounce.ao",50,80,0,20,"","",0,100,100,100,0,[],"",[]
60,"Metadata/Projectiles/WandProjectile","[""Metadata/Effects/Spells/base_wand_attack/projectile/wand_projectile.ao""]","[""projectile_01""]","[""impact""]",3260,"",1,"",1,"Metadata/Projectiles/Projectile",5,"",2,1,"","","",0,0,0,0,3587,"",0,0,100,100,0,[],"",[]
61,"Metadata/Projectiles/CausticArrow","[""Metadata/Effects/Spells/caustic_arrow_02/causticarrow.ao""]",[],[],3260,1,1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Spells/caustic_arrow_02/causticarrow_stuck.ao","Metadata/Effects/Spells/caustic_arrow_02/causticarrow_bounce.ao",50,80,0,20,"","",0,100,100,100,0,[],"",[]
62,"Metadata/Projectiles/BurningArrow","[""Metadata/Effects/Spells/firearrow_02/burning_arrow.ao""]",[],[],3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Spells/base_arrow_attack/stuck_arrows/arrow_fire.ao","Metadata/Effects/Spells/firearrow_02/burning_arrow_bounce.ao",50,80,0,20,3586,"",0,0,100,100,0,[],"",[]
63,"Metadata/Projectiles/VaalBurningArrow","[""Metadata/Effects/Spells/firearrow/rig.ao""]","[""firearrow""]","[""firearrowimpact""]",3260,1,1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","","",50,0,0,0,"","",0,100,100,100,0,[],"",[]
64,"Metadata/Projectiles/FuseArrow","[""Metadata/Effects/Spells/explosivearrow_2/projectile/basearrow.ao""]","[""explodingarrow""]",[],3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Spells/explosivearrow_2/projectile/arrow_base_stuck.ao","",100,100,0,0,"","",0,0,100,100,0,[],"",[]
65,"Metadata/Projectiles/LightningArrowBloodMTX","[""Metadata/Effects/Spells/blood_arrow/rig.ao""]","[""bloodarrow""]","[""bloodimpact""]",3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Spells/base_arrow_attack/arrow_base_stuck.ao","Metadata/Effects/Spells/base_arrow_attack/arrow_base_bounce.ao",50,80,0,20,3574,3594,0,100,100,100,0,[],"",[]
66,"Metadata/Projectiles/LightningArrow","[""Metadata/Effects/Spells/lightning_arrows_02/lightning_arrow.ao""]",[],[],3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Spells/lightning_arrows_02/lightning_arrow_stuck.ao","Metadata/Effects/Spells/lightning_arrows_02/lightning_arrow_bounce.ao",50,80,0,20,"","",0,100,100,100,0,[],"",[]
67,"Metadata/Projectiles/IceArrow","[""Metadata/Effects/Spells/icearrow_02/arrow_ice.ao""]",[],[],3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Spells/icearrow_02/arrow_ice_stuck.ao","Metadata/Effects/Spells/icearrow_02/arrow_ice_bounce.ao",50,80,0,20,"","",0,100,100,100,0,[],"",[]
68,"Metadata/Projectiles/PietyIceArrow","[""Metadata/Effects/Spells/monsters_effects/act3/piety/icearrow/rig.ao""]","[""icearrow""]","[""icearrowimpact""]",3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
69,"Metadata/Projectiles/MonsterIceArrow","[""Metadata/Effects/Spells/icearrow/rig_monster.ao""]","[""icearrow""]","[""icearrowimpact""]",3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
70,"Metadata/Projectiles/IceArrowVaalOrb","[""Metadata/Effects/Microtransactions/Spells/VallOrbIceShot/arrow_ice.ao""]",[],[],3260,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","Metadata/Effects/Microtransactions/Spells/VallOrbIceShot/arrow_ice_stuck.ao","Metadata/Effects/Microtransactions/Spells/VallOrbIceShot/arrow_ice_bounce.ao",50,80,0,20,132,"",0,100,100,100,0,[],"",[]
71,"Metadata/Projectiles/SnakeSpine","[""Metadata/Effects/Spells/monsters_effects/act2/snake_monster_spine/rig.ao""]","[""spine_shoot""]","[""spine_shatter""]",1800,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
72,"Metadata/Projectiles/FemaleDemonRangedProjectile","[""Metadata/Effects/Spells/monsters_effects/act3/female_demon_ranged/rig.ao""]","[""demonfemaleranged_shoot""]","[""demonfemaleranged_end""]",1800,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
73,"Metadata/Projectiles/StatueSpearGold","[""Metadata/Effects/Spells/monsters_effects/act3/spear_throw/rig.ao""]","[""spearthrow_loop""]","[""spearthrow_impact""]",1000,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
74,"Metadata/Projectiles/StatueSpearStone","[""Metadata/Effects/Spells/monsters_effects/act3/spear_throw/marble.ao""]","[""spearthrow_loop""]","[""spearthrow_impact""]",1000,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
75,"Metadata/Projectiles/BallLightning","[""Metadata/Effects/Spells/monsters_effects/act3/piety/lightning_ball/lightningball.ao""]","[""lightningball_loop""]","[""lightningball_end""]",300,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
76,"Metadata/Projectiles/ShavronneBallLightning","[""Metadata/Effects/Spells/monsters_effects/act9/The_Trio/Shavronne/ultimate_ball_lightning/projectile.ao""]","[""loop""]","[""impact""]",400,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
77,"Metadata/Projectiles/HarbingerBallLightning","[""Metadata/Effects/Spells/monsters_effects/league_avatar/ultimate_ball_lightning/projectile.ao""]","[""loop""]","[""impact""]",300,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
78,"Metadata/Projectiles/Flamethrower1","[""Metadata/Effects/Spells/flaming_wrath/small.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
79,"Metadata/Projectiles/Flamethrower2","[""Metadata/Effects/Spells/flaming_wrath/mid.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
80,"Metadata/Projectiles/Flamethrower3","[""Metadata/Effects/Spells/flaming_wrath/big.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
81,"Metadata/Projectiles/Flamethrower4","[""Metadata/Effects/Spells/flaming_wrath/biggest.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",4,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
82,"Metadata/Projectiles/FlamethrowerBlue1","[""Metadata/Effects/Microtransactions/Spells/incinerate/blue/small/small.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",1,"","","Metadata/Projectiles/Projectile",5,"",1,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
83,"Metadata/Projectiles/FlamethrowerBlue2","[""Metadata/Effects/Microtransactions/Spells/incinerate/blue/mid/mid.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
84,"Metadata/Projectiles/FlamethrowerBlue3","[""Metadata/Effects/Microtransactions/Spells/incinerate/blue/big/big.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",3,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
85,"Metadata/Projectiles/FlamethrowerBlue4","[""Metadata/Effects/Microtransactions/Spells/incinerate/blue/biggest/biggest.ao""]","[""flamingwrath_shoot""]","[""flamingwrath_end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",4,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
86,"Metadata/Projectiles/LightningSoul","[""Metadata/Effects/Spells/monsters_effects/act3/dominus/lightning_souls/screaming_soul_main.ao""]","[""souls""]",[],1000,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","","","",0,0,0,0,"","",0,0,100,100,0,[],"",[]
