"rownum","Id","Name","Description","ModsKey","ArtFile","BetrayalUpgradeSlotsKey","[i32]","ItemVisualIdentityKey0","ItemVisualIdentityKey1","GrantedEffectsKey","i32","ItemClassesKey"
26,"BackAttachment6","Harimal's Campaign","Multiple Projectiles",[16636],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsCampaign",3,[],"","","",1,""
27,"BackAttachment7","Tau Poh's Banner","Ailment Avoidance",[16637],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsBanner",3,[],"","","",1,""
28,"BackAttachment8","Bu's Bottle","Creates Unholy Relics",[16638],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusBottle",3,[],"","","",1,""
29,"BackAttachment9","Rithkin's Dance","Physical Damage added as Lightning. All Damage Shocks",[16639],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsDance",3,[],"","","",1,""
30,"BackAttachment10","Cantar's Coffin","Explodes corpses into Acid",[16640],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsCoffine",3,[],"","","",1,""
31,"TwoHandAxe1","Silas' Flattener","Increased Area of Effect",[16624],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SilasFlattener",4,[],10291,"","",1,16
32,"TwoHandMace1","Moknuma's Storm","Maim on Hit",[16641],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasStorm",4,[],10292,"","",1,17
33,"Bow1","Gogori's Stinger","Far Shot",[16642],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisStinger",4,[],"",10293,"",1,13
34,"Bow2","Xunti's Zither","Point Blank",[16643],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/XuntisZither",4,[],"",10294,"",1,13
35,"Bow3","Rithkin's Burden","Gain Frenzy Charge on Hit",[16644],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsBurden",4,[],"",10295,"",1,13
36,"OneHandSword1","Sen-Kin's Haunt","Critical Strike Chance and Multiplier",[16645],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SenkinsHaunt",4,[],10296,"","",1,9
37,"OneHandSword2","Akanilim's Pattern","Attack Speed",[16612],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AkanilimsPattern",4,[],10297,"","",1,9
38,"OneHandSword3","Korim's Decapitator","Attack Damage",[16646],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/KorimsDecapitator",4,[],10298,"","",1,9
39,"OneHandSword4","Shiaphet's Needle","Impale on Hit",[16647],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ShiaphetsNeedle",4,[],10299,"","",1,9
40,"OneHandMace1","Raust's Judgement","Gain Endurance Charge on Hit",[16648],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RaustsJudgement",4,[],10300,"","",1,12
41,"OneHandMace2","Elgan's Ritual","Attack Speed",[16612],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ElgansRitual",4,[],10301,"","",1,12
42,"Sceptre1","Urdamel's Tyranny","Elemental Damage",[16649],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsTyranny",4,[],10302,"","",1,32
43,"Dagger1","Tau Poh's Deception","Gain Power Charge on Hit",[16650],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsDeceoption",4,[],10303,"","",1,7
44,"Dagger2","Bu's Blossom","Blind on Hit",[16651],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusBlossom",4,[],10304,"","",1,7
45,"Shield1","Tekiton's Mountain","Additional Block Chance",[16652],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsMountain",4,[],"",10305,"",1,26
46,"Shield2","Harimal's Feint","Fortify on Hit",[16653],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsFeint",4,[],"",10306,"",1,26
47,"Claw1","Cantar's Pack","Life Leech",[16654],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsPack",4,[],10307,"","",1,6
48,"Gloves1","Moknuma's Conjuring","Arcane Surge on Hit",[16655],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasConjuring",2,[],"","","",1,""
49,"Gloves2","Azal's Manipulation","Hinder on Hit",[16656],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsManipulation",2,[],"","","",1,""
