"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","QuestStateCalcuationKey","i32","i32","i32","i32","rid"
10,5,5,[798],[5],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","",[0],0,"[""Talk to Tarkleigh""]",[0],[],"",[],0,0,3312,0,8,""
11,5,6,[5],[],"The Warden, Brutus, has blockaded Axiom Prison. Kill him to get through.","","Kill Brutus",[10],0,"[""Explore the Prison and kill Brutus""]",[10],[],"",[],0,0,3576,0,8,""
12,7,0,"[11,73]",[],"Quest Complete - You have slain Merveil. You are now able to travel to Act 2.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,3742,0,8,""
13,7,1,[11],[],"Quest Complete - You have slain Merveil and reached Act 2. Talk to Nessa for a reward.","","Talk to Nessa for your reward",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],0,0,4086,0,8,""
14,7,2,"[10,73]",[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],0,0,4418,0,8,""
15,7,3,[10],[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest. You can also talk to Nessa in town for a reward.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],0,0,4778,0,8,""
16,7,4,"[514,73]",[],"Kill Merveil, the Siren, in her lair.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],0,0,4960,0,8,""
17,7,5,[514],[],"Kill Merveil, the Siren, in her lair. You can also talk to Nessa in town for help with the battle.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],0,0,5232,0,8,""
18,7,6,[133],[73],"You have discovered the cavernous lair of Merveil, the Siren. Return to town for help preparing for the coming battle.","","Talk to Nessa",[0],0,"[""Talk to Nessa""]",[0],[],"",[],0,0,5580,0,8,""
19,7,7,[9],[],"Merveil, the Siren, is luring sailors and exiles alike to their doom. Find her and kill her.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],0,0,5840,0,8,""
20,2,0,[37],[],"Quest Complete - You have opened the Submerged Passage. Tarkleigh has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,6014,0,8,""
21,2,1,[25],"[28,129,4,130,131]","The Submerged Passage is now open. Speak to Tarkleigh for a reward.","","The Submerged Passage is now open",[7],0,"[""Enter the Submerged Passage""]",[4],[],"",[],0,0,6344,0,8,""
22,2,2,[25],[],"You have opened the Submerged Passage. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],0,0,6586,0,8,""
23,2,3,"[26,51,52,53]",[],"In order to unlock the cave entrance you must take the three glyphs to the glyph wall.","","Take the Glyphs to the Glyph Wall",[4],0,"[""Take the Glyphs to the Glyph Wall""]",[4],[],"",[],0,0,6958,0,8,""
24,2,4,"[24,26]",[],"In order to unlock the cave entrance you must find all three glyphs. They can be found in Rhoa nests in the Mud Flats.","","Find the Glyphs in the Rhoa Nests",[4],0,"[""Find the Glyphs in the Rhoa Nests""]",[4],[],"",[],0,0,7386,0,8,""
25,2,5,"[26,30]",[],"Look around the Mud flats for more clues about how to lower the water. Tarkleigh has suggested that there might be a clue in the Rhoa nests.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],0,0,7864,0,8,""
26,2,6,[26],[],"Look around the Mud Flats for more clues about how to lower the water. There is a strange wall that looks like it needs three objects. Tarkleigh may have more ideas.","","Investigate the Mud Flats for a way to lower the water","[0,4]",0,"[""Explore the Mud Flats""]",[4],[],"",[],0,0,8416,0,8,""
27,2,7,[24],[],"Look around the Mud Flats for more clues as to the purpose of the strange glyph.","","Find a use for the strange glyph in the Mud Flats",[4],0,"[""Explore the Mud Flats""]",[4],[],"",[],0,0,8772,0,8,""
28,2,8,[30],[],"Tarkleigh has suggested that Rhoas like to collect shiny objects. Investigate their nests in the Mud Flats.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],0,0,9090,0,8,""
29,1,0,[42],[],"Quest Complete - You have given the Medicine Chest to Nessa and have received a reward.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,9272,0,8,""
30,1,1,[43],[],"You have given the medicine chest to Nessa. Talk to her for a reward.","","",[0],0,[],[],[],"",[],0,0,9434,0,8,""
31,1,2,[50],[],"You have found the medicine chest that Nessa wanted. Take it back to town for a reward.","","Take the Medicine Chest to Nessa",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],0,0,9786,0,8,""
32,1,3,"[45,127]",[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","",[3],0,"[""Find the Medicine Chest""]",[3],[],"",[],0,0,10164,0,8,""
33,1,4,[45],[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","Find the Medicine Chest on the Tidal Island",[3],0,"[""Travel to the Tidal Island\nFind the Medicine Chest""]",[],[],"",[],0,0,10386,0,8,""
34,1,5,[40],[],"Nessa needs a medicine chest to heal the wounded in town. See if you can find one.","","Talk to Bestel",[0],0,"[""Talk to Bestel""]",[0],[],"",[],0,0,10662,0,8,""
35,6,0,[47],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,10824,0,0,""
36,6,1,[499],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,11044,0,0,""
37,6,2,[500],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],0,0,11284,0,8,""
38,6,3,[48],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],0,0,11456,0,8,""
39,6,4,[75],[],"Captain Fairgraves needs your life force to kindle the Allflame and has attacked you. Kill him in the Ship Graveyard.","","Kill Fairgraves",[12],0,"[""Kill Fairgraves""]",[12],[],"",[],0,0,11806,0,8,""
40,6,5,[64],[],"You have delivered the Allflame to Captain Fairgraves. Talk to him for a reward.","","",[12],0,"[""Talk to Fairgraves""]",[12],[],"",[],0,0,12054,0,8,""
41,6,6,"[46,132]",[62],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere inside the Ship Graveyard Cave.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[13],[],"",[],0,0,12440,0,8,""
42,6,7,[46],[62],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere around the Ship Graveyard.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[12],[],"",[],0,0,12774,0,8,""
43,6,8,[62],[46],"Search the Ship Graveyard to find the purpose of the Allflame.","","Investigate the Allflame",[12],0,"[""Explore the Ship Graveyard""]",[12],[],"",[],0,0,13058,0,8,""
44,6,9,"[46,62]",[],"Captain Fairgraves wants the mythical lantern, the Allflame. Bring it to him in the Ship Graveyard.","","Bring the Allflame to Fairgraves",[12],0,"[""Bring the Allflame to Fairgraves""]",[12],[],"",[],0,0,13444,0,8,""
45,6,10,"[199,200]",[48],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],0,0,13632,0,8,""
46,6,11,[199],[48],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],0,0,13714,0,8,""
47,6,12,[200],[48],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],0,0,13796,0,8,""
48,4,0,[117],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,13990,0,0,""
49,4,1,[495],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,14242,0,0,""
50,4,2,[360],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],0,0,14488,0,8,""
51,4,3,[116],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],0,0,14602,0,8,""
52,4,4,[115],[],"Kill the Dweller of the Deep, a giant crab lurking in the Flooded Depths.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],0,0,14916,0,8,""
53,4,5,[114],[],"Tarkleigh has asked you to dispatch the Dweller of the Deep, a giant crab lurking in the depths below the Submerged Passage.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],0,0,15272,0,8,""
54,3,0,[229],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with two Passive Respec Points.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,15580,0,8,""
55,3,1,[508],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with a Skill Book. Use it to gain two Passive Respec Points.","","",[],0,[],[],[],"",[],0,0,15946,0,8,""
56,3,2,[507],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],0,0,16260,0,8,""
57,3,3,[228],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],0,0,16374,0,8,""
58,3,4,[227],[],"Wipe out the remaining monsters in the Fetid Pool.","","Wipe out the remaining monsters",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],0,0,16670,0,8,""
59,3,5,[226],[],"Kill the Necromancer and all his minions in the Fetid Pool.","","Kill the Necromancer and his minions",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],0,0,16994,0,8,""
60,3,6,[128],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters.","","Clear the Fetid Pool",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],0,0,17330,0,8,""
61,3,7,"[225,31]",[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Search the Mud Flats for the entrance to the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Search the Mud Flats for the entrance to the Fetid Pool\nKill all monsters in the Fetid Pool""]",[],[],"",[],0,0,17828,0,8,""
62,3,8,"[225,112]",[368],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Take the waypoint to the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Take the waypoint to the Coast and enter the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[1],"",[],0,0,18440,0,8,""
63,3,9,"[225,112]",[368],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],0,0,18978,0,8,""
64,3,10,[225],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],0,0,19188,0,8,""
65,8,0,[264],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,19458,0,0,""
66,8,1,[501],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,19786,0,0,""
67,8,2,[269],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],0,0,20116,0,8,""
68,8,3,[234],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],0,0,20484,0,8,""
69,8,4,"[231,262]",[233],"The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","",[15],0,"[""Find another way to the forest""]",[15],[],"",[],0,0,20816,0,8,""
70,8,5,[231],"[11,233]","The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","Find another way to the forest",[15],3000,"[""Find another way to the forest""]",[],[],"",[],0,0,20980,0,8,""
71,8,6,[230],"[11,233,28,129,4,130,131]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to. Search the Mud Flats for the entrance to the Submerged Passage to progress.","","Enter the Submerged Passage in the Mud Flats",[4],0,"[""Enter the Submerged Passage in the Mud Flats""]",[],[],"",[],0,0,21558,0,8,""
72,8,7,[230],"[11,233]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[16],0,"[""Follow the Emperor's Road""]",[11],[],"",[],0,0,21900,0,8,""
73,9,0,[234],[264],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],0,0,22012,0,8,""
74,9,1,[122],[264],"Use the Thaumetic Emblem to trigger the Thaumetic Seal and open the blocked pass.","","Activate the Thaumetic Seal",[27],0,"[""Activate the Thaumetic Seal""]",[27],[],"",[],0,0,22342,0,8,""
75,9,2,[513],[264],"Take the Thaumetic Emblem from Captain Arteri in the Western Forest.","","Take the Thaumetic Emblem",[27],0,"[""Take the Thaumetic Emblem""]",[27],[],"",[],0,0,22638,0,8,""
76,9,3,[512],[264],"Kill the Blackguards guarding the blocked pass.","","Kill the Blackguards",[27],0,"[""Kill the Blackguards""]",[27],[],"",[],0,0,22872,0,8,""
77,9,4,"[233,231]",[264],"Open the blocked pass back to Prisoner's Gate from the Western Forest.","","Open the blocked pass",[27],0,"[""Open the blocked pass""]",[27],[],"",[],0,0,23160,0,8,""
78,9,5,"[134,231]",[264],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],0,0,23454,0,8,""
79,9,6,"[11,231,262]",[264],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],0,0,23538,0,8,""
80,9,7,"[11,231]",[264],"You have made your way to the forest. Find the encampment and look for someone who knows where the other side of the blocked pass is.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],0,0,23956,0,8,""
81,9,8,[134],"[264,231]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[27],0,"[""Find the Emperor's Road""]",[27],[],"",[],0,0,24058,0,8,""
82,9,9,[11],[264],"You have made your way to the forest. Find the encampment.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],0,0,24266,0,8,""
83,16,0,"[55,77]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],0,0,24440,0,0,""
84,16,1,"[55,85]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],0,0,24448,0,0,""
85,16,2,[55],[],"Quest Complete - You have slain Oak and Alira. Talk to Kraityn to get the Apex. He has rewarded you with {0}.",1,"",[24],0,"[""Talk to Kraityn""]",[24],[],"",[],0,0,24748,0,0,""
86,16,3,"[20,84]",[],"Quest Abandoned - You have slain Kraityn.","","",[],0,[],[],[],1,[],0,0,24842,0,8,""
87,16,4,"[20,17]",[],"Quest Abandoned - You have slain Kraityn.","","You have slain Kraityn, and can no longer ally with him",[],0,[],[],[],1,[],0,0,24964,0,8,""
88,16,5,"[20,78,79]",[],"You have obtained the amulets of Kraityn's rivals. He can be found at the Broken Bridge, east of town. Kraityn will reward you with {0}.","","You have the amulets. Talk to Kraityn for your reward",[24],0,"[""Talk to Kraityn for your reward""]",[24],[],"",[],0,0,25468,0,0,""
89,16,6,"[20,79]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. You have slain Oak and have his amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],0,0,26040,0,0,""
90,16,7,"[20,78]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Oak can be found in the Wetlands, west of town. You have slain Alira and have her amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],0,0,26620,0,0,""
91,16,8,[20],[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. Oak can be found in the Wetlands, west of town. Kraityn will reward you with {0}.","","Acquire the amulets of Kraityn's rivals - Alira and Oak","[27,30]",0,"[""Acquire Alira's amulet"",""Acquire Oak's amulet""]","[27,30]",[],"",[],0,0,27308,0,0,""
92,16,9,"[121,374]",[17],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Kraityn will reward you with {0}.","","",[24],0,"[""Talk to Kraityn and decide if you want to help him""]",[],[27],"",[],0,0,27682,0,0,""
93,17,0,"[57,77]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],0,0,27856,0,0,""
94,17,1,"[57,85]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],0,0,27864,0,0,""
95,17,2,[57],[],"Quest Complete - You have slain Oak and Kraityn. Talk to Alira to get the Apex. She has rewarded you with {0}.",1,"",[27],0,"[""Talk to Alira""]",[27],[],"",[],0,0,28162,0,0,""
96,17,3,"[21,84]",[],"Quest Abandoned - You have slain Alira.","","",[],0,[],[],[],1,[],0,0,28252,0,8,""
97,17,4,"[21,18]",[],"Quest Abandoned - You have slain Alira.","","You have slain Alira, and can no longer ally with her",[],0,[],[],[],1,[],0,0,28370,0,8,""
98,17,5,"[21,80,79]",[],"You have obtained the amulets of Alira's rivals. She can be found in the Western Forest, and will reward you with {0}.","","You have the amulets. Talk to Alira for your reward",[27],0,"[""Talk to Alira for your reward""]",[27],[],"",[],0,0,28830,0,0,""
99,17,6,"[21,79]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. You have slain Oak and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],0,0,29432,0,0,""
100,17,7,"[21,80]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Oak can be found in the Wetlands, west of town. You have slain Kraityn and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],0,0,30008,0,0,""
101,17,8,[21],[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. Oak can be found in the Wetlands, west of town. Alira will reward you with {0}.","","Acquire the amulets of Alira's rivals - Kraityn and Oak","[24,30]",0,"[""Acquire Kraityn's amulet"",""Acquire Oak's amulet""]","[24,30]",[],"",[],0,0,30726,0,0,""
102,17,9,"[121,381]",[18],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Alira will reward you with {0}.","","",[27],0,"[""Talk to Alira and decide if you want to help her""]",[],[30],"",[],0,0,31092,0,0,""
103,18,0,"[90,77]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],0,0,31266,0,0,""
104,18,1,"[90,85]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],0,0,31274,0,0,""
105,18,2,[90],[],"Quest Complete - You have slain Alira and Kraityn. Talk to Oak to get the Apex. He has rewarded you with {0}.",1,"",[30],0,"[""Talk to Oak""]",[30],[],"",[],0,0,31566,0,0,""
106,18,3,"[22,84]",[],"Quest Abandoned - You have slain Oak.","","",[],0,[],[],[],1,[],0,0,31652,0,8,""
107,18,4,"[22,19]",[],"Quest Abandoned - You have slain Oak.","","You have slain Oak, and can no longer ally with him",[],0,[],[],[],1,[],0,0,31766,0,8,""
108,18,5,"[22,78,80]",[],"You have obtained the amulets of Oak's rivals. He can be found in the Wetlands, west of town. Oak will reward you with {0}.","","You have the amulets. Talk to Oak for your reward",[30],0,"[""Talk to Oak for your reward""]",[30],[],"",[],0,0,32228,0,0,""
109,18,6,"[22,80]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. You have slain Kraityn and have his amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],0,0,32792,0,0,""
110,18,7,"[22,78]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Kraityn can be found at the Broken Bridge, east of town. You have slain Alira and have her amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],0,0,33390,0,0,""
111,18,8,[22],[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. Kraityn can be found at the Broken Bridge, east of town. Oak will reward you with {0}.","","Acquire the amulets of Oak's rivals - Kraityn and Alira","[24,27]",0,"[""Acquire Kraityn's amulet"",""Acquire Alira's amulet""]","[24,27]",[],"",[],0,0,34096,0,0,""
112,18,9,"[121,367]",[19],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Oak will reward you with {0}.","","",[30],0,"[""Talk to Oak and decide if you want to help him""]",[],[33],"",[],0,0,34454,0,0,""
113,15,0,[123],[],"Quest Complete - You have slain the Bandit Lords. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,34628,0,0,""
114,15,1,[84],[],"Quest Abandoned - You have aided a Bandit Lord.","","",[],0,[],[],[],1,[],0,0,34730,0,8,""
115,15,2,"[78,79,80,54]",[],"You have killed all the Bandit Lords and obtained their amulets. Bring them to Eramir for {0}.","","Take the amulets back to Eramir",[17],0,"[""Talk to Eramir for your reward""]",[17],[],"",[],0,0,35108,0,0,""
116,15,3,"[80,78,54]",[],"You have killed Kraityn and Alira, but Oak continues to harass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[30],0,"[""Eramir wants you to kill Oak""]",[30],[],"",[],0,0,35494,0,0,""
117,15,4,"[80,79,54]",[],"You have killed Kraityn and Oak, but Alira continues to harass the Forest Encampment. If you kill her, Eramir will reward you with {0}.","","",[27],0,"[""Eramir wants you to kill Alira""]",[27],[],"",[],0,0,35884,0,0,""
118,15,5,"[78,79,54]",[],"You have killed Alira and Oak, but Kraityn continues to harrass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[24],0,"[""Eramir wants you to kill Kraityn""]",[24],[],"",[],0,0,36280,0,0,""
119,15,6,"[78,54]",[],"You have killed Alira, but Kraityn and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Oak""]","[24,30]",[],"",[],0,0,36770,0,0,""
120,15,7,"[79,54]",[],"You have killed Oak, but Kraityn and Alira continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,27]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira""]","[24,27]",[],"",[],0,0,37264,0,0,""
121,15,8,"[80,54]",[],"You have killed Kraityn, but Alira and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[27,30]",0,"[""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[27,30]",[],"",[],0,0,37750,0,0,""
122,15,9,[54],[],"The Forest Encampment is under constant attack by three bandit factions led by Kraityn, Alira and Oak. If you find a way to prevent these attacks, Eramir will reward you with {0}.","","Stop the bandit lords from attacking","[24,27,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[24,27,30]",[],"",[],0,0,38504,0,0,""
123,15,10,[78],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],0,0,38732,0,8,""
124,15,11,[79],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],0,0,38808,0,8,""
125,15,12,[80],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],0,0,38884,0,8,""
