"rownum","Id","BaseItemTypesKey","PosX","PosY","Order","SizeX","SizeY","bool","i32","i32"
65,"Metadata/Items/MapFragments/CurrencyLegionFragmentMaraketh",6050,627,420,65,1,1,"",0,70
66,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternal",6051,238,420,66,1,1,"",0,70
67,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplar",6052,530,420,67,1,1,"",0,70
68,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaal",6053,433,420,68,1,1,"",0,70
69,"Metadata/Items/Currency/CurrencyLegionKaruiShard",192,335,326,69,1,1,1,0,70
70,"Metadata/Items/Currency/CurrencyLegionMarakethShard",193,627,326,70,1,1,1,0,70
71,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",194,238,326,71,1,1,1,0,70
72,"Metadata/Items/Currency/CurrencyLegionTemplarShard",195,530,326,72,1,1,1,0,70
73,"Metadata/Items/Currency/CurrencyLegionVaalShard",196,433,326,73,1,1,1,0,70
74,"Metadata/Items/Scarabs/ScarabLegion1",7820,68,577,74,1,1,"",2,75
75,"Metadata/Items/Scarabs/ScarabLegion2",7821,169,577,75,1,1,"",2,75
76,"Metadata/Items/Scarabs/ScarabLegion3",7822,270,577,76,1,1,"",2,75
77,"Metadata/Items/MapFragments/CurrencyElderFragment1",6018,220,674,77,1,1,"",0,70
78,"Metadata/Items/MapFragments/CurrencyElderFragment2",6019,220,768,78,1,1,"",0,70
79,"Metadata/Items/MapFragments/CurrencyElderFragment3",6020,122,768,79,1,1,"",0,70
80,"Metadata/Items/MapFragments/CurrencyElderFragment4",6021,122,674,80,1,1,"",0,70
81,"Metadata/Items/MapFragments/CurrencyUberElderFragment1",6023,744,674,81,1,1,"",0,70
82,"Metadata/Items/MapFragments/CurrencyUberElderFragment2",6024,744,768,82,1,1,"",0,70
83,"Metadata/Items/MapFragments/CurrencyUberElderFragment3",6025,647,768,83,1,1,"",0,70
84,"Metadata/Items/MapFragments/CurrencyUberElderFragment4",6026,647,674,84,1,1,"",0,70
85,"Metadata/Items/Scarabs/ScarabMetamorph1",7824,68,479,85,1,1,"",2,75
86,"Metadata/Items/Scarabs/ScarabMetamorph2",7825,169,479,86,1,1,"",2,75
87,"Metadata/Items/Scarabs/ScarabMetamorph3",7826,270,479,87,1,1,"",2,75
88,"Metadata/Items/MapFragments/CurrencyMavenKey",8135,744,420,88,1,1,"",0,70
89,"Metadata/Items/MapFragments/CurrencyMavenKeyFragment",8136,744,326,89,1,1,"",0,70
90,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire2",6034,228,433,90,1,1,"",1,74
91,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire3",6039,228,551,91,1,1,"",1,74
92,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire4",6044,228,668,92,1,1,"",1,74
93,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold2",6035,329,433,93,1,1,"",1,74
94,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold3",6040,329,551,94,1,1,"",1,74
95,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold4",6045,329,668,95,1,1,"",1,74
96,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning2",6036,430,433,96,1,1,"",1,74
97,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning3",6041,430,551,97,1,1,"",1,74
98,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning4",6046,430,668,98,1,1,"",1,74
99,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical2",6037,532,433,99,1,1,"",1,74
100,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical3",6042,532,551,100,1,1,"",1,74
101,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical4",6047,532,668,101,1,1,"",1,74
102,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos2",6038,633,433,102,1,1,"",1,74
103,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos3",6043,633,551,103,1,1,"",1,74
104,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos4",6048,633,668,104,1,1,"",1,74
105,"Metadata/Items/Scarabs/ScarabBlight1",7828,68,774,105,1,1,"",2,75
106,"Metadata/Items/Scarabs/ScarabBlight2",7829,169,774,106,1,1,"",2,75
107,"Metadata/Items/Scarabs/ScarabBlight3",7830,270,774,107,1,1,"",2,75
108,"Metadata/Items/Scarabs/ScarabBlight4",7831,370,774,108,1,1,"",2,75
109,"Metadata/Items/Scarabs/ScarabBreach4",7771,793,677,109,1,1,"",2,75
110,"Metadata/Items/Scarabs/ScarabMaps4",7775,793,287,110,1,1,"",2,75
111,"Metadata/Items/Scarabs/ScarabUniques4",7779,370,186,111,1,1,"",2,75
112,"Metadata/Items/Scarabs/ScarabBeasts4",7783,370,89,112,1,1,"",2,75
113,"Metadata/Items/Scarabs/ScarabShaperRares4",7791,793,89,113,1,1,"",2,75
114,"Metadata/Items/Scarabs/ScarabElderRares4",7795,793,482,114,1,1,"",2,75
115,"Metadata/Items/Scarabs/ScarabSulphite4",7799,370,382,115,1,1,"",2,75
116,"Metadata/Items/Scarabs/ScarabDivinationCards4",7803,793,579,116,1,1,"",2,75
117,"Metadata/Items/Scarabs/ScarabTorment4",7807,370,284,117,1,1,"",2,75
118,"Metadata/Items/Scarabs/ScarabStrongbox4",7811,370,675,118,1,1,"",2,75
119,"Metadata/Items/Scarabs/ScarabHarbinger4",7815,793,384,119,1,1,"",2,75
120,"Metadata/Items/Scarabs/ScarabPerandus4",7819,793,189,120,1,1,"",2,75
121,"Metadata/Items/Scarabs/ScarabLegion4",7823,370,577,121,1,1,"",2,75
122,"Metadata/Items/Scarabs/ScarabMetamorph4",7827,370,479,122,1,1,"",2,75
123,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessDedication",6058,371,542,123,1,1,"",0,70
124,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessGift",6057,495,542,124,1,1,"",0,70
125,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessTribute",6056,619,542,125,1,1,"",0,70
126,"Metadata/Items/Scarabs/ScarabAbyss1",7832,491,774,126,1,1,"",2,75
127,"Metadata/Items/Scarabs/ScarabAbyss2",7833,592,774,127,1,1,"",2,75
128,"Metadata/Items/Scarabs/ScarabAbyss3",7834,693,774,128,1,1,"",2,75
129,"Metadata/Items/Scarabs/ScarabAbyss4",7835,793,774,129,1,1,"",2,75
130,"Metadata/Items/Currency/CurrencyRitualSplinter",293,122,326,130,1,1,"",0,70
131,"Metadata/Items/Currency/CurrencyRitualStone",294,122,420,131,1,1,"",0,70
132,"Metadata/Items/MapFragments/CurrencyHarvestBossKey",8163,744,542,132,1,1,"",0,70
