"rownum","string","[rid]","[rid]","[rid]","[rid]","[string]","[rid]","[i32]","[rid]","string","i32","i32","[rid]","[rid]","[rid]"
21,"smoke_mine",[100],[],[],[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],"愀氀",0,0,[],[236],[]
22,"chain_hook","[103,105,107,109]",[4],"[8,10]",[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],"愀氀",0,0,[],[1186],[]
23,"arcane_cloak",[111],[],"[12,14]",[],"[""Default"",""VoidEmperor""]",[120],"[18079,48015]",[],"愀氀",0,0,[],[1238],[]
24,"orb_of_storms","[113,116,119]",[6],[],[],"[""Default"",""Celestial"",""Demonic""]",[],"[18079,27572,61278]",[],"愀氀",0,0,[],[505],[]
25,"spark",[],[],[],[],"[""Default"",""SkeletonSpark"",""SpiderSpark"",""AvariusSpark"",""FireSpider"",""Sand"",""LightningElder"",""BestiaryCocoon"",""VaalIncursion"",""IncursionPipe"",""VaalIncursionEpic"",""DelveDweller"",""BetrayalCatarinaSpark"",""LegionMarakethSpark"",""LegionMarakethTornadoSpark"",""AtlasEyrie"",""HarvestHellion"",""Automaton"",""Celestial"",""Void""]",[],"[18079,63244,63286,26477,55029,25598,37016,62017,45534,10364,56855,15938,15102,32275,4271,13264,58149,3488,27572,9203]","[48,71]","愀氀",0,0,[],"[69,1033,70]",[]
26,"spark_monster",[],[],[],[],"[""BookTornado"",""FireTornado"",""AfflicationFlamenado""]",[],"[42246,34282,41848]",[68],"ter",0,0,[],"[69,1033,70]",[]
27,"dual_strike","[122,124,127,128]",[],[],[],"[""Default"",""NoImpact"",""Nightfall""]",[],"[18079,32633,57192]",[],"愀氀",0,0,[],[23],[]
28,"weapon_trap","[129,130,131,132]",[],[18],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1329],[]
29,"shield_waves","[133,134]",[],[],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1333],[]
30,"exsanguinate",[],"[9,10]",[],[],"[""Default"",""Celestial""]",[122],"[18079,27572]",[],"愀氀",0,0,[],[1312],[]
31,"void_burst","[135,136,137]",[],[],[],"[""Default""]",[124],[18079],[],"愀氀",0,0,[],[1324],[]
32,"bladefall","[138,144,150]",[],[],[],"[""Default"",""Gold"",""Demonic"",""Acid"",""Chrome"",""Sawblade"",""Illusionist"",""VoidEmperor""]",[],"[18079,38699,61278,16802,55413,28838,54759,48015]",[],"愀氀",0,0,[],[495],[]
33,"blade_blast","[158,162]",[],[],[],"[""Default"",""Illusionist"",""Sawblade""]",[],"[18079,54759,28838]",[],"愀氀",0,0,[],[1243],[]
34,"rage_slash","[166,167,168]",[],[21],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1325],[]
35,"ambush",[200],[],"[19,20]",[],"[""Default""]",[125],[18079],[],"愀氀",0,0,[],[1328],[]
36,"shock_nova","[169,175]",[],[],[],"[""Default"",""Riftworm"",""Kuduku"",""Blight"",""StormCultist"",""MonsterShock""]",[],"[18079,9609,36942,7333,64637,62796]",[],"愀氀",0,0,[],[431],[]
37,"boneshatter",[181],[],[],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1337],[]
38,"flame_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],"椀挀",0,0,[7],[419],[]
39,"flame_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],"愀氀",0,0,[5],[419],[]
40,"lightning_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],"愀氀",0,0,[12],[631],[]
41,"ice_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],"椀挀",0,0,[14],[418],[]
42,"ice_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],"愀氀",0,0,[19],[418],[]
43,"chaos_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],"椀挀",0,0,[26],[417],[]
44,"chaos_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],"愀氀",0,0,[31],[417],[]
45,"stone_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],"愀氀",0,0,[25],[524],[]
46,"bone_golem",[],[],[],[],"[""Default"",""Celestial"",""Darkwood"",""Stygian""]",[],"[18079,27572,12926,39541]",[],"愀氀",0,0,[32],[1204],[]
47,"cold_snap","[182,187,188,193]",[],[],[],"[""Default"",""BigHands"",""Azurite"",""ProtoVaal"",""Overseer""]",[126],"[18079,37316,62276,18886,5427]",[],"愀氀",0,0,[],"[39,40]",[]
48,"blood_rage",[198],[],[],[],"[""Default"",""Scavenger""]",[127],"[18079,46158]",[],"愀氀",0,0,[],[35],[]
49,"lightning_strike","[201,204,206,209]",[],"[23,26]",[],"[""Default"",""Alternate"",""Myrmidon""]",[129],"[18079,25075,27566]","[75,76]","愀氀",0,0,[],"[127,128]",[]
50,"vortex",[212],[],[],[],"[""Default"",""Blackhole"",""UltimatumCold"",""UltimatumLightning"",""UltimatumRuin"",""Myrmidon""]",[],"[18079,59527,47438,14591,29755,27566]",[],"愀氀",0,0,[],[607],[]
51,"burning_arrow","[215,216]",[],[29],[],"[""Default"",""Mystic""]",[285],"[18079,45462]","[81,82]","愀氀",0,0,[],"[159,160]",[]
52,"dash","[219,221,222,223]",[],"[31,32]",[],"[""Default"",""Wild"",""MonsterRunUnarmed"",""MonsterRun"",""Constrictor"",""Myrmidon""]",[],"[18079,28806,44071,55600,8701,27566]",[],"愀氀",0,0,[],[1179],[]
53,"cyclone","[239,254,273,267,268,279]",[],[],[],"[""Default"",""White"",""Blue"",""Saw"",""Illusionist"",""Celestial"",""Reserved1"",""Reserved2"",""Dark"",""Ghostflame"",""Automaton"",""BrutalPirateLord"",""UltimatumSabreSpider"",""UltimatumSabreSpiderRuin"",""UltimatumTrialmaster"",""Currency"",""Sharknado""]",[],"[18079,15971,52194,37218,54759,27572,3658,3657,5676,894,3488,28691,33116,19253,49128,53000,37940]",[],"愀氀",0,0,[],"[211,210]",[]
54,"herald_of_ash",[295],[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[133,134]","[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[],[339],[]
55,"herald_of_ice",[337],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[198],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[],[340],[]
56,"herald_of_thunder",[316],[],[],[],"[""Default"",""Tribal"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[176],"[18079,24417,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[],[341],[]
57,"herald_of_agony",[],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[242],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[36],[342],[]
58,"herald_of_purity","[358,369]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[264],"[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],"愀氀",0,0,[57],[343],[]
59,"eye_of_winter","[383,385]",[],[],[],"[""Default"",""Celestial""]",[],"[18079,27572]","[85,87]","愀氀",0,0,[],[1340],[]
60,"spectral_helix","[387,389,391]",[],[43],[],"[""Default"",""Nightfall""]",[],"[18079,57192]",[89],"愀氀",0,0,[],[1334],[]
61,"mortar_barrage_mine","[393,396]",[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[287],"[18079,7859,39541]",[91],"愀氀",0,0,[],[1213],[]
62,"mine_lightning_explosion",[399],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[289],"[18079,7859,39541]",[],"愀氀",0,0,[],[1214],[]
63,"cold_projectile_mine",[402],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[291],"[18079,7859,39541]",[94],"愀氀",0,0,[],[1215],[]
64,"flame_wall","[405,409]",[],"[44,48,52,56,60,64,68,72]",[1],"[""Default"",""Stygian"",""Oblivion"",""Transcendence""]",[293],"[18079,39541,116,28088]",[],"愀氀",0,0,[],[1278],[]
