"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey"
47,"AuguryOfPenitenceRoyale",568,"[10,-5]",30,[3],[],"",0,1,[]
48,"NearbyEnemiesChilledRoyale",1496,[],20,[3],[1],"",0,1,[]
49,"MonsterAuraPhysicalThorns1",81,[0],36,"[1,2]",[],"",0,1,[564]
50,"MonsterAuraElementalThorns1",82,[0],36,"[1,2]",[],"",0,1,[565]
51,"MonsterAuraMediumDamage1",85,[0],50,"[1,2]",[],"",0,1,[26]
52,"MonsterAuraLargeDamage1",86,[0],50,"[1,2]",[],"",0,1,[26]
53,"MonsterAuraLargeDamageUniqueMap",86,[0],50,[2],[],"",0,1,[26]
54,"MonsterAuraSpeed1",87,"[0,0,0]",45,"[1,2]",[],"",0,1,"[70,216,177]"
55,"StrIntMissionAuraSpeed1",87,"[0,0,0]",30,[2],[],"",0,1,"[70,216,177]"
56,"MonsterAuraSpeedUniqueMap1",87,"[0,0,0]",50,[2],[],"",0,1,"[70,216,177]"
57,"MonsterAuraLifeRegen1",88,[0],50,"[1,2]",[],"",0,1,[451]
58,"MonsterAuraResists1",89,[0],50,"[1,2]",[],"",0,1,[141]
59,"MonsterAuraEnergyShield1",90,[0],50,"[1,2]",[],"",0,1,[563]
60,"StrIntMissionAuraEnergyShield1",90,[0],30,[2],[],"",0,1,[563]
61,"MonsterAuraAccuracyAndCrits1",92,"[0,0]",50,"[1,2]",[],"",0,1,"[84,554]"
62,"MonsterImplicitAuraAccuracyAndCrits",92,"[0,0]",50,"[1,2]",[],"",0,1,"[84,554]"
63,"MonsterImplicitAuraAccuracyAndCritsSextant",92,"[0,0]",140,"[1,2]",[],"",0,1,"[84,554]"
64,"MonsterAuraEnemyLifeDegen1",93,[0],50,[3],[],"",0,1,[452]
65,"MonsterAuraEnemyLifeDegen2_",93,[0],50,[3],[],"",0,1,[452]
66,"MonsterAuraEssenceEnemyLifeDegen1",98,[0],50,[3],[],"",0,1,[452]
67,"MonsterAuraEnemyLifeDegenDexMission",93,[0],50,[3],[],"",0,1,[452]
68,"MonsterAuraEnemyLifeDegenCold",587,[0],10,[3],[],"",0,1,[3884]
69,"MonsterAuraEnemyLifeDegenFire",586,[0],10,[3],[],"",0,1,[2543]
70,"MonsterAuraEnemyLifeDegenLightning",588,[0],10,[3],[],"",0,1,[3885]
71,"MonsterAuraElementalDamage1",97,[0],50,"[1,2]",[],"",0,1,[486]
72,"MonsterThornsPhysical1",987,[],0,[],[],780,0,1,[]
73,"MonsterThornsElemental1",988,[],0,[],[],781,0,1,[]
74,"MonsterThornsPhysical1Large",987,[],0,[],[],782,0,1,[]
75,"MonsterThornsElemental1Large",988,[],0,[],[],783,0,1,[]
76,"StrIntMissionAuraElementalDamage1",97,[0],30,[2],[],"",0,1,[486]
77,"MonsterImplicitAuraSpeed1",87,"[0,0,0]",45,"[1,2]",[],"",0,1,"[70,216,177]"
78,"MonsterImplicitAuraSpeedSextant_",87,"[0,0,0]",140,"[1,2]",[],"",0,1,"[70,216,177]"
79,"MonsterImplicitAuraLifeRegen1",88,[0],50,"[1,2]",[],"",0,1,[451]
80,"MonsterImplicitAuraLifeRegenBossStrIntMission",88,[0],75,"[1,2]",[],"",0,1,[451]
81,"MonsterImplicitAuraLifeRegenSextant",88,[0],140,"[1,2]",[],"",0,1,[451]
82,"MonsterImplicitAuraLargeDamage1",86,[0],50,"[1,2]",[],"",0,1,[26]
83,"MonsterImplicitAuraResists1",89,[0],50,"[1,2]",[],"",0,1,[141]
84,"MonsterImplicitAuraResistsSextant",89,[0],140,"[1,2]",[],"",0,1,[141]
85,"MonsterImplicitAuraMediumDamage1",85,[0],50,"[1,2]",[],"",0,1,[26]
86,"MonsterImplicitAuraEnergyShield1",90,[0],50,"[1,2]",[],"",0,1,[563]
87,"MonsterImplicitAuraEnergyShieldBubble1",91,[0],50,"[1,2]",[],"",0,1,[563]
88,"MonsterAuraCannotDie1",132,[0],50,[2],[],"",0,1,[398]
89,"MonsterAuraSlow1",133,[0],40,[3],[],"",0,1,[177]
90,"StrIntMissionAuraSlow1",133,[0],30,[3],[],"",0,1,[177]
91,"MonsterAuraSlowUniqueMap1",133,[0],50,[3],[],"",0,1,[177]
92,"MonsterImplicitAuraSlow1",133,[0],40,[3],[],"",0,1,[177]
93,"MonsterImplicitAuraSlow2",133,[0],40,[3],[],"",0,1,[177]
94,"MonsterImplicitAuraCannotDie1",132,[0],50,[2],[],"",0,1,[398]
95,"MonsterImplicitAuraCannotDie2",132,[0],16,[2],[],"",0,1,[398]
96,"MonsterImplicitDamageReductionAura",134,[0],40,[2],[],"",0,1,[477]
97,"MonsterImplicitDamageReductionAura2",134,[0],40,[2],[],"",0,1,[477]
98,"MonsterAuraAddedColdDamage",170,[0],50,"[1,2]",[],"",0,1,[448]
99,"StrIntMissionAuraAddedColdDamage",170,[0],30,[2],[],"",0,1,[448]
100,"MonsterAuraUniqueMapColdDamage",170,[0],60,[2],[],"",0,1,[448]
101,"MonsterAuraAddedFireDamage",171,[0],50,"[1,2]",[],"",0,1,[447]
102,"MonsterAmbrosiaAuraAddedFireDamage",173,[0],50,"[1,2]",[],"",0,1,[447]
103,"StrIntMissionAuraAddedFireDamage",171,[0],30,[2],[],"",0,1,[447]
104,"MonsterAuraUniqueMapFireDamage",171,[0],60,[2],[],"",0,1,[447]
105,"MonsterAuraAddedFireDamageSkeletonArmy",171,[0],50,"[1,2]",[],"",0,1,[447]
106,"MonsterAuraAddedLightningDamage",172,[0],50,"[1,2]",[],"",0,1,[449]
107,"MonsterAmarissaAuraAddedLightningDamage",174,[0],50,"[1,2]",[],"",0,1,[449]
108,"StrIntMissionAuraAddedLightningDamage",172,[0],30,[2],[],"",0,1,[449]
109,"MonsterAuraUniqueMapLightningDamage",172,[0],60,[2],[],"",0,1,[449]
110,"MonsterAuraAlwaysCrit1",176,[0],60,"[1,2]",[],"",0,1,[348]
111,"StrIntMissionAuraAlwaysCrit1",176,[0],30,[2],[],"",0,1,[348]
112,"MonsterAuraEvasion1",177,[0],50,"[1,2]",[],"",0,1,[119]
113,"MonsterAuraUniqueMapEvasion",177,[0],60,[2],[],"",0,1,[119]
114,"ChaosDegenerationAuraPlayersUniqueBodyStr3",214,[0],30,"[3,4]",[],"",0,1,[453]
115,"ChaosDegenerationAuraNonPlayersUniqueBodyStr3",214,[0],30,"[3,5]",[],"",0,1,[453]
116,"ChaosDegenerationAuraNonPlayersUnique__1",94,[0],30,"[3,5]",[],"",0,1,[453]
117,"ChaosDegenerationAuraPlayersUnique__1",94,[0],30,"[3,4]",[],"",0,1,[453]
118,"ChaosDegenerationAuraNonPlayersUnique__1Royale__",94,[0],30,"[3,5]",[],"",0,1,[453]
119,"ChaosDegenerationAuraPlayersUnique__1Royale",94,[0],30,"[3,4]",[],"",0,1,[453]
120,"DamageAuraUniqueHelmetDexInt2",217,[0],75,"[1,2,10]",[],"",0,1,[24]
121,"DamageAuraSkeletonMonster",383,[0],60,[2],[],"",0,1,[24]
122,"MonsterPhysicalThorns",81,[0],0,[],[],"",0,1,[564]
123,"MonsterElementalThorns",82,[0],0,[],[],"",0,1,[565]
124,"MonsterNemesisTransformed",264,"[0,0,0,0]",0,[],[],"",0,1,"[718,477,1910,177]"
125,"MonsterNemesisSoulEater",267,"[0,0,0,0,0]",50,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
126,"MonsterStrIntRelicSoulEater",267,"[0,0,0,0,0]",42,"[2,3]",[],263,0,1,"[1913,1914,1915,1916,3141]"
127,"MonsterIntMinionSoulEater",267,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
128,"MonsterDexMissionSoulEater",267,"[0,0,0,0,0]",50,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
129,"MonsterImplicitNemesisSoulEaterDescent2",267,"[0,0,0,0,0]",30,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
130,"MonsterImplicitNemesisSoulEaterInvasion",267,"[0,0,0,0,0]",30,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
131,"MonsterNemesisSoulEaterSideAreaBoss",267,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
132,"MonsterNemesisSoulEaterMapAlira_",267,"[0,0,0,0,0]",150,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
133,"MonsterBreachLightningSoulEater",805,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1913,1914,1915,1916,3141]"
134,"MonsterNemesisStealthMode",270,"[0,0,0]",0,[],[],"",0,1,"[1937,1938,1939]"
135,"MonsterNemesisVines",1031,[],0,[],[],"",0,1,[]
136,"MonsterNemesisVinesLarge",1032,[],0,[],[],"",0,1,[]
137,"MonsterNemesisPhysicalProjectiles_",1024,[],0,[],[],"",0,1,[]
138,"MonsterNemesisFireProjectiles",1022,[],0,[],[],"",0,1,[]
139,"MonsterNemesisLightningClone",1038,[],0,[],[],"",0,1,[]
140,"MonsterNemesisLightningCloneLarge",1039,[],0,[],[],"",0,1,[]
141,"MonsterNemesisColdBeam",1058,[],0,[],[],"",0,1,[]
142,"UndyingBreathCurseAuraUniqueStaff5",280,[0],75,[3],[],"",0,1,[1281]
143,"UndyingBreathDamageAuraUniqueStaff5",281,[0],75,"[2,10]",[],"",0,1,[24]
144,"UniqueSpecialCorruptionNearbyEnemiesBlinded",1496,[],30,[3],[9],"",0,1,[]
145,"UniqueSpecialCorruptionNearbyEnemiesMalediction",1496,[],30,[3],[12],"",0,1,[]
146,"UniqueSpecialCorruptionNearbyEnemiesCrushed",1496,[],30,[3],"[11,-15]","",0,1,[]
147,"StrDexMasterSlowAura",133,[0],30,[3],[],"",0,1,[177]
148,"MonsterCannotBeDamaged",336,[0],0,[],[],"",0,1,[140]
149,"MonsterCannotBeDamagedUniqueMap",336,[0],0,[],[],"",0,1,[140]
150,"DexMissionCorruptedBeastEffect1",341,[],0,[],[],"",0,1,[]
151,"IntMissionDamageBoostAura",282,[0],50,"[2,3,10]",[],"",0,1,[24]
152,"StrIntMissionManaRegenRelic",338,[0],30,[],[],"",0,1,[129]
153,"MonsterAddedFireDamageAndIgnite",347,"[0,0]",0,[],[],"",0,1,"[447,611]"
154,"MonsterAddedColdDamageAndFreeze",348,"[0,0]",0,[],[],"",0,1,"[448,455]"
155,"MonsterAddedLightningDamageAndShock",349,"[0,0]",0,[],[],"",0,1,"[449,659]"
156,"MonsterAddedPhysicalDamageAndBleed",353,"[0,0]",0,[],[],"",0,1,"[26,2370]"
157,"StrDexMissionAddedFireDamage",350,[0],0,[],[],"",0,1,[447]
158,"StrDexMissionAddedColdDamage",351,[0],0,[],[],"",0,1,[448]
159,"StrDexMissionAddedLightningDamage",352,[0],0,[],[],"",0,1,[449]
160,"MonsterBloodlinesShrouded",359,"[0,0]",0,[],[],341,0,1,"[2629,2578]"
161,"TormentSpiritExperimenter",368,[0],35,[3],[],"",0,1,[477]
162,"TormentSpiritCharlatanRegenerationAura",88,[0],40,"[1,2]",[],"",0,1,[451]
163,"TormentSpiritCharlatanDegenerationAura",95,[0],40,[3],[],"",0,1,[2576]
164,"TormentSpiritCutthroat",86,[0],45,"[1,2]",[],"",0,1,[26]
165,"TormentHauntedMonsterCutthroat",377,"[0,0]",45,"[1,2]",[],"",0,1,"[26,70]"
166,"TormentSpiritEmbezzler",379,"[0,0,0]",40,[3],[],"",0,1,"[1014,1015,1016]"
167,"TormentSpiritSmuggler",90,[0],45,"[1,2]",[],"",0,1,[563]
168,"TormentHauntedSmuggler",90,[0],45,"[1,2]",[],"",0,1,[563]
169,"TormentSpiritShavronne",703,"[0,0]",45,"[1,2]",[],"",0,1,"[563,1205]"
170,"TormentHauntedMonsterShavronne",703,"[0,0]",45,"[1,2]",[],"",0,1,"[563,1205]"
171,"MonsterBloodlinesThorns",103,"[0,0]",0,[],[],"",0,1,"[564,565]"
172,"MonsterBloodlinesThornsLargeModel",104,"[0,0]",0,[],[],"",0,1,"[564,565]"
173,"MonsterBloodlinesBurningAura",366,[0],30,[3],[],"",0,1,[2543]
174,"MonsterBloodlinesBurningAura2",366,[0],30,[3],[],"",0,1,[2543]
175,"MonsterBloodlinesBurningAura3",366,[0],30,[3],[],"",0,1,[2543]
176,"MonsterBloodlinesBurningAura4",366,[0],30,[3],[],"",0,1,[2543]
177,"MonsterBloodlinesBurningAura5",366,[0],30,[3],[],"",0,1,[2543]
178,"MonsterBloodlinesBurningAura6",366,[0],30,[3],[],"",0,1,[2543]
179,"MonsterBloodlinesBurningAura7",366,[0],30,[3],[],"",0,1,[2543]
180,"MonsterBloodlinesChillingAura",367,[0],30,[3],[],"",0,1,[8444]
181,"MonsterBloodlinesShockingAura",368,[0],30,[3],[],"",0,1,[477]
182,"TormentTouchedEffect",374,[],0,[],[],"",0,1,[]
183,"TormentPossessedEffect",375,[],0,[],[],"",0,1,[]
184,"LifeRegenerationAuraUniqueAmulet21",389,"[0,0]",50,"[2,10]",[],"",0,1,"[451,130]"
185,"NearbyAlliesHaveCullingStrikeUniqueTwoHandAxe9",404,[0],50,"[2,10]",[],"",0,1,[589]
186,"NearbyAlliesHaveIncreasedItemRarityUniqueTwoHandAxe9",405,[0],50,"[2,10]",[],"",0,1,[153]
187,"NearbyAlliesHaveCullingStrikeUnique__1",404,[0],30,"[2,10]",[],"",0,1,[589]
188,"NearbyAlliesHaveIncreasedItemRarityUnique__1",405,[0],30,"[2,10]",[],"",0,1,[153]
189,"NearbyAlliesHaveCriticalStrikeMultiplierUnique__1",1237,[0],30,"[2,10]",[],"",0,1,[95]
190,"NearbyAlliesHaveFortifyUnique__1__",1449,[],30,"[2,10]",[],"",0,1,[]
191,"DoedreCurseZoneAuraVulnerability_",77,"[0,0,0,0]",52,"[3,10]",[],445,0,1,"[545,5248,12440,7286]"
192,"DoedreCurseZoneAuraTemporalChains",67,"[0,0,0]",52,"[3,10]",[],444,0,1,"[3255,9175,532]"
193,"DoedreCurseZoneAuraEnfeeble",74,"[0,0,0]",52,"[3,10]",[],443,0,1,"[84,648,9176]"
194,"DoedreCurseZoneAuraVulnerability2",77,"[0,0,0,0]",52,"[3,10]",[],445,0,1,"[545,5248,12440,7286]"
195,"DoedreCurseZoneAuraTemporalChains2",67,"[0,0,0]",52,"[3,10]",[],444,0,1,"[3255,9175,532]"
196,"DoedreCurseZoneAuraEnfeeble2",74,"[0,0,0]",52,"[3,10]",[],443,0,1,"[84,648,9176]"
197,"UniqueAnimateWeaponAura",461,"[0,0]",1,[9],[],"",0,1,"[3329,1755]"
198,"TalismanT2SacrificalBlades",281,[0],30,"[2,10]",[],"",0,1,[24]
199,"BlindAuraUnique__1",1496,[],25,[3],[9],175,0,1,[]
200,"NearbyEnemiesAreHinderedUnique__1",1498,[0],35,[3],[],1223,0,1,[11553]
201,"HearbyEnemiesAreHinderedHarbinger",1498,[0],50,[3],[],1223,0,1,[11553]
202,"LightningDegenAuraUnique__1",460,[0],32,[3],[],"",0,1,[4113]
203,"EssenceDaemonAlternatingBuffsSpeedDodge4",733,"[0,0,0,0,0]",0,[],[],"",0,1,"[177,216,70,1938,1939]"
204,"EssenceDaemonAlternatingBuffsSpeedDodge5",733,"[0,0,0,0,0]",0,[],[],"",0,1,"[177,216,70,1938,1939]"
205,"EssenceDaemonAlternatingBuffsSpeedDodge6",733,"[0,0,0,0,0]",0,[],[],"",0,1,"[177,216,70,1938,1939]"
206,"EssenceDaemonAlternatingBuffsSpeedDodge7",733,"[0,0,0,0,0]",0,[],[],"",0,1,"[177,216,70,1938,1939]"
207,"EssenceDaemonAlternatingBuffsDamage4",736,"[0,0]",0,[],[],"",0,1,"[634,477]"
208,"EssenceDaemonAlternatingBuffsDamage5",736,"[0,0]",0,[],[],"",0,1,"[634,477]"
209,"EssenceDaemonAlternatingBuffsDamage6",736,"[0,0]",0,[],[],"",0,1,"[634,477]"
210,"EssenceDaemonAlternatingBuffsDamage7",736,"[0,0]",0,[],[],"",0,1,"[634,477]"
211,"EssenceDaemonAlternatingBuffsCrit5",739,"[0,0]",0,[],[],"",0,1,"[2550,348]"
212,"EssenceDaemonAlternatingBuffsCrit6",739,"[0,0]",0,[],[],"",0,1,"[2550,348]"
213,"EssenceDaemonAlternatingBuffsCrit7_",739,"[0,0]",0,[],[],"",0,1,"[2550,348]"
214,"EssenceHorrorCharges1",756,[],0,[],[],"",0,1,[]
215,"ElementalDamageTakenWhileStationaryEssence1",729,[0],0,[],[],"",0,1,[4843]
216,"BurningGroundWhileMovingEssence1",730,[],0,[],[],"",0,1,[]
217,"MonsterGainFrenzyEnduranceChargeEvery5Seconds",750,[],0,[],[],"",0,1,[]
218,"RemnantOfCorruptionMonsterAura",751,"[0,0,0]",30,[3],[],"",0,1,"[177,2576,3071]"
219,"VaultTreasureDaemon",773,[0],12,[12],[],"",0,1,[5047]
220,"DaemonAlternatingBuffsStatueMaker",767,"[0,0,0,0]",0,[],[],"",0,1,"[24,10,477,11]"
221,"VaultBossTreasurePileDamageBuff",773,[0],25,[],[],"",0,1,[5047]
222,"ShaperTouched1",376,[],0,[],[],636,0,1,[]
223,"ShaperHealed1",376,[],0,[],[],636,0,1,[]
224,"ShaperDaemon1",376,[],0,[],[],636,0,1,[]
225,"ShaperDaemon2",376,[],0,[],[],636,0,1,[]
226,"ShaperDaemon3_",376,[],0,[],[],636,0,1,[]
227,"ShaperDaemon4",376,[],0,[],[],636,0,1,[]
228,"NearbyEnemiesAreIntimidatedUnique__1",1496,[],25,[3],[7],"",0,1,[]
229,"MonsterNearbyEnemiesAreIntimidated",895,[0],25,[3],[],"",0,1,[5707]
230,"NearbyAlliesMovementVelocityUnique__1",837,[0],50,"[1,2,10]",[],"",0,1,[177]
231,"PowerChargeOnManaSpentUnique__1",918,[],0,[],[],"",0,1,[]
232,"EnemyPhysicalDamageTakenAuraUber1_",1167,[0],60,[3],[],"",0,1,[545]
233,"EnemyElementalDamageTakenAuraUber1",1505,[0],60,[3],[],"",0,1,[3504]
234,"PowerChargeOnManaSpentUber1",918,[],0,[],[],"",0,1,[]
235,"GainCriticalStrikeChanceOnManaSpentUnique__1",957,[],0,[],[],"",0,1,[]
236,"MaximumVoidArrowsUnique__1",1006,[],0,[],[],"",0,1,[]
237,"BestiaryModAgileRhexAura1_",1076,"[0,0,0]",0,[],[],"",0,1,"[1938,1939,177]"
238,"BestiaryModUrsaeAura1",1079,"[0,0,0]",0,[],[],"",0,1,"[3398,702,24]"
239,"BestiaryModLynxAura1",1082,"[0,0,0]",0,[],[],"",0,1,"[70,84,554]"
240,"BestiaryModCrabAura1",1085,"[0,0]",50,"[1,2]",[],"",0,1,"[477,448]"
241,"BestiaryModSquidAura1",1086,"[0,0]",50,"[1,2]",[],"",0,1,"[449,977]"
242,"BestiaryModSpiderAura1",1087,"[0,0]",50,"[1,2]",[],"",0,1,"[2312,7156]"
243,"BestiaryModTigerSpiritBossMinions",1088,"[0,0,0,0]",50,"[1,2]",[],"",0,1,"[70,84,554,95]"
244,"UniqueNearbyAlliesAreLucky",1150,[0],50,"[2,10]",[],"",0,1,[8160]
245,"NearbyEnemiesReducedStunRecoveryUnique__1",1168,[0],60,[3],[],"",0,1,[221]
246,"NearbyEnemiesGrantIncreasedFlaskChargesUnique__1",1169,[0],60,[3],[],"",0,1,[459]
247,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__1",1171,[0],60,[3],[],"",0,1,[9091]
248,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__2",1170,[0],60,[3],[],"",0,1,[9087]
249,"NearbyEnemiesHaveReducedAllResistancesUnique__1",1172,[0],60,[3],[],"",0,1,[7675]
250,"DelveHelmetEnemyFireResistanceAura1",1163,[0],60,[3],[],"",0,1,[144]
251,"DelveHelmetEnemyColdResistanceAura1",1164,[0],60,[3],[],"",0,1,[146]
252,"DelveHelmetEnemyLightningResistanceAura1",1165,[0],60,[3],[],"",0,1,[148]
253,"DelveHelmetEnemyPhysicalDamageTakenAura1",1167,[0],60,[3],[],"",0,1,[545]
254,"DelveHelmetEnemyChaosResistanceAura1",1166,[0],60,[3],[],"",0,1,[150]
255,"TriggerFeastOfFleshSkillUnique__1_",1203,[0],0,[],[],"",0,1,[4956]
256,"TriggerRandomOfferingSkillUnique__1",1203,[0],0,[],[],"",0,1,[4956]
257,"BetrayalBannerAuraMod",1229,"[0,0,0]",24,[2],[],0,0,1,"[24,451,477]"
258,"NearbyEnemiesCannotCritUnique__1",1271,[0],60,[3],[],"",0,1,[694]
259,"NearbyAlliesCannotBeSlowedUnique__1",1272,[0],50,"[2,10]",[],"",0,1,[3398]
260,"ElementalAilmentsOnYouInsteadOfAlliesUnique__1",1311,[0],60,[2],[],"",0,1,[9657]
261,"RareMonsterPack",376,[],0,[],[],1099,0,1,[]
262,"BlightDaemonDeathEPKFireVolatiles_",376,[],0,[],[],1131,0,1,[]
263,"BlightDaemonDeathEPKColdSnaps",376,[],0,[],[],1132,0,1,[]
264,"BlightDaemonDeathEPKLightningZaps",376,[],0,[],[],1133,0,1,[]
265,"BlightDaemonDeathEPKPhysicalBlood_",376,[],0,[],[],1134,0,1,[]
266,"BlightDaemonDeathEPKChaosGhosts",376,[],0,[],[],1135,0,1,[]
267,"AtlasCrusaderClericAura",1418,"[0,0]",21,[2],[],"",0,1,"[449,659]"
268,"AtlasCrusaderClericAuraSpectre",1418,"[0,0]",21,[2],[],"",0,1,"[449,659]"
269,"NearbyEnemiesIncreasedFireColdResistUnique__1_",1438,"[0,0]",30,[3],[],"",0,1,"[10359,10360]"
270,"EnemyLightningResistanceAuraInfluence1_",1165,[0],60,[3],[],"",0,1,[148]
271,"EnemyFireResistanceAuraInfluence1",1163,[0],60,[3],[],"",0,1,[144]
272,"EnemyColdResistanceAuraInfluence1__",1164,[0],60,[3],[],"",0,1,[146]
273,"EnemyChaosResistanceAuraInfluence1_",1166,[0],60,[3],[],"",0,1,[150]
274,"NearbyEnemiesAreBlindedInfluence1_",1496,[],35,[3],[9],"",0,1,[]
275,"MonsterAfflictionMagicRandomPackTeleport",376,[],0,[],[],1272,0,1,[]
276,"MonsterAfflictionMagicRewardLightningBolt",376,[],0,[],[],1272,0,1,[]
277,"MonsterAfflictionMagicRewardFireSnap",376,[],0,[],[],1270,0,1,[]
278,"MonsterAfflictionMagicRewardFrostOrbs_",376,[],0,[],[],1271,0,1,[]
279,"MonsterAfflictionMagicRewardSlamma",376,[],0,[],[],1273,0,1,[]
280,"MonsterAfflictionMagicRewardSoulMortarOnDeath",376,[],0,[],[],1267,0,1,[]
281,"MonsterAfflictionMagicRewardSpineCascadeOnDeath",376,[],0,[],[],1268,0,1,[]
282,"MonsterAfflictionMagicRewardDebuffRecoveryRate__",376,[],0,[],[],1269,0,1,[]
283,"MonsterAfflictionMagicRewardDebuffActionSpeed",376,[],0,[],[],1269,0,1,[]
284,"MonsterAfflictionMagicRewardDebuffDamageTaken",376,[],0,[],[],1269,0,1,[]
285,"MonsterAfflictionMagicRewardDebuffFlaskEffect_",376,[],0,[],[],1269,0,1,[]
286,"MonsterAfflictionHasDestroyCorpseSummonMonsterDaemon",376,[],0,[],[],1274,0,1,[]
