"rownum","Id","CharactersKey","Text","Mono_AudioFile","Stereo_AudioFile","HasStereo","bool","Video","i32","i32","i32","i32","i32","i32","i32","rid"
11,"NessaOnPiety","","I can think of only one reason why Piety would be here. She's interested in the sickness that pervades this place, the corruption that raises the dead and twists the wildlife into aberrations.","Audio/Dialogue/NPC/Nessa/Ne12.ogg","","","","",0,0,1,1,0,9144,0,""
12,"NessaOnRhoas","","Don't tell Tarkleigh, but they're the foulest fowl I've ever tasted. Still, exiles can't be choosers.","Audio/Dialogue/NPC/Nessa/Ne06.ogg","","","","",0,0,1,1,0,9464,0,""
13,"NessaOnBestel","","The 'Merry Gull' ran aground on the Tidal Island trying to escape from pirates. As tends to happen here in Wraeclast, her crew met a far worse fate: Cannibals.\r\n\r\nTarkleigh pulled Bestel from some hideaway in the wreckage... the ship's only survivor. Whether the ordeal fractured his mind or whether it was just his nature all along, it's clear that Bestel sails a different course to the rest of us.","Audio/Dialogue/NPC/Nessa/Ne03.ogg","","","","",0,0,1,1,0,10384,0,""
14,"NessaOnBrutus","","The tale of Brutus was a popular one in the schools of Theopolis, taught in the hopes of deterring students from ambitions not condoned by the Templar.\r\n\r\nBrutus was Warden of Axiom Prison and one of the most feared men in the Eternal Empire. But there the histories end... and the myth begins, with Brutus commissioning a witch to transform him, in a mad attempt at immortality. A moment of hubris that didn't end well... for anyone.\r\n\r\nIf it's true then Brutus has my pity. Some of us pay too dearly for our mistakes.\r\n\r\nYet if you insist on learning from your own mistakes then please, take one of these. You might need it.","Audio/Dialogue/NPC/Nessa/Ne11.ogg","","","","",0,0,1,1,0,11756,0,""
15,"NessaOnBrutusDead","","For some, death is welcomed with open arms. Did you end Brutus' suffering out of avarice, or mercy? Only you know the answer to that one.","Audio/Dialogue/NPC/Nessa/Ne13.ogg","","","","",0,0,1,1,0,12158,0,""
16,"NessaOnOpenedRoad","","Some have dared hope for a better life beyond Prisoners Gate. Not me. My place is here, easing the suffering of exile as best I can.","Audio/Dialogue/NPC/Nessa/Ne14.ogg","","","","",0,0,1,1,0,12550,0,""
17,"NessaOnMerveil","","Merveil dwells in the caves beyond the wrecks, at the head of Siren's Cove.\r\n\r\nLeave her be and we can only hope that she continues to return the favour.","Audio/Dialogue/NPC/Nessa/Ne16.ogg","","","","",0,0,1,1,0,12978,0,""
18,"NessaMerveilReward","","If you must take your chances with the Siren, then have this. It may be of some help.\r\n\r\nBut please, know that you don't have to do this. Tarkleigh and I are getting used to having you around.","Audio/Dialogue/NPC/Nessa/Ne17.ogg","","","","",0,0,1,1,0,13492,0,""
19,"NessaMerveilDead","","I thought you were a fool for seeking out Merveil. A fool in love with death. Now... I don't know.\r\n\r\nStill, you've delivered this coast from the terrors that long held sway here. We may now find some respite and that's more than any of us could have hoped for.\r\n\r\nBut please... consider this. What have you become when even nightmares fear you?","Audio/Dialogue/NPC/Nessa/Ne18.ogg","","","","",0,0,1,1,0,14308,0,""
20,"TarkleighHillockReward","","Fine work with Hillock. Where'd you learn to fight like that? No, forget I asked. We exiles have no history. Dominus took it from us when he had his Blackguards dump us in the water out there.\r\n\r\nHere, got something for you. Should help you kill a few more of those undead bastards. No, don't bother thanking me. The way I figure it, the longer we fighters live, the longer everyone lives.","Audio/Dialogue/NPC/Tarkleigh/T01_Reward.ogg","","","","",0,0,1,1,0,15244,0,""
21,"TarkleighIntroduction","","Fine work with Hillock. Where'd you learn to fight like that? No, forget I asked. We exiles have no history. Dominus took it from us when he had his Blackguards dump us in the water out there.","Audio/Dialogue/NPC/Tarkleigh/T01_NoReward.ogg","","","","",0,0,1,1,0,15788,0,""
22,"TarkleighBrutusQuest","","There's a fine line between man and monster. Brutus, the Warden of Axiom Prison... he crossed that line long ago. A big lad, and as you know from Hillock, big lads are slow. Hit and run, that's the way to cut them down to size. Unless there's thaumaturgy involved. Then forget the 'hitting' bit. Just run.","Audio/Dialogue/NPC/Tarkleigh/T18.ogg","","","","",0,0,1,1,0,16538,0,""
23,"TarkleighBrutusDead","","The Warden's free of his own prison? Well, since you're so bloody determined to cheat the britches off death, you'd better have one of these... for luck. \r\n\r\nAnd when they write the song about you, just be sure to mention that it was Tarkleigh who taught you everything you know.","Audio/Dialogue/NPC/Tarkleigh/T20.ogg","","","","",0,0,1,1,0,17234,0,""
24,"TarkleighOnTown","","Founded by Marceus Lioneye as a supply station for his campaigns against the Karui. In its day, Lioneye's Watch could be defended by just a small garrison of well-armed legionnaires.\r\n\r\nWhat have I got? A handful of starving criminals with driftwood clubs and rusted hatchets.","Audio/Dialogue/NPC/Tarkleigh/T12.ogg","","","","",0,0,1,1,0,17916,0,""
25,"TarkleighOnZombies","","The Eternal Empire has some right nasty leftovers. Whether it's something in the air or in the water, no one stays dead in Wraeclast... not the first time. Can take a little while, but sooner or later corpses wake up and go looking for breakfast.","Audio/Dialogue/NPC/Tarkleigh/T06.ogg","","","","",0,0,1,1,0,18544,0,""
26,"TarkleighOnMerveil","","If you have to quench your curiosity about Merveil, go look at the corsairs that haunt the grave of ships. Like any mother, Merveil's got hungry mouths to feed.","Audio/Dialogue/NPC/Tarkleigh/T25.ogg","","","","",0,0,1,1,0,19000,0,""
27,"TarkleighOnRhoas","","Rhoas? Overgrown chickens with a murderous streak. If you're not careful, they'll talon your guts out and snap them up like big, fat worms.\r\n\r\nThat said, be sure to rifle through their nests if you get the chance. Rhoas are like magpies, attracted to what shines.","Audio/Dialogue/NPC/Tarkleigh/T10.ogg","","","","",0,0,1,1,0,19658,0,""
28,"TarkleighOnCannibals","","Though they might look like you or I, behind those eyes there's nothing but darkness and hunger. Whatever's got inside those folks... is not even close to being human.","Audio/Dialogue/NPC/Tarkleigh/T11.ogg","","","","",0,0,1,1,0,20132,0,""
29,"TarkleighOnBestel","","That hat Bestel wears? Saw him pluck it from the real captain's head, right before the cannibals barbequed the poor bastard. Waste not want not, I suppose.\r\n\r\nYes, Bestel's got a gift for telling tales but I'd never call him a liar. The truth's always in there. You just have to listen for it.","Audio/Dialogue/NPC/Tarkleigh/T04.ogg","","","","",0,0,1,1,0,20852,0,""
30,"TarkleighMerveilDead","","Damn me! I didn't think it possible. All these souls Merveil and her brood have consumed over the years... you've done right by those that are dead, and by those who still might live.","Audio/Dialogue/NPC/Tarkleigh/T26.ogg","","","","",0,0,1,1,0,21358,0,""
31,"TarkleighOnNessa","","Nessa's the one keeps the rest of us from losing our minds. To be honest, when she first arrived, I didn't think she'd survive more than a day, two at most. She's been proving me wrong every dawn since.\r\n\r\nHeard a bard once sing that \""the fairest flowers bloom in the foulest places\"". He was bloody well right.","Audio/Dialogue/NPC/Tarkleigh/T03.ogg","","","","",0,0,1,1,0,22110,0,""
32,"TarkleighOnTunnel","","The Submerged Passage doesn't look like it's always been underwater, and I'd wager it has something to do with those empty sockets in the cliff face. Whatever filled them... are long lost now. Though if they were shiny, who knows, maybe they're decorating some rhoa nests?","Audio/Dialogue/NPC/Tarkleigh/T14.ogg","","","","",0,0,1,1,0,22788,0,""
33,"TarkleighOnGlyphs","","I've spent enough time smuggling from coast to coast to know that those shells don't come from these waters. They're Karui, and look about right to fit into that rock wall in the Mud Flats. I say complete the set, fit them into the sockets, and stand well back.","Audio/Dialogue/NPC/Tarkleigh/T15.ogg","","","","",0,0,1,1,0,23444,0,""
34,"TarkleighDeepDweller","","Now that you've drained that passage, best I warn you about something.\r\n\r\nI was running down a wounded rhoa, one night's eve, when I glimpsed something in that water-logged cavern. Looked a bit like a sand spitter, only the size of a bloody ox.\r\n\r\nI reckon it's nesting down in those flooded depths somewhere. If you're going that way then do us a favour. Spill the old shield crab's guts before it gets hungry and comes looking for us.","Audio/Dialogue/NPC/Tarkleigh/T16.ogg","","","","",0,0,1,1,0,24456,0,""
35,"TarkleighDeadDweller","","You managed to kill a Grandaddy Crab? A pity you couldn't lug it up out of the caves for us. Could have made quite the chowder out of it. No matter. We've got one less reason to fear the dark and I've got one more thing to thank you for.","Audio/Dialogue/NPC/Tarkleigh/T17.ogg","","","","",0,0,1,1,0,25070,0,""
36,"TarkleighFetidPoolQuest","","Got a job for you, if you're willing. There's a pool near the Mud Flats needs investigating. You'll smell it before you see it. Stinks like a carcass in high summer. But that's not the worst of it.\r\n\r\nDead birds walking. Animals don't rise up again the same as people do here. So if they aren't raising themselves, what's doing it for them? The answer's in that Fetid Pool. \r\n\r\nClear the place out and kill whatever's raising those rhoas. We've got enough living dead to contend with already.","Audio/Dialogue/NPC/Tarkleigh/T30.ogg","","","","",0,0,1,1,0,26200,0,""
37,"TarkleighFetidPoolQuestVisited","","You've seen the Fetid Pool, have you? Or smelt it, rather. Stinks like a carcass in high summer. But that's not the worst of it.\r\n\r\nDead birds walking. Animals don't rise up again the same as people do here. So if they aren't raising themselves, what's doing it for them? The answer's in that Fetid Pool. \r\n\r\nClear the place out and kill whatever's raising those rhoas. We've got enough living dead to contend with already.","Audio/Dialogue/NPC/Tarkleigh/T31.ogg","","","","",0,0,1,1,0,27206,0,""
38,"TarkleighNecromancer","","A necromancer? Just the one, was it? Guess the bastard got a bit lonely, decided to make himself some pets. \r\n\r\nWell, good to see you don't mind getting your hands good and filthy. Here... to mark a dirty job well done.","Audio/Dialogue/NPC/Tarkleigh/T13.ogg","","","","",0,0,1,1,0,27784,0,""
39,"TarkleighOnCutOff","","Why would Piety go and cut us off from the interior? Thankfully, I don't have it in me to know what that witch thinks.\r\n \r\nBut I reckon you'll work it out, once you've lowered Shavronne's Barricade for us, of course.\r\n","Audio/Dialogue/NPC/Tarkleigh/T22.ogg","","","","",0,0,1,1,0,28354,0,""
40,"TarkleighOnRoad","","I've travelled inland, on the Emperor's Road via the Prisoner's Gate. Had to skirt around Axiom Prison... that's the holdfast of Brutus, the Warden. Bloody treacherous trip, it was.\r\n\r\nWorth it? There's forest inland. Game, berries, fruit... more food than we can scrounge here. \r\n\r\nBut most here wouldn't survive the journey. Would be a damn sight easier if we could pass through the Prison. Tell you what... you carve us a path up the coast, find us a way past or through Brutus, and you'll have more than a few lives owing to you.","Audio/Dialogue/NPC/Tarkleigh/T21.ogg","","","","",0,0,1,1,0,29550,0,""
41,"TarkleighOnOpenedRoad","","You found a way to bring down Shavronne's Barricade? It's at times like these I recall I'm a man of action, not words. Should we encounter each other in the forest, the roast boar's on me, my friend.","Audio/Dialogue/NPC/Tarkleigh/T23.ogg","","","","",0,0,1,1,0,30090,0,""
42,"TarkleighOnGoatmen","","There's many a way to die in Wraeclast. Most of them are mercifully quick. But you get caught alive by the goatmen, you'll wish by any god you believe in that you hadn't.\r\n\r\nI've heard some of the more superstitious exiles say there's a deity these goatmen worship. Abberath, Eater of Agony. Sounds like a right bastard, if you ask me. So if the goatmen hand you an invitation to go have dinner with their god, tell them where to stick it.","Audio/Dialogue/NPC/Tarkleigh/T27.ogg","","","","",0,0,1,1,0,31104,0,""
43,"TarkleighOnLettersOfExile","","I've seen many an exile pass through Lioneye's Watch. And many more that simply pass on. Those letters are my way of keeping track... of remembering.\r\n\r\nOriath might want to forget us all, but I'll be damned if I will.","Audio/Dialogue/NPC/Tarkleigh/T05.ogg","","","","",0,0,1,1,0,31690,0,""
44,"TarkleighOnMedicineChest","","That medicine chest you found, it'll do more than you might think. The medicine will run out, it always does. But Nessa won't. Give that girl a sliver of hope and she'll carry it to the end of the world.","Audio/Dialogue/NPC/Tarkleigh/T29.ogg","","","","",0,0,1,1,0,32244,0,""
45,"BestelIntoduction1",0,"A mighty Marauder, marooned on a moribund mainland. That's the first line of the poem I'm writing about you, exile. \r\n\r\nEasy, lad. You could gut a bloke with a look like that.\r\n\r\nThe name's Bestel, captain of the good ship 'Merry Gull'. Alas, my Merry Gull is gone. My crew is gone. But my wits remain... after a fashion.","Audio/Dialogue/NPC/Bestel/B06.ogg","","","","",0,0,1,1,0,33016,0,""
46,"BestelIntoduction2",1,"A waifish, waterlogged Witch, washed up in Wraeclast. That's the first line of the poem I'm writing about you, exile. \r\n\r\nEasy, girl. You could scorch a bloke with a look like that.\r\n\r\nThe name's Bestel, captain of the good ship 'Merry Gull'. Alas, my Merry Gull is gone. My crew is gone. But my wits remain... after a fashion.","Audio/Dialogue/NPC/Bestel/B02.ogg","","","","",0,0,1,1,0,33800,0,""
47,"BestelIntoduction3",3,"A ravishing Ranger, relegated to rot in Wraeclast. That's the first line of the poem I'm writing about you, exile. \r\n\r\nEasy, girl. You could skewer a bloke with a look like that.\r\n\r\nThe name's Bestel, captain of the good ship 'Merry Gull'. Alas, my Merry Gull is gone. My crew is gone. But my wits remain... after a fashion.","Audio/Dialogue/NPC/Bestel/B05.ogg","","","","",0,0,1,1,0,34578,0,""
48,"BestelIntoduction4",4,"A dashing Duelist, drenched and deserted on the dreary strand. That's the first line of the poem I'm writing about you, exile. \r\n\r\nEasy, lad. You could lacerate a bloke with a look like that.\r\n\r\nThe name's Bestel, captain of the good ship 'Merry Gull'. Alas, my Merry Gull is gone. My crew is gone. But my wits remain... after a fashion.","Audio/Dialogue/NPC/Bestel/B03.ogg","","","","",0,0,1,1,0,35382,0,""
49,"BestelIntoduction5",5,"A sodden Shadow staggered from the surf and surveyed the somber strand. That's the first line of the poem I'm writing about you, exile. \r\n\r\nEasy, lad. You could poison a bloke with a look like that.\r\n\r\nThe name's Bestel, captain of the good ship 'Merry Gull'. Alas, my Merry Gull is gone. My crew is gone. But my wits remain... after a fashion.","Audio/Dialogue/NPC/Bestel/B04.ogg","","","","",0,0,1,1,0,36200,0,""
50,"BestelIntoduction6",6,"A tyrannical Templar, to be tested and tempered in the straits of Wraeclast. That's the first line of the poem I'm writing about you, exile. \r\n\r\nEasy, mate. You could damn a bloke with a look like that.\r\n\r\nThe name's Bestel, captain of the good ship 'Merry Gull'. Alas, my Merry Gull is gone. My crew is gone. But my wits remain... after a fashion.","Audio/Dialogue/NPC/Bestel/B07.ogg","","","","",0,0,1,1,0,37026,0,""
51,"BestelIntoduction7",2,"Judging by those eyes of yours, I'd best count you a friend. I wouldn't last long as a foe.\r\n\r\nThe name's Bestel, captain of the good ship 'Merry Gull'. Swift and pretty, she was. Nothing like the High Templar's rubbish scow that brought you here.\r\n\r\nAlas, the Merry Gull is gone... my crew is gone. But my wits remain... after a fashion.\r\n","Audio/Dialogue/NPC/Bestel/B01.ogg","","","","",0,0,1,1,0,37836,0,""
52,"BestelMerveilDead","","Quite the lady killer, aren't you? That singing squid didn't stand a chance. Knew it, from the first time I saw those sharp peepers of yours.\r\n\r\nPirates notwithstanding, I thank you on behalf of all the fallen brethren of the waves. Now that the final cadence has been played, no one need remember Merveil's song.","Audio/Dialogue/NPC/Bestel/B28.ogg","","","","",0,0,1,1,0,38590,0,""
53,"BestelOnTown","","Marceus commanded the southernmost of the Eternal Legions, here at Lioneye's Watch. Why was he called Lioneye? Crazy fool had his left eye taken out and a golden-hued gem put in its place.\r\n\r\nHis head must have made quite the pretty adornment for King Kaom's belt.","Audio/Dialogue/NPC/Bestel/B22.ogg","","","","",0,0,1,1,0,39236,0,""
54,"BestelOnNessa","","Poor Nessa. Not even a mother herself and yet she cares for us all. And what a sickly, pathetic brood we are. May she live to have her own family, a real family. If anyone deserves that, Nessa does.","Audio/Dialogue/NPC/Bestel/B10.ogg","","","","",0,0,1,1,0,39752,0,""
55,"BestelIslandClue","","There's an island, a hop, skip, and a wade offshore of the Terraces. That's where my Merry Gull ran aground.\r\n\r\nWatched the locals spit-roast the ship's doctor, but his medicine chest might still be there, amongst the splinters and bones. It'd have everything Nessa might need.\r\n\r\nDoctor 'Shaky Hands' Opden was lousy with a scalpel, and even worse with a saw... but he knew his apothecary. Explains the shaky hands, if you ask me.","Audio/Dialogue/NPC/Bestel/B15.ogg","","","","",0,0,1,1,0,40740,0,""
56,"BestelOnTarkleigh","","Tarkleigh rescued from the waves\r\nA stricken Bestel, fate's slave.\r\nFrom fallen crew and broken bark,\r\nBestel lives, thanks to Tark... leigh.","Audio/Dialogue/NPC/Bestel/B09.ogg","","","","",0,0,1,1,0,41150,0,""
57,"BestelOnZombies","","Arrol, the Merry Gull's cook, washed up on the rocks over yonder. Dead as a doornail, he was. Buried him myself.\r\n\r\nThen a few days later I see him on the beach... a little worse for wear, but upright, shuffling about. A land full of disturbing surprises, this Wraeclast.","Audio/Dialogue/NPC/Bestel/B12.ogg","","","","",0,0,1,1,0,41816,0,""
58,"BestelOnSirenCove","","Siren's Cove belongs to Merveil. \r\n\r\nThose butchering buccaneers sailed off that way, the ones that plundered my poor Merry Gull. T'would be poetic justice if they'd stopped off for a sing-a-long with Merveil's lovely daughters on their way home.","Audio/Dialogue/NPC/Bestel/B27.ogg","","","","",0,0,1,1,0,42436,0,""
59,"BestelOnBrutus","","Brutus, Warden of Axiom Prison. The way I heard it, albeit from ale-soaked sailors, fear unmanned the great Brutus. Not fear of man, nor beast... fear of death.\r\n\r\nLife is like wine, best enjoyed in moderation. I don't envy Brutus' hangover.","Audio/Dialogue/NPC/Bestel/B21.ogg","","","","",0,0,1,1,0,43040,0,""
60,"BestelOnRhaos","","Roaming, rotting rhoas roosting right here in Wraeclast? Squawking, suppurating spooks stalking our sandy seashore? Blighted, bedeviled bird bones beaking about our business... what? Can't a man have even a little fun in this dismal place?","Audio/Dialogue/NPC/Bestel/B14.ogg","","","","",0,0,1,1,0,43638,0,""
61,"BestelFairgravesReward","","Fairgraves was a good man, a fine explorer. He opened the door to many a new world, for better or for worse. Usually for worse when it came to the natives.\r\n\r\nThere's some peace in the knowledge that he now rests where he should. Let's not speak of Fairgraves again, shall we? He was an inspiration to many. Would be a shame to spoil a good hero.","Audio/Dialogue/NPC/Bestel/B26.ogg","","","","",0,0,1,1,0,44468,0,""
62,"BestelOnFairgraves","","Fairgraves? The explorer? No one's seen nor heard of him since he set sail for Wraeclast over thirty years ago.\r\n\r\nSo if you're about to tell me that you've met Captain Fairgraves in the flesh, then you've either met a liar, or something far, far worse.","Audio/Dialogue/NPC/Bestel/B25.ogg","","","","",0,0,1,1,0,45104,0,""
63,"BestelOnOpenedRoad","","A stranger like no other,\r\nFaced the wall of the Umbra,\r\nOpened a pass in a sorry land,\r\nGave some hope to a sorry band\r\nOf exiles and death-soaked castaways.\r\nA chance at life on a brand new day.","Audio/Dialogue/NPC/Bestel/B24_Start.ogg","","","","",0,0,1,1,0,45638,0,""
64,"BestelRoadReward","","There, thought you deserved one of my finest poems, written to commemorate such a mighty feat. Oh, and this. Been keeping it for a very special occasion. Consider yourself just such an occasion.","Audio/Dialogue/NPC/Bestel/B24_End.ogg","","","","",0,0,1,1,0,46160,0,""
65,"BestelMedicineReward","","So, you managed to salvage Shaky Hands' druggery? Nicely done. Nessa will put it to good use. More than that benumbed quack, Opden, ever did.","Audio/Dialogue/NPC/Bestel/B16.ogg","","","","",0,0,1,1,0,46576,0,""
66,"BestelOnBlockedRoad","","Piety's raised Shavronne's Barricade? Not that I was likely to ever make the trip inland, but it was nice to have the dream.\r\n\r\nHang on a moment, got a stray thought seeking safe harbour. Piety's one to watch her own back, so she'd never cut off an escape route from possible trouble inland.\r\n\r\nThe cunning witch must be able to lower that barricade from the other side, somehow.","Audio/Dialogue/NPC/Bestel/B19.ogg","","","","",0,0,1,1,0,47466,0,""
67,"BestelOnRoad","","One day we'll be strong enough to make our way inland, build new lives on the carcass of a dead empire.\r\n\r\nIt's why God sent us maggots here, isn't it?","Audio/Dialogue/NPC/Bestel/B18.ogg","","","","",0,0,1,1,0,47886,0,""
68,"MerveilEnterWrath","","I gave away my heart... on the promise of a lie... I gave away my love for nothing.","Audio/Dialogue/NPC/MerveilArea/Whisper_01.ogg","","","","",0,0,1,1,0,48204,0,""
69,"MerveilEnterAnger","","I wait for his return... Daresso. I wait... a good wife.","Audio/Dialogue/NPC/MerveilArea/Whisper_03.ogg","","","","",0,0,1,1,0,48468,0,""
70,"MerveilExitWrath","","I am so cold and lonely. Embrace me.","Audio/Dialogue/NPC/MerveilArea/EnterCave_02.ogg","","","","",0,0,1,1,0,48694,0,""
71,"MerveilExitAnger","","At last. I have so much I wish to share with you.","Audio/Dialogue/NPC/MerveilArea/EnterCave_03.ogg","","","","",0,0,1,1,0,48946,0,""
72,"MerveilStartFight","","This is love's true face!","Audio/Dialogue/NPC/Merveil/Start_Fight.ogg","","","","",0,0,1,1,0,49142,0,""
73,"MerveilGlyph2","","Daresso gave me the gem, kissed me, promised that he would be by my side forever. I sang for him. I sang for Oriath with his gem at my throat. Kalisa's gem. Kalisa's voice. \r\n\r\nI sang in her echo, performing arias that had once made the Empire weep. I listened to Kalisa's lullabies in my dreams. I gave myself to her music. Mind... and body.\r\n\r\nDaresso left me, for Sarn, with a promise to free me from Kalisa. I begged him not to go. Tried to show him the wonder of my transformation, the beautiful daughters he would soon meet. He couldn't see. None of them could see. I fled from their hatred.\r\n\r\nWhen Daresso returns I will cast his cure away. I will teach him what true love is.","Audio/Dialogue/NPC/MerveilGlyph/Glyph_01.ogg","","","","",0,0,1,1,0,50652,0,""
74,"MerveilGlyph1","","Welcome, husband. We knew in our hearts that you would find us. Come, Daresso, Ambrosia and Amarissa must meet their father. Come, my love. Return to your family.","Audio/Dialogue/NPC/MerveilGlyph/Glyph_02.ogg","","","","",0,0,1,1,0,51118,0,""
75,"EramirIntroduction","","I've seen many an exile come and go, into the forest or into the ground. You seem different somehow. Different good, different bad, it's hard to tell at this stage.\r\n \r\nThe name is Eramir, and for now you have the benefit of my doubt.","Audio/Dialogue/NPC/Eramir/Eramir_01.ogg","","","","",0,0,1,1,0,51728,0,""
76,"EramirOnAzmeri","","The Azmeri. The culture that descended from the Azmerian Mountains and founded the Eternal Empire, so long ago. Not that these people have any understanding of their lineage. Their history, identity... all but destroyed in the cataclysm. \r\n\r\nThese Azmeri took in a disowned son of Oriath, fed me, healed me. To repay my debt, I've taken in the orphans of a dead empire.","Audio/Dialogue/NPC/Eramir/Eramir_02.ogg","","","","",0,0,1,1,0,52600,0,""
77,"EramirOnYeena","","A large heart yet so little sense to go with it. Yeena dabbles in things she should not. This 'Spirit' she obsesses over. If she is not careful, she will find herself joining it.","Audio/Dialogue/NPC/Eramir/E04.ogg","","","","",0,0,1,1,0,53076,0,""
78,"EramirOnGreust","","Greust is the strong right arm of this tribe. No man hunts better, and no man could do more to protect the ones he loves.","Audio/Dialogue/NPC/Eramir/Eramir_04.ogg","","","","",0,0,1,1,0,53452,0,""
79,"EramirOnSilk","","Tales and songs are Silk's meat and drink. Would have made a fine bard in the old Empire. Were a fraction of what he says true, we'd have nothing to fear from bandit nor beast with Silk among us.","Audio/Dialogue/NPC/Eramir/Eramir_05.ogg","","","","",0,0,1,1,0,53972,0,""
80,"EramirOnHelena","","I have spoken with Helena, of Dominus and his expedition. It all sounds horribly plausible. Whether we can fully trust what she tells us... time will tell if her torn loyalties are to mend in our favour.","Audio/Dialogue/NPC/Eramir/Eramir_08.ogg","","","","",0,0,1,1,0,54512,0,""
81,"EramirOnBlackguards","","The High Templar's Blackguards? They're here, rubbing shoulders with us mere exiles? A mystery indeed, and so near the Chamber of Sins. Whatever they want with that foul place, it won't be for the betterment of humanity.","Audio/Dialogue/NPC/Eramir/Eramir_06.ogg","","","","",0,0,1,1,0,55096,0,""
