"rownum","Id","bool","i32","Name","AOFiles","bool","bool","i32","bool","bool","i32","[rid]","BaseItemTypesKey","bool","ModsKeys","TagsKeys","ChestEffectsKey","MinLevel","string","MaxLevel","Corrupt_AchievementItemsKey","CurrencyUse_AchievementItemsKey","Encounter_AchievementItemsKeys","rid","InheritsFrom","bool","rid","[i32]"
89,"Metadata/Chests/Chest1v1",1,3,"Chest","[""Metadata/Chests/Chests/Chest1v1.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
90,"Metadata/Chests/Chest1v2",1,3,"Chest","[""Metadata/Chests/Chests/Chest1v2.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
91,"Metadata/Chests/Chest2v1",1,3,"Chest","[""Metadata/Chests/Chests/Chest2v1.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
92,"Metadata/Chests/Chest2v2",1,3,"Chest","[""Metadata/Chests/Chests/Chest2v2.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
93,"Metadata/Chests/Chest2v3",1,3,"Chest","[""Metadata/Chests/Chests/Chest2v3.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
94,"Metadata/Chests/Chest3",1,3,"Chest","[""Metadata/Chests/Chests/Chest3.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
95,"Metadata/Chests/Chest4",1,3,"Chest","[""Metadata/Chests/Chests/Chest4.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
96,"Metadata/Chests/Chest5v1",1,4,"Chest","[""Metadata/Chests/Chests/Chest5v1.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
97,"Metadata/Chests/Chest5v1old",1,4,"Chest","[""Metadata/Chests/Chests/Chest5v1old.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
98,"Metadata/Chests/Chest5v2",1,4,"Chest","[""Metadata/Chests/Chests/Chest5v2.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
99,"Metadata/Chests/Chest5v2old",1,4,"Chest","[""Metadata/Chests/Chests/Chest5v2old.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
100,"Metadata/Chests/Chest6",1,3,"Chest","[""Metadata/Chests/Chests/Chest6.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
101,"Metadata/Chests/Chest7",1,4,"Chest","[""Metadata/Chests/Chests/Chest7.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
102,"Metadata/Chests/Chest7old",1,4,"Chest","[""Metadata/Chests/Chests/Chest7old.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
103,"Metadata/Chests/Chest8",1,4,"Chest","[""Metadata/Chests/Chests/Chest8.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
104,"Metadata/Chests/Chest8old",1,4,"Chest","[""Metadata/Chests/Chests/Chest8old.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
105,"Metadata/Chests/Chest9",1,4,"Chest","[""Metadata/Chests/Chests/Chest9.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
106,"Metadata/Chests/Chest10",1,4,"Chest","[""Metadata/Chests/Chests/Chest10.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
107,"Metadata/Chests/Chest11",1,4,"Chest","[""Metadata/Chests/Chests/Chest11.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
108,"Metadata/Chests/Chest12",1,4,"Chest","[""Metadata/Chests/Chests/Chest12.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
109,"Metadata/Chests/Chest13",1,4,"Chest","[""Metadata/Chests/Chests/Chest13.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
110,"Metadata/Chests/Chest14",1,4,"Chest","[""Metadata/Chests/Chests/Chest14.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
111,"Metadata/Chests/Chest15",1,4,"Chest","[""Metadata/Chests/Chests/Chest15.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
112,"Metadata/Chests/Chest16",1,4,"Chest","[""Metadata/Chests/Chests/Chest16.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
113,"Metadata/Chests/Chest17",1,4,"Chest","[""Metadata/Chests/Chests/Chest17.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
114,"Metadata/Chests/Chest18",1,4,"Chest","[""Metadata/Chests/Chests/Chest18.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
115,"Metadata/Chests/Chest19",1,3,"Trunk","[""Metadata/Chests/Chests/Chest19.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
116,"Metadata/Chests/Chest20",1,4,"Trunk","[""Metadata/Chests/Chests/Chest20.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
117,"Metadata/Chests/Chest21",1,2,"Trunk","[""Metadata/Chests/Chests/Chest21.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[]
