"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","rid","bool","[rid]","[rid]","[rid]","[rid]","i32","bool"
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1984],"",3,"","","","",18,19,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,1,"",0,[],"","","","",[],[],[1984],[],0,""
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Unrighteous Fire","[883,25,882,1908]",1,2,"","","",1,18,24,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[883,25,882,1908]",[],0,""
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1984],"",3,"","","","",18,25,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1984],[],0,""
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[883,25,2543]",1,2,"","","",1,18,16,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[883,25,2543]",[],0,""
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1984],"",3,"","","","",18,20,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1984],[],0,""
18,"invisible_fire_aura","",1,"","","[4956,4956,4956]",1,3,"","","","",18,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","","",4,"","",0,[],"","","","",[],[],"[4956,4956,4956]",[],0,""
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1984],"",3,"","","","",18,30,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1984],[],0,""
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1984],"",3,"","","","",18,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1984],[],0,""
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1984],"",3,"","","","",18,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1984],[],0,""
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[354],"",3,"","","","",18,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[354],[],0,""
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1988],"",3,"","","","",18,27,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1988],[],0,""
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1986],"",3,"","","","",18,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1986],[],0,""
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[453],"",3,"","","","",18,698,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[453],[],0,""
26,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[482,447]",1,3,"","","",1,18,36,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[482,447]",[],0,""
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","","","Frenzy Charges",[],1,4,1,2663,5,1,18,38,1,"",3,"",1,1,"",0,"","","","","",8490,"",4,"","",0,[],"","","","",[],[],[],[],0,""
28,"endurance_charge","Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have","","","Endurance Charges",[],1,4,1,2662,4,1,18,39,1,"",3,"",1,1,"",0,"","","","","",8488,"",4,"","",0,[],"","","","",[],[],[],[],0,""
29,"power_charge","Players gain increased Critical Strike Chance for each Power Charge they have","","","Power Charges",[],1,4,1,2664,6,1,18,40,1,"",3,"",1,1,"",0,"","","","","",8492,"",4,"","",0,[],"","","","",[],[],[],[],0,""
30,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,7296,6564,"",18,41,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
31,"siphoning_charge","Players have altered effects for each Siphoning Charge they have","","","Siphoning Charges",[],1,4,1,7358,7357,1,18,42,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
32,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,7378,7377,1,18,43,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
33,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,9167,9168,1,18,44,1,"",3,"",1,1,"",0,"","DivineCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
34,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9730,9731,1,18,1071,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
35,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9829,9830,1,18,1079,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
36,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",18,46,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,26]",[],0,""
37,"mana_leech","You are leeching Mana",1,"","Mana Leech","[1418,2877]",1,1,"","","","",18,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1418,2877]",[],256,""
38,"life_leech","You are leeching Life",1,"","Life Leech","[1417,2876]",1,1,"","","","",18,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1417,2876]",[],256,""
39,"energy_shield_leech","You are leeching Energy Shield",1,"","Energy Shield Leech","[1419,2878]",1,1,"","","","",18,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],"[1419,2878]",[],256,""
40,"players_increased","More players are in the game.",1,"","Players Increased","[1946,370,3292]","",2,"","","",1,18,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1946,370,3292]",[],0,""
41,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[117],1,3,"","","","",18,0,1,"",4,"",1,"",1,0,"","","","","","","",4,"","",0,[],"","","","",[],[],[117],[],0,""
42,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[120],1,3,"","","","",18,49,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[120],[],0,""
43,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[134],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[134],[],0,""
44,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[177],1,3,"","","","",18,47,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[177],[],0,""
45,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[221],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[221],[],0,""
46,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[141],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[141],[],0,""
47,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3104],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3104],[],0,""
48,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3105],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3105],[],0,""
49,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[722],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[722],[],0,""
50,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[110],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[110],[],0,""
51,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[398],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[398],[],0,""
52,"flask_bonus_ignite_immunity","",1,"","",[],"",3,"","","","",18,380,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4943],[],[],0,""
53,"chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Chill Immunity",[],1,3,"","","","",18,382,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4942],[],[],0,""
54,"freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Freeze Immunity",[],1,3,"","","","",18,378,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4941],[],[],0,""
55,"ignite_immunity","All Ignite has been removed from you, and you cannot be Ignited.","","","Ignite Immunity",[],1,3,"","","","",18,380,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4943],[],[],0,""
56,"shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Shock Immunity",[],1,3,"","","","",18,381,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[4944],[],[],0,""
57,"bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Bleeding Immunity",[],1,3,"","","","",18,379,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[2651],[],[],0,""
58,"corrupted_blood_immunity","All Corrupted Blood has been removed from you, and Corrupted Blood cannot be inflicted on you.","","","Corrupted Blood Immunity",[],1,3,"","","","",18,383,1,"",15,"",1,"","",0,"","","","","","","",4,"","",0,[],"","","","",[],[14154],[],[],0,""
59,"flask_bonus_curse_immunity","",1,"","Curse Immunity",[],1,3,"","","","",18,48,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[746],[],[],0,""
60,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",18,50,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
61,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[2006],"",3,"","","",1,18,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[2006],[],0,""
62,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[453],1,1,"","","",1,18,51,1,"",2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[453],[],0,""
63,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[177,314,635,5848]",1,2,"","","","",18,52,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[177,314,635,5848]",[],0,""
64,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,18,54,1,"",15,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
65,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,18,55,1,"",15,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
66,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,529,528,1,18,59,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
67,"curse_temporal_chains","You are cursed. Time passes more slowly for you.","","","Temporal Chains","[3255,9175,532]","",6,"","","",1,18,60,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[12496],"[3255,9175,532]",[720],0,""
68,"curse_elemental_weakness","You are cursed. You take more Elemental damage.","","","Elemental Weakness","[141,621]","",6,"","","",1,18,62,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[141,621]",[720],0,""
69,"curse_fire_weakness","You are cursed. You take more Fire damage and are more prone to being Ignited.","","","Flammability","[144,536,207]","",6,"","","",1,18,63,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[144,536,207]",[720],0,""
70,"curse_cold_weakness","You are cursed. You take more Cold damage and are more prone to being Frozen.","","","Frostbite","[146,535,206]","",6,"","","",1,18,64,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[146,535,206]",[720],0,""
71,"curse_lightning_weakness","You are cursed. You take more Lightning damage and are more prone to being Shocked.","","","Conductivity","[148,533,205]","",6,"","","",1,18,66,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[148,533,205]",[720],0,""
72,"curse_warlords_mark","You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[12431,12433,9782,9783,544,12636,477]","",6,"","","",1,18,68,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12431,12433,9782,9783,544,12636,477]",[720],0,""
73,"curse_punishment","","","","",[540],"",6,"","","",1,18,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],[540],[720],0,""
74,"curse_enfeeble","You are cursed. You deal less damage and have reduced accuracy.","","","Enfeeble","[84,648,9176]","",6,"","","",1,18,70,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[84,648,9176]",[720],0,""
75,"curse_assassins_mark","You are cursed. You are more likely to be critically hit, take more damage from critical hits, and will grant life, mana, and a power charge when killed.","","","Assassin's Mark","[12438,9088,2446,2447,539,12635,477]","",6,"","","",1,18,72,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12438,9088,2446,2447,539,12635,477]",[720],0,""
76,"curse_snipers_mark","You are cursed. You take increased damage from projectiles, and projectiles that hit you will split. You grant flask charges to the enemy who cursed you when hit.","","","Sniper's Mark","[13006,731,13024,13025,541]","",6,"","","",1,18,73,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[13006,731,13024,13025,541]",[720],0,""
77,"curse_vulnerability","You are cursed. You take increased physical damage, ailments damage you faster, and attacks against you have a chance to inflict Bleeding.","","","Vulnerability","[545,5248,12440,7286]","",6,"","",7869,1,18,74,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[545,5248,12440,7286]","[720,7869]",0,""
78,"curse_poachers_mark","You are cursed. Hits against you deal added physical damage and your physical damage reduction is lowered. You grant life and mana to enemies that attack you, and grant a frenzy charge when killed","","","Poacher's Mark","[12434,12435,1038,2444,2445,2443,12637,477]","",6,"","","",1,18,76,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[],[],"[12434,12435,1038,2444,2445,2443,12637,477]",[720],0,""
79,"curse_newpunishment","You are cursed. You will take increased damage while on low life and be debilitated when you hit enemies. Overkill damage from the hit which kills you will be reflected to nearby targets.","","","Punishment","[12441,12442,12443]","",6,"","","",1,18,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","","","",[12612],[],"[12441,12442,12443,12612]",[720],0,""
80,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[123,133,116,119,30,31,83,568]",1,2,"","","","",18,80,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[123,133,116,119,30,31,83,568]",[],0,""
81,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[564],1,3,"","","","",18,81,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,""
82,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[565],1,3,"","","","",18,82,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,""
83,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[564],1,3,"","","","",18,81,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,""
84,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[565],1,3,"","","","",18,82,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,""
85,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",18,83,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[26],[],0,""
86,"monster_aura_large_physical_damage","Allies Deal Substantial Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",18,84,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[26],[],0,""
87,"monster_aura_speed","Allies Move and Attack Faster","","","Speed Aura","[70,216,177]",1,3,"","","","",18,85,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,216,177]",[],0,""
88,"monster_aura_life_regen","Allies Regenerate Life","","","Life Regen Aura",[451],1,3,"","","","",18,86,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[451],[],0,""
89,"monster_aura_resists","Allies Resist Elemental Damage","","","Resists Aura",[141],1,3,"","","","",18,87,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[141],[],0,""
90,"monster_aura_energy_shield","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",18,88,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[563],[],0,""
91,"monster_aura_energy_shield_bubble","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",18,89,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[563],[],0,""
92,"monster_aura_accuracy_and_crits","Allies have increased Accuracy and Critical Strike Chance","","","Accuracy and Crits Aura","[84,554]",1,3,"","","","",18,90,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[84,554]",[],0,""
93,"monster_aura_pus_puke_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",18,91,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[452],[],0,""
94,"monster_aura_chaos_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[453],1,3,"","","","",18,91,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[453],[],0,""
95,"monster_aura_physical_degen","Enemies take Physical Damage over time","","","Degeneration Aura",[2576],1,3,"","","","",18,354,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[2576],[],0,""
96,"monster_aura_lightning_degen","Enemies take Lightning Damage over time","","","Degeneration Aura",[1988],1,3,"","","","",18,269,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1988],[],0,""
97,"monster_aura_elemental_damage","Allies deal increased Elemental Damage","","","Elemental Damage Aura",[486],1,3,"","","","",18,93,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[486],[],0,""
98,"monster_aura_essence_daemon_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",18,94,"","",2,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[452],[],0,""
99,"monster_thorns_physical","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",18,95,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,""
100,"monster_thorns_elemental","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",18,96,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,""
101,"monster_thorns_physical_large","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",18,97,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[564],[],0,""
102,"monster_thorns_elemental_large","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",18,98,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[565],[],0,""
103,"monster_thorns_bloodline","",1,"","Reflection","[564,565]",1,3,"","","","",18,99,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[564,565]",[],0,""
104,"monster_thorns_bloodline_large_model","",1,"","Reflection","[564,565]",1,3,"","","","",18,100,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[564,565]",[],0,""
105,"dominating_blow_hit_buff","",1,"","",[],1,2,"","","",1,18,102,1,"",2,"","","","",0,"","DominatingBlowDebuff","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
106,"immortal_call","You are invulnerable to Physical Damage.","",1,"Immortal Call",[717],1,2,"","","","",18,103,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[717],[],0,""
107,"vaal_immortal_call","You cannot die. You cannot gain Vaal souls.","",1,"Vaal Immortal Call","[398,7826]",1,2,"","","","",18,103,1,"",1,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[398,7826]",[],0,""
108,"mortal_call","You take less Physical and Elemental Damage.","",1,"Immortal Call","[9421,9422,12691,9423,9424]",1,2,"","",9895,"",18,103,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[9421,9422,12691,9423,9424]",[],0,""
109,"monty_haul","Drop testing","",1,"Treasure!","[151,153]",1,2,"","","",1,18,104,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[151,153]",[],0,""
110,"lightning_shield","You have additional Block Chance with a Shield. Duration refreshed by blocking.","",1,"Tempest Shield","[19,2367]",1,2,"","","",1,18,105,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[19,2367]",[],0,""
111,"fire_shield","","",1,"Molten Shell","[116,12304]",1,2,"","","","",18,106,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[116,12304]",[],0,""
112,"molten_shell_damage_absorption","You have additional Armour, and a percentage of damage from hits will be taken from this buff before your Life or Energy Shield.","",1,"Molten Shell",[],1,2,1,"",9895,"",18,106,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[9567],[],[9567],[9570],0,""
113,"molten_shell_shield","",1,1,"","[116,12304]",1,2,"","","","",18,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[116,12304]",[],0,""
114,"flask_utility_critical_strike_chance","You have increased Critical Strike Chance","","","Diamond Flask",[554],1,3,"","","","",18,107,1,"",4,"",1,1,1,0,"","","","","","","",4,"","",0,[],"","","","",[],[],[554],[],0,""
115,"flask_utility_resist_fire","You have additional Fire Resistance and less Fire Damage taken","","","Ruby Flask","[144,8686]",1,3,"","","","",18,108,1,"",4,"",1,1,1,0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[144,8686]",[],0,""
