"rownum","Id","Image","bool","bool"
80,"HarvestStandard","Art/2DArt/UIImages/Common/LeagueHarvest","",""
81,"HarvestHardcore","Art/2DArt/UIImages/Common/LeagueHarvestHC",1,""
82,"HarvestStandardSSF","Art/2DArt/UIImages/Common/LeagueHarvestSSF","",1
83,"HarvestHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHarvestHCSSF",1,1
84,"HeistStandard","Art/2DArt/UIImages/Common/LeagueHeist","",""
85,"HeistHardcore","Art/2DArt/UIImages/Common/LeagueHeistHC",1,""
86,"HeistStandardSSF","Art/2DArt/UIImages/Common/LeagueHeistSSF","",1
87,"HeistHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHeistHCSSF",1,1
88,"RitualStandard","Art/2DArt/UIImages/Common/LeagueRitual","",""
89,"RitualHardcore","Art/2DArt/UIImages/Common/LeagueRitualHC",1,""
90,"RitualStandardSSF","Art/2DArt/UIImages/Common/LeagueRitualSSF","",1
91,"RitualHardcoreSSF","Art/2DArt/UIImages/Common/LeagueRitualHCSSF",1,1
92,"UltimatumStandard","Art/2DArt/UIImages/Common/LeagueUltimatum","",""
93,"UltimatumHardcore","Art/2DArt/UIImages/Common/LeagueUltimatumHC",1,""
94,"UltimatumStandardSSF","Art/2DArt/UIImages/Common/LeagueUltimatumSSF","",1
95,"UltimatumHardcoreSSF","Art/2DArt/UIImages/Common/LeagueUltimatumHCSSF",1,""
96,"ExpeditionStandard","Art/2DArt/UIImages/Common/LeagueExpedition","",""
97,"ExpeditionHardcore","Art/2DArt/UIImages/Common/LeagueExpeditionHC",1,""
98,"ExpeditionStandardSSF","Art/2DArt/UIImages/Common/LeagueExpeditionSSF","",1
99,"ExpeditionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueExpeditionHCSSF",1,1
