"rownum","Id","BuffDefinitionsKey1","rid_24","StatValues","i32_56","[i32]_60","i32_76","i32_80","i32_84","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32_168","i32_172","i32_176","BuffDefinitionsKey2","IsOnlySpawningNearPlayer","rid_197","rid_213","bool_229"
16,"freezing_storm",2,"",[-100],0,[],-55,-25,1500,"",82,619,454,"",0,0,1000,"","","","",""
17,"lightning_damage_storm",435,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",84,621,456,"",0,0,20000,"","","","",""
18,"lightning_damage_storm_normal",435,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",84,621,456,"",0,0,15000,"","","","",""
19,"vaal_grace_storm",156,"","[0,25,25,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",74,613,445,"",0,0,5000,"","","","",""
20,"vaal_discipline_storm",157,"","[0,1000,1,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",76,611,447,"",0,0,5000,"","","","",""
21,"vaal_haste_storm",158,"","[0,30,30,30,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",73,610,422,"",0,0,10000,"","","","",""
22,"gluttony_of_elements_storm",389,"","[1,0,1,0,0,0,0,0]",36,"[1,2,10]",-35,0,5000,"",75,612,446,"",0,0,5000,"","","","",""
23,"smoke_trail_storm",436,"",[],0,[],0,0,8000,4603,74,613,445,4620,0,0,20000,"",1,"","",""
24,"phasing_storm",441,"","[1,25]",0,[],-15,0,5000,"",80,617,451,"",0,0,5000,"","","","",""
25,"corpse_devour_storm",437,"",[],0,[],15,0,5000,4604,75,612,446,"",0,0,10000,"","","","",""
26,"proximity_shield_storm",233,"",[25],0,[],0,0,5000,2877,73,610,422,"",0,0,20000,"","","","",""
27,"projectile_nova_storm",438,"","[1,4,70]",0,[],0,0,8000,"",80,617,451,"",0,0,20000,"","","","",""
28,"projectile_nova_storm_normal",438,"","[1,4,70]",0,[],0,0,10000,"",80,617,451,"",0,0,20000,"","","","",""
29,"veil_storm",439,"","[1,-40]",0,[],-15,-25,5000,"",76,611,447,"",0,0,5000,"","","","",""
30,"voltaxic_storm",440,"","[50,50,50,50,0]",0,[],0,0,8000,"",79,616,450,"",0,0,5000,"","","","",""
31,"soul_eater_storm",267,"","[1,5,5,5,1]",50,"[2,3]",-15,-25,10000,"",77,614,448,"",0,0,20000,454,"","","",""
32,"environment_fireskills_storm","","",[],0,[],-35,-25,45000,"",83,620,455,4609,0,0,45000,"",1,"","",""
33,"environment_uber_fireskills_storm","","",[],0,[],-55,-25,45000,"",83,620,455,4610,0,0,45000,"",1,"","",""
34,"environment_coldskills_storm","","",[],0,[],-35,-25,45000,"",82,619,454,4611,0,0,45000,"",1,"","",""
35,"environment_uber_coldskills_storm","","",[],0,[],-55,-25,45000,"",82,619,454,4612,0,0,45000,"",1,"","",""
36,"environment_lightningskills_storm","","",[],0,[],-35,-25,45000,"",84,621,456,4613,0,0,45000,"",1,"","",""
37,"environment_uber_lightningskills_storm","","",[],0,[],-55,-25,45000,"",84,621,456,4614,0,0,45000,"",1,"","",""
38,"environment_necromancyskills_storm","","",[],0,[],-15,-25,45000,"",80,617,451,4615,0,0,45000,"",1,"","",""
39,"environment_uber_necromancyskills_storm","","",[],0,[],-35,-25,45000,"",80,617,451,4616,0,0,45000,"",1,"","",""
40,"environment_physicalskills_storm","","",[],0,[],-35,-25,45000,"",81,618,452,4617,0,0,45000,"",1,"","",""
41,"environment_uber_physicalskills_storm","","",[],0,[],-55,-25,45000,"",81,618,452,4618,0,0,45000,"",1,"","",""
42,"environment_curses_storm","","",[],0,[],-55,-25,45000,"",79,616,450,4619,0,0,45000,"",1,"","",""
43,"corrupted_drops_storm",442,"","[1,1]",0,[],0,0,5000,"",75,612,446,"",0,0,5000,"","","","",""
44,"drop_as_sell_price_storm",443,"","[1,1,100]",0,[],0,0,8000,"",77,614,448,"",0,0,5000,"","","","",""
45,"quality_drops_storm",444,"","[1,1]",0,[],0,0,8000,"",81,618,452,"",0,0,8000,"","","","",""
46,"quality_drops_storm_normal",444,"","[1,1]",0,[],0,0,10000,"",81,618,452,"",0,0,10000,"","","","",""
47,"gain_charges_storm","","",[],0,[],-55,0,45000,4605,81,618,452,"",0,0,45000,"","","","",""
48,"identify_items_storm",445,"","[1,1]",0,[],0,0,8000,"",75,612,446,"",0,0,8000,"","","","",""
49,"poison_clouds_storm","","",[],0,[],-35,-25,45000,"",74,613,445,4621,0,0,45000,"",1,"","",""
50,"arcane_storm",446,"","[30,20,10]",36,"[1,2,10]",0,0,5000,"",79,616,450,"",0,0,15000,"","","","",""
51,"status_immunity_storm",447,"","[100,100,100,100,20,3]",0,[],0,0,8000,"",81,618,452,"",0,0,20000,"","","","",""
52,"uber_uber_rarity_storm","","",[],0,[],-60,-25,45000,"",73,610,422,"",0,0,45000,"","",627,628,1
