"rownum","Id","bool","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","AOFiles","bool","bool","i32","bool","bool","i32","[rid]","BaseItemTypesKey","bool","ModsKeys","TagsKeys","ChestEffectsKey","MinLevel"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","MaxLevel","Corrupt_AchievementItemsKey","CurrencyUse_AchievementItemsKey","Encounter_AchievementItemsKeys","rid","InheritsFrom","bool","rid","[i32]","string","i32","i32","bool","rid","rid","bool","bool","[rid]","IsHardmode","StatsHardmode"
30,"Metadata/Chests/SnowCairn2",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/SnowCairn2.ao""]","","",2,"",1,100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
31,"Metadata/Chests/SnowCairn3",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/SnowCairn3.ao""]","","",3,"",1,105,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
32,"Metadata/Chests/MarakethCairn1",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras ","กองหิน","石標","[""Metadata/Chests/Cairns/MarakethCairn1.ao""]","","",1,"",1,95,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
33,"Metadata/Chests/MarakethCairn2",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/MarakethCairn2.ao""]","","",2,"",1,100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
34,"Metadata/Chests/MarakethCairn3",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/MarakethCairn3.ao""]","","",3,"",1,105,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
35,"Metadata/Chests/VaalBoneChest1",1,3,"Bone Chest","Coffre en os","Knochentruhe","骨の箱","뼈 상자","Baú de Ossos","Костяной сундук","Cofre de Hueso","หีบกระดูก","骨箱","[""Metadata/Chests/VaalChests/VaalBoneChest01.ao""]","",1,3,"","",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
36,"Metadata/Chests/CopperChest1","",4,"Copper Chest","Coffre en cuivre","Kupfertruhe","銅の箱","구리 상자","Baú de Cobre","Медный сундук","Cofre de Cobre","หีบทองแดง","銅箱","[""Metadata/Chests/CopperChests/CopperChest1.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
37,"Metadata/Chests/CopperChest2","",4,"Copper Chest","Coffre en cuivre","Kupfertruhe","銅の箱","구리 상자","Baú de Cobre","Медный сундук","Cofre de Cobre","หีบทองแดง","銅箱","[""Metadata/Chests/CopperChests/CopperChest2.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
38,"Metadata/Chests/CopperChest3","",4,"Copper Chest","Coffre en cuivre","Kupfertruhe","銅の箱","구리 상자","Baú de Cobre","Медный сундук","Cofre de Cobre","หีบทองแดง","銅箱","[""Metadata/Chests/CopperChests/CopperChest3.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
39,"Metadata/Chests/CopperChestEpic3","",4,"Large Chest","Grand coffre","Große Truhe","大きな箱","대형 상자","Baú Grande","Большой сундук","Cofre grande","หีบใหญ่","大箱子","[""Metadata/Chests/CopperChests/CopperChestEpic3.ao""]","",1,120,1,"",100,[],"","",[8068],[],"",0,"","M","F","","","M","","M","","",100,"","",[1016],"","Metadata/Chests/Chest","","",[],"",0,0,"","","",1,"",[],"",[]
40,"Metadata/Chests/Crate1",1,3,"Crate","Caisse","Kiste","木箱","나무상자","Caixote","Ящик","Cajón","ลัง","箱子","[""Metadata/Chests/Crates/Crate1.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","F","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
41,"Metadata/Chests/Crate2",1,3,"Crate","Caisse","Kiste","木箱","나무상자","Caixote","Ящик","Cajón","ลัง","箱子","[""Metadata/Chests/Crates/Crate2.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","F","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
42,"Metadata/Chests/GoldenChest1","",4,"Golden Chest","Coffre en or","Goldene Truhe","黄金の箱","황금 상자","Baú Dourado","Золотой сундук","Cofre de Oro","หีบทองคำ","黃金箱子","[""Metadata/Chests/GoldenChests/GoldenChest1.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
43,"Metadata/Chests/GoldenChest2","",4,"Golden Chest","Coffre en or","Goldene Truhe","黄金の箱","황금 상자","Baú Dourado","Золотой сундук","Cofre de Oro","หีบทองคำ","黃金箱子","[""Metadata/Chests/GoldenChests/GoldenChest2.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
44,"Metadata/Chests/GoldenChest3","",4,"Golden Chest","Coffre en or","Goldene Truhe","黄金の箱","황금 상자","Baú Dourado","Золотой сундук","Cofre de Oro","หีบทองคำ","黃金箱子","[""Metadata/Chests/GoldenChests/GoldenChest3.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
45,"Metadata/Chests/SilverChest1","",4,"Silver Chest","Coffre en argent","Silberne Truhe","銀の箱","은 상자","Baú Prateado","Серебряный сундук","Cofre de Plata","หีบสีเงิน","銀箱","[""Metadata/Chests/SilverChests/SilverChest1.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
46,"Metadata/Chests/SilverChest2","",4,"Silver Chest","Coffre en argent","Silberne Truhe","銀の箱","은 상자","Baú Prateado","Серебряный сундук","Cofre de Plata","หีบสีเงิน","銀箱","[""Metadata/Chests/SilverChests/SilverChest2.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
47,"Metadata/Chests/SilverChest3","",4,"Silver Chest","Coffre en argent","Silberne Truhe","銀の箱","은 상자","Baú Prateado","Серебряный сундук","Cofre de Plata","หีบสีเงิน","銀箱","[""Metadata/Chests/SilverChests/SilverChest3.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
48,"Metadata/Chests/TribalChest1","",4,"Tribal Chest","Coffre tribal","Stammestruhe","部族の箱","부족 상자","Baú Tribal","Припасы племени","Cofre Tribal","หีบชนเผ่า","部落箱子","[""Metadata/Chests/TribalChests/TribalChest1.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
49,"Metadata/Chests/TribalChest2","",4,"Tribal Chest","Coffre tribal","Stammestruhe","部族の箱","부족 상자","Baú Tribal","Припасы племени","Cofre Tribal","หีบชนเผ่า","部落箱子","[""Metadata/Chests/TribalChests/TribalChest2.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
50,"Metadata/Chests/TribalChest3","",4,"Tribal Chest","Coffre tribal","Stammestruhe","部族の箱","부족 상자","Baú Tribal","Припасы племени","Cofre Tribal","หีบชนเผ่า","部落箱子","[""Metadata/Chests/TribalChests/TribalChest3.ao""]","",1,10,"","",100,[],"","",[],[],"",0,"","M","F","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
51,"Metadata/Chests/Sarcophagus1","",4,"Sarcophagus","Sarcophage","Sarkophag","サルコファガス","석관","Sarcófago","Саркофаг","Sarcófago","โลงหิน","石棺","[""Metadata/Chests/Sarcophagi/Sarcophagus1.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
52,"Metadata/Chests/ChurchSarcophagus1","",4,"Sarcophagus","Sarcophage","Sarkophag","サルコファガス","석관","Sarcófago","Саркофаг","Sarcófago","โลงหิน","石棺","[""Metadata/Chests/Sarcophagi/ChurchSarcophagus1.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
53,"Metadata/Chests/ChurchSarcophagus2","",4,"Sarcophagus","Sarcophage","Sarkophag","サルコファガス","석관","Sarcófago","Саркофаг","Sarcófago","โลงหิน","石棺","[""Metadata/Chests/Sarcophagi/ChurchSarcophagus2.ao""]","",1,10,1,"",100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
54,"Metadata/Chests/InfestationEggPurple",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/InfestationEgg.ao""]",1,"",1,"",1,70,[],"","",[7520],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
55,"Metadata/Chests/InfestationEggPurpleLarge",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/InfestationEgg.ao""]",1,"",1,"",1,100,[],"","",[7520],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
56,"Metadata/Chests/InfestationEggPurpleSmall",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/InfestationEgg.ao""]",1,"",1,"",1,50,[],"","",[7520],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
57,"Metadata/Chests/InfestationEggGreen",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/RyslathaEgg.ao""]","","",1,"","",70,[],"","",[7519],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
58,"Metadata/Chests/InfestationEggGreenLarge",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/RyslathaEgg.ao""]","","",1,"","",100,[],"","",[7519],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
59,"Metadata/Chests/InfestationEggGreenSmall",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/RyslathaEgg.ao""]","","",1,"","",50,[],"","",[7519],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
60,"Metadata/Chests/InfestationEggGreenPlatform",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/RyslathaEggwPlatform.ao""]","","",1,"","",70,[],"","",[7519],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
61,"Metadata/Chests/InfestationEggGreenLargePlatform",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/RyslathaEggwPlatform.ao""]","","",5,"","",100,[],"","",[7519],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
62,"Metadata/Chests/InfestationEggGreenSmallPlatform",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/SpiderlingEgg/RyslathaEggwPlatform.ao""]","","",1,"","",50,[],"","",[7519],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
63,"Metadata/Chests/InfestationEggGreenParasite",1,2,"Egg","Œuf","Ei","卵","알","Ovo","Яйцо","Huevo","ไข่","蛋","[""Metadata/Monsters/ParasiteNest/ParasiteNestRyslathaChest.ao""]","","",10,"","",50,[],"","","[7519,12858]",[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
64,"Metadata/Chests/FungalBloom/FungalBloomLarge",1,2,"Bloom","Bulbe","Blüte","花","포자 꽃","Flor","Соцветие","Brote","ดอกเห็ด","盛開","[""Metadata/Chests/FungalBloom/FungalBloom.ao""]",1,"",1,"",1,60,[],"","",[7520],[],"",0,"","M","F","","","F","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[]
65,"Metadata/Chests/FungalBloom/FungalBloomSmall",1,2,"Bloom","Bulbe","Blüte","花","포자 꽃","Flor","Соцветие","Brote","ดอกเห็ด","盛開","[""Metadata/Chests/FungalBloom/FungalBloom.ao""]",1,"",1,"",1,55,[],"","",[7520],[],"",0,"","M","F","","","F","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[]
