"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","VideoURL1","SkillGemsKey","VideoURL2","CharactersKeys"
38,"GlacialHammer&MeleePhysical","Grants more melee physical damage for Glacial Hammer. Because 50% of physical damage is converted to cold damage, this support will also increase the cold damage done by Glacial Hammer. ","Octroie Davantage de Dégâts physiques en mêlée à Marteau de glace. Étant donné que Marteau de glace convertit 50% de ses Dégâts physiques en Dégâts de froid, cette Gemme de soutien vous permet indirectement de booster les Dégâts de froid de Marteau de glace.","Gewährt 'Frosthammer' mehr physischen Nahkampfschaden und erhöht gleichzeitig den Kälteschaden, da 50 % des physischen Schadens in Kälteschaden umgewandelt werden.","グレイシャルハンマーの近接物理ダメージが上昇する。物理ダメージの50%が冷気ダメージに変換されるため、このサポートはグレイシャルハンマーによる冷気ダメージも増加させる。","빙하 망치의 근접 물리 피해가 증폭됩니다. 물리 피해의 50%를 냉기 피해로 전환하므로, 이 보조 젬과 결합하면 빙하 망치가 주는 냉기 피해 또한 증가합니다.","Conced emais dano físico para o Martelo Glacial. Como 50% do dano físico é convertido para dano de gelo, este suporte também aumentará o dano de gelo causado pelo Martelo Glacial.","Дает Леденящему молоту больше физического урона в ближнем бою. Поскольку 50% физического урона становится уроном от холода, этот камень поддержки также увеличивает урон от холода, который наносит Леденящий молот.","Otorga más daño físico cuerpo a cuerpo a Martillo Glacial. Como el 50% del daño físico se convierte a daño de hielo, esta asistencia también aumentará el daño de hielo infligido por Martillo Glacial.","เพิ่มความเสียหาย กายภาพ ประชิด อีก ให้กับ ค้อนเยือกแข็ง (Glacial Hammer) เนื่องจากมีการแปลงความเสียหาย กายภาพ 50% เป็น น้ำแข็ง หินเสริมนี้จึงเพิ่มความเสียหาย น้ำแข็ง จาก ค้อนเยือกแข็ง อีกด้วย","冰霜之錘獲得更多近戰物理傷害。因為 50% 的物理傷害轉化至冰冷傷害，此輔助同時也會增加冰霜之錘造成的冰冷傷","http://web.poecdn.com/public/videos/GlacialHammer/GlacialHammer+MeleePhysicalDamage.bk2",83,"http://down.qq.com/poe/videos/skills/GlacialHammer/GlacialHammer+MeleePhysicalDamage.bk2",[]
39,"GlacialHammer&MeleeSplash","Allows your Glacial Hammer hits to deal splash damage to nearby targets. Pairing this support with the Ancestral Call support will result in large areas of overlapping damage.","Permet à Marteau de glace d'infliger des dégâts collatéraux aux ennemis à proximité. Si vous y ajoutez Soutien : Appel ancestral, vos attaques créeront des zones de dégâts qui peuvent se recouper les unes avec les autres, vous permettant ainsi d'éliminer plus efficacement des groupes d'ennemis.","Bewirkt, dass Treffer mit 'Frosthammer' an Zielen im Umkreis Streuschaden verursachen. Gepaart mit 'Unterstützung: Ruf der Ahnen' werden große Schadensbereiche erzeugt, die sich überlappen.","グレイシャルハンマーにより、近くの敵にスプラッシュダメージを与えることができるようになる。このサポートをアンセストラルコールサポートと一緒に使用することで、広範囲の重複ダメージを与えることができる。","빙하 망치 명중 시, 주변 적에게 범위 피해를 줍니다. 이 보조 젬을 선대의 부름 보조 젬과 결합하면 광역 중복 피해를 줄 수 있습니다.","Permite que os acertos do Martelo Glacial causem dano propagado aos alvos próximos. Combine este suporte com o suporte Chamado Ancestral para obter grandes áreas de dano sobreposto.","Позволяет вашему Леденящему молоту наносить урон в области по ближайшим целям. Добавление Зова предков в пару к этому камню поддержки приведет к нанесению урона внахлёст по областям большого размера.","Permite que los golpes de tu Martillo Glacial inflijan daño colateral a los enemigos cercanos. La combinación de esta asistencia con Llamado Ancestral generará grandes áreas donde el daño se superpondrá.","ทำให้ ค้อนเยือกแข็ง (Glacial Hammer) ของคุณสร้างความเสียหายกระจายต่อเป้าหมายที่อยู่ใกล้ การใช้หินเสริมนี้ควบคู่ไปกับ หินเสริม Ancestral Call จะทำให้มีพื้นที่สร้างความเสียหายซ้อนกันขนาดใหญ่","使你的冰霜之錘可以對目標附近造成擴散傷害。與先祖怒嚎搭配可以使大範圍籠罩在傷害下。","http://web.poecdn.com/public/videos/GlacialHammer/GlacialHammer+MeleeSplash.bk2",190,"http://down.qq.com/poe/videos/skills/GlacialHammer/GlacialHammer+MeleeSplash.bk2","[6,2,4,0,1,5,3]"
40,"GlacialHammer&Multistrike","Causes Glacial Hammer to repeat an additional two times, as well as providing a large bonus to attack speed.","Permet à Marteau de glace de se répéter deux fois supplémentaires, tout en lui donnant un important bonus de Vitesse d'attaque.","Bewirkt, dass sich 'Frosthammer' zwei zusätzliche Male wiederholt und gewährt einen großen Bonus auf die Angriffsgeschwindigkeit.","グレイシャルハンマーを追加で2回繰り返すとともに、アタックスピードも大きく増加させる。","빙하 망치가 2회 추가 공격하고 공격 속도 또한 크게 상승합니다.","Faz com que o Martelo Glacial se repita duas vezes adicionais, assim como concede um grande bônus de velocidade de ataque.","Позволяет Леденящему молоту повторяться ещё два раза, а также существенно повышает скорость атаки.","Causa que Martillo Glacial se repita dos veces adicionales, además de otorgar una gran bonificación a la velocidad de ataque.","ทำให้ ค้อนเยือกแข็ง (Glacial Hammer) เกิดซ้ำเพิ่มเติม 2 ครั้ง รวมถึงเพิ่มความเร็วในการโจมตีเป็นอย่างมาก","使冰霜之錘重複額外兩次，同時也大幅增加攻擊速度。","http://web.poecdn.com/public/videos/GlacialHammer/GlacialHammer+Multistrike.bk2",188,"http://down.qq.com/poe/videos/skills/GlacialHammer/GlacialHammer+Multistrike.bk2",[]
41,"GlacialHammer&ColdPenetration","Cold Penetration reduces enemy resistance to cold damage, making them take more cold damage from Glacial Hammer.","Réduit la Résistance au froid des ennemis, permettant ainsi à Marteau de glace de leur infliger plus de Dégâts de froid.","Verringert den Kältewiderstand von Gegnern und lässt diese durch 'Frosthammer' mehr Kälteschaden erleiden.","冷気耐性突破サポートは敵の冷気ダメージへの耐性を下げ、敵がグレイシャルハンマーから受ける冷気ダメージを上昇させる。","냉기 관통이 적의 냉기 피해 저항을 감소시켜, 빙하 망치에 더 큰 냉기 피해를 받게 합니다.","Penetração de Gelo reduz a resistência a gelo dos inimigos, fazendo com que eles sofram mais dano de gelo do Martelo Glacial.","Уменьшает вражеское сопротивление холоду, заставляя их получать больше урона от холода от Леденящего молота.","Penetración de Hielo reduce la Resistencia al daño de hielo de los enemigos, por lo que reciben más daño de hielo de Martillo Glacial.","ลดค่าต้านทาน น้ำแข็ง ของศัตรู ทำให้มันได้รับความเสียหาย น้ำแข็ง จาก ค้อนเยือกแข็ง (Glacial Hammer) เพิ่มขึ้น อีก","冰冷穿透減少敵人對冰冷傷害的抗性，使他們承受更多冰霜之錘的冰冷傷害。","http://web.poecdn.com/public/videos/GlacialHammer/GlacialHammer+ColdPenetration.bk2",174,"http://down.qq.com/poe/videos/skills/GlacialHammer/GlacialHammer+ColdPenetration.bk2",[]
42,"EtheralKnives&ControlledDestruction","Grants more spell damage to Ethereal Knives but reduces critical strike chance. The more spell damage provided by this support allows a direct and stable increase in damage not contingent on critical strikes.","Octroie Davantage de Dégâts des sorts à Couteaux éthérés, mais réduit ses chances d'infliger un Coup critique. Cette Gemme de soutien a pour avantage d'améliorer vos dégâts de manière fiable, puisque vous dépendrez moins du hasard des Coups critiques.","Verringert zwar die Chance auf kritische Treffer, gewährt 'Ätherische Klingen' jedoch mehr Zauberschaden, der zu einer direkten und stabilen Schadenserhöhung führt, die nicht von kritischen Treffern abhängig ist.","イシリアルナイフのスペルダメージが上昇するが、クリティカル率が低下する。このサポートによるスペルダメージの上昇はクリティカルに左右されず、直接的で安定したダメージ増加を可能にする。","천상의 단도의 주문 피해가 증폭하지만 치명타 확률은 감소합니다. 이 영향으로 주문 피해가 증폭하여 치명타에 의존하지 않아도 안정적이면서 직접적으로 더 많은 피해를 줄 수 있습니다.","Concede mais dano mágico às Facas Etéreas, mas reduz sua chance de golpe crítico. O modificador de \""mais dano mágico\"" concedido por este suporte permite um aumento direto e estável de dano independente dos golpes críticos.","Дает больше урона от чар Бесплотным ножам, но снижает шанс критического удара. Свойство \""больше урона от чар\"", которое дает этот камень поддержки, обеспечивает прямое и стабильное увеличение урона, не зависящее от критических ударов.","Otorga más daño de hechizos a Cuchillos Etéreos, pero reduce su probabilidad de golpe crítico. El aumento de daño de hechizos que otorga esta asistencia permite un aumento directo y estable del daño que no depende de los golpes críticos.","เพิ่มความเสียหาย เวท อีก ให้กับ มีดเวทมนตร์ (Ethereal Knives) แต่ลดโอกาสคริติคอล การเพิ่มความเสียหาย เวท อีก ของหินเสริมนี้จะเป็นการเพิ่มความเสียหายโดยตรงและเสถียรกว่าความเสียหายคริติคอลที่เอาแน่เอานอนไม่ได้","虛空匕首獲得更多法術傷害，但會減少暴擊率。此輔助會提供更多法術傷害，直接並穩定的增加傷害，並不用依靠暴擊。","http://web.poecdn.com/public/videos/EtherealKnives/EtherealKnives+ControlledDestruction.bk2",306,"http://down.qq.com/poe/videos/skills/EtherealKnives/EtherealKnives+ControlledDestruction.bk2",[]
43,"EtheralKnives&FasterCasting","Increases the cast speed of Ethereal Knives, allowing it to be used more frequently.","Augmente la Vitesse d'incantation de Couteaux éthérés, permettant ainsi au sort d'être lancé plus rapidement et fréquemment.","Erhöht die Zaubergeschwindigkeit von 'Ätherische Klingen', wodurch der Zauber häufiger verwendet werden kann.","イシリアルナイフのキャストスピードを増加させることで、頻繁に使用できるようになる。","천상의 단도의 시전 속도가 증가하여, 더 자주 사용할 수 있습니다.","Aumenta a velocidade de conjuração das Facas Etéreas, permitindo que elas sejam usadas com maior frequência.","Повышает скорость сотворения Бесплотных ножей, позволяя чаще их использовать.","Aumenta la velocidad de lanzamiento de Cuchillos Etéreos, para que pueda usarse con más frecuencia.","เพิ่มความเร็วในการร่ายให้กับ มีดเวทมนตร์ (Ethereal Knives) ทำให้สามารถใช้ มีดเวทมนตร์ ได้บ่อยขึ้น","增加虛空匕首施放速度，使它可以更頻繁的被使用。","http://web.poecdn.com/public/videos/EtherealKnives/EtherealKnives+FasterCasting.bk2",86,"http://down.qq.com/poe/videos/skills/EtherealKnives/EtherealKnives+FasterCasting.bk2",[]
44,"EtheralKnives&FasterProjectiles","Increasing the projectile speed of Ethereal Knives increases how far the projectiles can travel. When paired with the Pierce support, Faster Projectiles will allow your projectiles to travel deeply through packs of mobs.","Augmente la vitesse des projectiles de Couteaux éthérés — et donc, la distance qu'ils peuvent parcourir. Si vous y ajoutez Soutien : Transpercement, vos Couteaux éthérés pourront perforer des groupes entiers de monstres.","Erhöht die Projektilgeschwindigkeit von 'Ätherische Klingen' und die maximale Distanz, die die Projektile zurücklegen können. Gepaart mit 'Unterstützung: Durchbohren' sind die Projektile in der Lage, auch dichtere Monstergruppen zu durchbohren.","イシリアルナイフの投擲スピードを増加させることで、より遠くまで投射物が届くようになる。","천상의 단도의 투사체 속도가 증가하여, 투사체의 이동 거리가 증가합니다. 투사체 속도 증가 보조 젬을 관통 보조 젬과 결합하면 투사체 속도를 더욱 증가하여 적 깊숙이 파고듭니다.","Aumentar a velocidade dos projéteis das Facas Etéreas aumenta o quão longe os projéteis podem viajar. Ao ser combinado com penetrar, Projéteis Rápidos permitirá que você perfure grupos de monstros mais densos.","Повышает скорость снарядов Бесплотных ножей, увеличивая максимальную дальность полета снарядов. В паре с камнем поддержки Пронзание, Ускорение снарядов позволит вашим снарядам пролетать сквозь группы врагов.","Aumentar la velocidad de los proyectiles de Cuchillos Etéreos aumenta la distancia de viaje de los proyectiles. Cuando se combina con la Asistencia de Perforar, Proyectiles Rápidos permitirá que tus proyectiles penetren más profundamente en los grupos de monstruos.","เพิ่มความเร็วของกระสุน มีดเวทมนตร์ (Ethereal Knives) ทำให้กระสุนที่พุ่งออกไปมีระยะทางสูงสุดเพิ่มขึ้น เมื่อใช้คู่กับ หินเสริม Pierce จะทำให้กระสุนของคุณพุ่งเข้าไปทะลุทะลวงกองมอนสเตอร์ได้หลายต่อหลายกอง","增加虛空匕首投射物的速度，增加投射物飛行的最遠距離。與穿透輔助搭配使用，快速投射物可以使你的投射物飛行至敵方深處。","http://web.poecdn.com/public/videos/EtherealKnives/EtherealKnives+FasterProjectiles.bk2",37,"http://down.qq.com/poe/videos/skills/EtherealKnives/EtherealKnives+FasterProjectiles.bk2",[]
45,"EtheralKnives&PhysicalToLightning","Converts 50% of Ethereal Knives' physical damage to lightning damage, as well as providing extra lightning damage based on your physical damage.","Convertit 50% des Dégâts physiques de Couteaux éthérés en Dégâts de foudre, et octroie également un bonus de Dégâts de foudre en fonction de vos Dégâts physiques.","Wandelt 50 % des physischen Schadens von 'Ätherische Klingen' in Blitzschaden um und gewährt zusätzlichen Blitzschaden, der auf dem physischen Schaden basiert.","イシリアルナイフの物理ダメージの50%を雷ダメージに変換し、また物理ダメージに基づいて追加雷ダメージを与える。","천상의 단도가 주는 물리 피해의 50%를 번개 피해로 전환하고 시전자의 물리 피해에 비례하여 추가 번개 피해도 제공합니다.","Converte 50% do dano físico das Facas Etéreas para dano de raio. Também concede dano de raio extra baseado no seu dano físico.","Переводит 50% физического урона Бесплотных ножей в урон от молнии, а также дает дополнительный урон от молнии на основании вашего физического урона.","Convierte el 50% del daño físico de Cuchillos Etéreos a daño de rayo, además de otorgar daño de rayo extra basado en tu daño físico.","แปลงความเสียหาย กายภาพ 50% ของ มีดเวทมนตร์ (Ethereal Knives) เป็น สายฟ้า และยังเสริมความเสียหาย สายฟ้า ขึ้นอยู่กับความเสียหาย กายภาพ ที่คุณมีอีกด้วย","轉化 50% 虛空匕首的物理傷害至閃電傷害，同時也根據你的物理傷害提供額外的閃電傷害。","http://web.poecdn.com/public/videos/EtherealKnives/EtherealKnives+PhysicaltoLightning.bk2",265,"http://down.qq.com/poe/videos/skills/EtherealKnives/EtherealKnives+PhysicaltoLightning.bk2",[]
46,"EtheralKnives&Pierce","Allows projectiles from Ethereal Knives to travel through extra numbers of enemies, ensuring that more enemies in a pack will be hit by the projectiles.","Permet à vos Couteaux éthérés de traverser plus d'ennemis, leur permettant ainsi de toucher plus de monstres au sein d'un même groupe.","Bewirkt, dass die Projektile von 'Ätherische Klingen' weitere Gegner überwinden und stellt sicher, dass möglichst viele Gegner in einer Gruppe von den Projektilen getroffen werden.","イシリアルナイフの投射物が多数の敵を通り抜けることで、より多くの敵にヒットするようになる。","천상의 단도의 투사체가 더 많은 적을 관통하여 무리지어 있는 적을 더 많이 명중할 수 있습니다.","Permite que os projéteis das Facas Etéreas viajem através de uma quantidade extra de inimigos, assegurando que mais inimigos em um grupo serão acertados pelos projéteis.","Позволяет снарядам Бесплотных ножей пролетать через дополнительных монстров и поражать ударами больше врагов.","Permite que los proyectiles de Cuchillos Etéreos atraviesen a más enemigos, lo que asegura que más enemigos de un grupo sean golpeados por los proyectiles.","ทำให้กระสุนของ มีดเวทมนตร์ (Ethereal Knives) สามารถพุ่งผ่านศัตรูจำนวนเพิ่มเติม เป็นการรับรองว่ากระสุนจะปะทะศัตรูในกองได้หลายตัว","使虛空匕首的投射物可以穿越額外的怪物群，確保更多怪物可以被投射物擊中。","http://web.poecdn.com/public/videos/EtherealKnives/EtherealKnives+Pierce.bk2",70,"http://down.qq.com/poe/videos/skills/EtherealKnives/EtherealKnives+Pierce.bk2","[3,2,4,5]"
47,"EtheralKnives&SpellEcho","Repeats Ethereal Knives an additional time while also greatly increasing the cast speed.","Répète l'incantation de Couteaux éthérés tout en augmentant sa Vitesse d'incantation.","Wiederholt 'Ätherische Klingen' ein zusätzliches Mal und erhöht zudem stark die Zaubergeschwindigkeit.","イシリアルナイフを追加でもう一度繰り返すとともに、キャストスピードも大幅に増加させる。","천상의 단도가 1회 더 시전되며 시전 속도도 크게 증가합니다.","Repete as Facas Etéreas uma vez adicional, aumentando amplamente a velocidade de conjuração.","Ещё один раз повторно сотворяет Бесплотные ножи и значительно повышает скорость их сотворения.","Repite Cuchillos Etéreos una vez adicional, además de aumentar en gran medida la velocidad de lanzamiento.","ทำให้ มีดเวทมนตร์ (Ethereal Knives) เกิดซ้ำเพิ่มเติม 1 ครั้ง และเพิ่มความเร็วในการร่ายเป็นอย่างยิ่ง","重複施放虛空匕首一次，同時也會增加施放速度。","http://web.poecdn.com/public/videos/EtherealKnives/EtherealKnives+SpellEcho.bk2",189,"http://down.qq.com/poe/videos/skills/EtherealKnives/EtherealKnives+SpellEcho.bk2",[]
48,"ExplosiveTrap&TrapMineDamage","Grants more damage to your Explosive Trap. It also adds a small penalty to trap throwing speed.","Octroie Davantage de Dégâts à Piège explosif, mais ajoute également un léger malus à la Vitesse de jet des Pièges.","Gewährt 'Sprengfalle' mehr Schaden und eine leichte Verringerung der Fallenwurfgeschwindigkeit.","エクスプローシブトラップのダメージが上昇する。同時にトラップ投擲スピードにペナルティを与える。","폭발 덫의 피해가 증폭되지만 투척 속도가 조금 감소합니다.","Concede mais dano à sua Armadilha Explosiva. Também adiciona uma pequena penalidade à velocidade de arremesso da armadilha.","Дает больше урона вашей Взрывной ловушке, немного снижая скорость её броска.","Otorga más daño a tu Trampa Explosiva. También agrega una pequeña penalidad a la velocidad de lanzamiento de las trampas.","เพิ่มความเสียหาย อีก ให้กับ กับดักระเบิด (Explosive Trap) ของคุณ แต่ทำให้มีผลเสียต่อความเร็วในการปากับดักของคุณเล็กน้อย","你的爆裂陷阱獲得更多傷害。但同時對陷阱投擲速度附加懲罰。","http://web.poecdn.com/public/videos/ExplosiveTrap/ExplosireTrap+TrapandMineDamage.bk2",283,"http://down.qq.com/poe/videos/skills/ExplosiveTrap/ExplosiveTrap+TrapandMineDamage.bk2",[]
49,"ExplosiveTrap&ClusterTraps","Allows you to throw 2 additional Explosive Traps at once.","Vous permet de jeter 2 Pièges explosifs supplémentaires à la fois.","Ermöglicht das gleichzeitige Werfen von zwei zusätzlichen Sprengfallen.","エクスプローシブトラップを追加であと2つ投げることが出来るようになる。","동시에 폭발 덫 2개를 추가로 투척할 수 있습니다.","Permite que você arremesse 2 Armadilhas Explosivas adicionais por vez.","Позволяет вам бросить 2 дополнительных Взрывных ловушки за один раз.","Te permite lanzar 2 Trampas Explosivas adicionales a la vez.","ทำให้คุณสามารถโยน กับดักระเบิด (Explosive Trap) เพิ่มเติม 2 อัน ในการโยนครั้งเดียว","讓你一次可以投擲兩個額外爆裂陷阱。","http://web.poecdn.com/public/videos/ExplosiveTrap/ExplosiveTrap+ClusterTraps.bk2",308,"http://down.qq.com/poe/videos/skills/ExplosiveTrap/ExplosiveTrap+ClusterTrap.bk2",[]
50,"ExplosiveTrap&ChargedTraps","Grants a chance to gain frenzy and power charges when your Explosive Trap is triggered by enemies. It also grants increased trap throwing speed per frenzy charge and increased critical strike multiplier per power charge. ","Vous octroie des chances de gagner une Charge de frénésie et de pouvoir lorsque les ennemis déclenchent vos Pièges explosifs. Cette Gemme de soutien vous donne également un bonus de Vitesse de Jet des Pièges pour chaque Charge de frénésie que vous avez, ainsi qu'une Augmentation du Multiplicateur de Coup critique pour chaque Charge de pouvoir que vous avez.","Gewährt eine Chance auf Raserei- und Energie-Ladungen, wenn die Sprengfalle durch Gegner ausgelöst wird. Pro Raserei-Ladung wird die Fallenwurfgeschwindigkeit und pro Energie-Ladung der Multiplikator für kritische Treffer erhöht.","エクスプローシブトラップが敵によって発動した際、まれにフレンジーとパワーチャージを得る。1フレンジーごとに投擲スピード、1パワーチャージごとにクリティカルダメージ倍率が増加する。","적이 폭발 덫을 발동하면 일정 확률로 격분 충전과 권능 충전을 획득합니다. 격분 충전을 획득할 때마다 투척 속도가 증가하고 권능 충전을 획득할 때마다 치명타 피해 배율이 증가합니다.","Concede uma chance de ganhar cargas de frenesi e poder quando sua Armadilha Explosiva for ativada pelos inimigos. Também concede uma umento da velocidade de arremesso de armadilhas por carga de frenesi e aumenta o multiplicador de golpe crítico por carga de poder.","Дает шанс получить заряды ярости и энергии, когда враги вызывают срабатывание вашей Взрывной ловушки. Также повышает скорость броска ловушки за заряд ярости и увеличивает множительно критического удара за заряд энергии.","Otorga una probabilidad de ganar cargas de frenesí y de poder cuando los enemigos activan tu Trampa Explosiva. También otorga velocidad de lanzamiento de trampas aumentada por cada carga de frenesí y multiplicador de golpe crítico aumentado por cada carga de poder.","ทำให้คุณมีโอกาสได้รับ Frenzy หรือ Power Charge เมื่อกับดักของคุณถูกทริกเกอร์โดยศัตรู มันยังเพิ่มความเร็วในการโยนกับดักต่อจำนวน Frenzy Charge และเพิ่มตัวคูณคริติคอลต่อจำนวน Power Charge อีกด้วย ","當你的爆裂陷阱被敵人觸發時，有機率獲得狂怒和暴擊球。每顆狂怒球會增加陷阱投擲速度，每顆暴擊球會增加暴擊加成。","http://web.poecdn.com/public/videos/ExplosiveTrap/ExplosiveTrap+ChargedTraps.bk2",360,"http://down.qq.com/poe/videos/skills/ExplosiveTrap/ExplosiveTrap+ChargedTrap.bk2",[]
51,"ExplosiveTrap&ControlledDestruction","Grants more spell damage to Explosive Trap but reduces critical strike chance. The more spell damage provided by this support allows a direct and stable increase in damage not contingent on critical strikes.","Octroie Davantage de Dégâts des sorts à Piège explosif, mais réduit ses chances d'infliger un Coup critique. Cette Gemme de soutien a pour avantage d'améliorer vos dégâts de manière fiable, puisque vous dépendrez moins du hasard des Coups critiques.","Verringert zwar die Chance auf kritische Treffer, gewährt 'Sprengfalle ' jedoch mehr Zauberschaden, der zu einer direkten und stabilen Schadenserhöhung führt, die nicht von kritischen Treffern abhängig ist.","エクスプローシブトラップのスペルダメージが上昇するが、クリティカル率が低下する。このサポートによるスペルダメージの上昇はクリティカルに左右されず、直接的で安定したダメージ増加を可能にする。","폭발 덫의 주문 피해가 증폭하지만 치명타 확률은 감소합니다. 이 영향으로 주문 피해가 증폭하여 치명타에 의존하지 않아도 안정적이면서 직접적으로 더 많은 피해를 줄 수 있습니다.","Concede mais dano mágico à Armadilha Explosiva, mas reduz a chance de golpe crítico. O modificador de \""mais dano mágico\"" concedido por este suporte permite um aumento direto e estável de dano independente dos golpes críticos.","Дает больше урона от чар Взрывной ловушке, но снижает шанс критического удара. Свойство \""больше урона от чар\"", которое дает этот камень поддержки, обеспечивает прямое и стабильное увеличение урона, не зависящее от критических ударов.","Otorga más daño de hechizos a Trampa Explosiva, pero reduce su probabilidad de golpe crítico. El aumento de daño de hechizos que otorga esta asistencia permite un aumento directo y estable del daño que no depende de los golpes críticos.","เพิ่มความเสียหาย เวท อีก ให้กับ กับดักระเบิด (Explosive Trap) แต่ลดโอกาสคริติคอล การเพิ่มความเสียหาย เวท อีก ของหินเสริมนี้จะเป็นการเพิ่มความเสียหายโดยตรงและเสถียรกว่าความเสียหายคริติคอลที่เอาแน่เอานอนไม่ได้","爆裂陷阱獲得更多法術傷害，但會減少暴擊率。此輔助會提供更多法術傷害，直接並穩定的增加傷害，並不用依靠暴擊。","http://web.poecdn.com/public/videos/ExplosiveTrap/ExplosiveTrap+ControlledDestruction.bk2",306,"http://down.qq.com/poe/videos/skills/ExplosiveTrap/ExplosiveTrap+ControlledDestruction.bk2",[]
52,"ExplosiveTrap&ElementalFocus","Removes the ability for Explosive Trap to inflict elemental ailments, such as ignite, on enemies. However, it significantly increases the amount of elemental damage Explosive Trap does. Converting all physical damage from Explosive Trap to elemental damage maximizes the benefit this support provides.","Empêche vos Pièges explosifs d'appliquer des Altérations élémentaires (telles que l'Embrasement). En contrepartie, cette Gemme de soutien améliore la quantité de Dégâts élémentaires infligés par vos Pièges explosifs — surtout si vous parvenez à convertir tous leurs Dégâts physiques en Dégâts élémentaires.","Nimmt zwar die Fähigkeit, durch 'Sprengfalle' bei Gegnern Beeinträchtigungen zu verursachen (wie zum Beispiel Entzünden), führt jedoch zu einer beträchtlichen Steigerung des Elementarschadens. Der Nutzen dieser Unterstützungsgemme wird maximiert, indem man sämtlichen physischen Schaden von 'Sprengfalle' in Elementarschaden umwandelt.","エクスプローシブトラップによって発火などの元素状態異常を与えることができなくなるが、元素ダメージが大きく増加する。エクスプローシブトラップによる物理ダメージを全て元素ダメージに変換することで、このサポートの利点が最大化する。","폭발 덫이 적에게 점화와 같은 원소 상태 이상을 유발할 수 없으나 막대한 원소 피해를 줄 수 있습니다. 폭발 덫의 모든 물리 피해를 원소 피해로 전환하여 이 보조 젬이 제공하는 이점을 극대화합니다.","Remove a possibilidade de infligir afecções elementais da Armadilha Explosiva, tais como incêndio, nos inimigos, mas aumenta significativamente a quantidade de dano elemental que ela causa. Converter todo o dano físico da Armadilha Explosiva para dano elemental maximiza o benefício desse suporte.","Ваша Взрывная ловушка не сможет накладывать на врагов стихийные состояния, такие как поджог. Однако, урон от стихий Взрывной ловушки будет существенно увеличен. Перевод всего физического урона от Взрывной ловушки в урон от стихий максимизирует преимущества этого камня поддержки.","Elimina la capacidad de que Trampa explosiva pueda infligir estados alterados elementales a los enemigos, como por ejemplo quemadura. Sin embargo, aumenta significativamente la cantidad de daño elemental que inflige Trampa explosiva. La conversión de todo el daño físico de Trampa explosiva a daño elemental maximiza el beneficio que otorga esta asistencia.","ทำให้ กับดักระเบิด (Explosive Trap) ไม่สามารถสร้างสถานะ เจ็บป่วยธาตุ อย่างเช่น ลุกไหม้ ต่อศัตรูได้อีกต่อไป แต่ทว่า มันจะเพิ่มความเสียหาย ธาตุ ให้กับ กับดักระเบิด เป็นอย่างมาก นอกจากนี้การแปลงความเสียหาย กายภาพ ทั้งหมดของ กับดักระเบิด ไปเป็นความเสียหาย ธาตุ จะทำให้ได้รับประโยชน์จากหินเสริมนี้สูงสุด","使爆裂陷阱無法對敵人造成元素異常狀態，像是點燃。但它會大量增加爆裂陷阱的元素傷害。轉化爆裂陷阱所有物理傷害至元素傷害，可以最大化此輔助提供的效用。","http://web.poecdn.com/public/videos/ExplosiveTrap/ExplosiveTrap+ElementalFocus.bk2",315,"http://down.qq.com/poe/videos/skills/ExplosiveTrap/ExplosiveTrap+ElementalFocus.bk2",[]
53,"ExplosiveTrap&PhysicalToLightning","Converts 50% of Explosive Trap's physical damage to lightning damage, as well as providing extra lightning damage based on your physical damage.","Convertit 50% des Dégâts physiques de vos Pièges explosifs en Dégâts de foudre, et octroie également un bonus de Dégâts de foudre en fonction de vos Dégâts physiques.","Wandelt 50 % des physischen Schadens von 'Sprengfalle' in Blitzschaden um und gewährt zusätzlichen Blitzschaden, der auf dem physischen Schaden basiert.","エクスプローシブトラップの物理ダメージの50%を雷ダメージに変換し、また物理ダメージに基づいて追加雷ダメージを与える。","폭발 덫이 주는 물리 피해의 50%를 번개 피해로 전환하고 시전자의 물리 피해에 비례하여 추가 번개 피해도 제공합니다.","Converte 50% do dano físico da Armadilha Explosiva para dano de raio. Também concede dano de raio extra baseado no seu dano físico.","Переводит 50% физического урона Взрывной ловушки в урон от молнии, а также дает дополнительный урон от молнии на основании вашего физического урона.","Convierte el 50% del daño físico de Trampa Explosiva a daño de rayo, además de otorgar daño de rayo extra basado en tu daño físico.","แปลงความเสียหาย กายภาพ 50% ของ กับดักระเบิด (Explosive Trap) เป็น สายฟ้า และยังเสริมความเสียหาย สายฟ้า ขึ้นอยู่กับความเสียหาย กายภาพ ที่คุณมีอีกด้วย","轉化 50% 爆裂陷阱的物理傷害至閃電傷害，同時也根據你的物理傷害提供額外的閃電傷害。","http://web.poecdn.com/public/videos/ExplosiveTrap/ExplosiveTrap+PhysicaltoLightning.bk2",265,"http://down.qq.com/poe/videos/skills/ExplosiveTrap/ExplosiveTrap+PhysicaltoLightning.bk2",[]
