"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ModsKey","ArtFile","BetrayalUpgradeSlotsKey","[i32]","ItemVisualIdentityKey0","ItemVisualIdentityKey1","GrantedEffectsKey","i32","ItemClassesKey"
10,"Boots10","Cantar's Tangle","Enchevêtrement de Cantar","Cantars Gewirr","カンターのもつれ","칸타의 덩굴","Emaranhado de Cantar","Петли Кантара","Enredo de Cantar","ความพัวพันของแคนทาร์","肯塔爾的糾結","Explodes Corpses into Vines","Fait exploser les cadavres en Lianes enchevêtrantes","Lässt Leichen zu Ranken explodieren","死体を爆破し蔓に変成","덩굴 내의 시신 폭발","Explode Cadáveres em Vinhas","Подрывает трупы, превращая их в лианы","Explota cadáveres y los vuelve enredaderas","ระเบิดศพเป็นเถาวัลย์","屍體炸裂成藤蔓",[17971],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsTangle",1,[],"","","",1,""
11,"HelmetAttachment1","Raust's Blessings","Bénédiction de Raust","Rausts Segen","ラウストの祝福","라우스트의 축복","Bençãos de Raust","Благословение Рауста","Bendiciones de Raust","พรของรอส์ท","勞斯的祝福","Extra Energy Shield","Bonus de Bouclier d'énergie","Extra Energieschild","エナジーシールド追加","추가 에너지 보호막","Escudo de Energia Extra","Дополнительный энергетический щит","Escudo de energía extra","โล่พลังงานเพิ่มเติม","額外能量護盾",[17972],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RaustsBlessings",0,[],"","","",1,""
12,"HelmetAttachment2","Gogori's Army","Armée de Gogori","Gogoris Armee","ゴゴリの軍勢","고고리의 군대","Exército de Gogori","Армия Гогори","Ejército de Gogori","ทัพของโกโกรี","枸格里的軍隊","Bleed on Hit","Applique un Saignement au Toucher","Bluten bei Treffer","ヒット時出血付与","명중 시 출혈 유발","Sangramento ao Acertar","Кровотечение при нанесении удара","Sangrado con cada golpe","สร้างสถานะ เลือดไหล เมื่อปะทะ","擊中時流血",[17973],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisArmy",0,[],"","","",1,""
13,"HelmetAttachment3","Urdamel's Madness","Folie d'Urdamel","Urdamels Wahnsinn","ウルダメルの狂気","울다멜의 광기","Loucura de Urdamel","Безумие Урдамела","Locura de Urdamel","ความบ้าคลั่งของเออร์ดาเมล","歐德梅爾的瘋狂","Creates Unholy Sentinels","Crée des Sentinelles impies","Erzeugt unheilige Wachen","不浄なセンチネル生成","불경한 파수꾼 생성","Cria Sentinelas Malditos","Создает Нечестивых стражей","Crea centinelas profanos","สร้าง ทหารยามอธรรม","製造不潔護衛",[17974],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsMadness",0,[],"","","",1,""
14,"HelmetAttachment4","Silas' Spires","Flèches de Silas","Silas' Spitzen","サイラスの尖塔","실라스의 첨탑","Espirais de Silas","Шпили Сайласа","Agujas de Silas","ยอดแหลมของซิลัส","賽拉斯之尖","Increased Area of Effect","Bénéficie d'une Augmentation de Zone d'effet","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Увеличение области действия","Área de efecto aumentada","เพิ่มพื้นที่ส่งผล","增加範圍效果",[17975],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SilasSpires",0,[],"","","",1,""
15,"HelmetAttachment5","Lorag's Dream","Rêve de Lorag","Lorags Traum","ロラッグの夢","로락의 꿈","Sonho de Lorag","Сон Лорага","Sueño de Lorag","ฝันของลอแร็ก","羅格的美夢","Hexproof","Protection contre les Calamités","Fluchgeschützt","呪術無効化","사술 방지","Infeitiçável","Заговорённый","Antimaleficios","ป้องกันสาปสะกด","無咒的",[17976],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/LoragsDream",0,[],"","","",1,""
16,"HelmetAttachment6","Azal's Eye","Œil d'Azal","Azals Auge","アザールの瞳","아잘의 눈","Olho de Azal","Глаз Азала","Ojo de Azal","ดวงตาของเอซาล","艾札的眼睛","Physical Damage added as Cold. All Damage Chills","Profite d'un Rajout de Dégâts physiques en froid. Tous ses Dégâts Frigorifient","Physischer Schaden als Kälte hinzugefügt. Jeglicher Schaden unterkühlt","物理ダメージを冷気ダメージとして追加。全てのダメージで冷却付与","물리 피해가 냉기 피해에 추가. 모든 피해가 냉각 유발","Dano Físico adicional como Gelo. Todo Dano Resfria","Физический урон добавляется в виде урона от холода. Весь урон накладывает охлаждение","Daño físico agregado como hielo. Todo el daño escarcha","เสริมน้ำแข็งจากกายภาพ สร้างสถานะ หนาวเย็น","物理傷害附加冰冷。所有傷害冰緩",[17977],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsEye",0,[],"","","",1,""
17,"HelmetAttachment7","Moknuma's Watch","Veille de Moknuma","Moknumas Wache","モクヌマの注視","모크누마의 감시","Vigílha de Moknuma","Дозор Мокнумы","Vigilancia de Moknuma","การจับตาของมอคนูมา","莫卡努瑪的看守","Critical Strike and Accuracy","Bonus de Coups critiques et de Précision","Kritische Trefferchance und Genauigkeit","クリティカル率および命中力","치명타와 정확도","Golpes Críticos e Precisão","Критический удар и меткость","Golpes críticos y precisión","คริติคอลและความแม่นยำ","暴擊和命中",[17978],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasWatch",0,[],"","","",1,""
18,"HelmetAttachment8","Bu's Delight","Délice de Bu","Bus Entzückung","ブゥの歓喜","부의 기쁨","Deleite de Bu","Услада Бу","Deleite de Bu","ความปีติของบู","布的喜悅","Consumes corpses for Life","Consomme des cadavres pour gagner de la Vie","Verbraucht Leichen für Leben","死体を消費してライフ回復","시신을 소모하여 생명력 회복","Consome cadáveres por Vida","Поглощает трупы для получения здоровья","Consume cadáveres para obtener vida","กลืนกินศพเป็นพลังชีวิต","消耗屍體回血",[17979],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusDelight",0,[],"","","",1,""
19,"HelmetAttachment9","Harimal's Wall","Mur d'Harimal","Harimals Mauer","ハリマルの壁","하리말의 벽","Muralha de Harimal","Стена Харимала","Muro de Harimal","กำแพงของฮาริมาล","赫爾默的城牆","Grants Summon Petrify Statue","Peut invoquer des Statues pétrifiantes","Gewährt 'Versteinerungsstatue'","石化の像召喚を獲得","석화 석상 소환 허용","Concede Convocar Estátua Petrificada","Имеет умение Призыв окаменяющей статуи","Otorga Invocar estatua petrificada","ได้รับ อัญเชิญรูปปั้นสาปเป็นหิน","獲得石化雕像",[17980],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsWall",0,[],"","","",1,""
20,"HelmetAttachment10","Sen-Kin's Descent","Descente de Sen-Kin","Sen-Kins Abstammung","セン・キンの血統","센-킨의 하강","Declive de Sen-Kin","Схождение Сен-Кина","Descenso de Sen-Kin","การลงของเซน-คิน","珊金的血脈","Cannot be Leeched From","Profite d'une Immunité au Drain de Vie","Lebens- und Manaraub wirken nicht auf Euch","リーチされない","흡수되지 않음","Não pode Ser Drenado","Защищает от похищения","No pueden absorber su vida","ไม่ถูกดูด พลังชีวิต, มานา หรือ โล่พลังงาน","無法被偷取",[17981],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SenKinsDescent",0,[],"","","",1,""
21,"BackAttachment1","Akanilim's Hide","Peau d'Akanilim","Akanilims Haut","アカニリムの秘匿","아카닐림의 가죽","Esconderijo de Akanilim","Шкура Аканилима","Cuero de Akanilim","หนังของอะคานิลิม","艾卡莉恩的躲藏","Fire Resistance","Bonus de Résistance au feu","Feuerwiderstand","火耐性","화염 저항","Resistência à Fogo","Сопротивление огню","Resistencia al fuego","มีค่าต้านทาน ไฟ","火焰抗性",[17982],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AkanilimsHide",3,[],"","","",1,""
22,"BackAttachment2","Shiaphet's Pall","Suaire de Shiaphet","Shiaphets Bahrtuch","シアフェットの聖杯布","시아펫의 덮개","Mortalha de Shiaphet","Громоотвод Шиафет","Féretro de Shiaphet","ผ้าห่อศพของเชียเฟต","賽亞特的棺柩","Lightning Resistance","Bonus de Résistance à la foudre","Blitzwiderstand","雷耐性","번개 저항","Resistência à Raio","Сопротивление молнии","Resistencia al rayo","มีค่าต้านทาน สายฟ้า","閃電抗性",[17983],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ShiaphetsPall",3,[],"","","",1,""
23,"BackAttachment3","Xunti's Parasol","Ombrelle de Xunti","Xuntis Sonnenschirm","ソンチーの傘","준티의 양산","Sombrinha de Xunti","Укрытие Шунти","Parasol de Xunti","ร่มของซุนตี","祖提的傘翼","Cold Resistance","Bonus de Résistance au froid","Kältewiderstand","冷気耐性","냉기 저항","Resistência à Gelo","Сопротивление холоду","Resistencia al hielo","มีค่าต้านทาน น้ำแข็ง","冰冷抗性",[17984],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/XuntisParasol",3,[],"","","",1,""
24,"BackAttachment4","Tekiton's Spine","Épine de Tekiton","Tekitons Rückgrat","テキトンの脊柱","테키톤의 척추","Espinha de Tekiton","Хребет Текитона","Espina de Tekiton","สันหลังของเทคิตอน","泰肯特的脊柱","Physical Reduction","Bonus de Résistance physique","Physische Schadensminderung","被物理ダメージ軽減","물리 감소","Redução de Dano Físico","Снижение получаемого физического урона","Reducción física","มีค่าป้องกันกายภาพ","物理減免",[17985],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsSpine",3,[],"","","",1,""
25,"BackAttachment5","Gogori's Plague","Peste de Gogori","Gogoris Seuche","ゴゴリの疫病","고고리의 역병","Peste de Gogori","Чума Гогори","Plaga de Gogori","โรคร้ายของโกโกรี","枸格里的瘟疫","Chaos Resistance","Bonus de Résistance au chaos","Chaoswiderstand","混沌耐性","카오스 저항","Resistência a Caos","Сопротивление хаосу","Resistencia al caos","มีค่าต้านทาน เคออส","混沌抗性",[17986],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisPlague",3,[],"","","",1,""
26,"BackAttachment6","Harimal's Campaign","Campagne d'Harimal","Harimals Feldzug","ハリマルの作戦","하리말의 작전","Campanha de Harimal","Поход Харимала","Campaña de Harimal","การรบของฮาริมาล","赫爾默的戰役","Multiple Projectiles","Bénéficie de Projectiles multiples","Mehrfachprojektile","投射物追加","다중 투사체","Projéteis Múltiplos","Множество снарядов","Proyectiles múltiples","กระสุนหลายลูก","多重投射物",[17987],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsCampaign",3,[],"","","",1,""
27,"BackAttachment7","Tau Poh's Banner","Bannière de Tau Poh","Tau Pohs Banner","タウ・ポーの軍旗","타우 포의 깃발","Estandarte de Tau Poh","Стяг Тау По","Estandarte de Tau Poh","ผืนธงของเทา โพห์","陶波的旗幟","Ailment Avoidance","A des chances d'éviter les Altérations","Vermeidung von Beeinträchtigungen","状態異常無効化","상태 이상 긴급회피","Imunidade à Afecções","Избегание состояний","Evasión de estados alterados","หลีกเลี่ยงสถานะ เจ็บป่วย","避免異常狀態",[17988],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsBanner",3,[],"","","",1,""
28,"BackAttachment8","Bu's Bottle","Bouteille de Bu","Bus Flasche","ブゥの瓶","부의 물병","Garrafa de Bu","Бутыль Бо","Botella de Bu","ขวดของบู","布的瓶子","Creates Unholy Relics","Invoque des Reliques impies","Erzeugt unheilige Relikte","アンホーリーレリック作成","불경한 유물 생성","Cria Relíquias Malditas","Создает Нечестивые реликвии","Crea Reliquias profanas","สร้าง วัตถุอธรรม","製造不潔聖物",[17989],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusBottle",3,[],"","","",1,""
29,"BackAttachment9","Rithkin's Dance","Danse de Rithkin","Rithkins Tanz","リスキンの踊り","리스킨의 춤","Dança de Righkin","Танец Риткина","Baile de Rithkin","การร่ายรำของริธคิน","萊斯金的舞蹈","Physical Damage added as Lightning. All Damage Shocks","Profite d'un Rajout de Dégâts physiques en foudre. Tous ses Dégâts Électrocutent","Physischer Schaden als Blitz hinzugefügt. Jeglicher Schaden schockt","物理ダメージを雷ダメージとして追加。全てのダメージで感電付与","물리 피해가 번개 피해에 추가. 모든 피해가 감전 유발","Dano Físico adicional como Raio. Todo Dano Eletriza","Физический урон добавляется в виде урона от молнии. Весь урон накладывает шок","Daño físico agregado como rayo. Todo el daño electrocuta","เสริมสายฟ้าจากกายภาพ สร้างสถานะ ช็อค","物理傷害附加閃電。所有傷害感電",[17990],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsDance",3,[],"","","",1,""
30,"BackAttachment10","Cantar's Coffin","Cercueil de Cantar","Cantars Sarg","カンターの棺","칸타의 관","Caixão de Cantar","Гроб Кантара","Ataúd de Cantar","โลงศพของแคนทาร์","肯塔爾的靈柩","Explodes corpses into Acid","Fait exploser les cadavres en Flaques d'acide","Lässt Leichen zu Säure explodieren","死体を爆破し酸に変成","산성 내 시신 폭발","Explode cadáveres em Ácido","Подрывает трупы, превращая их в кислоту","Explota cadáveres y los convierte en ácido","ระเบิดศพเป็นน้ำกรด","屍體炸裂成酸蝕",[17991],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsCoffine",3,[],"","","",1,""
31,"TwoHandAxe1","Silas' Flattener","Aplatisseur de Silas","Silas' Walze","サイラスの圧延機","실라스의 평탄화","Nivelador de Silas","Выравниватель Сайласа","Aplanadora de Silas","เครื่องบี้ของซิลัส","賽拉斯的平膜","Increased Area of Effect","Bénéficie d'une Augmentation de Zone d'effet","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Увеличивает область действия","Área de efecto aumentada","เพิ่มพื้นที่ส่งผล","增加範圍傷害",[17975],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SilasFlattener",4,[],12464,"","",1,16
32,"TwoHandMace1","Moknuma's Storm","Tempête de Moknuma","Moknumas Sturm","モクヌマの嵐","모크누마의 태풍","Tormenta de Moknuma","Штурм Мокнумы","Tormenta de Moknuma","วายุของมอคนูมา","莫卡努瑪的風暴","Maim on Hit","Applique Mutilation au Toucher","Verstümmeln bei Treffer","ヒット時重傷付与","명중 시 힘줄 절단 유발","Mutilar ao Acertar","Накладывает увечья при нанесении удара","Lisia con cada golpe","สร้างสถานะ ขาหัก เมื่อปะทะ","擊中時癱瘓",[17992],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasStorm",4,[],12465,"","",1,17
33,"Bow1","Gogori's Stinger","Dard de Gogori","Gogoris Stachel","ゴゴリの毒針","고고리의 쐐기털","Ferrão de Gogori","Жало Гогори","Aguijón de Gogori","เหล็กในของโกโกรี","枸格里的毒刺","Far Shot","Bénéficie de Tir lointain","Fernschuss","ファーショット","장거리 사격","Tiro Longo","Дальний выстрел","Tiro largo","Far Shot","狙擊",[17993],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisStinger",4,[],"",12466,"",1,13
34,"Bow2","Xunti's Zither","Cithare de Xunti","Xuntis Zither","ソンチーのツィター","준티의 치터","Cítara de Xunti","Цитра Шунти","Cítara de Xunti","พิณของซุนตี","祖提的齊特琴","Point Blank","Bénéficie d'À bout portant","Aus nächster Nähe","ポイントブランク","근접 사격","À Queima Roupa","Стрельба в упор","Quemarropa","Point Blank","零點射擊",[17994],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/XuntisZither",4,[],"",12467,"",1,13
35,"Bow3","Rithkin's Burden","Fardeau de Rithkin","Rithkins Last","リスキンの重責","리스킨의 짐","Fardo de Righkin","Бремя Риткина","Carga de Rithkin","ภาระของริธคิน","萊斯金的重擔","Gain Frenzy Charge on Hit","Gagne une Charge de Frénésie au Toucher","Gewährt Raserei-Ladung bei Treffer","ヒット時フレンジーチャージ獲得","명중 시 격분 충전 획득","Ganho de Carga de Frenesi ao Acertar","Получает заряд ярости при нанесении удара","Gana una carga de frenesí con cada golpe","ได้รับ Frenzy Charge เมื่อปะทะ","擊中時獲得狂怒球",[17995],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsBurden",4,[],"",12468,"",1,13
36,"OneHandSword1","Sen-Kin's Haunt","Hantise de Sen-Kin","Sen-Kins Heimsuchung","セン・キンの幽霊","센-킨의 출몰","Caçada de Sen-Kin","Пристанище Сен-Кина","Acecho de Sen-Kin","การหลอนของเซน-คิน","珊金的幽魂","Critical Strike Chance and Multiplier","Bonus de Multiplicateur et de Chances de coup critique","Multiplikator und kritische Trefferchance","クリティカル率およびクリティカルダメージ倍率","치명타 확률 및 배율","Chance de Acerto Crítico e Multiplicador","Шанс и множитель критического удара","Probabilidad y multiplicador de golpe crítico","โอกาสและตัวคูณคริติคอล","暴擊率和多重",[17996],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SenkinsHaunt",4,[],12469,"","",1,9
37,"OneHandSword2","Akanilim's Pattern","Motif d'Akanilim","Akanilims Muster","アカニリムの様式","아카닐림의 무늬","Textura de Akanilim","Узор Аканилима","Patrón de Akanilim","ลวดลายของอะคานิลิม","艾卡莉恩的圖騰","Attack Speed","Bonus de Vitesse d'attaque","Angriffsgeschwindigkeit","アタックスピード","공격 속도","Velocidade de Ataque","Скорость атаки","Velocidad de ataque","ความเร็วในการโจมตี","攻擊速度",[17963],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AkanilimsPattern",4,[],12470,"","",1,9
38,"OneHandSword3","Korim's Decapitator","Décapiteur de Korim","Korims Enthaupter","コリムのデキャピテーター","코림의 참수","Decapitador de Korim","Отсекатель голов Корима","Decapitadora de Korim","เครื่องกุดหัวของโอริม","庫姆的斬首者","Attack Damage","Bonus aux Dégâts des attaques","Angriffsschaden","アタックダメージ","공격 피해","Dano de Ataque","Урон от атаки","Daño de ataque","ความเสียหายในการโจมตี","攻擊傷害",[17997],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/KorimsDecapitator",4,[],12471,"","",1,9
39,"OneHandSword4","Shiaphet's Needle","Aiguille de Shiaphet","Shiaphets Nadel","シアフェットの針","시아펫의 바늘","Agulha de Shiaphet","Игла Шиафет","Aguja de Shiaphet","เข็มของเชียเฟต","賽亞特的針刺","Impale on Hit","Applique Empalement au Toucher","Aufspießen bei Treffer","ヒット時串刺し付与","명중 시 꿰뚫음","Empalar ao Acertar","Прокол при нанесении удара","Empala con cada golpe","สร้างสถานะ ทิ่มแทง เมื่อปะทะ","擊中時穿刺",[17998],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ShiaphetsNeedle",4,[],12472,"","",1,9
40,"OneHandMace1","Raust's Judgement","Jugement de Raust","Rausts Urteil","ラウストの審判","라우스트의 심판","Julgamento de Raust","Кара Рауста","Juicio de Raust","การตัดสินของรอส์ท","勞斯的審判","Gain Endurance Charge on Hit","Gagne une Charge d'endurance au Toucher","Gewährt Widerstands-Ladung bei Treffer","ヒット時エンデュランスチャージ獲得","명중 시 인내 충전 획득","Ganho de Carga de Tolerância ao acertar","Получает заряд выносливости при нанесении удара","Gana una carga de aguante con cada golpe","ได้รับ Endurance Charge เมื่อปะทะ","擊中時獲得耐力球",[17999],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RaustsJudgement",4,[],12473,"","",1,12
41,"OneHandMace2","Elgan's Ritual","Rituel d'Elgan","Elgans Ritual","エルガンの儀式","엘간의 의식","Ritual de Elgan","Ритуал Элгана","Ritual de Elgan","พิธีกรรมของเอลแกน","艾根的儀式","Attack Speed","Bonus de Vitesse d'attaque","Angriffsgeschwindigkeit","アタックスピード","공격 속도","Velocidade de Ataque","Скорость атаки","Velocidad de ataque","ความเร็วในการโจมตี","攻擊速度",[17963],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ElgansRitual",4,[],12474,"","",1,12
42,"Sceptre1","Urdamel's Tyranny","Tyrannie d'Urdamel","Urdamels Tyrannei","ウルダメルの独裁","울다멜의 폭정","Tirania de Urdamel","Тирания Урдамела","Tiranía de Urdamel","ความเผด็จการของเออร์ดาเมล","歐德梅爾的暴政","Elemental Damage","Bonus aux Dégâts élémentaires","Elementarschaden","元素ダメージ","원소 피해","Dano Elemental","Урон от стихий","Daño elemental","ความเสียหาย ธาตุ","元素傷害",[18000],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsTyranny",4,[],12475,"","",1,32
43,"Dagger1","Tau Poh's Deception","Tromperie de Tau Poh","Tau Pohs Täuschung","タウ・ポーの策略","타우 포의 기만","Enganação de Tau Poh","Уловка Тау По","Engaño de Tau Poh","การลวงหลอกของเทา โพห์","陶波的欺騙","Gain Power Charge on Hit","Gagne une Charge de pouvoir au Toucher","Gewährt Energie-Ladung bei Treffer","ヒット時パワーチャージ獲得","명중 시 권능 충전 획득","Ganho de Carga de Poder ao acertar","Получает заряд энергии при нанесении удара","Gana una carga de poder con cada golpe","ได้รับ Power Charge เมื่อปะทะ","擊中時獲得暴擊球",[18001],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsDeceoption",4,[],12476,"","",1,7
