"rownum","Id","PositionX","PositionY","i32","i32","[rid]","string","string","[rid]","i32","[rid]","[rid]","rid","string","i32","i32","string","rid","rid","string","bool","i32","i32","bool"
17,"G1_3_MudBurrowerSlain",-16843010,-16843010,-16843010,-16843010,[],"The Devourer","It is a little easier for the townsfolk huddled between the walls of Clearfell Encampment to sleep now the ground beneath them is still.",[2931],1,[72],[],"","WorldMapContentBossDone",14,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrower",0,"","","",4205,4205,1
18,"G1_4",73,0,0,0,[73],"The Grelwood","A shadow waits and watches with mysterious intent.","[2891,2941]",1,[2893],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinOldForest","","","","",4205,4205,""
19,"G1_4_Brambleghast",73,0,0,0,[],"The Brambleghast","...some swear they have seen the purple bramble that grows throughout the wood move on its own...","[2893,2941]",1,[72],[4666],"","WorldMapContentBoss",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBrambleghast",0,"","","",4205,4205,""
20,"G1_4_BrambleghastSlain",73,0,0,0,[],"The Brambleghast","The bramble is still, but the stench of the corpses remains.",[4666],1,[72],[],"","WorldMapContentBossDone",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBrambleghast",0,"","","",4205,4205,1
21,"G1_4_TreeOfSouls",73,0,0,0,[],"The Tree of Souls","...Una mentioned a curious entity out in these woods...","[2893,2941]",1,[72],[4701],"","Act1/WorldMapContentTreeOfSouls",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTreeOfSouls",1,"","","",4205,4205,""
22,"G1_4_TreeOfSoulsDone",73,0,0,0,[],"The Tree of Souls","The Hooded One is free but corruption still lurks in these woods.",[4701],1,[72],[2899],"","Act1/WorldMapContentTreeOfSoulsDone",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTreeOfSouls",1,"","","",4205,4205,1
23,"G1_4_Cauldron",73,0,0,0,[],"Witch Hut","...the local witch has not been heard from in weeks...","[2893,2941]",1,[72],[4678],"","WorldMapContentChest",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinOldForestCauldron",0,"","","",4205,4205,""
24,"G1_4_CauldronOpened",73,0,0,0,[],"Witch Hut","...is there no one spared from this evil?...",[4678],1,[72],[],"","WorldMapContentChestDone",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinOldForestCauldron",0,"","","",4205,4205,1
25,"G1_4_OldHag",73,0,0,0,[],"Areagne, Forgotten Witch","...they haven't been seen in a long time...","[2893,2941]",1,[72],[4773],"","WorldMapContentRareMonster",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinOldForestHag",0,"","","",4205,4205,""
26,"G1_4_OldHagSlain",73,0,0,0,[],"Areagne, Forgotten Witch","Another mind lost to the corruption. Better dead than alive in that state.",[4773],1,[72],[],"","WorldMapContentRareMonsterDone",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinOldForestHag",0,"","","",4205,4205,1
27,"G1_5",74,0,0,0,[74],"The Red Vale","Men furiously killed each other in droves long before madness came.",[2893],1,[2894],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRedVale","",2944,"Though the Eternal Empire lies in ruins, the anger of the oppressed endures.","",4205,4205,""
28,"G1_5_RustKing",74,0,0,0,[],"The Rust King","...weapons and armour still twist and move sometimes. Rumours say a towering construct can form from them...","[2894,3456]",1,[72],[4720],"","WorldMapContentBoss",27,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRustKing",0,"","","",4205,4205,""
29,"G1_5_RustKingSlain",74,0,0,0,[],"The Rust King","The metal is silent now, maybe this battlefield can finally rest.",[4720],1,[72],[],"","WorldMapContentBossDone",27,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRustKing",0,"","","",4205,4205,1
30,"G1_6",75,0,0,0,[75],"The Grim Tangle","A simple ditch becomes a labyrinth when the mind twists upon itself.",[2893],1,[2895],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinGrimTangle","","","",1,4205,4205,""
31,"G1_6_Underground",75,0,0,0,[],"The Grim Tangle","A simple ditch becomes a labyrinth when the mind twists upon itself.",[2893],1,[72],[],"","",30,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinGrimTangleUnderground","","","","",4205,4205,""
32,"G1_6_FungusBehemoth",75,0,0,0,[],"Ervig, the Rotten Druid","...the fungus in the twisting vines has a master some say...","[2895,4701]",1,[72],[4664],"","WorldMapContentBoss",30,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinFungusBehemoth",0,"","","",4205,4205,""
33,"G1_6_FungusBehemothSlain",75,0,0,0,[],"Ervig, the Rotten Druid","The druid dead but the spores remain. It must be rooted deeper.",[4664],1,[72],[],"","WorldMapContentBossDone",30,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinFungusBehemoth",0,"","","",4205,4205,1
34,"G1_7",76,0,0,0,[76],"Cemetery of the Eternals","The bootprint of the Eternals upon the face of Ogham.",[4701],1,[2896],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinGraveyard","","","","",4205,4205,""
35,"G1_7_Lachlann",76,0,0,0,[],"Lachlann of Endless Lament","...driven by madness, twisted by sadness. A danger lurks in the Cemetery of the Eternals...",[3110],1,[72],[4661],"","WorldMapContentBoss",34,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLachlann",0,"","","",4205,4205,""
36,"G1_7_LachlannSlain",76,0,0,0,[],"Lachlann of Endless Lament","Finally the family can all rest together.",[4661],1,[72],[],"","WorldMapContentBossDone",34,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLachlann",0,"","","",4205,4205,1
37,"G1_7_RingChest",76,0,0,0,[],"Ancient Ruin","...someone in camp let it slip that there may be jewellery left in the graves here...","[2896,4701]",1,[72],[4775],"","WorldMapContentChest",34,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinGraveyardRingChest",0,"","","",4205,4205,""
38,"G1_7_RingChestDone",76,0,0,0,[],"Ancient Ruin","The dead won't miss their ring.",[4775],1,[72],[],"","WorldMapContentChestDone",34,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinGraveyardRingChest",0,"","","",4205,4205,1
39,"G1_8",77,0,0,0,[77],"Mausoleum of the Praetor","The wealthy wished to rest in opulence. They failed to take it with them.",[2896],1,[2897],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMausoleum","",2977,"With Draven's second death, the spirits of the rebel Ezomytes can finally rest.",1,4205,4205,""
40,"G1_8_Underground",77,0,0,0,[],"Mausoleum of the Praetor","The wealthy wished to rest in opulence. They failed to take it with them.",[2896],1,[72],[],"","",39,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMausoleumUnderground","",2977,"With Draven's second death, the spirits of the rebel Ezomytes can finally rest.","",4205,4205,""
41,"G1_8_Draven",77,0,0,0,[],"Draven, the Eternal Praetor","...a tyrant buried long ago. There is talk he doesn't sleep deeply...","[2897,2964]",1,[72],[2977],"","WorldMapContentBoss",39,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinDraven",0,"","","",4205,4205,""
42,"G1_8_DravenSlain",77,0,0,0,[],"Draven, the Eternal Praetor","His spirit has been banished, for now.",[2977],1,[72],[],"","WorldMapContentBossDone",39,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinDraven",0,"","","",4205,4205,1
43,"G1_8_GoldRoom",77,0,0,0,[],"Forgotten Riches","...someone let slip that the original plans for the Mausoleum had a hidden room. Although the plans themselves are long lost to time...","[2897,2964]",1,[72],[4774],"","WorldMapContentChest",39,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinMausoleumGoldRoom",0,"","","",4205,4205,""
44,"G1_8_GoldRoomDone",77,0,0,0,[],"Forgotten Riches","Even more treasure than the burial chamber. What a lucky find.",[4774],1,[72],[],"","WorldMapContentChestDone",39,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinMausoleumGoldRoom",0,"","","",4205,4205,1
45,"G1_9",78,0,0,0,[78],"Tomb of the Consort","A time of plague stacked bodies ten high. Now, they roam.",[2896],1,[2898],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTomb","",2972,"With Asinia's second death, the cycle of vengeance is finally ended.",1,4205,4205,""
46,"G1_9_Underground",78,0,0,0,[],"Tomb of the Consort","A time of plague stacked bodies ten high. Now, they roam.",[2896],1,[72],[],"","",45,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTombUnderground","",2972,"With Asinia's second death, the cycle of vengeance is finally ended.","",4205,4205,""
47,"G1_9_Asinia",78,0,0,0,[],"Asinia, the Praetor's Consort","...though tales of her are fewer than Draven, those you have heard sound just as deadly...","[2898,2964]",1,[72],[2972],"","WorldMapContentBoss",45,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinAsinia",0,"","","",4205,4205,""
48,"G1_9_AsiniaSlain",78,0,0,0,[],"Asinia, the Praetor's Consort","A grave destroyed and the owner expelled. Let's hope it stays that way.",[2972],1,[72],[],"","WorldMapContentBossDone",45,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinAsinia",0,"","","",4205,4205,1
49,"G1_9_TrappedChest",78,0,0,0,[],"Embattled Trove","...a spirit bound to a chest. You've been told it won't give up the contents so easily...","[2898,2964]",1,[72],[4788],"","WorldMapContentChest",45,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinTombTrappedChest",0,"","","",4205,4205,""
50,"G1_9_TrappedChestDone",78,0,0,0,[],"Embattled Trove","...another soul put to rest...",[4788],1,[72],[],"","WorldMapContentChestDone",45,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinTombTrappedChest",0,"","","",4205,4205,1
51,"G1_10",-16843010,-16843010,-16843010,-16843010,[79],"Root Hollow","[DNT] Tangled roots ensure souls lost in the forest are never found.",[2899],1,[2899],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTreeOfSouls","","","",1,4205,4205,""
52,"G1_10_Underground",-16843010,-16843010,-16843010,-16843010,[],"Root Hollow","[DNT] Tangled roots ensure souls lost in the forest are never found.",[2899],1,[72],[],"","",51,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRootHollowUnderground","","","","",4205,4205,""
53,"G1_10_RootHollowClear",-16843010,-16843010,-16843010,-16843010,[],"The Hooded One's Request","...a lurking boil, filled with evil, that needs lanced...",[2899],1,[72],[],"","WorldMapContentBoss",51,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRootHollowClear",0,"","","",4205,4205,""
54,"G1_10_RootHollowClearDone",-16843010,-16843010,-16843010,-16843010,[],"The Hooded One's Request","...the land will slowly begin to heal...",[72],1,[72],[],"","WorldMapContentBossDone",51,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRootHollowClear",0,"","","",4205,4205,1
55,"G1_11",80,0,0,0,[80],"Hunting Grounds","Meat wanders the land, ripe for the taking.","[2980,4710,2961]",1,[2900],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinHuntingGrounds","","","","",4205,4205,""
56,"G1_11_Crowbell",80,0,0,0,[],"The Crowbell","...human or beast? Those who fled the Hunting Grounds say there is something that blurs the lines there...","[2980,4710,2961]",1,[72],[3738],"","WorldMapContentBossUpgrade",55,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCrowbell",0,"","","",4205,4205,""
57,"G1_11_CrowbellSlain",80,0,0,0,[],"The Crowbell","The monstrosity is slain but this place is no quieter.\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}",[3738],1,[72],[],"","WorldMapContentBossUpgradeDone",55,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCrowbell",0,"","","",4205,4205,1
58,"G1_11_Ritual",80,0,0,0,[],"Ritual Altar","...a strange altar of wood was spotted among the rolling green grass...","[2980,4710,2961]",1,[72],[4790],"","Act1/WorldMapContentRitual",55,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRitual",0,"","","",4205,4205,""
59,"G1_11_RitualDone",80,0,0,0,[],"Ritual Altar","A sign of what might be in the treetops above.",[4790],1,[72],[],"","Act1/WorldMapContentRitualDone",55,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRitual",0,"","","",4205,4205,1
60,"G1_11_Stonehenge",80,0,0,0,[],"Dryadic Ritual","...rumours speak of an ancient circle of stones in the Hunting Grounds...","[2980,4710,2961]",1,[72],[4784],"","WorldMapContentRareMonster",55,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinHuntingGroundsStonehenge",0,"","","",4205,4205,""
61,"G1_11_StonehengeDone",80,0,0,0,[],"Dryadic Ritual","An incomplete magic can never stand to true power.",[4784],1,[72],[],"","WorldMapContentRareMonsterDone",55,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinHuntingGroundsStonehenge",0,"","","",4205,4205,1
62,"G1_12",81,0,0,0,[81],"Freythorn","Insanity's roost welcomes new guests for dinner.","[2900,2987]",1,[2901],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCanopy","","","","",4205,4205,""
63,"G1_12_KingInTheMists",81,0,0,0,[],"The King in the Mists","...the whispering voices. Too many voices! They all lead here...","[2901,2987]",1,[72],[4753],"","WorldMapContentBossUpgrade",62,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinKingInTheMists",0,"","","",4205,4205,""
64,"G1_12_KingInTheMistsDone",81,0,0,0,[],"The King in the Mists","Was that a man? Insects? One of the trees? Either way its dead now.\r\n\r\n<white>{+30 to Spirit}",[4753],1,[72],[],"","WorldMapContentBossUpgradeDone",62,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinKingInTheMists",0,"","","",4205,4205,1
65,"G1_13_1",82,0,0,0,[82],"Ogham Farmlands","Those on the fringes were the first to draw the ire of the Count.","[2900,2961,4943,4710]",1,[2902],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinVillageRoad","",2902,"As madness spreads, the farmers become the harvest.","",4205,4205,""
66,"G1_13_1_UnaLute",82,0,0,0,[],"Una's Hut","...a treasured possession left behind. The same tale as too many others...","[2902,2961,4943,4710]",1,[72],[2940],"","Act1/WorldMapContentUnaLute",65,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinUnaLute",0,"","","",4205,4205,""
67,"G1_13_1_UnaLuteDone",82,0,0,0,[],"Una's Hut","Such beautiful music has been returned to the forest.\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}",[2940],1,[72],[],"","Act1/WorldMapContentUnaLuteDone",65,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinUnaLute",0,"","","",4205,4205,1
68,"G1_13_1_CropCircle",82,0,0,0,[],"Crop Circle","...the farmers forced to leave their fields say a great evil had flattened the fields...","[2902,2961,4943,4710]",1,[72],[4771],"","WorldMapContentRareMonster",65,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinVillageRoadCropCircle",0,"","","",4205,4205,""
69,"G1_13_1_CropCircleDone",82,0,0,0,[],"Crop Circle","If only the entire field was flattened.",[4771],1,[72],[],"","WorldMapContentRareMonsterDone",65,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinVillageRoadCropCircle",0,"","","",4205,4205,1
70,"G1_13_2",83,0,0,0,[83],"Ogham Village","Madness boils over into fire and death.","[2902,4943,4710]",1,[2903],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinVillage","",2903,"Betrayed, trapped, and besieged, the Ezomytes fought to the last man... then rose again.","",4205,4205,""
71,"G1_13_2_RenlyForge",83,0,0,0,[],"Renly's Workshop","...the tools of a great craftsman, abandoned and unused...","[2903,4943,4710]",1,[72],[],"","Act1/WorldMapContentRenlyForge",70,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRenlyForge",0,"","","",4026,4205,""
72,"G1_13_2_RenlyForgeDone",83,0,0,0,[],"Renly's Workshop","Back in their rightful hands.","[2903,4943,4710]",1,[72],[],"","Act1/WorldMapContentRenlyForgeDone",70,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRenlyForge",0,"","","",4205,4026,1
73,"G1_13_2_BlacksmithChest",83,0,0,0,[],"Blacksmith Chest","Iron dreams beneath its lid, yearning for purpose once more.","[2903,4943,4710]",1,[72],[2772],"","WorldMapContentChest",70,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBlacksmithChest",0,"","","",4205,4205,""
74,"G1_13_2_BlacksmithChestDone",83,0,0,0,[],"Blacksmith Chest","The slumber ends. The burden of purpose begins anew.","[2903,4943,4710]",1,[72],[],2772,"WorldMapContentChestDone",70,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBlacksmithChest",0,"","","",4205,4205,1
75,"G1_13_Executioner",83,0,0,0,[],"The Executioner","...screams echo through the village. They come from the direction of the castle...","[2903,4943,4710]",1,[72],[4986],"","WorldMapContentBoss",70,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinExecutioner",0,"","","",4205,4205,""
76,"G1_13_ExecutionerSlain",83,0,0,0,[],"The Executioner","One life for another.",[4986],1,[72],[],"","WorldMapContentBossDone",70,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinExecutioner",0,"","","",4205,4205,1
77,"G1_14",84,0,0,0,[84],"The Manor Ramparts","Ancient walls only served to fester Corruption like a swelling boil.","[2903,2680]",1,[2904],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCourtyard","","","","",4205,4205,""
78,"G1_14_HangingBody",84,0,0,0,[],"The Gallows","...those who managed to reach Clearfell say not all were so lucky...","[2904,2680]",1,[72],[4787],"","WorldMapContentBag",77,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinCourtyardHangingBody",0,"","","",4205,4205,""
79,"G1_14_HangingBodyDone",84,0,0,0,[],"The Gallows","How can one follow the law when the land itself is fighting against you?",[4787],1,[72],[],"","WorldMapContentBagDone",77,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinCourtyardHangingBody",0,"","","",4205,4205,1
80,"G1_15",85,0,0,0,[85],"Ogham Manor","Paranoia and tyranny go hand in hand.","[2904,2680]",1,[2905],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinManor","",2905,"Flesh creeps and blood flows through the crimson heart of Ogham.",1,4205,4205,""
81,"G1_15_Underground",85,0,0,0,[],"Ogham Manor","Paranoia and tyranny go hand in hand.","[2904,2680]",1,[72],[],"","",80,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinManorUnderground","",2905,"Flesh creeps and blood flows through the crimson heart of Ogham.","",4205,4205,""
82,"G1_15_Candlemass",85,0,0,0,[],"Candlemass, the Living Rite","...servants who once worked in the manor tell of a statue in the church that would turn to look at you...","[2905,2680]",1,[72],[3735],"","WorldMapContentBossUpgrade",80,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCandlemass",0,"","","",4205,4205,""
83,"G1_15_CandlemassSlain",85,0,0,0,[],"Candlemass, the Living Rite","There is no safety in a church when such a beast lurks at the centre of it.\r\n\r\n<white>{+20 to maximum Life}",[3735],1,[72],[],"","WorldMapContentBossUpgradeDone",80,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCandlemass",0,"","","",4205,4205,1
84,"G1_15_IronCount",85,0,0,0,[],"Count Geonor","...behind all this terror. The stories told of his madness are uncountable...","[2905,2680]",1,[72],[3000],"","WorldMapContentActBoss",80,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinIronCount",1,"","","",4205,4205,""
85,"G1_15_IronCountSlain",85,0,0,0,[],"Count Geonor","The head of the manor may be dead but the corruption remains. Nowhere is safe.",[3000],1,[72],[],"","WorldMapContentActBossDone",80,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinIronCount",1,"","","",4205,4205,1
86,"G2_compassrose_visual",-16843010,-16843010,-16843010,-16843010,[],"","",[2906],2,[72],[],"","Act2/compassrose",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinCompass",8,"","","",4205,4205,""
87,"G2_compasstextbox_visual",-16843010,-16843010,-16843010,-16843010,[],"","",[2906],2,[72],[],"","Act2/MapBorderMaraketh",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLabel",9,"","","",4205,4205,""
88,"G2_compass_label",-16843010,-16843010,-16843010,-16843010,[],"The Land of Seven Waters\r\nkept in verdance eternal\r\nby the vigilant Maraketh\r\nas seen by the Ardura akhara\r\nof Sekhema Asala by 1619ic","",[2906],2,[72],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLabel",10,"","","",4205,4205,""
89,"G2_MapBorder_Surface",-16843010,-16843010,-16843010,-16843010,[],"","",[2906],2,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBorderSurface",3,"","","",4205,4205,""
90,"G2_MapBorder_Underground",-16843010,-16843010,-16843010,-16843010,[],"","",[2906],2,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBorderUnderground",4,"","","",4205,4205,""
91,"G2_town_marker0",86,0,0,0,[],"Vastiri Outskirts","",[2906],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTown","","","","",4205,4205,""
92,"G2_town_marker1",-16843010,-16843010,-16843010,-16843010,[],"The Ardura Caravan","","[4531,2917,2918,3461]",2,[72],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarker1","","","","",4205,4205,""
93,"G2_town_marker2",-16843010,-16843010,-16843010,-16843010,[],"The Ardura Caravan","","[1524,2908,2909]",2,[72],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarker2","","","","",4205,4205,""
94,"G2_town_marker3",-16843010,-16843010,-16843010,-16843010,[],"The Ardura Caravan","","[2915,2920,4565]",2,[72],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarker3","","","","",4205,4205,""
