"rownum","i32_0","Biomes","AdjacentBiomes","WorldAreaBoss","WorldArea","NaturalSpawnWeight","NativePacks","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","MinWatchstoneTier","i32_112","i32_116","i32_120","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_124","i32_140","rid_144","rid_160","rid_176","i32_192","rid_196","i32_212","rid_216"
13,13,[7],[0],250,251,"[100,100,1000]",[579],"Sturdy walls held out an armada, but not the famine it brought.","Les murs solides ont résisté à une armada, mais pas à la famine engendrée.","Stabile Mauern hielten eine Armada ab, aber nicht die Hungersnot, die sie brachte.","頑丈な壁が艦隊を防いだが、それがもたらした飢饉は防げなかった。","무적 함대를 막아 낸 견고한 벽도, 그와 함께 닥친 기근을 막지는 못했습니다.","Paredes resistentes seguraram uma armada, mas não a fome que ela trouxe.","Крепкие стены выдержали натиск армады, но не голод, который она принесла.","Los robustos muros detuvieron a un ejército, pero no a la hambruna que trajo consigo.","กำแพงที่แข็งแกร่งป้องกันการรุกรานจากกองเรือ\r\nแต่หาได้ป้องกันความอดอยากที่มาจากกองเรือนั้นไม่","堅實的牆壁能夠抵禦軍隊，卻無法阻止它帶來的飢荒。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,14,0,3,0,4205,0,""
14,14,[1],[],252,253,"[200,200,2000]",[410],"The last vestiges of earth, lost beyond the sky.","Les derniers vestiges de la terre, perdus au-delà du ciel.","Die letzten Überreste der Erde, verloren jenseits des Himmels.","大地の最後の痕跡が、空の向こうに消えた。","땅의 마지막 흔적이 하늘 너머로 사라졌습니다.","Os últimos vestígios da terra, perdidos além do céu.","Последние остатки земли, затерянные за небом.","Los últimos vestigios de la tierra, perdidos más allá del cielo.","ร่องรอยแผ่นดินสุดท้ายที่สูญหาย\r\nล่วงเลยไปจากฟากฟ้า","大地最後的痕跡，消失在天際之外。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,15,0,3,0,4205,0,""
15,15,[6],[],254,255,"[200,200,2000]",[412],"Silent stones mark ancient graves and forgotten sorrows.","De mornes pierres commémorent d'anciennes tombes et des chagrins oubliés.","Stumme Steine markieren alte Gräber und vergessene Sorgen.","静かな石が古き墓や忘れ去られし悲しみを印している。","소리 없는 돌이 고대의 무덤과 잊힌 슬픔이 있는 자리를 알려 줍니다.","Pedras silenciosas marcam sepulturas antigas e tristezas esquecidas.","Молчаливые камни отмечают древние могилы и забытые печали.","Unas piedras silenciosas marcan tumbas antiguas y lamentos olvidados.","ศิลาที่เงียบงันเป็นเครื่องระลึกหลุมศพโบราณ\r\nและความเศร้าโศกที่ถูกลืม","沉寂的石頭代表著古老的墳墓和忘卻的悲傷。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,16,0,3,0,4205,0,""
16,16,"[1,2,5]",[],256,257,"[200,200,2000]",[418],"Those killed in battle do not rest peacefully.","Ceux tués au combat ne trouvent pas facilement le repos.","Die im Kampf Gefallenen ruhen nicht in Frieden.","戦いで殺されたものたちは安らかに眠れない。","전투에서 죽은 이들은 평화로이 안식하지 못합니다.","Aqueles mortos em batalha não descansam em paz.","Погибшие в бою не находят себе покоя.","Aquellos que murieron en combate no descansan en paz.","ผู้ที่สิ้นชีพในการศึก\r\nหาได้จากไปอย่างสงบไม่","在戰鬥中逝去之人註定無法安息。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,17,0,3,0,4205,0,""
17,17,"[1,2,3]",[],260,261,"[200,200,2000]",[430],"The tears of a ravaged earth.","Les larmes d'une terre dévastée.","Die Tränen einer verwüsteten Erde.","荒らされた大地の涙。","유린당한 대지의 눈물입니다.","As lágrimas de uma terra devastada.","Слезы опустошённой земли.","Las lágrimas de una tierra arrasada.","รอยแยกของปฐพี\r\nที่ถูกล้างผลาญ","備受摧殘大地的淚水。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,18,0,3,0,4205,0,""
18,18,"[2,3,4]",[],262,263,"[200,200,2000]",[408],"The fetid home of foul generations.","Le foyer fétide de générations immondes.","Die faulige Heimat verderbter Generationen.","邪悪な血筋の悪臭漂う住処。","추악한 자들이 대를 이어 살아온 악취 나는 터전입니다.","O lar fétido de gerações imundas.","Зловонный дом отвратительных поколений.","El hogar fétido de infames generaciones.","บ้านเน่าเหม็น\r\nของรุ่นที่โสโครก","汙穢世代的腐臭家園。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,19,0,3,0,4205,0,""
19,19,[3],[],264,265,"[200,200,2000]",[559],"Rushing waters threaten to move the earth.","Les eaux impétueuses menacent d'emporter la terre.","Rauschende Wasser drohen die Erde zu bewegen.","奔流が大地を動かさんとしている。","세차게 흐르는 물에 땅이 들썩일 지경입니다.","Águas turbulentas ameaçam mover a terra.","Бурные потоки воды грозят сдвинуть землю.","Unas aguas torrenciales amenazan con mover la tierra.","กระแสน้ำขู่เคลื่อนปฐพี","奔騰的水流威脅著要改動地貌。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,48,0,3,0,4205,0,""
20,20,[2],[],"",281,"[200,200,2000]",[567],"Even the sparse vegetation does not linger here long.","Même la végétation clairsemée n'y subsiste pas longtemps.","Selbst die spärliche Vegetation verweilt hier nicht lange.","まばらな植物さえここには長くは居座らない。","이곳에서는 드문드문 자란 초목도 오래 살아남지 못합니다.","Mesmo a vegetação esparsa não permanece aqui por muito tempo.","Даже скудная растительность не задерживается здесь надолго.","Hasta la escasa vegetación perdura poco aquí.","กระทั่งพืชหร็อมแหร็ม\r\nก็อยู่ที่นี่ไม่นานนัก","就連稀疏的植被都無法長久留存在這裡。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,20,0,3,0,4205,0,""
21,21,"[1,5]",[],"",277,"[200,200,2000]",[583],"Stagnant oils mix to form a deadly concoction.","Les huiles stagnantes se mélangent pour former une concoction mortelle.","Stagnierende Öle vermischen sich zu einem tödlichen Gemisch.","淀んだ油が混ざりあい、危険な成分が出来上がる。","고인 기름이 섞여 치명적인 혼합물이 됩니다.","Óleos estagnados se misturam para formar um composto mortal.","Застоявшиеся масла смешиваются, образуя смертоносную гущу.","Los aceites estancados se mezclan para formar una sustancia mortal.","น้ำมันที่ขังตัว\r\nผสมเป็นสารที่่อันตรายยิ่ง","汙濁之油調合而成的致命混合物。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,21,0,3,0,4205,0,""
22,22,[3],[],268,269,"[200,200,2000]",[454],"Vast lairs of silk span the treetops.","De vastes repaires de soie couvrent la cime des arbres.","Riesige Höhlen aus Seide überspannen die Baumkronen.","広大な絹の膜が樹上に広がっている。","거미줄로 만들어진 넓은 소굴이 나무 꼭대기에 걸쳐 있습니다.","Vastíssimos covis de seda se estendem pelas copas das árvores.","Огромные шёлковые нити покрывают верхушки деревьев.","Unas guaridas de seda enormes se extienden por las copas de los árboles.","ดินแดนใยแมงมุมยิ่งใหญ่\r\nทอดไปทั่วยอดไม้","巨大的絲綢巢穴佔領樹梢。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,22,0,3,0,4205,0,""
23,23,"[1,5]",[],270,271,"[200,200,2000]",[469],"Darkness enshrouds these endless chasms.","Les ténèbres enveloppent ces gouffres sans fin.","Dunkelheit umhüllt diese endlosen Abgründe.","この果てなき谷は闇に覆われている。","끝없는 균열을 어둠이 뒤덮고 있습니다.","A escuridão envolve esses abismos intermináveis.","Тьма окутывает эти бесконечные пропасти.","La oscuridad envuelve a estos abismos sin fin.","ความมืดบดบัง\r\nหุบเหวไร้ที่สิ้นเหล่านี้","黑暗籠罩著這些綿延不絕的峽谷。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,23,0,3,0,4205,0,""
24,24,[8],[],278,279,"[200,200,2000]",[523],"Hubris convinces men they can survive the mistakes of their forebears.","L'arrogance fait croire aux hommes qu'ils peuvent survivre aux erreurs de leurs prédécesseurs.","Hochmut redet den Menschen ein, sie könnten die Fehler ihrer Vorfahren überleben.","傲慢さは人類に自分たちなら先祖の過ちに耐えられると思わせる。","오만에 빠진 인간은 선조들의 잘못에서 살아남을 수 있다고 믿습니다.","A arrogância convence os homens de que podem sobreviver aos erros de seus antepassados.","Гордыня убеждает людей, что они смогут пережить ошибки своих предков.","La arrogancia convence a los hombres de que pueden sobrevivir a los errores de sus antepasados.","ความอหังการทำให้มนุษย์เชื่อว่าพวกเขา\r\nรอดพ้นจากความผิดพลาดของบรรพบุรุษตนได้","傲慢使人們相信，他們可以從先人的錯誤中生存下來。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,24,0,3,0,4205,0,""
25,25,[3],[],230,231,"[200,200,2000]",[416]," Poisoned trees bear pestilent fruits.","Des arbres empoisonnés produisent des fruits pestilentiels.","Vergiftete Bäume tragen giftige Früchte.","毒に侵された木が疫病の果実を実らせる。","독에 물든 나무들이 병든 과실을 맺습니다.","Árvores envenenadas produzem frutos pestilentos.","Отравленные деревья приносят ядовитые плоды.","Los árboles envenenados dan frutos pestilentes.","ต้นไม้อาบพิษออกผลแพร่โรค","有毒的樹會結出有害的果實。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,25,0,3,0,4205,0,""
26,26,[1],[],"",221,"[200,200,2000]",[557],"The ground shifts underfoot with disturbing ease.","Le sol se dérobe sous les pieds avec une facilité déconcertante.","Der Boden bewegt sich unter den Füßen mit beunruhigender Leichtigkeit.","地面が不気味なほど簡単に足元で動いている。","발아래의 바닥이 꺼림칙할 만큼 쉽게 움직입니다.","O solo se move sob os pés com uma facilidade perturbadora.","Земля уходит из-под ног с пугающей лёгкостью.","La tierra se mueve bajo los pies con una perturbadora facilidad.","ผืนดินใต้เท้าแปรเปลี่ยน\r\nได้ง่ายผิดวิสัยนัก","腳下的地面不停移動，令人不安。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,26,0,3,0,4205,0,""
27,27,"[1,2,3,4]",[],258,259,"[200,200,2000]",[479],"Shafts of light raise life where they fall.","La vie renaît où perce la lumière.","Lichtstrahlen erwecken Leben, wo sie hinfallen.","光の柱が当たった場所に命を吹き込む。","빛줄기가 닿는 자리에서 생명이 피어납니다.","Raios de luz erguem vida onde caem.","Лучи света возрождают жизнь там, куда они падают.","Los rayos de luz mejoran la vida allá donde caen.","ปล่องแสงนำพาชีวิต","光明所及之處，生命蓬勃發展。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,27,0,3,0,4205,0,""
28,28,[1],[],266,267,"[200,200,2000]",[585],"A wound carved into the world, never to heal.","Une blessure gravée dans le monde, qui ne guérira jamais.","Eine Wunde, die in die Welt geritzt wurde, um niemals zu heilen.","決して癒えることのない、世界に刻まれた傷。","세상에 새겨진 상처는 결코 낫지 않습니다.","Uma ferida esculpida no mundo, que nunca vai cicatrizar.","Рана, нанесённая миру, никогда не заживёт.","Una herida grabada en el mundo, que nunca sanará.","แผลที่แหวกลึกไปในโลก\r\nไร้วันเยียวยา","一道深深刻在世界裡的傷口，永遠無法痊癒。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,28,0,3,0,4205,0,""
29,29,"[1,6]",[],305,306,[0],[491],"The path grows treacherous as the world falls away.","Le chemin devient de plus en plus périlleux à mesure que le monde s'écroule.","Der Pfad wird immer gefährlicher, während die Welt untergeht.","世界が崩れ去り道は更に危険になる。","세계가 무너져 내리며 길은 더 위태로워집니다.","O caminho se torna traiçoeiro à medida que o mundo desmorona.","Мир рушится, и путь становится всё более опасным.","El camino se vuelve traicionero a medida que el mundo se desmorona.","หนทางยากลำบาก\r\nยามโลกล่มสลาย","隨著世界崩落，路途也越來越險惡。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,"",0,4,6,4205,0,118
30,30,"[2,3,4]",[],240,241,"[200,200,2000]",[506],"They watched the birds to foretell what any fool could see.","Ils ont observé les oiseaux pour prédire ce que n'importe quel imbécile pouvait voir.","Sie beobachteten die Vögel, um vorherzusagen, was jeder Narr sehen konnte.","どんな愚者でも見ればわかることを予言するため、彼らは鳥を眺めた。","그들은 아무리 바보라도 알 수 있는 것을 예견하겠다고 새를 관찰했습니다.","Eles observavam os pássaros para prever o que qualquer tolo poderia ver.","Они наблюдали за птицами, чтобы предсказать то, что мог увидеть любой глупец.","Miraron a los pájaros para predecir lo que hasta cualquier tonto podía ver.","พวกเขาจับตามองนกเพื่อพยากรณ์\r\nสิ่งที่คนโง่มองเห็นได้แน่ชัด","他們觀察鳥來獲得傻子都看得出來的預言。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,33,0,3,0,4205,0,""
31,31,"[1,2,5]",[],291,292,[0],[424],"An orchestra of chains and screams produces a discordant cacophony.","Un orchestre de chaînes et de cris produit une cacophonie discordante.","Ein Orchester aus Ketten und Schreien erzeugt eine unharmonische Kakophonie.","鎖と絶叫のオーケストラが不協和音を奏でる。","사슬과 비명으로 이루어진 오케스트라가 불협화음을 만들어 냅니다.","Uma orquestra de correntes e gritos produz uma cacofonia dissonante.","Оркестр цепей и криков создаёт диссонирующую какофонию.","Una orquesta de cadenas y alaridos produce una cacofonía discordante.","เสียงโซ่เสียงกรีดร้อง\r\nประสานเสียงได้เสียดหูนัก","鎖鏈與尖叫的交響樂發出不協調的嘈雜聲。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,34,0,3,0,4205,0,""
32,32,[3],[],286,287,"[200,200,2000]",[563],"Dark energies congeal the lifeblood of the forest.","De sombres énergies congèlent la force vitale de la forêt.","Dunkle Energien lassen das Lebenselixier des Waldes gerinnen.","邪悪なエネルギーが森の生き血を凝らせる。","검은 기운이 숲의 생혈을 응고시킵니다.","Energias sombrias coagulam o sangue vital da floresta.","Тёмная энергия замораживает жизненную силу леса.","Unas energías oscuras congelan la esencia del bosque.","พลังงานมืดมนทำให้\r\nเลือดเนื้อของป่านี้ข้นแข็ง","黑暗能量使森林的生命之血凝結。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,35,0,3,0,4205,0,""
33,33,[0],[5],218,219,"[200,200,2000]",[449],"Fishermen once reaped a rich bounty here.","Les pécheurs y firent jadis de belles prises.","Einst machten die Fischer hier reiche Beute.","ここではかつて漁師たちが豊かな恵みを収穫していた。","한때 어부들이 고기를 풍족하게 잡던 곳입니다.","Pescadores já colheram uma rica recompensa aqui.","Когда-то рыбаки собирали здесь богатый улов.","Antaño, los pescadores solían capturar buenas recompensas aquí.","ที่นี่เคยมีชาวประมง\r\nหาปลาได้มากมาย","漁夫曾在這裡滿載而歸。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,36,0,3,0,4205,0,""
34,34,"[2,3,4]",[],293,294,"[200,200,2000]",[404],"Spores dance through the air in search of new hosts.","Les spores virevoltent, à la recherche de nouveaux hôtes.","Sporen tanzen durch die Luft auf der Suche nach neuen Wirten.","胞子が新たな苗床を求め空気中を踊る。","포자들이 새로운 숙주를 찾아 허공에서 춤을 춥니다.","Esporos dançam pelo ar em busca de novos hospedeiros.","Споры путешествуют по воздуху в поисках новых хозяев.","Las esporas danzan por el aire en busca de nuevos huéspedes.","สปอร์เวียนว่ายตามอากาศ\r\nเพื่อแสวงถิ่นอาศัยใหม่","孢子在空氣中起舞，只為找到全新的宿主。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,37,0,3,0,4205,0,""
35,35,"[2,3,5]",[],"",288,[0],[428],"A lineage of a thousand years, broken by one fleeting mistake.","Une lignée de mille ans, brisée par une erreur fugace.","Ein tausendjähriger Stammbaum, durchtrennt durch einen flüchtigen Fehler.","一千年の血筋が、一瞬の過ちにより途絶えてしまった。","천 년의 혈통이 찰나의 실수 하나로 끊어집니다.","Uma linhagem de mil anos, quebrada por um erro fugaz.","Тысячелетняя родословная, прерванная одной мимолётной ошибкой.","Un linaje de mil años, destruido por un error fugaz.","เชื้อสายที่สืบทอดมาหลายพันปี\r\nกลับสิ้นลงด้วยความผิดพลาดเพียงครู่เดียว","延續千年的血脈，被一個微不足道的錯誤斬斷。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,38,0,3,0,4205,0,""
36,36,[5],[],297,298,"[200,200,2000]",[470],"A city ravaged by time and sands.","Une ville ravagée par le temps et le sable.","Eine Stadt, verwüstet von Zeit und Sand.","時と砂に荒らされた街。","시간과 모래에 유린당한 도시입니다.","Uma cidade devastada pelo tempo e pelas areias.","Город, разрушенный временем и песками.","Una ciudad arrasada por el tiempo y la arena.","นครที่แหลกสลายไปด้วย\r\nกาลเวลาและผืนทราย","一座被時間和沙塵摧殘的城市。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,39,0,3,0,4205,0,""
37,37,[6],[],272,273,"[200,200,2000]",[431],"Avarice in the conqueror builds contempt among the conquered.","L'avarice du conquérant suscite le mépris du conquis.","Der Geiz des Eroberers erzeugt Verachtung bei den Eroberten.","征服者の強欲は征服されし者たちの嫌悪を生む。","정복자가 탐욕스러우면 정복당한 자들 가운데 경멸이 싹틉니다.","A ganância no conquistador gera desprezo entre os conquistados.","Алчность завоевателя порождает презрение у побеждённых.","La avaricia del conquistador genera desprecio entre los conquistados.","ความโลภของผู้พิชิตเป็นบ่อเกิด\r\nความเหยียดหยามในหมู่ผู้ที่ถูกพิชิต","征服者的貪婪會引起被征服者的反抗心。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,40,0,3,0,4205,0,""
38,38,[5],[],"",249,"[200,200,2000]",[554],"The work of an invisible empire.","L'œuvre d'un empire invisible.","Das Werk eines unsichtbaren Reiches.","見えざる帝国の遺産。","보이지 않는 제국의 작품입니다.","A obra de um império invisível.","Работа невидимой империи.","El trabajo de un imperio invisible.","ผลงานของจักรวรรดิลับตา","不可見帝國的傑作。",0,1,0,72,72,72,72,72,72,72,72,72,72,0,0,43,0,3,0,4205,0,""
