"rownum","Buff","Visuals","i32"
75,"anger",[157],2
76,"anger",[158],3
77,"hatred",[159],0
78,"hatred",[160],1
79,"hatred",[161],2
80,"hatred",[743],3
81,"hatred",[162],4
82,"wrath",[163],0
83,"wrath",[164],1
84,"wrath",[165],2
85,"wrath",[166],3
86,"haste",[168],0
87,"haste",[490],1
88,"haste",[169],2
89,"steelskin",[1065],0
90,"steelskin",[1507],1
91,"steelskin",[1066],2
92,"ignite",[2],0
93,"ignite",[392],1
94,"ignite",[489],2
95,"ignite",[393],3
96,"ignite",[394],4
97,"ignite",[395],5
98,"ignite",[396],6
99,"ignite",[1045],7
100,"ignite",[1125],8
101,"ignite",[1194],9
102,"ignite",[1375],10
103,"ignite",[1334],11
104,"ignite",[1376],12
105,"ignite",[1373],13
106,"ignite",[1478],14
107,"ignite",[1612],15
108,"ignite",[1620],16
109,"ignite",[1628],17
110,"ignite",[1629],18
111,"ignite",[1652],19
112,"ignite",[1706],20
113,"ignite",[1711],21
114,"ignite",[1712],22
115,"ignite",[1727],23
116,"ignite",[1777],24
117,"ignite",[1782],25
118,"ignite",[1836],26
119,"ignite",[1849],27
120,"ignite",[1863],28
121,"ignite",[1955],29
122,"ignite",[2132],30
123,"ignite",[2290],31
124,"ignite",[2299],32
125,"ignite",[2298],33
126,"scorch",[1004],0
127,"scorch",[1863],1
128,"shock",[5],0
129,"shock",[225],1
130,"shock",[226],2
131,"shock",[227],3
132,"shock",[1126],4
133,"shock",[228],5
134,"shock",[1613],6
135,"shock",[1621],7
136,"shock",[1723],8
137,"shock",[1726],9
138,"shock",[1835],10
139,"shock",[1865],11
140,"shock",[1901],12
141,"shock",[1902],13
142,"shock",[1925],14
143,"shock",[1926],15
144,"shock",[1956],16
145,"shock",[1977],17
146,"shock",[1992],18
147,"shock",[2134],19
148,"shock",[2303],20
149,"shock",[2304],21
150,"shock",[2301],22
151,"shock",[2160],1001
152,"shock",[2161],1002
153,"sap",[1006],0
154,"sap",[1865],1
155,"chill",[3],0
156,"chill",[1659],1
157,"chill",[1828],2
158,"chill",[1837],3
159,"chill",[1867],4
160,"chill",[1953],5
161,"freeze",[4],0
162,"freeze",[1660],1
163,"freeze",[1839],2
164,"freeze",[1864],3
165,"freeze",[1954],4
166,"freeze",[2133],5
167,"freeze",[2300],6
168,"brittle",[1005],0
169,"brittle",[1867],1
170,"poison",[14],0
171,"poison",[1788],1
172,"poison",[1860],2
173,"poison",[1894],3
174,"poison",[1904],4
175,"poison",[1905],5
176,"poison",[1861],1001
177,"poison",[1862],1002
178,"bleed",[145],1
179,"bleed",[1566],2
180,"bleed",[1866],3
181,"bleed_moving",[144],0
182,"bleed_moving",[146],1
183,"bleed_moving",[1567],2
184,"bleed_moving",[1866],3
185,"poison",[2008],100
186,"fire_exposure",[1031],0
187,"cold_exposure",[1032],0
188,"lightning_exposure",[1033],0
189,"fire_exposure",[1614],1
190,"cold_exposure",[1615],1
191,"lightning_exposure",[1616],1
192,"fire_exposure",[1617],2
193,"cold_exposure",[1618],2
194,"lightning_exposure",[1619],2
195,"fire_exposure",[1957],3
196,"cold_exposure",[1958],3
197,"lightning_exposure",[1959],3
198,"fire_exposure",[2348],4
199,"cold_exposure",[1032],4
200,"lightning_exposure",[1033],4
201,"infernal_blow_debuff",[906],0
202,"infernal_blow_debuff",[1630],1
203,"infernal_blow_debuff2",[907],0
204,"infernal_blow_debuff2",[1631],1
205,"infernal_blow_debuff3",[908],0
206,"infernal_blow_debuff3",[1632],1
207,"arcane_cloak",[1220],0
208,"arcane_cloak",[1633],1
209,"exsanguinate",[1523],0
210,"exsanguinate",[1634],1
211,"exsanguinate",[1755],2
212,"exsanguinate",[2029],1000
213,"void_burst",[1635],0
214,"ambush_stealth",[1637],0
215,"cold_snap",[1640],4
216,"cold_snap",[1948],5
217,"cold_snap",[1950],6
218,"blood_rage",[16],0
219,"blood_rage",[1641],1
220,"lightning_strike_vaal_debuff",[891],0
221,"lightning_strike_vaal_debuff",[891],1
222,"lightning_strike_vaal_debuff",[1645],2
223,"lightning_strike_vaal_debuff",[1749],3
224,"lightning_strike_vaal_debuff",[1899],4
225,"lightning_strike",[1976],5
226,"herald_of_ash_buff",[931],-1
227,"herald_of_ash_buff",[344],0
228,"herald_of_ash_burning_buff",[179],0
229,"herald_of_ash_buff",[521],1
230,"herald_of_ash_burning_buff",[489],1
231,"herald_of_ash_buff",[520],2
232,"herald_of_ash_burning_buff",[179],2
233,"herald_of_ash_buff",[700],3
234,"herald_of_ash_burning_buff",[392],3
235,"herald_of_ash_buff",[704],4
236,"herald_of_ash_burning_buff",[179],4
237,"herald_of_ash_buff",[747],5
238,"herald_of_ash_burning_buff",[179],5
239,"herald_of_ash_buff",[837],6
240,"herald_of_ash_burning_buff",[845],6
241,"herald_of_ash_buff",[841],7
242,"herald_of_ash_burning_buff",[179],7
243,"herald_of_ash_buff",[912],8
244,"herald_of_ash_burning_buff",[179],8
245,"herald_of_ash_buff",[916],9
246,"herald_of_ash_burning_buff",[179],9
247,"herald_of_ash_buff",[925],10
248,"herald_of_ash_burning_buff",[179],10
249,"herald_of_ash_buff",[936],11
250,"herald_of_ash_burning_buff",[179],11
251,"herald_of_ash_buff",[941],12
252,"herald_of_ash_burning_buff",[179],12
253,"herald_of_ash_buff",[1069],13
254,"herald_of_ash_burning_buff",[179],13
255,"herald_of_ash_buff",[1092],14
256,"herald_of_ash_burning_buff",[1125],14
257,"herald_of_ash_buff",[1190],15
258,"herald_of_ash_burning_buff",[1194],15
259,"herald_of_ash_buff",[1262],16
260,"herald_of_ash_burning_buff",[179],16
261,"herald_of_ash_buff",[1308],17
262,"herald_of_ash_burning_buff",[179],17
263,"herald_of_ash_buff",[1330],18
264,"herald_of_ash_burning_buff",[1334],18
265,"herald_of_ash_buff",[1397],19
266,"herald_of_ash_burning_buff",[179],19
267,"herald_of_ash_buff",[1472],20
268,"herald_of_ash_burning_buff",[1476],20
269,"herald_of_thunder_buff",[931],-1
270,"herald_of_thunder_buff",[346],0
271,"herald_of_thunder_buff",[346],1
272,"herald_of_thunder_buff",[625],2
273,"herald_of_thunder_buff",[702],3
274,"herald_of_thunder_buff",[706],4
275,"herald_of_thunder_buff",[749],5
276,"herald_of_thunder_buff",[839],6
277,"herald_of_thunder_buff",[843],7
278,"herald_of_thunder_buff",[914],8
279,"herald_of_thunder_buff",[918],9
280,"herald_of_thunder_buff",[927],10
281,"herald_of_thunder_buff",[938],11
282,"herald_of_thunder_buff",[943],12
283,"herald_of_thunder_buff",[1071],13
284,"herald_of_thunder_buff",[1094],14
285,"herald_of_thunder_buff",[1192],15
286,"herald_of_thunder_buff",[1264],16
287,"herald_of_thunder_buff",[1309],17
288,"herald_of_thunder_buff",[1331],18
289,"herald_of_thunder_buff",[1398],19
290,"herald_of_thunder_buff",[1473],20
291,"herald_of_ice_buff",[931],-1
292,"herald_of_ice_buff",[345],0
293,"herald_of_ice_buff",[345],1
294,"herald_of_ice_buff",[624],2
295,"herald_of_ice_buff",[701],3
296,"herald_of_ice_buff",[705],4
297,"herald_of_ice_buff",[748],5
298,"herald_of_ice_buff",[838],6
299,"herald_of_ice_buff",[842],7
300,"herald_of_ice_buff",[913],8
301,"herald_of_ice_buff",[917],9
302,"herald_of_ice_buff",[926],10
303,"herald_of_ice_buff",[937],11
304,"herald_of_ice_buff",[942],12
305,"herald_of_ice_buff",[1070],13
306,"herald_of_ice_buff",[1093],14
307,"herald_of_ice_buff",[1191],15
308,"herald_of_ice_buff",[1263],16
309,"herald_of_ice_buff",[1310],17
310,"herald_of_ice_buff",[1332],18
311,"herald_of_ice_buff",[1399],19
312,"herald_of_ice_buff",[1474],20
313,"herald_of_thunder_active_buff",[0],-1
314,"herald_of_thunder_active_buff",[347],0
315,"herald_of_thunder_active_buff",[347],1
316,"herald_of_thunder_active_buff",[709],2
317,"herald_of_thunder_active_buff",[708],3
318,"herald_of_thunder_active_buff",[707],4
319,"herald_of_thunder_active_buff",[750],5
320,"herald_of_thunder_active_buff",[840],6
321,"herald_of_thunder_active_buff",[844],7
322,"herald_of_thunder_active_buff",[915],8
323,"herald_of_thunder_active_buff",[919],9
324,"herald_of_thunder_active_buff",[928],10
325,"herald_of_thunder_active_buff",[939],11
326,"herald_of_thunder_active_buff",[944],12
327,"herald_of_thunder_active_buff",[1072],13
328,"herald_of_thunder_active_buff",[1095],14
329,"herald_of_thunder_active_buff",[1193],15
330,"herald_of_thunder_active_buff",[1265],16
331,"herald_of_thunder_active_buff",[1311],17
332,"herald_of_thunder_active_buff",[1333],18
333,"herald_of_thunder_active_buff",[1400],19
334,"herald_of_thunder_active_buff",[1475],20
335,"herald_of_agony_buff",[931],-1
336,"herald_of_agony_buff",[948],0
337,"herald_of_agony_buff",[948],1
338,"herald_of_agony_buff",[948],2
339,"herald_of_agony_buff",[948],3
340,"herald_of_agony_buff",[948],4
341,"herald_of_agony_buff",[948],5
342,"herald_of_agony_buff",[948],6
343,"herald_of_agony_buff",[948],7
344,"herald_of_agony_buff",[948],8
345,"herald_of_agony_buff",[948],9
346,"herald_of_agony_buff",[951],10
347,"herald_of_agony_buff",[949],11
348,"herald_of_agony_buff",[950],12
349,"herald_of_agony_buff",[952],13
350,"herald_of_agony_buff",[953],14
351,"herald_of_agony_buff",[1188],15
352,"herald_of_agony_buff",[1267],16
353,"herald_of_agony_buff",[1307],17
354,"herald_of_agony_buff",[1329],18
355,"herald_of_agony_buff",[1396],19
356,"herald_of_agony_buff",[1471],20
357,"herald_of_light_buff",[931],-1
358,"herald_of_light_buff",[955],0
359,"herald_of_light_buff",[955],1
360,"herald_of_light_buff",[955],2
361,"herald_of_light_buff",[955],3
362,"herald_of_light_buff",[955],4
363,"herald_of_light_buff",[955],5
364,"herald_of_light_buff",[955],6
365,"herald_of_light_buff",[955],7
366,"herald_of_light_buff",[955],8
367,"herald_of_light_buff",[955],9
368,"herald_of_light_buff",[958],10
369,"herald_of_light_buff",[956],11
370,"herald_of_light_buff",[957],12
371,"herald_of_light_buff",[959],13
372,"herald_of_light_buff",[960],14
373,"herald_of_light_buff",[1189],15
374,"herald_of_light_buff",[1266],16
375,"herald_of_light_buff",[1306],17
376,"herald_of_light_buff",[1328],18
377,"herald_of_light_buff",[1395],19
378,"herald_of_light_buff",[1470],20
379,"burning_arrow_debuff",[1202],0
380,"burning_arrow_debuff",[1203],1
381,"mortar_barrage_mine_aura",[1159],0
382,"mortar_barrage_mine_aura",[1663],2
383,"mine_lightning_explosion_aura",[1149],0
384,"mine_lightning_explosion_aura",[1664],2
385,"cold_projectile_mine_aura",[1158],0
386,"cold_projectile_mine_aura",[1665],2
387,"vaal_arc_buff",[921],6
388,"vaal_arc_buff",[969],7
389,"vaal_arc_buff",[1132],8
390,"flame_wall_burning",[179],0
391,"flame_wall_burning",[1080],1
392,"flame_wall_burning",[1608],2
393,"flame_wall_burning",[1671],3
394,"flame_wall_burning",[2292],4
395,"plague_bearer_at_max_damage",[931],-1
396,"plague_bearer_at_max_damage",[1145],0
397,"plague_bearer_at_max_damage",[1145],1
398,"plague_bearer_at_max_damage",[1145],2
399,"plague_bearer_buff_active_aura",[931],-1
400,"plague_bearer_buff_active_aura",[1146],0
401,"plague_bearer_buff_active_aura",[1146],1
402,"plague_bearer_buff_active_aura",[1146],2
403,"plague_bearer_accumulating",[931],-1
404,"plague_bearer_accumulating",[1155],0
405,"plague_bearer_accumulating",[1672],1
406,"plague_bearer_accumulating",[1794],2
407,"plague_bearer_aura",[931],-1
408,"plague_bearer_aura",[1156],0
409,"plague_bearer_aura",[1673],1
410,"plague_bearer_aura",[1795],2
411,"penance_brand_magma_pustule",[1326],0
412,"penance_brand_magma_pustule",[1674],2
413,"penance_brand_many_charges",[1343],0
414,"penance_brand_many_charges",[1675],2
415,"winter_brand_burn",[1344],0
416,"winter_brand_burn",[1676],2
417,"winter_brand_secondary_burn",[1345],0
418,"winter_brand_secondary_burn",[1677],2
419,"winter_brand_orb",[1349],0
420,"winter_brand_orb",[1678],2
421,"divine_cry_buff",[1611],0
422,"divine_cry_buff",[1681],2
423,"divine_cry_buff",[1682],3
424,"blight_channel_main",[556],0
425,"blight_channel_main",[1124],1
426,"blight_channel_main",[1554],2
427,"blight_channel_main",[1555],3
428,"blight_channel_main",[1605],4
429,"blight_channel_hinder",[1685],3
430,"blight_channel_hinder",[1610],4
431,"wither_channelled_main",[511],1
432,"wither_channelled_main",[1154],2
433,"wither_channelled_main",[1556],3
434,"wither_channelled_main",[1557],4
435,"wither_channelled_main",[1558],5
436,"wither_channelled_main",[1606],6
437,"wither_channelled_hinder",[1685],4
438,"wither_channelled_hinder",[1610],6
439,"soul_link_source",[1687],0
440,"soul_link_target",[1688],0
441,"storm_blade",[1686],0
442,"flame_link_source",[1689],0
443,"flame_link_target",[1690],0
444,"remora_link_source",[1691],0
445,"remora_link_target",[1692],0
446,"bulwark_link_source",[1693],0
447,"bulwark_link_target",[1694],0
448,"trigger_link_source",[1695],0
449,"trigger_link_target",[1696],0
450,"critical_link_source",[1697],0
451,"critical_link_target",[1698],0
452,"explosive_concoction_flask_attach",[1679],0
453,"poisonous_concoction_flask_attach",[1680],0
454,"poisonous_concoction_flask_attach",[1783],1
455,"poisonous_concoction_flask_attach",[1900],2
456,"bubble_shield",[0],0
457,"flask_effect",[1778],1
458,"flask_effect",[1779],2
459,"flask_effect",[1780],3
460,"flask_effect",[1781],4
461,"flask_effect",[1787],5
462,"flask_effect",[1827],6
463,"flask_effect",[1857],7
464,"flask_effect",[1875],8
465,"flask_effect",[1876],9
466,"flask_effect",[1877],10
467,"flask_effect",[1911],11
468,"flask_effect",[1920],12
469,"flask_effect",[1921],13
470,"flask_effect",[1922],14
471,"flask_effect",[1923],15
472,"flask_effect",[1924],16
473,"flask_effect",[1949],17
474,"flask_effect",[1952],18
475,"flask_effect",[2226],19
476,"flask_effect",[2246],23
477,"corrupting_fever_buff",[1524],0
478,"corrupting_fever_buff",[1789],1
479,"corrupting_fever_corrupted_blood",[242],0
480,"corrupting_fever_corrupted_blood",[1790],1
481,"slither_slither_buff",[1542],1
482,"slither_elusive_buff",[1543],1
483,"slither_wither_buff",[1558],1
484,"monster_dd_area_corpse_mark",[825],0
485,"monster_dd_area_corpse_mark",[826],1
486,"monster_dd_area_corpse_mark",[1437],2
487,"monster_dd_area_corpse_mark",[1734],3
488,"monster_dd_area_corpse_mark",[1572],1000
489,"monster_dd_area_corpse_mark",[1996],1001
490,"monster_dd_area_corpse_mark",[1734],1002
491,"monster_dd_area_corpse_mark",[2177],1003
492,"monster_dd_area_corpse_mark",[2178],1004
493,"monster_dd_area_corpse_mark",[2179],1005
494,"monster_dd_area_corpse_mark",[2177],1006
495,"monster_soulrend_debuff",[1027],0
496,"monster_soulrend_debuff",[1029],1
497,"monster_soulrend_debuff",[1574],1000
498,"monster_soulrend_debuff",[1574],1001
499,"monster_soulrend_debuff",[2033],1002
500,"monster_soulrend_debuff",[2049],1003
501,"monster_soulrend_debuff",[2165],1004
502,"monster_soulrend_debuff",[2033],1005
503,"monster_soulrend_fadeout",[1028],0
504,"monster_soulrend_fadeout",[1030],1
505,"monster_soulrend_fadeout",[1575],1000
506,"monster_soulrend_fadeout",[1575],1001
507,"monster_soulrend_fadeout",[2034],1002
508,"monster_soulrend_fadeout",[2050],1003
509,"monster_soulrend_fadeout",[2166],1004
510,"monster_soulrend_fadeout",[2034],1005
511,"arcane_surge",[739],0
512,"arcane_surge",[1853],1
513,"phasing_buff",[341],0
514,"phasing_buff",[1851],1
515,"fortify_buff",[416],0
516,"fortify_buff",[1852],1
517,"onslaught_buff",[217],0
518,"onslaught_buff",[1854],1
519,"onslaught_buff",[1983],2
520,"galvanic_field_player_buff",[1858],0
521,"galvanic_field_player_buff",[1886],1
522,"galvanic_field_player_buff",[1892],2
523,"galvanic_field_shock_debuff",[1859],0
524,"galvanic_field_shock_debuff",[1887],1
525,"galvanic_field_shock_debuff",[1893],2
526,"lightning_conduit_hit_buff",[1856],0
527,"lightning_conduit_hit_buff",[1889],1
528,"lightning_conduit_hit_buff",[1891],2
529,"lightning_conduit_pause_buff",[1855],0
530,"lightning_conduit_pause_buff",[1888],1
531,"lightning_conduit_pause_buff",[1890],2
532,"alchemists_mark_buff",[84],0
533,"alchemists_mark_buff",[1882],1
534,"righteous_fire_buff_visual",[397],2
535,"righteous_fire_buff_visual",[470],3
536,"righteous_fire_buff_visual",[470],4
537,"righteous_fire_buff_visual",[20],5
538,"righteous_fire_buff_visual",[20],6
539,"righteous_fire_buff_visual",[21],7
540,"righteous_fire_buff_visual",[1602],8
541,"righteous_fire_buff_visual",[1895],9
542,"righteous_fire_aura_visual",[398],2
543,"righteous_fire_aura_visual",[398],3
544,"righteous_fire_aura_visual",[398],4
545,"righteous_fire_aura_visual",[25],5
546,"righteous_fire_aura_visual",[28],6
547,"righteous_fire_aura_visual",[26],7
548,"righteous_fire_aura_visual",[1603],8
549,"righteous_fire_aura_visual",[1896],9
550,"righteous_fire_aura_visual_totem",[23],0
551,"righteous_fire_aura_visual_totem",[398],2
552,"righteous_fire_aura_visual_totem",[398],3
553,"righteous_fire_aura_visual_totem",[398],4
554,"righteous_fire_aura_visual_totem",[28],5
555,"righteous_fire_aura_visual_totem",[28],6
556,"righteous_fire_aura_visual_totem",[27],7
557,"righteous_fire_aura_visual_totem",[1604],8
558,"righteous_fire_aura_visual_totem",[1897],9
559,"reap_debuff",[1544],0
560,"reap_debuff",[1906],1
561,"reap_debuff",[1988],2
562,"reap_charges",[1545],0
563,"reap_charges",[1907],1
564,"reap_charges",[1989],2
565,"vaal_charged_attack_buff",[1931],0
566,"vaal_charged_attack_buff",[1932],1
567,"vaal_charged_attack_buff",[1933],2
568,"dominating_blow_normal",[962],0
569,"dominating_blow_normal",[1447],1
570,"dominating_blow_magic",[963],0
571,"dominating_blow_magic",[1448],1
572,"dominating_blow_rare",[964],0
573,"dominating_blow_rare",[1449],1
574,"vaal_ice_shot",[1945],0
575,"vaal_ice_shot",[1946],3
576,"vaal_ice_shot",[1947],4
577,"vaal_arctic_armour_secondary",[1943],0
578,"vaal_arctic_armour_secondary",[1944],2
579,"covered_in_ash",[682],0
580,"covered_in_ash",[1979],1
581,"covered_in_frost",[1724],0
582,"covered_in_frost",[1980],1
583,"smite_aura_buff",[935],1
584,"smite_aura_buff",[1991],3
585,"smite_vaal_aura_buff",[1934],0
586,"mana_tempest",[2066],0
587,"mana_tempest_linger",[2067],0
588,"new_arctic_armour",[431],0
589,"new_arctic_armour",[432],1
590,"new_arctic_armour",[433],2
591,"new_arctic_armour",[0],3
592,"new_arctic_armour_stages",[435],0
593,"new_arctic_armour_stages",[436],1
594,"new_arctic_armour_stages",[437],2
595,"new_arctic_armour_stages",[0],3
596,"stone_gaze",[759],0
597,"stone_gaze",[759],1
598,"stone_gaze",[760],2
599,"hellscape_tentacle_grab",[1707],0
600,"hellscape_tentacle_grab",[1708],1
601,"channelled_slam_stages",[2089],0
602,"barrier_invocation_ready",[2093],0
603,"elemental_invocation_ready",[2095],0
604,"melee_kill_invocation_ready",[2097],0
605,"dominating_aura_spawn",[2111],0
606,"dominating_aura_skin",[2112],0
607,"dominating_aura_death",[2113],0
608,"rage",[882],0
609,"rage",[2122],1
610,"rage",[2247],2
611,"broken_armour_debuff",[2091],0
612,"broken_armour_debuff",[2091],1
613,"broken_armour_debuff",[2091],2
614,"wind_palm_buff",[2130],0
615,"tempest_bell_ignited",[2132],0
616,"tempest_bell_ignited",[2299],1
617,"tempest_bell_frozen",[2133],0
618,"tempest_bell_frozen",[2300],1
619,"tempest_bell_shocked",[2134],0
620,"tempest_bell_shocked",[2301],1
621,"contagion_debuff",[502],0
622,"contagion_debuff",[504],1
623,"contagion_debuff",[1123],2
624,"contagion_debuff",[1552],3
625,"contagion_debuff",[1553],4
626,"contagion_debuff",[1601],5
627,"contagion_inactive_debuff",[503],0
628,"contagion_inactive_debuff",[503],1
629,"contagion_inactive_debuff",[503],2
630,"contagion_inactive_debuff",[503],3
631,"contagion_inactive_debuff",[503],4
632,"contagion_inactive_debuff",[503],5
633,"empower_barrage_base",[2139],0
634,"empower_barrage_with_charge",[2140],0
635,"mana_remnants",[2141],0
636,"igneous_shield_hidden",[2143],0
637,"igneous_shield_charged",[2144],0
638,"igneous_shield_cooldown",[2145],0
639,"solar_orb_burning",[179],0
640,"solar_orb_burning",[2292],1
641,"pinned",[2079],0
642,"pinned",[2157],1
643,"pinned",[2238],2
644,"pinned",[2253],3
645,"pinned",[2354],4
646,"ritual_of_power",[2162],0
647,"bone_offering",[2124],0
648,"bone_offering",[2327],1
649,"pain_offering",[2129],0
650,"pain_offering",[2328],1
651,"grim_feast",[2181],0
652,"scavenged_plate",[2185],0
653,"scavenged_plating_reservation",[2186],0
654,"blink_reservation",[2187],0
655,"hydra_buff",[802],0
656,"electrocuting_arrow_debuff",[2138],0
657,"electrocuting_arrow_debuff",[2297],1
658,"ancestral_cry",[1322],0
659,"ancestral_cry",[1322],1
660,"ancestral_cry",[1379],2
661,"ancestral_cry",[1322],3
662,"shielding_cry_empower_buff",[2194],0
663,"life_remnants",[2141],0
664,"sigil_of_power_buff",[1389],0
665,"sigil_of_power_buff",[1390],1
666,"snipers_mark",[2201],0
667,"freezing_mark",[2202],0
668,"thaumaturgist_mark",[2203],0
669,"thaumaturgist_mark",[2306],1
670,"dazed",[2199],0
671,"breach_walk_visuals",[171],0
672,"ghost_dance",[2256],0
673,"power_offering",[2243],0
674,"power_offering",[2329],1
675,"windstorm",[1998],0
676,"spear_storm_storm",[1998],0
677,"herald_of_blood_buff",[2295],0
678,"new_arctic_armour_stages",[931],-1
679,"new_arctic_armour",[931],-1
680,"spectre_buff_visual",[597],-2
681,"spectre_buff_visual",[0],-1
682,"spectre_buff_visual",[55],0
683,"spectre_buff_visual",[2352],1
684,"electrocute",[2072],0
685,"electrocute",[2302],1
686,"electrocute",[2307],2
687,"hunters_mark",[2305],0
688,"physical_infusion",[0],0
689,"cold_infusion",[2269],0
690,"fire_infusion",[2270],0
691,"lightning_infusion",[2271],0
692,"chaos_infusion",[2272],0
693,"broken_evasion_debuff",[2294],0
694,"tame_beast_net_visual",[2312],0
695,"tame_beast_capture_visual",[2313],0
696,"tame_beast_player_visual",[2324],0
697,"blood_boil_buff",[2314],0
698,"blood_boil_buff_large",[2315],0
699,"beast_companion_summon",[2316],0
700,"beast_companion",[2317],0
701,"parried",[2289],0
702,"parried",[2289],1
703,"parried",[2289],2
704,"herald_of_blood_buff",[931],-1
705,"barrier_invocation_ready",[931],-1
706,"elemental_invocation_ready",[931],-1
707,"melee_kill_invocation_ready",[931],-1
708,"barrier_invocation_reservation",[2092],0
709,"elemental_invocation_reservation",[2094],0
710,"melee_kill_invocation_reservation",[2096],0
711,"barrier_invocation_reservation",[931],-1
712,"elemental_invocation_reservation",[931],-1
713,"melee_kill_invocation_reservation",[931],-1
714,"scavenged_plate",[931],-1
715,"scavenged_plating_reservation",[931],-1
716,"overwhelming_presence_effect",[2234],0
717,"overwhelming_presence_effect",[931],-1
718,"despair_buff_visuals",[803],0
719,"despair_buff_visuals",[2353],1
720,"temporal_chains_buff_visuals",[65],0
721,"temporal_chains_buff_visuals",[2355],1
722,"enfeeble_buff_visuals",[77],0
723,"enfeeble_buff_visuals",[2356],1
724,"vulnerability_buff_visuals",[81],0
725,"vulnerability_buff_visuals",[2357],1
