"rownum","string_0","string_8","string_16","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","string_24","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_32"
10,"FlaskMagic","Art/2DItems/QuestItems/RewardFlasks.dds","Magic Utility Flask","Flacon utilitaire magique","Magisches Hilfsfläschchen","マジックユーティリティフラスコ","마법 특수 플라스크","Frasco Utilitário Mágico","Волшебный особый флакон","Frasco de utilidad mágico","ขวดยาช่วยเหลือเมจิก","魔法功能藥劑","This quest will reward you with a magic Utility Flask.","Vous obtiendrez un Flacon utilitaire magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Hilfsfläschchen.","このクエストは報酬としてマジックユーティリティフラスコが得られる。","마법 특수 플라스크를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Frasco Utiliário mágico.","В награду за это задание вы получите волшебный особый флакон.","Esta misión te dará un frasco de utilidad mágico como recompensa.","เควสต์นี้จะให้รางวัลเป็น ขวดยาช่วยเหลือเมจิก","此任務會給你一瓶魔法功能藥劑做為獎勵。",""
11,"BootsMagic","Art/2DItems/QuestItems/RewardBoots.dds","Magic Boots","Bottes magiques","Magische Stiefel","マジック靴","마법 장화","Botas Mágicas","Волшебные сапоги","Botas mágicas","รองเท้าเมจิก","魔法長靴","This quest will reward you with a pair of magic Boots.","Vous obtiendrez une paire de Bottes magiques en récompense de cette quête.","Diese Quest belohnt dich mit einem Paar magischer Stiefel.","このクエストは報酬としてマジック靴が得られる。","마법 장화를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um par de Botas mágicas. ","В награду за это задание вы получите пару волшебных сапог.","Esta misión te dará un par de botas mágicas como recompensa.","เควสต์นี้จะให้รางวัลเป็น รองเท้าเมจิก","此任務會給你一雙魔法長靴做為獎勵。",""
12,"GlovesMagic","Art/2DItems/QuestItems/RewardGloves.dds","Magic Gloves","Gants magiques","Magische Handschuhe","マジック手袋","마법 장갑","Luvas Mágicas","Волшебные перчатки","Guantes mágicos","ถุงมือเมจิก","魔法手套","This quest will reward you with a pair of magic Gloves.","Vous obtiendrez une paire de Gants magiques en récompense de cette quête.","Diese Quest belohnt dich mit einem Paar magischer Handschuhe.","このクエストは報酬としてマジック手袋が得られる。","마법 장갑을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um par de Luvas mágicas. ","В награду за это задание вы получите пару волшебных перчаток.","Esta misión te dará un par de guantes mágicos como recompensa.","เควสต์นี้จะให้รางวัลเป็น ถุงมือเมจิก","此任務會給你一雙魔法手套做為獎勵。",""
13,"Helmet","Art/2DItems/QuestItems/RewardArmours.dds","Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔","This quest will reward you with a Helmet.","Vous obtiendrez un Casque en récompense de cette quête.","Diese Quest belohnt dich mit einem Helm.","このクエストは報酬として兜が得られる。","투구를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Elmo.","В награду за это задание вы получите шлем.","Esta misión te dará un casco como recompensa.","เควสต์นี้จะให้รางวัลเป็น หมวก","此任務會給你一頂頭盔做為獎勵。",""
14,"Gear","Art/2DItems/QuestItems/RewardGear.dds","Equippable Item","Objet équipable","Ausrüstbarer Gegenstand","装備可能アイテム","장착 가능 아이템","Item Equipável","Снаряжение","Objeto equipable","ไอเทมสวมใส่","可裝備物品","This quest will reward you with an equippable item.","Vous obtiendrez un objet équipable magiques en récompense de cette quête.","Diese Quest belohnt dich mit einem ausrüstbaren Gegenstand.","このクエストは報酬として装備可能アイテムが得られる。","장착 가능 아이템을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um item equipável.","В награду за это задание вы получите надеваемый предмет снаряжения.","Esta misión te dará un objeto equipable como recompensa.","เควสต์นี้จะให้รางวัลเป็น ไอเทมสวมใส่","此任務會給你一件可裝備物品做為獎勵。",""
15,"Weapons","Art/2DItems/QuestItems/RewardWeapons.dds","Weapon","Arme","Waffe","武器","무기","Arma","Оружие","Arma","อาวุธ","武器","This quest will reward you with a Weapon.","Vous obtiendrez une Arme en récompense de cette quête.","Diese Quest belohnt dich mit einer Waffe.","このクエストは報酬として武器が得られる。","무기를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Arma.","В награду за это задание вы получите оружие.","Esta misión te dará un arma como recompensa.","เควสต์นี้จะให้รางวัลเป็น อาวุธ","此任務會給你一把武器做為獎勵。",""
16,"MapMagic","Art/2DItems/QuestItems/RewardMap.dds","Waystone","Pierre de téléportation","Wegstein","ウェイストーン","경로석","Pedra Guia","Путевой камень","Piedra guía","ศิลานำทาง","換界石","This quest will reward you with a magic Waystone.","Vous obtiendrez une Pierre de téléportation magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Wegstein.","このクエストは報酬としてマジックのウェイストーンが得られる。","마법 경로석을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Pedra Guia mágica.","В награду за это задание вы получите волшебный путевой камень.","Esta misión te dará una piedra guía mágica como recompensa.","เควสต์นี้จะให้รางวัลเป็น ศิลานำทางเมจิก","此任務會給你一把地圖鑰匙做為獎勵。",""
17,"CraftingBench","Art/2DItems/QuestItems/RewardCraftingBench.dds","Salvage Bench Unlock","Déblocage de l'Établi de recyclage","Freischaltung der Verwertungswerkbank","サルベージベンチアンロック","분해 작업대 해제","Destravar Mesa de Reciclagem","Открытие верстака для разборки","Desbloqueo de la mesa de reciclaje","ปลดล็อกโต๊ะรื้อ","解鎖回收台","This quest will unlock use of the Salvage Bench.","Cette quête débloquera l'utilisation de l'Établi de recyclage.","Diese Quest schaltet die Verwertungswerkbank frei.","このクエストはサルベージベンチの使用をアンロックする。","퀘스트 완료 시 분해 작업대를 사용할 수 있게 됩니다.","A recompensa desta missão é o destravamento da Mesa de Reciclagem.","Это задание откроет доступ к верстаку для разборки.","Esta misión desbloqueará la mesa de reciclaje.","เควสต์นี้จะปลดล็อกการใช้โต๊ะรื้อ","這個任務會解鎖回收台的使用權。",""
18,"AtlasPassivePoints","Art/2DItems/QuestItems/RewardAtlasPassive.dds","Atlas Passive Points","Points de Talent de l'Atlas","Passive Atlas-Punkte","アトラスパッシブポイント","아틀라스 패시브 포인트","Pontos Passivos do Atlas","Пассивные умения Атласа","Puntos de pasivas del atlas","แต้มพาสซีฟแอตลาส","輿圖天賦點數","This quest will reward you with Atlas Passive Points.","Vous obtiendrez des points de Talent de l'Atlas en récompense de cette quête.","Diese Quest belohnt dich mit passiven Atlas-Punkten.","このクエストは報酬としてアトラスパッシブポイントが得られる。","아틀라스 패시브 포인트를 보상으로 주는 퀘스트입니다.","A recompensa desta missão será Pontos Passivos do Atlas.","В награду за это задание вы получите очки пассивных умений Атласа.","Esta misión te dará puntos de pasivas del atlas como recompensa.","เควสต์นี้จะให้รางวัลเป็น แต้มพาสซีฟแอตลาส","此任務會給你輿圖天賦點數作為獎勵。",""
19,"Charm","Art/2DItems/QuestItems/RewardCharms.dds","Charm","Charme","Phiole","チャーム","호신부","Patuá","Оберег","Vial","ของขลัง","護符","This quest will reward you with a Charm.","Vous obtiendrez un Charme en récompense de cette quête.","Diese Quest belohnt dich mit einer Phiole.","このクエストは報酬としてチャームが得られる。","호신부를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Patuá.","В награду за это задание вы получите оберег.","Esta misión te dará un vial como recompensa.","เควสต์นี้จะให้รางวัลเป็น ของขลัง","此任務會給你一個護符作為獎勵。",""
20,"SpiritDraught1","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","Breuvage spirituel","Geisterschluck","スピリットの霊薬","정신력 영약","Bebida Espiritual","Вытяжка духа","Elixir de espíritu","ยาบำรุงวิญญาณ","精魂藥水","This quest will reward you with a Spirit Draught.","Vous obtiendrez un Breuvage spirituel en récompense de cette quête.","Diese Quest belohnt dich mit einem Geisterschluck.","このクエストは報酬としてスピリットの霊薬が得られる。","정신력 영약을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Bebida Espiritual.","В награду за это задание вы получите вытяжку духа.","Esta misión te dará un elixir de espíritu como recompensa.","เควสต์นี้จะให้รางวัลเป็น ยาบำรุงวิญญาณ","此任務會給你一瓶精魂藥水做為獎勵。",2710
21,"SpiritDraught2","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","Breuvage spirituel","Geisterschluck","スピリットの霊薬","정신력 영약","Bebida Espiritual","Вытяжка духа","Elixir de espíritu","ยาบำรุงวิญญาณ","精魂藥水","This quest will reward you with a Spirit Draught.","Vous obtiendrez un Breuvage spirituel en récompense de cette quête.","Diese Quest belohnt dich mit einem Geisterschluck.","このクエストは報酬としてスピリットの霊薬が得られる。","정신력 영약을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Bebida Espiritual.","В награду за это задание вы получите вытяжку духа.","Esta misión te dará un elixir de espíritu como recompensa.","เควสต์นี้จะให้รางวัลเป็น ยาบำรุงวิญญาณ","此任務會給你一瓶精魂藥水做為獎勵。",2731
22,"SpiritDraught3","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","Breuvage spirituel","Geisterschluck","スピリットの霊薬","정신력 영약","Bebida Espiritual","Вытяжка духа","Elixir de espíritu","ยาบำรุงวิญญาณ","精魂藥水","This quest will reward you with a Spirit Draught.","Vous obtiendrez un Breuvage spirituel en récompense de cette quête.","Diese Quest belohnt dich mit einem Geisterschluck.","このクエストは報酬としてスピリットの霊薬が得られる。","정신력 영약을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Bebida Espiritual.","В награду за это задание вы получите вытяжку духа.","Esta misión te dará un elixir de espíritu como recompensa.","เควสต์นี้จะให้รางวัลเป็น ยาบำรุงวิญญาณ","此任務會給你一瓶精魂藥水做為獎勵。",2770
23,"PrecursorTablet","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Precursor Tablet","Tablette des Prédécesseurs","Wegbereitertafel","先人の石板","선도자 서판","Tábua Precursora","Плитка Предтеч","Tablilla precursora","แผ่นหินกลุ่มชนก่อนกาล","先行者碑牌","This quest will reward you with a Precursor Tablet.","Vous obtiendrez une Tablette des Prédécesseurs en récompense de cette quête.","Diese Quest belohnt dich mit einer Wegbereitertafel.","このクエストは報酬として先人の石板が得られる。","선도자 서판을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Tábua Precursora.","В награду за это задание вы получите плитку Предтеч.","Esta misión te dará una tablilla precursora como recompensa.","เควสต์นี้จะให้รางวัลเป็น แผ่นหินกลุ่มชนก่อนกาล","此任務會給你一個先行者碑牌做為獎勵。",""
