"rownum","BattlePass","RewardTier","i32","i32","bool","Id","RewardedMTX","i32","RewardDescription","string","i32","i32","bool","RewardTitle","rid","bool","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
17,2,2,0,10,"","BattlePassThreeColdIronPoint",[3630],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
18,2,4,0,20,"","BattlePassThreeKaruiTimelessJewel",[3633],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
19,2,6,0,30,"","BattlePassThreeMagnaEclipsis",[3638],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
20,2,8,0,40,"","BattlePassThreeEternalTimelessJewel",[3635],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
21,2,10,0,50,"","BattlePassThreeGravebind",[3637],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
22,2,12,0,60,"","BattlePassThreeVaalTimelessJewel",[3632],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
23,2,14,0,70,"","BattlePassThreeLegacyOfFury",[3636],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
24,2,16,0,80,"","BattlePassThreeTemplarTimelessJewel",[3634],0,"","",1264,1268,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
25,2,18,0,90,"","BattlePassThreeFarrulsFur",[3627],0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
26,2,20,0,100,"","BattlePassThreeMarakethTimelessJewel",[3631],0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
27,2,22,0,115,"","BattlePassThreeCosprisMalice",[3629],0,"","",1267,1271,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
28,3,0,0,0,"","BattlePassFourTheGull",[3795],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
29,3,1,0,10,"","MysteryPackSinAndInnocenceBox",[6091],0,"Receive a random prize with a Sin or Innocence theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",376,400,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
30,3,2,0,15,"","BattlePassFourShavronnesWrappings",[3796],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
31,3,3,0,20,"","MysteryPackPolarisBox",[6120],0,"Receive a random prize with a Polaris theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",378,402,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
32,3,4,0,30,"","BattlePassFourOlrothsResolve",[3793],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
33,3,5,0,40,"","MysteryPackTwilightBox",[6129],0,"Receive a random prize with a Twilight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",380,404,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
34,3,6,0,45,"","BattlePassFourNebulis",[3794],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
35,3,8,0,60,"","BattlePassFourVentorsGamble",[3797],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
36,3,9,0,70,"","MysteryPackWarlordBox",[6132],0,"Receive a random prize with a Warlord theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1264,1268,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
37,3,10,0,75,"","BattlePassFourMeldingoftheFlesh",[3792],0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
38,3,12,0,90,"","BattlePassFourHateforge",[3798],0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
39,3,13,0,100,"","MysteryPackHarmonyBox",[6144],0,"Receive a random prize with a Harmony theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1267,1271,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
40,3,14,0,105,"","BattlePassFourStarforge",[3800],0,"","",1276,1278,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
41,3,16,0,115,"","BattlePassFourVoidforge",[3799],0,"","",1277,1279,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
42,4,0,0,1,"","MysteryPackApocalypseBox",[6094],0,"Receive a random prize with an Apocalypse theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",375,1294,"","Apocalypse Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
43,4,0,1,1,"","",[],0,"Contains 3 Orbs of Horizons","",375,399,""," Orb of Horizons",5,"",0,0,0,1879048192,0,0,0,50331648,"","",""
44,4,1,0,8,"","IgneousEmperorBoots",[3936],0,"","",376,1295,"","Igneous Emperor Boots","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
45,4,1,1,8,"","",[],0,"Contains 3 Explorer's Scouting Reports","",376,400,"","Explorer's Scouting Report",5,"",0,0,0,-1979711488,6,0,0,50331648,"","",""
46,4,2,0,17,"","MysteryPackGlimmerwoodBox",[6103],0,"Receive a random prize with a Glimmerwood theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",377,1296,"","Glimmerwood Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
47,4,2,1,17,"","",[],0,"Contains 3 Orbs of Unmaking","",377,401,"","Orb of Unmaking",5,"",0,0,0,167772160,0,0,0,50331648,"","",""
48,4,3,0,27,"","IgneousEmperorGloves",[3937],0,"","",378,1297,"","Igneous Emperor Gloves","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
49,4,3,1,27,"","",[],0,"Contains a Random Unique Map up to Tier 5","Art/2DItems/Maps/VaultPassRandomMap.dds",378,402,"","Unique Map",3,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
50,4,4,0,40,"","MysteryPackThaumaturgyBox",[6123],0,"Receive a random prize with a Thaumaturgy theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",379,1298,"","Thaumaturgy Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
51,4,4,1,40,"","",[],0,"Contains 3 Random Polished Scarabs","Art/2DItems/Currency/Scarabs/NormalScarabVaultPassRandom.dds",379,403,"","Polished Scarabs",0,"",0,0,0,-33554432,-16843010,-16843010,-16843010,67043070,"","",""
52,4,5,0,57,"","IgneousEmperorBodyArmour",[3938],0,"","",380,1299,"","Igneous Emperor Body Armour","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
53,4,5,1,57,"","",[],0,"Contains 3 Influenced Scouting Reports","",380,404,"","Influenced Scouting Report",5,"",0,0,0,-1996488704,6,0,0,50331648,"","",""
54,4,6,0,80,"","MysteryPackMidnightPactBox",[6138],0,"Receive a random prize with a Midnight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",381,1300,"","Midnight Pact Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
55,4,6,1,80,"","",[],0,"Contains 5 Awakened Sextants","",381,405,"","Awakened Sextant",5,"",0,0,0,1459617792,0,0,0,83886080,"","",""
56,4,7,0,115,"","IgneousEmperorHelmet",[3935],0,"","",382,1301,"","Igneous Emperor Helmet","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
57,4,7,1,115,"","",[],0,"Contains a Xoph, Esh or Tul Breachstone","Art/2DItems/Currency/Breach/VaultPassRandomBreach.dds",382,406,"","Breachstone",0,"",0,0,0,-2063597568,2,0,0,16777216,"","",""
