"rownum","Id","Text","TextXBox","bool","rid","i32","i32","i32","u16","bool"
28,"ProxyKey30","Hold <b>{Alt} while viewing items in your inventory to compare them with their equipped counterpart.","Use <<xbox_button_rstick>> in the inventory to compare equipable items, or Press <<xbox_button_a>> to pickup and hover the item over the equip slot.",1,1677721600,0,503316480,34,0,""
29,"ProxyKey31","Hold <b>{Ctrl} and click area transitions and waypoint icons to forcibly create new instances of areas.","Press and hold <<xbox_button_a>> on area transitions or a selected waypoint icon to  open the areas instance manager.",1,1677721600,0,-167772160,35,0,""
30,"ProxyKey33","Dodge Rolling can be done during almost any other action.","Evade attacks using the <b>{Dodge Roll} action, it can interrupt most active actions.",1,1677721600,0,838860800,37,0,""
31,"ProxyKey34","After being <b>{Stunned} or <b>{Frozen}, both you and enemies are more resistant to being <b>{Stunned} or <b>{Frozen} again.","",1,1677721600,0,1174405120,38,0,""
32,"ProxyKey35","Some items can grant you specific skills when wielded.","",1,1677721600,0,-838860800,38,0,""
33,"ProxyKey36","Repeatedly damaging enemies can cause them to be <b>{Stunned}.","",1,1677721600,0,1711276032,39,0,""
34,"ProxyKey37","Culling strike will instantly kill <b>{Normal}, <b>{Magic}, <b>{Rare} and <b>{Unique} enemies below 30%, 20%, 10% and 5% Maximum Life respectively.","<b>{Culling Strike} will instantly kill <whiteitem>{Normal}, <magicitem>{Magic}, <rareitem>{Rare} and <uniqueitem>{Unique} enemies below 30%, 20%, 10% and 5% Maximum Life respectively.",1,1677721600,0,469762048,42,0,""
35,"ProxyKey38","Vendors will have new items when you gain a level, be sure to check them.","",1,1677721600,0,-905969664,42,0,""
36,"ProxyKey39","Many Unique bosses can grant permanent buffs for defeating them.","",1,1677721600,0,1711276032,43,0,""
37,"ProxyKey40","Larger enemies can push you around if you get in their way.","",1,1677721600,0,-134217728,43,0,""
38,"ProxyKey41","Once you have set up an Item Filter, you can press <b>{Z} to view all items.","Once you have set up an Item Filter. Toggle <<xbox_button_rstick>> to display info of filtered items on the ground.",1,1677721600,0,-1778384896,45,0,""
39,"ProxyKey42","Many melee attacks will gap-close to nearby enemies if you're not quite close enough.","",1,1677721600,0,1543503872,46,0,""
40,"ProxyKey43","Energy Shield will begin recharging after 4 seconds without taking damage.","",1,1677721600,0,201326592,47,0,""
41,"ProxyKey45","Herald skills are a kind of Spirit reservation that grant various bonuses to Attack skills.","",1,1677721600,0,-570425344,47,0,""
42,"ProxyKey46","<b>{Right-click} a <gemitem>{Skill Gem} to open the Skill Gems panel.","Press <<xbox_button_view>> to access the <b>{Character menu} and use <<xbox_button_lb>> or <<xbox_button_rb>> to cycle between tabs.",1,1677721600,0,-1879048192,49,0,""
43,"ProxyKey47","<gemitem>{Uncut Skill Gems} can be used to either upgrade existing socketed <gemitem>{Skill Gems} or create new ones.","Use <<itemvisual:UncutSkillGem>> <gemitem>{Uncut Skill Gems} to either upgrade existing socketed <gemitem>{Skill Gems} or create new ones.",1,1677721600,0,-1375731712,51,0,""
44,"ProxyKey48","Attribute Requirements for your <gemitem>{Support Gems} are separate from those of your <gemitem>{Skill Gems} and <b>{Equipment}.","",1,1677721600,0,-872415232,52,0,""
45,"ProxyKey49","Items can be <b>{Disenchanted} at some Vendors in Town, granting Currency Shards in return.","",1,1677721600,0,-1644167168,53,0,""
46,"ProxyKey51","You can customise key bindings via the <b>{Input} tab in the <b>{options menu}.","Press and hold <<xbox_button_view>> to open a radial menu for direct access to the <b>{rebind menu} and <b>{Character menu} tabs.",1,1677721600,0,1577058304,55,0,""
47,"ProxyKey52","Gold is useful in shops and also to respec your character.","",1,1677721600,0,-301989888,55,0,""
48,"ProxyKey53","<b>{Right-click} an Uncut Skill Gem to craft it in a Skill Gems panel.","Press <<xbox_button_x>> on an <b>{Uncut Gem} in your inventory to craft it via the <b>{Skill Gem Crafting} panel.",1,1677721600,0,2080374784,57,0,""
49,"ProxyKey54","Spend your skill points in the Passive Skill Tree to improve your character's chance of survival.","Press and hold <<xbox_button_view>> to access the <b>{Passives} and <b>{Skills} tabs directly via the radial menu.",1,1677721600,0,1107296256,59,0,""
50,"ProxyKey55","You can allocate Spirit reserves via the <b>{Skills} menu to activate Auras and spawn Minions.","You can allocate <b>{Spirit} reserves via the <b>{Bind Screen} to activate Auras and spawn Minions.",1,1677721600,0,-469762048,60,0,""
51,"ProxyKey56","Spirit reserves can be allocated per weapon set via the <b>{Advanced Info} panel for an equipped skillgem.","<b>{Spirit} reserves can be allocated per weapon set via the Bind Screen reservation panel.",1,1677721600,0,-1912602624,62,0,""
52,"ProxyKey57","","You can switch targeting modes via the <b>{rebind menu} between Automatic, Melee and Ranged.",1,1677721600,0,1644167168,63,0,""
53,"ProxyKey58","","<b>{Automatic} targeting mode switches between Melee and Ranged targeting depending on your active weapon set.",1,1677721600,0,1509949440,64,0,""
54,"ProxyKey59","","Set your targeting mode to <b>{Melee} or <b>{Ranged} to forces all weapon sets and skills to target with this method.",1,1677721600,0,1610612736,65,0,""
55,"ProxyKey60","","<b>{Melee} or <b>{Ranged} modes can be customised via the <b>{Bind Screen} and also impacts <b>{Automatic} targeting mode.",1,1677721600,0,1879048192,66,0,""
56,"ProxyKey61","","Press and hold the <b>{Map Button} and use <<xbox_rstick>> to pan the full map. ",1,1677721600,0,738197504,67,0,""
57,"ProxyKey62","","Use a <<itemvisual:CurrencyIdentification>> <currencyitem>{Scroll of Wisdom} to identify <magicitem>{Magic}, <rareitem>{Rare} and <uniqueitem>{Unique} items.",1,1677721600,0,-2113929216,68,0,""
58,"ProxyKey63","","Use a <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{Blacksmith's Whetstone} to improve the base physical damage of a martial weapon.",1,1677721600,0,-1308622848,69,0,""
59,"ProxyKey64","","Use an <<itemvisual:CurrencyArmourQuality>> <currencyitem>{Armourer's Scrap} to improve the base defensive quality of armour.",1,1677721600,0,-939524096,70,0,""
60,"ProxyKey65","","Use an <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{Orb of Transmutation} to upgrade a <whiteitem>{Normal} item to a <magicitem>{Magic} item with 1 modifier.",1,1677721600,0,771751936,72,0,""
61,"ProxyKey66","","Use an <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{Orb of Augmentation} to augment a <magicitem>{Magic} item with a new random modifier.",1,1677721600,0,1778384896,73,0,""
62,"ProxyKey67","","Use an <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{Orb of Alchemy} to upgrade a <whiteitem>{Normal} item to a <rareitem>{Rare} item with 4 modifiers.",1,1677721600,0,-1073741824,74,0,""
63,"ProxyKey68","","Use an <<itemvisual:CurrencyAddModToRare>> <currencyitem>{Exalted Orb} to augment a <rareitem>{Rare} item with a new random modifier.",1,1677721600,0,-436207616,75,0,""
64,"ProxyKey69","","Use a <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{Regal Orb} to upgrade a <magicitem>{Magic} item to a <rareitem>{Rare} item with 1 additional modifier.",1,1677721600,0,1275068416,77,0,""
65,"ProxyKey70","","Use a <<itemvisual:CurrencyRerollRare>> <currencyitem>{Chaos Orb} on a <rareitem>{Rare} item to replace a random existing modifier with a new random modifer. ",1,1677721600,0,-1543503872,78,0,""
