"rownum","Id","MonsterType","MovementSpeed","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","Mods","i32_96","string_100","string_108","ModelSizeMultiplier","i32_120","i32_124","rid_128","i32_144","i32_148","Tags","ExperienceMultiplier","[i32]_172","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffects","AISFile","Mods2","Stance","rid_256","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentity","Weapon2_ItemVisualIdentity","Back_ItemVisualIdentity","MainHand_ItemClass","OffHand_ItemClass","Helmet_ItemVisualIdentity","i32_388","KillSpecificMonsterCount_AchievementItems","Special_Mods","KillRare_AchievementItems","bool_440","i32_441","i32_445","i32_449","i32_453","i32_457","i32_461","HASH16","bool_467","string_468"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","KillWhileOnslaughtIsActive_AchievementItem","MonsterSegment","MonsterArmour","KillWhileTalismanIsActive_AchievementItem","Part1_Mods","Part2_Mods","Endgame_Mods","rid_588","i32_604","i32_608","[rid]_612","MultiPartAchievements","i32_644","SinkAnimation_AOFile","bool_656","[rid]_657","bool_673","bool_674","bool_675","i32_676","i32_680","f32_684","AilmentThreshold","AilmentThreshold (French)","AilmentThreshold (German)","AilmentThreshold (Japanese)","AilmentThreshold (Korean)","AilmentThreshold (Portuguese)","AilmentThreshold (Russian)","AilmentThreshold (Spanish)","AilmentThreshold (Thai)","AilmentThreshold (Traditional Chinese)","SinkEffect","i32_696","MonsterConditionalEffectPack","bool_716","bool_717","i32_718","bool_722","i32_723","i32_727","i32_731","i32_735","i32_739","i32_743","i32_747","i32_751","i32_755"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32_759","i32_763","i32_767","BossHealthBar","rid_772","i32_788","bool_792","i32_793","i32_797","i32_801","i32_805","bool_809","rid_810","f32_826","f32_830","bool_834","[string]_835","rid_851","i32_867","i32_871","f32_875","rid_879","bool_895","i32_896","bool_900","i32_901","rid_905"
10,"Metadata/Monsters/Totems/IntelligenceTotem",21,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_intelligence.act""]","[""Metadata/Monsters/Totems/generic_totem/blue.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,30100,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,6972,6986,7000,6908,6910,6962,6980,6978,6982,6884,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,100,0.05,0,1,0,"",40,2
11,"Metadata/Monsters/Totems/DexterityTotem",21,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_dexterity.act""]","[""Metadata/Monsters/Totems/generic_totem/green.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,62466,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,7448,7462,7476,7384,7386,7438,7456,7454,7458,7360,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,100,0.05,0,1,0,"",40,2
12,"Metadata/Monsters/Totems/SnipeTotem",21,0,3,6,6,"[""Metadata/Monsters/Totems/crossbow_totem/totem_crossbow.act""]","[""Metadata/Monsters/Totems/crossbow_totem/crossbow.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",3,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,13300,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,7908,7922,7936,7844,7846,7898,7916,7914,7918,7820,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,100,0.05,0,1,0,"",40,2
13,"Metadata/Monsters/Totems/ForwardBallista",22,0,3,6,6,"[""Metadata/Monsters/Totems/Ballistas/ForwardBallista.act""]","[""Metadata/Monsters/Totems/Ballistas/ForwardBallista.ao""]","Metadata/Monsters/Totems/Ballistas/ForwardBallista",[],1,"","",80,2,6,5,6,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/Totems/RipwireBallista.ais",[],"",3,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,5361,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,8570,8584,8598,8506,8508,8560,8578,8576,8580,8482,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,100,0.05,0,1,0,"",40,2
14,"Metadata/Monsters/Totems/UpwardBallista",22,0,3,6,6,"[""Metadata/Monsters/Totems/Ballistas/UpwardBallista.act""]","[""Metadata/Monsters/Totems/Ballistas/UpwardBallista.ao""]","Metadata/Monsters/Totems/Ballistas/UpwardBallista",[],1,"","",80,2,6,5,12,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/Totems/ArtilleryBallista.ais",[],"",3,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,11933,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,9228,9242,9256,9164,9166,9218,9236,9234,9238,9140,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,100,0.05,0,1,0,"",40,2
15,"Metadata/Monsters/Totems/SlamTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/ancestor_totem/karuiAncestorTotem/karui_ancestor_totem.act""]","[""Metadata/Monsters/Totems/ancestor_totem/karuiAncestorTotem/karuiAncestorTotemBody.ao""]","Metadata/Monsters/Totems/ancestor_totem/SlamTotem",[],1,"","",100,2,18,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",100,120,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,10828,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,9920,9934,9948,9856,9858,9910,9928,9926,9930,9832,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,110,0.05,0,"",0,"",40,2
16,"Metadata/Monsters/MudBurrower/BrambleBurrower",15,32,5,7,30,"[""Metadata/Monsters/MudBurrower/BrambleBurrower.act""]","[""Metadata/Monsters/MudBurrower/BrambleHead.ao""]","Metadata/Monsters/MudBurrower/BrambleBurrower",[],1,"","",70,3,6,14,3,0,"[723,72,1034,175,127,126,163,754,713,30,31,714,32,118,76]",250,[],105,105,700,500,0,"[737,1149,1151,1468,2651]","Metadata/Monsters/MudBurrower/BrambleBurrower.ais","[5884,6026]","",0,"Bramble Burrower","Fouisseur épineux","Dornenwühler","ブランブル・バーロワー","가시나무 굴착자","Escavador do Cipoal","Шипастый землерой","Tunelero espinoso","Bramble Burrower","刺荊地穴掘者",250,250,1500,[],[],"","","","",0,[],[6978],[],"",1,6,135,0,0,135,37005,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",300,0,[],[],10,"","",[],"",1,"",-5,5,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,10730,10746,10750,10656,10652,10726,10740,10738,10740,10622,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],"",6,175,0.05,0,1,0,"",0,4
17,"Metadata/Monsters/MudBurrower/SpiresBurrower",17,43,18,5,45,"[""Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrower.act""]","[""Metadata/Monsters/MudBurrower/SpiresBurrower/DevourerBonePile.ao""]","Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrower",[],1,"","",95,3,6,14,3,0,"[723,724,72,1034,175,770,127,755,759,126,163,742,713,30,31,714,32,118,76]",325,[],58,60,700,500,0,"[737,1149,1151,1470,2653]","Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrower.ais",[],"stance2",0,"Spire Burrower","Fouisseur des cîmes","Spitzenwühler","スパイア・バーロワー","첨탑 굴착자","Espiral do Cipoal","Шипастый землерой","Tunelero de agujas","Spire Burrower","尖塔地穴掘者",293,325,1500,[],[],"","","","",0,[],[6978],[],"",1,6,135,0,0,135,10448,"","","M","M","","","F","MS","M","","","","","","",[],[],[],"",300,0,[],[],10,"","",[],"",1,1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,11802,11828,11820,11720,11708,11810,11780,11818,11812,11678,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",6,213,0.05,0,1,0,"",0,4
18,"Metadata/Monsters/MudBurrower/SpiresBurrowerSanctumTrial",18,43,10,5,45,"[""Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrowerSanctum.act""]","[""Metadata/Monsters/MudBurrower/SpiresBurrower/DevourerBonePile.ao""]","Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrowerSanctum",[],1,"","",95,3,6,14,3,0,"[723,724,72,1034,175,127,755,755,126,163,713,30,31,714,32,118,1015,76]",325,[],58,60,700,500,0,"[737,1149,1151,1598,1870]","Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrower.ais",[],"stance2",0,"Spire Burrower","Fouisseur des cîmes","Spitzenwühler","スパイア・バーロワー","첨탑 굴착자","Espiral do Cipoal","Шипастый землерой","Tunelero de agujas","Spire Burrower","尖塔地穴掘者",293,325,1500,[],[],"","","","",0,[],[6978],[],"",1,6,135,0,0,135,62788,"","","M","M","","","F","MS","M","","","","","","",[],[],[],"",300,0,[],[],10,"","",[],"",1,1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,1,0,12598,12624,12616,12516,12504,12606,12576,12614,12608,12474,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",6,213,0.05,0,1,0,"",0,4
19,"Metadata/Monsters/StonebackRhoa/BrambleRhoa",19,32,3,10,13,"[""Metadata/Monsters/StonebackRhoa/BrambleRhoa.act""]","[""Metadata/Monsters/StonebackRhoa/BrambleRhoa.ao""]","Metadata/Monsters/StonebackRhoa/BrambleRhoa",[],1,"","",100,5,6,18,1,0,"[72,754,713,1040,31,29,714,118]",130,[],105,105,700,500,0,"[737,725,934]","Metadata/Monsters/StonebackRhoa/BrambleRhoa.ais",[],"",0,"Bramble Rhoa","Rhoa épineux","Dornenrhoa","ブランブル・ロア","가시나무 로아","Rhoa do Cipoal","Роа-шипоспин","Rhoa espinoso","Bramble Rhoa","刺荊恐喙鳥",130,130,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,15002,"","","M","M","","","F","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,13208,13234,13222,13118,13104,13220,13186,13226,13218,13070,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],48,4,115,0.05,0,1,0,"",40,4
20,"Metadata/Monsters/Daemon/PetrificationStatueDaemon",27,8,3,6,6,"[""Metadata/Monsters/Daemon/Daemon.act""]","[""Metadata/Monsters/Daemon/Daemon.ao""]","Metadata/Monsters/Statue/PetrificationStatueDaemon",[],1,"","",100,1,6,5,9,0,"[34,716,743,765,769,742,1025,752]",100,[],105,105,700,500,0,[4004],"Metadata/Monsters/NoAi.ais",[],"",3,"Daemon","Démon","Dämon","デーモン","다이몬","Demônio","Демон","Demonio","ปีศาจ","惡魔",67,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,53667,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,13738,13762,13750,13644,13628,13752,13714,13758,13746,13592,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",0,100,0.05,0,1,0,"",30,""
