"rownum","Id","IsPathway","UpgradedBy","ConvertedBy","ConvertedTo","UpgradedByPower","IsPastExclusive","IsBossReward","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile"
14,"Thaumaturge","",[18],[],[],0,1,"","Thaumaturge","Thaumaturge","Thaumaturge","ソーマタジーの広間","마석학자","Taumaturgo","Волшебник","Taumaturgo","นักเวทมณี","巫術師","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverThaumaturge.dds"
15,"GolemWorks","",[],[],[],2,1,"","Golem Works","Atelier des golems","Golemwerkstatt","ゴーレム作業所","골렘 가공소","Oficina de Golem","Мастерская големов","Fábrica de gólems","งานโกเลม","魔像工坊","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverGolemWorks.dds"
16,"Corruption","","[14,18]",[],[],0,1,"","Corruption Chamber","Chambre de Corruption","Verderbungskammer","穢れの間","타락의 방","Câmara de Corrupção","Зал осквернения","Cámara de corrupción","ห้องมลทิน","腐化之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverCorruption.dds"
17,"Vault","",[],[],[],0,1,"","Treasure Vault","Chambre forte au trésor","Schatzkammer","宝物庫","보물 금고실","Cofre do Tesouro","Сокровищница","Sala de tesoros","ห้องสมบัติ","藏寶庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverVault.dds"
18,"SacrificialChamber","",[],[],[],0,"","","Sacrificial Chamber","Chambre sacrificielle","Opferkammer","生贄の間","희생의 방","Câmara Sacrificial","Жертвенный зал","Cámara de sacrificios","ห้องสังเวย","獻祭之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverSacrificialChamber.dds"
19,"SacrificeRoom","",[],[],[],0,"","","Sacrifice a Room to Upgrade Sacrificial Chamber","Sacrifiez une Salle pour améliorer la Chambre sacrificielle","Opfert einen Raum, um Opferkammer aufzuwerten","生贄の部屋を生贄の間にアップグレード","희생의 방으로 업그레이드할 방 선택","Sacrifica uma sala para atualizar a Câmara Sacrificial","Пожертвуйте комнатой, чтобы улучшить Жертвенный зал","Sacrifica una sala para mejorar la Cámara de sacrificios","สังเวยห้องเพื่ออัพเกรดห้องสังเวย","犧牲一間房間來升級獻祭之室",""
20,"Architect","",[],[],[],0,1,"","Architect's Chamber","Chambre de l'Architecte","Kammer des Architekten","アーキテクトの広間","건축가의 방","Câmara do Arquiteto","Кабинет архитектора","Cámara del arquitecto","ห้องสถาปนิก","建築師之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverArchitect.dds"
21,"Entrance",1,[],[],[],0,1,"","","","","","","","","","","",""
22,"CurrencyReward","",[],[],[],0,1,1,"Currency Vault","Chambre forte d'Objets monétaires","Schatzkammer für Währung","現在の宝物庫","화폐 금고실","Cofre de Moedas","Хранилище валюты","Sala de objetos monetarios","พระคลังเงินตรา","通貨密庫",""
23,"LineageSupportReward","",[],[],[],0,"",1,"Lineage Gems Vault","Chambe forte de Gemmes de lignage","Schatzkammer für Abstammungsgemmen","リネージュジェムの宝物庫","혈통 젬 금고실","Cofre de Gemas de Origem","Хранилище династических камней","Sala de gemas de linaje","พระคลังหินสายสกุล","譜系寶石密庫",""
24,"SocketableReward","",[],[],[],0,1,1,"Augments Vault","Chambre forte d'Augmentations","Schatzkammer für Augmentationen","オーグメント宝物庫","증강물 금고실","Cofre de Aprimoramentos","Хранилище усилителей","Sala de mejoras","พระคลังวัตถุติดตั้ง","增幅密庫",""
25,"TabletReward","",[],[],[],0,"",1,"Tablets Vault","Chambre forte de Tablettes","Schatzkammer für Tafeln","石板の宝物庫","서판 금고실","Cofre de Tábuas","Хранилище плиток","Sala de tablillas","พระคลังแผ่นหิน","石板密庫",""
26,"UniqueReward","",[],[],[],0,1,1,"Uniques Vault","Chambre forte d'Uniques","Schatzkammer für einzigartige Gegenstände","ユニークの宝物庫","고유 금고실","Cofre de Itens Únicos","Хранилище уникальных предметов","Sala de únicos","พระคลังไอเทมยูนิค","傳奇密庫",""
27,"AccessChamber","",[],[],[],0,"",1,"Royal Access Chamber","Chambre d'accès royale","Königliches Vorzimmer","王家の連絡通路","왕실 전실","Câmara de Acesso Real","Царская приёмная","Cámara de acceso real","ห้องราชสำนัก","皇家通道室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverAccessChamber.dds"
28,"Atziri","",[],[],[],0,"","","Atziri's Chamber","Chambre d'Atziri","Atziris Kammer","アッツィリの部屋","앗지리의 석실","Aposentos de Atziri","Покои Атзири","Cámara de Atziri","ห้องอัถสิริ","阿茲里的密室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverAtziri.dds"
29,"UnsocketingReward","",[],[],[],0,"",1,"Extraction Chamber","Chambre d'extraction","Extraktionskammer","抽出の間","추출실","Câmara de Extração","Зал извлечения","Cámara de extracción","ห้องถอนวัตถุ","萃取室",""
30,"DeadSpymaster","",[],[],[],0,"","","Spymaster","Maître-espion","Spionagemeister","スパイマスター","첩보대장","Mestre-espião","Соглядатай","Maestro de espionaje","นักจารชน","情報師","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverViperSpymaster.dds"
