"rownum","ActiveSkill","i32_16","MiscAnimated","MeleeTrail1","MeleeTrail2","MeleeTrail3","MeleeTrail4","MeleeTrail5","MeleeTrail6","MeleeTrail7","bool_148","SurgeEffect_EPKFile","string_157","string_165","MeleeTrail8","MeleeTrail9"
80,359,2,"",141,140,139,138,142,136,137,"","","","","",""
81,421,0,"","","","","","","","",1,"","","","",""
82,423,0,"",10,11,12,13,16,14,15,"","","","","",""
83,423,1,"",10,11,12,13,16,14,15,"","","","","",""
84,423,2,"",10,11,12,13,16,14,15,"","","","","",""
85,423,3,"",10,11,12,13,16,14,15,"","","","","",""
86,423,4,"",10,11,12,13,16,14,15,"","","","","",""
87,44,0,"",94,93,96,95,"","","","","","","","",""
88,44,1,"",168,167,170,169,"","","",1,"","","","",""
89,424,0,"",10,11,12,13,16,14,15,"","","","","",""
90,15,0,"",97,"",98,"","","","",1,"","","","",""
91,15,1,"",97,"",98,"","","","",1,"","","","",""
92,15,2,"",157,"",158,"","","","",1,"Metadata/Effects/Microtransactions/Spells/nightfall_dualstrike/weapon_surge.epk","","","",""
93,8,0,"","","",213,213,207,"","","","","","","",""
94,8,25,"",99,99,100,100,101,102,102,1,"","","","",""
95,776,0,"","","","","","","","","","","","","",""
96,646,0,"",202,202,202,202,202,202,202,1,"","","","",""
97,429,0,"","","","","","","","","","","","","",""
98,204,0,"","","","","","","","","","","","","",""
99,10,0,"","","","","","","","","","","","","",""
100,321,1,"","","","","",127,"","",1,"","","","",""
101,503,0,"",162,162,159,159,160,160,161,1,"Metadata/Effects/Spells/trauma_strike/weapon_buildup.epk","","","",""
102,503,1,"",131,131,132,132,135,133,134,1,"Metadata/Effects/Microtransactions/Spells/trauma_strike/celestial/weapon_buildup.epk","","","",""
103,504,0,"","","","","",160,"","",1,"Metadata/Effects/Spells/trauma_strike/weapon_buildup.epk","","","",""
104,55,1,"",150,151,152,153,154,155,156,"","Metadata/Effects/Microtransactions/Spells/StygianInfernalBlow/fire_surge.epk","","","",""
105,530,0,"","","","","","","","","","","","","",""
106,531,0,"","","","","","","","","","","","",225,""
107,535,0,"",226,226,226,226,226,226,226,1,"","","","",""
108,535,1,"",227,227,227,227,227,227,227,1,"","","","",""
109,535,3,"",228,228,228,228,228,228,228,1,"","","","",""
110,536,0,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","","",176,177
111,539,0,"","","","","","","","",1,"","","","",""
112,537,0,"","","","","","","","",1,"","","","",""
113,561,0,"","","","","","","","","","","","","",""
114,562,0,"","","","","","","","","","","","","",""
115,563,0,"",186,186,186,186,186,186,186,1,"","","",186,186
116,563,1,"",188,188,188,188,188,188,188,1,"","","",188,188
117,563,2,"",190,190,190,190,190,190,190,1,"","","",190,190
118,564,0,"","","",213,213,207,"","","","","","","",""
119,568,0,"","","","","","",192,192,1,"","","","",""
120,570,0,"","","","","","","","","","","","","",""
121,571,0,"",10,11,12,13,16,14,15,"","","","","",""
122,569,0,"",10,11,12,13,16,14,15,"","","","","",""
123,572,0,"",10,11,12,13,16,14,15,"","","","","",""
124,575,0,"","","","","","","","","","","","","",""
125,573,0,"","","","","","","","",1,"","","","",""
126,573,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/volcanic_fissure/kitava/epk/weapon_surge.epk","","","",""
127,167,0,379,49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
128,167,3,1878,10,11,12,13,16,14,15,"","","","","",""
129,167,5,4242,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","","","",""
130,577,0,"",49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
131,430,0,"","","","","","","","","","","","","",""
132,361,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
133,576,0,"","","","","","","","","","","","","",""
134,583,0,"","","","","","","","","","","","","",""
135,584,0,"","","","","","","","","","","","","",""
136,585,0,"","","","","","","","","","","","","",""
137,586,0,"","","","","","","","","","","","","",""
138,592,0,"","","","","","","","","","","","","",""
139,596,0,"","","","","","","","",1,"","","","",""
140,597,0,"","","","","","","","","","","","","",""
141,1,0,"","","","","","","","","","","","","",""
142,616,0,"","","","","","","","",1,"","","","",""
143,617,0,"",194,194,194,194,194,194,194,1,"","","",194,194
144,617,1,"",197,197,197,197,197,197,197,1,"","","",197,197
145,622,0,"","","","","","","","",1,"","","","",""
146,624,0,"","","","","","","","",1,"","","","",""
147,626,0,"","","","","","","","",1,"","","","",""
148,627,0,"","","","","","","","",1,"","","","",""
149,628,0,"","","","","","","","",1,"","","","",""
150,631,0,"","","","","","","","",1,"","","","",""
151,637,0,"","","","","","","","",1,"","","","",""
152,1104,0,"","","","","","","","",1,"","","","",""
153,644,0,"","","","","","","","",1,"","","","",""
154,638,0,"","","","","","",184,184,1,"","","","",""
155,638,1,"","","","","","",185,185,1,"","","","",""
156,648,0,"",222,222,222,222,222,222,222,1,"","","",222,222
157,648,1,"",223,223,223,223,223,223,223,1,"","","",223,223
158,648,10,"",224,224,224,224,224,224,224,1,"","","",224,224
159,653,0,"","","","","","","","",1,"","","","",""
160,652,0,"",200,200,200,200,200,200,200,1,"Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
161,658,0,"","","","","","","","",1,"","","","",""
162,663,0,"","","","","","","","",1,"","","","",""
163,567,0,"","","",213,213,206,"","",1,"","","","",""
164,234,0,"","","",213,213,206,"","",1,"","","","",""
165,533,0,"","","","","",225,"","",1,"","","",225,""
166,533,1,"","","","","",233,"","",1,"","","",233,""
167,669,0,"","","","","","","","",1,"","","","",""
168,532,0,8118,"","","","","","","",1,"","","","",""
169,691,0,"","","","","","","","",1,"","","","",""
170,709,0,"","","",229,229,229,229,"",1,"","","","",""
171,718,0,"","","","","","","","",1,"","","","",""
172,719,0,"","","","","","","","",1,"","","","",""
173,723,0,"","","","","","","","",1,"","","","",""
174,724,0,"","","","","","","","",1,"","","","",""
175,726,0,"","","","","","","","",1,"","","","",""
176,6,0,"","","","","","","","",1,"","","","",""
177,812,0,"","","",186,186,186,"","",1,"","","","",""
178,827,0,"","","","","","","","",1,"","","","",""
179,839,0,"","","","","","","","",1,"","","","",""
180,840,0,"","","","","","","","",1,"","","","",""
181,908,0,"","","","","","","","",1,"","","","",""
182,943,0,"",230,230,230,230,230,230,230,1,"","","","",""
183,943,1,"",256,256,256,256,256,256,256,1,"","","","",""
184,935,0,"",231,231,231,231,231,231,231,1,"","","",231,230
185,796,0,"","","","","","","","",1,"","","","",""
186,222,14,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/Earthquake/kitava/epk/weapon_surge.epk","","","",""
187,746,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/mace_perfect_strike/kitava/epk/charge.epk","","","",""
188,746,2,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/spear_glaciallance/KaruiAncestor/EPKs/surge_Weapon.epk","","","",""
189,950,0,"",232,232,232,232,232,232,232,1,"","","",232,232
190,950,1,"",234,234,234,234,234,234,234,1,"","","",234,234
191,950,2,"",235,235,235,235,235,235,235,1,"","","",235,235
192,950,3,"",257,257,257,257,257,257,257,1,"","","",257,257
193,820,1,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/warrior_molten_blast/kitava/epk/weapon_surge.epk","","","",""
194,858,0,"","","","","","","","",1,"","","","",""
195,747,0,"","","","","","","","",1,"","","","",""
196,748,0,"","","","","","","","",1,"","","","",""
197,951,0,"","","","","","","","",1,"","","","",""
198,973,0,"",236,236,236,236,236,236,236,1,"","","",236,236
199,973,1,"",238,238,238,238,238,238,238,1,"","","",238,238
200,973,2,"",240,240,240,240,240,240,240,1,"","","",240,240
201,972,0,"","","","","","","","",1,"","","","",""
202,998,0,"",248,248,248,248,248,248,248,1,"","","",248,248
203,486,0,"",242,242,242,242,242,242,242,1,"","","",242,242
204,488,0,"",243,243,243,243,243,243,243,1,"","","",243,243
205,649,0,"",222,222,222,222,222,222,222,1,"","","",222,222
206,1053,0,"","","","","","","","",1,"","","","",""
207,1005,0,"",244,244,244,244,244,244,244,1,"","","",244,244
208,1092,0,"",258,258,258,258,258,258,258,1,"","","",258,258
209,11,0,"",222,222,222,222,222,222,222,1,"","","",222,222
210,998,1,"",252,252,252,252,252,252,252,1,"","","",252,252
211,1005,1,"",246,246,246,246,246,246,246,1,"","","",246,246
212,647,0,"","","","","","","","",1,"","","","",""
