"rownum","Name","PortraitFile","i32_16","i32_20","i32_24","bool_28","i32_29","bool_33"
51,"Kanu","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/KanuFirstMate",-20,0,1,"",220,""
52,"Rhodri","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/BoatCaptain",-25,0,1,"",225,""
53,"LilyRothMum","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Lily_rose_mum",-15,0,1,1,250,""
54,"Makoru","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Makoru",0,0,1,"",280,""
55,"Preacher","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/preacher",0,0,1,"",290,""
56,"Tavakai","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Tavaki",0,0,1,"",300,""
57,"Navali","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Navali",-10,0,1,"",270,""
58,"Hinekora","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Hinekora",50,0,1,1,450,""
59,"Cleric","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Cleric",0,0,1,"",300,""
60,"Alva","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/AlvaPortrait",0,0,1,"",300,""
61,"Elwynian","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 5/Elwallian_portrait",0,0,1,"",300,""
62,"Cedrus","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 5/Cedrus_Portrait",0,0,1,"",300,""
63,"BalbalaSpirit","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Balbala",0,0,1,"",300,""
64,"Leitis","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Leitis",0,0,1,"",260,""
65,"Doryani","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Doryani",0,0,1,"",300,""
66,"BloodPriestFemale","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/BloodPriestess",0,0,1,1,300,""
67,"BloodPriestMale","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/BloodMage",0,0,1,1,300,""
68,"VaalTimeScientist","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/TimeScientist",0,0,1,1,300,""
69,"DoryaniHelmet","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/DoryaniHelmet",0,0,1,1,300,""
70,"TutorialNPCZombie","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/SamuelTheApprentice",0,0,1,"",300,""
71,"KaruiElder","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Karui_Elder_Portrait",0,0,1,"",260,""
72,"ElderMadox","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Interlude/ElderMaddox",0,0,1,"",300,""
73,"TormentNPC","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Huntress__Brother_portrait",0,0,1,1,280,""
74,"MedicineWoman","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Medicine_Lady_Portrait",-20,0,1,1,250,""
75,"Yama","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Yama",0,0,1,"",300,""
76,"Ange","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Ange",-20,0,1,"",250,""
77,"Torbik","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Interlude/Torbik",0,0,1,"",300,""
78,"Jado","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Interlude/DjinnOrderMember",0,0,1,"",300,""
79,"Hilda","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Interlude/Hilda",0,0,1,1,300,""
80,"LurkingCreature","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/League/LurkingCreature",-20,0,1,1,280,""
81,"Marauder","Art/2DArt/UIImages/InGame/Classes/Str/PassiveSkillScreenStartNodeBackground",0,0,0,1,270,""
82,"Witch","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Witch",15,0,0,1,260,""
83,"Ranger","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Ranger",15,0,0,"",250,""
84,"Duelist","Art/2DArt/UIImages/InGame/Classes/StrDex/PassiveSkillScreenStartNodeBackground",0,0,0,1,270,""
85,"Shadow","Art/2DArt/UIImages/InGame/Classes/DexInt/PassiveSkillScreenStartNodeBackground",0,0,0,1,270,""
86,"Templar","Art/2DArt/UIImages/InGame/Classes/StrInt/PassiveSkillScreenStartNodeBackground",0,0,0,1,270,""
87,"Warrior","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Warrior",10,0,0,"",270,""
88,"Sorceress","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Sorceress",15,0,0,"",250,""
89,"Huntress","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Huntress",30,0,0,"",270,""
90,"Mercenary","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Mercenary",0,0,0,1,270,""
91,"Monk","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Monk",20,0,0,"",260,""
92,"Druid","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Character/Druid",0,0,0,1,270,""
93,"Warden","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/League/Ryann",0,0,1,"",300,""
94,"Aoife","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Aoife",0,0,1,"",300,""
95,"AoifeLiving","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/AoifeLiving",0,0,1,"",300,""
96,"Ailith","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Ailith",0,0,1,"",300,""
97,"Farrow","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/League/Farrow",0,0,1,"",300,""
98,"GwendolynAlbright","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Gwendolyn",0,0,1,"",300,""
99,"Chayula","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/League/Chayula",0,0,1,"",300,""
100,"SebastianCarroway","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/SebastianCarroway",0,0,1,"",300,""
101,"RavenBoy","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Endgame/ChildTangmazu",0,0,1,"",300,""
