"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","string_32 (French)","string_32 (German)","string_32 (Japanese)","string_32 (Korean)","string_32 (Portuguese)","string_32 (Russian)","string_32 (Spanish)","string_32 (Thai)","string_32 (Traditional Chinese)"
160,"Remote","Remote Skills","Aptitudes Déléguées","Ferngesteuerte Fertigkeiten","遠隔スキル","원격 스킬","Habilidades Remotas","Дистанционные умения","Habilidades remotas","สกิลรีโมต","遠端技能","Remote Skills are Skills that are performed for you by a different entity, such as a [Totem], [Trap], or Clone. [Minion|Minions] are not Remote Skills.","Les Aptitudes Déléguées sont des Aptitudes exécutées pour vous par une entité différente, telle qu'un [Totem|Totem], un [Trap|Piège] ou un Clone. Les [Minion|Créatures] n'en font pas partie.","Ferngesteuerte Fertigkeiten sind Fertigkeiten, die von einer anderen Entität für Euch ausgeführt werden, z. B. von einem [Totem|Totem], einer [Trap|Falle] oder einem Klon. [Minion|Kreaturen] sind keine ferngesteuerten Fertigkeiten.","リモートスキルとは[Totem|トーテム]、[Trap|トラップ]またはクローンのような、プレイヤーとは別の存在がプレイヤーの代わりに使用するスキルのことである。[Minion|ミニオン]はリモートスキルではない。","원격 스킬은 [Totem|토템], [Trap|덫], 분신 등 다른 개체가 플레이어를 위해 사용하는 스킬입니다. [Minion|소환수]가 사용하는 것은 원격 스킬로 분류되지 않습니다.","Habilidades Remotas são Habilidades realizadas para você por uma entidade diferente, como um [Totem], [Trap|Armadilha] ou Clone. [Minion|Lacaios] não são Habilidades Remotas.","Дистанционными умениями считаются те, которые используются вместо вас кем-то или чем-то другим, например [Totem|тотемом], [Trap|ловушкой] или клоном. [Minion|приспешники] не являются дистанционными умениями.","Las habilidades remotas son habilidades que realiza una entidad diferente por ti, como un [Totem|tótem], una [Trap|trampa] o un clon. Los [Minion|esbirros] no se consideran habilidades remotas.","สกิลรีโมต คือสกิลที่สิ่งอื่นใช้ให้กับคุณอย่าง[Totem|โทเทม], [Trap|กับดัก] หรือร่างปลอม ทั้งนี้[Minion|มิเนียน]ไม่ใช่สกิลรีโมต","遠端技能是由另一個實體（例如[Totem|圖騰]、[Trap|陷阱]或複製體）為你施放的技能。[Minion|召喚物]並非遠端技能。","","","","","","","","","","",""
161,"AncestralBoost","Ancestral Boost","Amélioration ancestrale","Ahnengestärkt","先祖の加護","선대의 힘 증폭","Apoio Ancestral","Усиление предками","Potenciación ancestral","พลังจากบรรพชน","先祖強化","An Ancestrally Boosted [Slam] has 30% more damage and 25% increased area of effect, and an Ancestrally Boosted [Strike] will target 2 additional Enemies. [Trigger|Triggered Skills] cannot be Ancestrally Boosted. Ancestrally Boosted [Attack|Attacks] count as being [Empowered].","Un [Slam|Fracas] Amélioré par les ancêtres a 30% davantage de dégâts et 25% d'augmentation de zone d'effet, tandis q'une [Strike|Frappe] Améliorée par les ancêtres cible 2 ennemis supplémentaires. Les [Trigger|Aptitudes Déclenchées] ne peuvent pas être Améliorées par les ancêtres. Les [Attack|Attaques] Améliorées par les ancêtres sont considérées comme [Empowered|Améliorées].","Ein durch Ahnen verstärkter [Slam|Hieb] verursacht 30% mehr Schaden und hat 25% vergrößerten Wirkungsbereich, und ein durch Ahnen verstärkter [Strike|Schlag] zielt auf 2 zusätzliche Gegner. [Trigger|Ausgelöste] Fertigkeiten können nicht durch Ahnen verstärkt werden. Durch Ahnen verstärkte [Attack|Angriffe] zählen als [Empowered|ermächtigt].","先祖の加護を受けた[Slam|スラム]はダメージが30%上昇し効果範囲が25%上昇する。先祖の加護を受けた[Strike|ストライク]は追加で2体の敵を対象とする。[Trigger|トリガー]されるスキルは先祖の加護を受けられない。先祖の加護を受けた[Attack|アタック]は[Empowered|強化]されていると見なされる。","선대의 힘으로 증폭된 [Slam|강타]는 공격력이 30% 증폭되고 효과 범위가 25% 증가하며, 선대의 힘으로 증폭된 [Strike|타격]은 추가 적 2마리를 대상으로 지정합니다. [Trigger|발동형 스킬]은 선대의 힘으로 증폭될 수 없습니다. 선대의 힘으로 증폭된 [Attack|공격]은 [Empowered|강화]된 것으로 간주됩니다.","Uma [Slam|pancada] com Reforço Ancestral causa +30% de dano e tem 25% de área de efeito aumentada, e um [Strike|golpe] com Reforço Ancestral atingirá 2 inimigos adicionais. [Trigger|Habilidades ativadas] não podem receber Reforço Ancestral. [Attack|Ataques] com Reforço Ancestral são considerados [Empowered|fortalecidos].","Усиленный предками [Slam|мощный удар] наносит на 30% больше урона в увеличенной на 25% области, а усиленный предками обычный [Strike|удар] поражает 2 дополнительных врагов. [Trigger|Срабатывающие умения] нельзя усилить предками. Усиленные предками [Attack|атаки] считаются [Empowered|улучшенными].","Los [Slam|embates] potenciados ancestralmente tienen un 30% más de daño y área de efecto aumentada un 25%, y los [Strike|golpes] potenciados ancestralmente tomarán como objetivos a 2 enemigos adicionales. Las [Trigger|habilidades de activación] no pueden potenciarse ancestralmente. Los [Attack|ataques] potenciados ancestralmente cuentan como que están [Empowered|potenciados].","การ[Slam|ทุบ]ที่ได้รับพลังจากบรรพชน มีความเสียหาย เพิ่มขึ้น อีก 30% และมีพื้นที่ส่งผล เพิ่มขึ้น อีก 25% ส่วนการ[Strike|ฟาด]ที่ได้รับพลังจากบรรพชน เล็งศัตรู เพิ่มเติม 2 เป้าหมาย\r\nทั้งนี้[Trigger|สกิลที่ถูกทริกเกอร์]ไม่สามารถได้รับพลังจากบรรพชนได้\r\nการ[Attack|โจมตี]ที่ได้รับพลังจากบรรพชนจะนับว่าถูก[Empowered|เสริมฤทธิ์]","先祖強化後的[Slam|重擊]具有 30% 更多傷害和增加 25% 效果範圍，而先祖強化後的[Strike|打擊]會以 2 個額外敵人為目標。[Trigger|觸發技能]無法受到先祖強化。先祖強化的[Attack|攻擊] 視為受到 [Empowered|強化].","","","","","","","","","","",""
162,"Buff","Buffs","Effets bénéfiques","Stärkung","バフ","버프","Buffs","Положительные эффекты","Efectos beneficiosos","บัฟ","增益效果","Buffs are effects that boost a player or monster's stats for a duration or while a condition is met.\r\n\r\nUnless otherwise stated, Buffs of the same type do not stack — only the copy with the strongest effect applies.","Les Effets bénéfiques améliorent les statistiques d'un joueur ou d'un monstre pendant une certaine durée ou tant qu'une condition est remplie.\r\n\r\nSauf indication contraire, les Effets bénéfiques du même type ne se cumulent pas — seule la copie ayant l'effet le plus puissant s'applique.","Stärkungen sind Effekte, die die Werte eines Spielers oder Monsters für eine bestimmte Dauer oder unter einer bestimmten Bedingung erhöhen.\r\n\r\nSofern nicht anders angegeben, sind Stärkungen desselben Typs nicht stapelbar – es gilt nur die Kopie mit dem stärksten Wirkung.","バフは、一定時間または条件が満たされている間、プレイヤーまたはモンスターのステータスを向上させる効果である。\r\n\r\n特段の記載がない限り、同じ種類のバフはスタックせず、最も強い効果を持つもののみが適用される。","버프는 일정 시간 동안 또는 특정 조건이 충족될 때까지 플레이어 또는 몬스터의 능력치를 올려 주는 효과입니다.\r\n\r\n달리 명시되어 있지 않는 한 동일한 유형의 버프는 중첩되지 않으며, 가장 효과가 강한 버프만 적용됩니다.","Buffs são efeitos que aumentam as estatísticas de um jogador ou monstro por uma duração ou enquanto uma condição é atendida.\r\n\r\nA menos que seja indicado o contrário, Buffs do mesmo tipo não se acumulam — apenas a cópia com o efeito mais forte se aplica.","Положительные эффекты усиливают игрока или монстра на время или пока соблюдается некоторое условие.\r\n\r\nЕсли не указано иное, положительные эффекты одного и того же типа не складываются между собой — действует только копия с сильнейшим эффектом.","Los efectos beneficiosos son efectos que potencian las estadísticas de un jugador o un monstruo durante un tiempo o mientras se cumpla una determinada condición.\r\n\r\nA menos que se indique lo contrario, los efectos beneficiosos del mismo tipo no se acumulan, solo se aplica la copia que tenga el efecto más fuerte.","บัฟ คือผลที่เพิ่ม Stat ของผู้เล่นหรือมอนสเตอร์เป็นระยะเวลาหนึ่งหรือเมื่อขณะที่ตามเงื่อนไขบางอย่าง\r\n\r\nหากไม่มีการระบุไว้อย่างชัดเจน บัฟชนิดเดียวกันจะไม่ซ้อนผลกัน มีเพียงบัฟที่ให้ผลทรงพลังที่สุดเท่านั้นที่จะมีผล","增益效果是可以強化玩家或怪物數值的效果，其效果會持續一段時間，或直到某條件達成為止。\r\n\r\n除非另有說明，否則相同類型的增益效果不會疊加──只有效果最強的那個會生效。","","","","","","","","","","",""
163,"Debuff","Debuffs","Effets néfastes","Schwächung","デバフ","디버프","Debuffs","Отрицательные эффекты","Efectos nocivos","ดีบัฟ","減益效果","Debuffs are negative effects that deal damage or penalise an entity's stats, either for a set duration or when a condition is met.\r\n\r\nUnless otherwise stated, Debuffs of the same type do not stack — only the copy with the strongest effect applies.","Les Effets néfastes sont des effets négatifs qui infligent des dégâts ou pénalisent les statistiques d'une entité, soit pour une durée déterminée, soit lorsqu'une condition est remplie.\r\n\r\nSauf indication contraire, les Effets néfastes du même type ne se cumulent pas — seule la copie ayant l'effet le plus puissant s'applique.","Schwächungen sind negative Effekte, die über einen bestimmten Zeitraum hinweg Schaden verursachen oder die Werte einer Entität beeinträchtigen, entweder für eine bestimmte Dauer oder solange eine Bedingung erfüllt ist.\r\n\r\nSofern nicht anders angegeben, sind Schwächungen desselben Typs nicht stapelbar – es gilt nur die Kopie mit der stärksten Wirkung.","デバフは、設定された時間または条件が満たされている間、ダメージを与えたり、その存在のステータスにペナルティを与えるマイナスの効果である。\r\n\r\n特段の記載がない限り、同じ種類のデバフはスタックせず、最も強い効果を持つもののみが適用される。","디버프는 일정 시간 동안 또는 특정 조건이 충족될 때까지 피해를 주거나 대상의 능력치에 페널티를 부여하는 부정적 효과입니다.\r\n\r\n달리 명시되어 있지 않는 한 동일한 유형의 디버프는 중첩되지 않으며, 가장 효과가 강한 디버프만 적용됩니다.","Debuffs são efeitos negativos que causam dano ou penalizam os atributos de uma entidade, seja por um tempo determinado ou quando uma condição é cumprida.\r\n\r\nA menos que seja indicado de outra forma, Debuffs do mesmo tipo não acumulam — apenas a cópia com o efeito mais forte se aplica.","Отрицательные эффекты наносят постепенный урон либо накладывают штраф – на время или пока соблюдается некоторое условие.\r\n\r\nЕсли не указано иное, отрицательные эффекты одного и того же типа не складываются между собой – действует только копия с сильнейшим эффектом.","Los efectos nocivos son efectos negativos que infligen daño o que penalizan las estadísticas de una entidad, o bien durante una duración determinada, o bien cuando se cumpla una cierta condición.\r\n\r\nA menos que se indique lo contrario, los efectos nocivos del mismo tipo no se acumulan; solo se aplica la copia que tenga el efecto más fuerte.","ดีบัฟ คือผลลบที่สร้างความเสียหายหรือให้โทษกับ Stat ของผู้ใดผู้หนึ่งเป็นระยะเวลาหนึ่งหรือขณะที่ตรงตามเงื่อนไขบางอย่าง\r\n\r\nหากไม่มีการระบุไว้อย่างชัดเจน ดีบัฟชนิดเดียวกันจะไม่ซ้อนผลกัน มีเพียงดีบัฟที่ให้ผลทรงพลังที่สุดเท่านั้นที่จะมีผล","減益效果是負面效果，會隨時間造成傷害或削弱實體的數值，其效果會持續一段時間，或直到某條件達成為止。\r\n\r\n除非另有說明，否則相同類型的減益效果不會疊加──只有效果最強的那個會生效。","","","","","","","","","","",""
164,"Persistent","Persistent Skills","Aptitudes persistantes","Dauerhafte Fertigkeiten","永続スキル","유지형 스킬","Habilidades Persistentes","Постоянные умения","Habilidades persistentes","สกิลยั่งยืน","持續技能","Persistent Skills are toggled in the Skills Panel instead of being used normally and often need to [Reservation|Reserve] [Spirit] in order to be activated.","Les Aptitudes Persistantes sont activables et désactivables depuis le panneau des Aptitudes plutôt que d'être utilisables normalement et nécessitent souvent de [Reservation|Réserver] de l'[Spirit|Esprit] pour être activées.","Dauerhafte Fertigkeiten werden in der Fertigkeitenleiste ein- und ausgeschaltet, anstatt normal verwendet zu werden. Oft [Reservation|reservieren] sie [Spirit|Wille], damit sie aktiviert werden.","永続スキルは、通常のスキルのように使用するのではなく、代わりにスキルパネルで切り替える。アクティベートするためにはしばしば[Spirit|スピリット]を[Reservation|リザーブ]する必要がある。","유지형 스킬은 일반적인 방식으로 사용하지 않고 스킬 창에서 켜고 끌 수 있으며, 대체로 [Spirit|정신력]을 [Reservation|점유]해야 활성화할 수 있습니다.","Habilidades Persistentes são alternadas no Painel de Habilidades em vez de serem usadas normalmente.","Постоянные умения включаются и выключаются в окне умений, а не используются обычным образом, и часто требуют [Reservation|удержания] [Spirit|духа] для активации.","Las habilidades persistentes se habilitan y deshabilitan en el panel de habilidades en lugar de usarse como otras habilidades y, a menudo, requieren [Reservation|reservar] [Spirit|espíritu] para poder habilitarse.","สกิลยั่งยืน คือสกิลที่เปิดใช้ได้ในหน้าต่างสกิลแทนที่จะถูกใช้โดยปกติ และมักต้องอาศัยการ[Reservation|สำรอง][Spirit|พลังวิญญาณ]ในการเปิดใช้","持續技能於技能面板中啟動，而非以一般方式使用，通常需要透過[Reservation|保留][Spirit|精魂]來啟動。","","","","","","","","","","",""
165,"Consume","Effect Consumption","Consommation des Effets","Effektverbrauch","エフェクト消費","효과 소모","Consumo de Efeito","Поглощение эффектов","Consumo de efectos","การกลืนกินผล","效果消耗","Multiple effects on enemies can be Consumed. Only one Consumption benefit can occur at once, and Consumption effects from Skills will take priority over those from other sources.\r\n\r\nConsuming a [Debuff] on an enemy causes the enemy to be immune to that [Debuff] for 1 seconds.","Plusieurs effets peuvent être Consommés sur les ennemis. Toutefois, un seul effet peut être Consommé à la fois et les effets de Consommation provenant des Aptitudes sont prioritaires sur ceux des autres sources.\r\n\r\nConsommer un [Debuff|Effet néfaste] sur un ennemi fera que cet ennemi deviendra immunisé à l'[Debuff|Effet néfaste] pendant 1 seconde.","Es können mehrere Effekte von Gegnern verbraucht werden. Es kann zur gleichen Zeit nur ein Vorteil beim Verbrauch auftreten, und Verbrauchseffekte von Fertigkeiten haben Vorrang vor denen aus anderen Quellen.","敵に付与された複数のエフェクトを消費することができる。一度に発動することができる消費ボーナスは1種類だけである。スキルによる消費効果は、他のソースによるものより優先される。\r\n\r\n敵に付与した[Debuff|デバフ]を消費すると、その敵は同じ[Debuff|デバフ]に対して1秒間完全無効化になる。","적에게 걸린 다수의 효과를 소모할 수 있습니다. 소모 혜택은 한 번에 하나만 발생할 수 있으며, 스킬을 통한 소모 효과가 다른 출처보다 우선됩니다.\r\n\r\n적에게 걸린 [Debuff|디버프]를 소모하면 적이 1초 동안 그 [Debuff|디버프]에 면역이 됩니다.","Múltiplos efeitos em inimigos podem ser Consumidos. Apenas um benefício de Consumo pode ocorrer por vez, e os efeitos de Consumo de Habilidades terão prioridade sobre os de outras fontes.\r\n\r\nConsumir um [Debuff|Debuff] em um inimigo faz com que ele fique imune a esse [Debuff|Debuff] por 1 segundo.","Некоторые эффекты на противниках можно поглотить. Одновременно может действовать только один полезный эффект от поглощения, и эффекты поглощения от умений имеют приоритет над другими источниками.\r\n\r\nПоглощение [Debuff|отрицательного эффекта] на враге делает врага невосприимчивым к этому [Debuff|отрицательному эффекту] на 1 секунду.","Muchos efectos de los enemigos se pueden consumir. Solo se puede obtener un beneficio de consumo a la vez, y los efectos de consumo de las habilidades tienen prioridad frente a los de otras fuentes.\r\n\r\nSi consumes un [Debuff|efecto nocivo] de un enemigo, el enemigo será inmune a ese [Debuff|efecto nocivo] durante 1 segundo.","ผลหลายอย่างบนตัวศัตรูสามารถ กลืนกิน ได้ โดยการกลืนกินตรงนี้จะให้ประโยชน์ได้เพียงอย่างเดียวในคราวเดียวเท่านั้น และผลของการกลืนกินจากสกิลจะมีลำดับความสำคัญมาก่อนการกลืนกินจากแหล่งอื่นๆ เสมอ\r\n\r\nการกลืนกิน[Debuff|ดีบัฟ]บนตัวศัตรูจะทำให้ศัตรูป้องกัน[Debuff|ดีบัฟ]นั้น 1 วินที","可以消耗敵人身上的多種效果。一次只能觸發一種消耗增益，而技能造成的消耗效果會優先於其他來源的消耗效果。\r\n\r\n消耗敵人身上的一種[Debuff|減益效果]會使其對該[Debuff|減益效果]免疫，持續 1 秒。","","","","","","","","","","",""
166,"ChaosOrb","Chaos Orb","Orbe du chaos","Chaossphäre","混沌のオーブ","카오스 오브","Orbe do Caos","Сфера хаоса","Orbe de caos","Chaos Orb","混沌石","Removes a random modifier and augments a [ItemRarity|Rare] item with a new random modifier.","Retire un modificateur aléatoire à un objet [ItemRarity|Rare], puis lui en donne un nouveau.","Entfernt einen zufälligen Modifikator und ergänzt einen [ItemRarity|seltenen] Gegenstand um einen neuen zufälligen Modifikator.","[Rarity|レア]アイテムからランダムなモッドを1個取り除き、新しいランダムなモッドを1個追加する。","[ItemRarity|희귀] 아이템에서 무작위 속성을 제거하고 새로운 무작위 속성으로 보강합니다.","Remove um modificador aleatório e adiciona um novo modificador aleatório em um item .","Удаляет случайное свойство и добавляет [ItemRarity|редкому] предмету новое случайное свойство.","Elimina un modificador aleatorio de un objeto [ItemRarity|raro] y lo mejora agregándole un nuevo modificador aleatorio.","ลบม็อดแบบสุ่ม 1 อย่าง แล้วเพิ่ม ม็อดแบบสุ่ม 1 อย่าง ให้กับ ไอเทม[ItemRarity|แรร์]","移除一個隨機詞綴，並為一件[ItemRarity|稀有]物品新增一項隨機詞綴。","","","","","","","","","","",""
167,"OrbOfAlteration","Orb of Alteration","Orbe d'altération","Veränderungssphäre","改変のオーブ","변화의 오브","Orbe de Alteração","Сфера перемен","Orbe de alteración","Orb of Alteration","改造石","Reforges a [ItemRarity|Magic] item with new random modifiers.","Remodèle un objet [ItemRarity|Magique] avec de nouveaux modificateurs aléatoires.","Stattet einen [ItemRarity|magischen] Gegenstand mit neuen zufälligen Modifikatoren aus.","[Rarity|マジック]アイテムを新しいランダムなモッドを持つマジックアイテムにリフォージする。","[ItemRarity|마법] 아이템을 재련해 무작위 신규 속성을 부여합니다.","Reforja um item mágico com novos modificadores aleatórios.","Перековывает [ItemRarity|волшебный] предмет, наделяя его новыми случайными свойствами.","Reforja un objeto [ItemRarity|mágico] con nuevos modificadores aleatorios.","สุ่มม็อดทุกอย่างบน ไอเทม[ItemRarity|เมจิก] ขึ้นมาใหม่","重鑄一件[ItemRarity|魔法]物品，生成新的隨機詞綴。","","","","","","","","","","",""
168,"OrbOfTransmutation","Orb of Transmutation","Orbe de transmutation","Umwandlungssphäre","変成のオーブ","진화의 오브","Orbe de Transmutação","Сфера превращения","Orbe de transmutación","Orb of Transmutation","蛻變石","Upgrades a [ItemRarity|Normal] item to a [ItemRarity|Magic] item with 1 modifier.","Améliore un objet [ItemRarity|Normal] en un objet [ItemRarity|Magique] ayant 1 modificateur.","Verbessert einen [ItemRarity|normalen] Gegenstand zu einem [ItemRarity|magischen] Gegenstand mit 1 Modifikator.","[Rarity|ノーマル]アイテムをモッドを1個持つ[Rarity|マジック]アイテムにアップグレードする。","[ItemRarity|일반] 아이템을 속성 1개가 포함된 [ItemRarity|마법] 아이템으로 업그레이드합니다.","Aprimora um item normal para um item mágico com 1 modificador.","Улучшает [ItemRarity|обычный] предмет до [ItemRarity|волшебного] с 1 свойством.","Mejora un objeto de [ItemRarity|normal] a [ItemRarity|mágico] y le agrega 1 modificador.","อัพเกรด ไอเทม[ItemRarity|ธรรมดา] ให้เป็น ไอเทม[ItemRarity|เมจิก] ที่มีม็อด 1 อย่าง","將一件[ItemRarity|普通]物品升級成帶有 1 條詞綴的[ItemRarity|魔法]物品。","","","","","","","","","","",""
169,"OrbOfAlchemy","Orb of Alchemy","Orbe d'alchimie","Sphäre der Alchemie","錬金術のオーブ","연금술의 오브","Orbe de Alquimia","Сфера алхимии","Orbe de alquimia","Orb of Alchemy","點金石","Upgrades a [ItemRarity|Normal] or [ItemRarity|Magic] item to a [ItemRarity|Rare] item with 4 random modifiers.","Améliore un objet [ItemRarity|Normal] ou [ItemRarity|Magique] en un objet [ItemRarity|Rare] ayant 4 modificateurs.","Verbessert einen [ItemRarity|normalen] oder [ItemRarity|magischen] Gegenstand zu einem [ItemRarity|seltenen] Gegenstand mit 4 Modifikatoren.","[Rarity|ノーマル]アイテムまたは[Rarity|マジック]アイテムをランダムなモッドを4個持つ[Rarity|レア]アイテムにアップグレードする。","[ItemRarity|일반] 또는 [ItemRarity|마법] 아이템을 무작위 속성 4개가 포함된 [ItemRarity|희귀] 아이템으로 업그레이드합니다.","Atualiza um item [ItemRarity|normal] ou [ItemRarity|mágico] para um item [ItemRarity|raro] com quatro modificadores aleatórios.","Улучшает [ItemRarity|обычный] или [ItemRarity|волшебный] предмет до [ItemRarity|редкого] с 4 случайными свойствами.","Convierte un objeto [ItemRarity|normal] o [ItemRarity|mágico] en [ItemRarity|raro] y le agrega 4 modificadores.","อัพเกรด ไอเทม[ItemRarity|ธรรมดา]หรือ[ItemRarity|เมจิก] ให้เป็น ไอเทม[ItemRarity|แรร์] ที่มีม็อดแบบสุ่ม 4 อย่าง","將一件[ItemRarity|普通]或 [ItemRarity|魔法]物品升級成帶有 ４ 條詞綴的[ItemRarity|稀有]物品。","","","","","","","","","","",""
170,"OrbOfChance","Orb of Chance","Orbe de chance","Sphäre der Möglichkeiten","可能性のオーブ","기회의 오브","Orbe da Chance","Сфера удачи","Orbe de azar","Orb of Chance","機會石","Unpredictably either upgrades a [ItemRarity|Normal] item to [ItemRarity|Unique] rarity or destroys it.","Modifie un objet [ItemRarity|Normal] de manière imprévisible, soit en lui donnant une rareté [ItemRarity|Unique], soit en le détruisant.","Wertet einen [ItemRarity|normalen] Gegenstand auf unvorhersehbare Weise zu einem [ItemRarity|einzigartigen] Gegenstand auf oder zerstört diesen.","アイテムに予期できない変化を与え、[ItemRarity|ノーマル]アイテムを[ItemRarity|ユニーク]レアリティにアップグレードするか、さもなくば破壊してしまう。","[ItemRarity|일반] 아이템을 예측 불가능하게 [ItemRarity|고유] 희귀도로 업그레이드하거나 파괴합니다.","De forma imprevisível, aprimora um item [ItemRarity|Normal] para raridade [ItemRarity|Única] ou o destrói.","Непредсказуемым образом либо улучшает [ItemRarity|обычный] предмет до [ItemRarity|уникального], либо уничтожает его.","De forma impredecible, o bien convierte un objeto [ItemRarity|normal] en un objeto [ItemRarity|único], o bien lo destruye.","สุ่มอัพเกรด ไอเทม[ItemRarity|ธรรมดา] ให้เป็น ไอเทม[ItemRarity|ยูนิค] หรือ ทำลายมัน อย่างไม่อาจคาดเดาได้","隨機將[ItemRarity|普通]物品升級至[ItemRarity|傳奇]稀有度，或摧毀它。","","","","","","","","","","",""
171,"RegalOrb","Regal Orb","Orbe royal","Hoheitliche Sphäre","王者のオーブ","제왕의 오브","Orbe Régio","Сфера царей","Orbe regio","Regal Orb","富豪石","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item","Améliore un objet [ItemRarity|Magique] en un objet [ItemRarity|Rare]","Wertet einen [ItemRarity|magischen] Gegenstand zu einem [ItemRarity|seltenen] Gegenstand auf.","[ItemRarity|マジック]アイテムを[ItemRarity|レア]アイテムにアップグレードする。","[ItemRarity|마법] 아이템을 [ItemRarity|희귀] 아이템으로 업그레이드합니다.","Aprimora um item [ItemRarity|Mágico] para um item [ItemRarity|Raro].","Улучшает [ItemRarity|волшебный] предмет до [ItemRarity|редкого].","Mejora un objeto de [ItemRarity|mágico] a [ItemRarity|raro]","อัพเกรด ไอเทม[ItemRarity|เมจิก] ให้เป็น ไอเทม[ItemRarity|แรร์]","將一件[ItemRarity|魔法]物品升級成[ItemRarity|稀有]物品","","","","","","","","","","",""
172,"ArtificersOrb","Artificer's Orb","Orbe d'artificier","Sphäre des Kunsthandwerkers","職人のオーブ","숙련공의 오브","Orbe do Artífice","Сфера астромантии","Orbe del artesano","Artificer's Orb","巧匠石","Adds an [Augment] Socket to a [MartialWeapon|Martial Weapon] or Armour","Ajoute une Châsse d'[Augment|Augmentation] à une [MartialWeapon|Arme martiale] ou à une Pièce d'armure","Fügt einer [MartialWeapon|Kampfwaffe] oder einer Rüstung eine [Augment|Augmentations]einfassung hinzu.","[Augment|オーグメント]ソケットを[MartialWeapon|マーシャル武器]または防具に追加する。","[MartialWeapon|무도 무기] 또는 방어구에 [Augment|증강물] 홈을 추가합니다.","Adiciona um encaixe de [Augment|aprimoramento] a uma [MartialWeapon|arma marcial] ou armadura.","Добавляет гнездо для [Augment|усилителей] на [MartialWeapon|боевое оружие] или доспехи.","Agrega un engarce de [Augment|aumento] a un [MartialWeapon|arma marcial] o una armadura.","เพิ่มรู[Augment|วัตถุติดตั้ง] 1 รู ให้กับ [MartialWeapon|อาวุธจู่โจม]​หรือเกราะ","在一件[MartialWeapon|軍用武器]或護甲上增加一個[Augment|增幅]插槽","","","","","","","","","","",""
173,"Aura","Auras","Auras","Auren","オーラ","오라","Auras","Ауры","Auras","ออร่า","光環","Auras apply [Buff|Buffs] to [Allies|Allies] within a radius, or [Debuff|Debuffs] to enemies within a radius of the source of the Aura.","Les Auras confèrent des [Buff|Effets bénéfiques] aux [Allies|Alliés] se trouvant dans leur rayon, ou appliquent des [Debuff|Effets néfastes] aux ennemis se trouvant dans un rayon autour de la source de l'Aura.","Auren wenden [Buff|Stärkungen] auf [Allies|Verbündete] in einem Radius oder [Debuff|Schwächungen] auf Gegner in einem Radius um die Quelle der Aura an.","オーラは一定範囲内の[Allies|味方]に[Buff|バフ]を付与するか、またはオーラの発生源から一定範囲内の敵に[Debuff|デバフ]を付与するものである。","오라는 일정 반경 내의 [Allies|동료]에게 [Buff|버프]를 적용하거나, 오라의 근원으로부터 일정 반경 내의 적에게 [Debuff|디버프]를 적용합니다.","Auras aplicam buffs a [Allies|Aliados] dentro de um raio, ou debuffs a inimigos dentro de um raio da fonte da Aura.","Ауры накладывают [Buff|положительные эффекты] на [Allies|союзников] в радиусе либо [Debuff|отрицательные эффекты] на врагов в радиусе от источника ауры.","Las auras aplican [Buff|efectos beneficiosos] a los [Allies|aliados] dentro de un radio o [Debuff|efectos nocivos] a los enemigos dentro de un radio alrededor de la fuente del aura.","ออร่า ให้[Buff|บัฟ]กับ[Allies|เพื่อน]ที่อยู่ในรัศมี หรือสร้าง[Debuff|ดีบัฟ]ต่อศัตรูที่อยู่ในรัศมีของแหล่งที่ให้ออร่านั้น","光環會對範圍內的[Allies|友方]套用[Buff|增益]效果，或對來源範圍內的敵方施加[Debuff|減益]效果。","","","","","","","","","","",""
