"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","ItemClassCategory","RemovedIfLeavesArea","[rid]_33","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32_84","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","ItemStance","CanScourge","CanUpgradeRarity","bool_112","ItemClassFlags","Unmodfiable","CanBeFractured","EquipAchievement","UsableInMapDevice","bool_148"
11,"One Hand Axe","One Hand Axes","Haches à une main","Einhandäxte","片手斧","한손 도끼","Machados de Uma Mão","Одноручные топоры","Hachas a una mano","ขวานมือเดียว","單手斧",11,"",[],[],"","",1,"",4263,"",1,1,1,1,1,3,1,1,1,"[1,2,0]","",1,"","",1
12,"One Hand Mace","One Hand Maces","Masses à une main","Einhandstreitkolben","片手メイス","한손 철퇴","Maças de Uma Mão","Одноручные булавы","Mazas a una mano","กระบองมือเดียว","單手錘",1,"",[],[],"","",1,"",4263,"",1,1,1,1,1,3,1,1,1,"[1,2,0]","",1,"","",1
13,"Bow","Bows","Arcs","Bögen","弓","활","Arcos","Луки","Arcos","ธนู","弓",12,"",[],[],"","",1,"",4263,"",1,1,1,1,1,4,1,1,1,[0],"",1,"","",1
14,"Staff","Staves","Bâtons","Stäbe","スタッフ","지팡이","Cajados","Посохи","Báculos","ไม้พลอง","長杖",4,"",[],[],"","",1,"",4263,"",1,1,1,1,1,5,1,1,1,[],"",1,"","",1
15,"Two Hand Sword","Two Hand Swords","Épées à deux mains","Zweihandschwerter","両手剣","양손 검","Espadas de Duas Mãos","Двуручные мечи","Espadas a dos manos","ดาบสองมือ","雙手劍",13,"",[],[],"","",1,"",4263,"",1,1,1,1,1,6,1,1,1,"[2,0]","",1,"","",1
16,"Two Hand Axe","Two Hand Axes","Haches à deux mains","Zweihandäxte","両手斧","양손 도끼","Machados de Duas Mãos","Двуручные топоры","Hachas a dos manos","ขวานสองมือ","雙手斧",14,"",[],[],"","",1,"",4263,"",1,1,1,1,1,7,1,1,1,"[2,0]","",1,"","",1
17,"Two Hand Mace","Two Hand Maces","Masses à deux mains","Zweihandstreitkolben","両手メイス","양손 철퇴","Maças de Duas Mãos","Двуручные булавы","Mazas a dos manos","กระบองสองมือ","雙手錘",15,"",[],[],"","",1,"",4263,"",1,1,1,1,1,7,1,1,1,"[2,0]","",1,"","",1
18,"Active Skill Gem","Skill Gems","Gemmes d'aptitude","Fertigkeitengemmen","スキルジェム","스킬 젬","Gemas de Habilidades","Камни умений","Gemas de habilidad","หินสกิล","技能寶石",16,"",[],[],"",1,"","",4263,"",1,"","","","","","","","",[],"","","","",""
19,"Support Skill Gem","Support Gems","Gemmes de soutien","Unterstützungsgemmen","サポートジェム","보조 젬","Gemas de Suporte","Камни поддержки","Gemas de asistencia ","หินเสริม","輔助寶石",17,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
20,"Quiver","Quivers","Carquois","Köcher","矢筒","화살통","Aljavas","Колчаны","Carcajes","ซองธนู","箭袋",18,"",[],[],"","",1,"",4263,"",1,1,1,1,1,8,1,1,1,[3],"",1,"","",""
21,"Belt","Belts","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояса","Cinturones","เข็มขัด","腰帶",19,"",[],[],"","",1,"",4263,"",1,1,1,1,1,"",1,1,1,[6],"",1,"","",""
22,"Gloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",20,"",[],[],"","",1,"",4263,"",1,1,1,1,1,"",1,1,1,[5],"",1,"","",1
23,"Boots","Boots","Bottes","Stiefel","靴","장화","Botas","Обувь","Botas","รองเท้า","鞋子",21,"",[],[],"","",1,"",4263,"",1,1,1,1,1,"",1,1,1,[5],"",1,"","",1
24,"Body Armour","Body Armours","Armures","Körperrüstungen","鎧","갑옷","Peitorais","Нательные доспехи","Armaduras corporales","เสื้อเกราะ","胸甲",22,"",[],[],"","",1,"",4263,"",1,1,1,1,1,"",1,1,1,[5],"",1,"","",1
25,"Helmet","Helmets","Casques","Helme","兜","투구","Elmos","Шлемы","Cascos","หมวก","頭部",23,"",[],[],"","",1,"",4263,"",1,1,1,1,1,"",1,1,1,[5],"",1,"","",1
26,"Shield","Shields","Boucliers","Schilde","盾","방패","Escudos","Щиты","Escudos","โล่","盾",24,"",[],[],"","",1,"",4263,"",1,1,1,1,1,9,1,1,1,"[3,5]","",1,"","",1
27,"SmallRelic","Small Relics","Petites reliques","Kleine Relikte","レリック (小 )","소형 유물","Relíquias Pequenas","Малые реликвии","Reliquias pequeñas","วัตถุโบราณเล็ก","小型聖物","","",[],[],"","","","",4263,"","","","","","","","","",1,[],"","","","",""
28,"MediumRelic","Medium Relics","Reliques moyennes","Mittlere Relikte","レリック (中 )","중형 유물","Relíquias Médias","Средние реликвии","Reliquias medianas","วัตถุโบราณกลาง","中型聖物","","",[],[],"","","","",4263,"","","","","","","","","",1,[],"","","","",""
29,"LargeRelic","Large Relics","Grandes reliques","Große Relikte","レリック (大 )","대형 유물","Relíquias Grandes","Большие реликвии","Reliquias grandes","วัตถุโบราณใหญ่","大型聖物","","",[],[],"","","","",4263,"","","","","","","","","",1,[],"","","","",""
30,"StackableCurrency","Stackable Currency","Objets monétaires empilables","Stapelbare Währung","スタック可能カレンシー","중첩 가능 화폐","Moedas Empilháveis","Валюта","Objetos monetarios apilables","เงินตรารวมกองได้","可堆疊通貨",6,"",[],[],"",1,"","",4263,"","","","","","","","","","",[7],"","","","",""
31,"QuestItem","Quest Items","Objets de quête","Quest-Gegenstände","クエストアイテム","퀘스트 아이템","Itens de Missão","Вещи для заданий","Objetos de misiones","ไอเทมเควสต์","任務物品",25,"",[],[],"","","","",4263,1,"","","","","","","","","",[],"","","","",""
32,"Sceptre","Sceptres","Sceptres","Zepter","セプター","셉터","Cetros","Скипетры","Cetros","คทา","權杖",61,"",[],[],"","",1,"",4263,"",1,1,1,1,1,13,1,1,1,[1],"",1,"","",1
33,"UtilityFlask","Charms","Charmes","Phiolen","チャーム","호신부","Patuás","Обереги","Viales","ของขลัง","護符",69,"",[],[],"","","","",4263,"",1,"","","",1,"","","",1,[4],"",1,"","",1
34,"DONOTUSE7","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
35,"Map","Waystones","Pierres de téléportation","Wegsteine","ウェイストーン","경로석","Dreno de Mana","Путевые камни","Piedras guía","ศิลานำทาง","換界石",26,"",[],[],"",1,"",1783,4263,"",1,"",1,"","","",1,"",1,[],"",1,"",1,""
36,"Unarmed","","","","","","","","","","",66,"",[],[],"","","","",4263,"","","","","",1,"","","","","[1,2]","","","","",""
37,"FishingRod","Fishing Rods","Cannes à pêche","Angelruten","釣り竿","낚싯대","Varas de Pescar","Удочки","Cañas de pescar","เบ็ดตกปลา","魚竿",27,"",[],[],"","","","",4263,"",1,1,"",1,1,6,1,1,1,[],"",1,"","",1
38,"MapFragment","Map Fragments","Fragments de carte","Kartenfragmente","マップのフラグメント","지도 조각","Fragmentos de Mapas","Обрывки карт","Fragmentos de mapa","ชิ้นส่วนแผนที่","地圖碎片",28,"",[],[],1,1,"","",4263,"","","","","","","","","","",[],"","","",1,""
39,"HideoutDoodad","Hideout Doodads","Décorations de Repaire","Dinge fürs Versteck","隠れ家装飾品","은신처 장식물","Enfeites de Refúgio","Предметы убежища","Objetos de la guarida","ของตกแต่งที่ซ่อน","藏身處裝飾","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
40,"Microtransaction","Microtransactions","Microtransactions","Mikrotransaktionen","マイクロトランザクション","포인트 아이템","Microtransações","Микротранзакции","Microtransacciones","สินค้าแฟชั่น","商城物品","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
41,"Jewel","Jewels","Joyaux","Juwelen","ジュエル","주얼","Joias","Самоцветы","Joyas","จิวเวล","珠寶",29,"",[],[],"",1,"",1776,4263,"",1,"",1,"","","","","",1,[],"",1,"","",""
42,"DivinationCard","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡",30,"",[],[],"",1,"",1777,4263,"","","","","","","","","","",[],"","","","",""
43,"DONOTUSE8","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
44,"DONOTUSE9","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
45,"DONOTUSE10","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
46,"MiscMapItem","Misc Map Items","Objets de Carte divers","Sonstige Kartengegenstände","その他マップアイテム","기타 지도 아이템","Itens Mapas Variados","Прочие предметы карт","Objetos misceláneos de mapa","ไอเทมแผนที่อื่นๆ","其它",33,"",[],[],"",1,"","",4263,"",1,"","","","","","","","",[],"","","",1,""
47,"Leaguestone","Leaguestones","Pierres de ligue","Liga-Steine","リーグストーン","리그스톤","Pedras de Ligas","Камни лиги","Piedras de liga","ศิลาลีก","聯盟石",34,"",[],[],"",1,"","",4263,"","","","","","","","","",1,[],"","","","",""
48,"PantheonSoul","Pantheon Souls","Âmes du Panthéon","Pantheon-Seelen","パンテオンソウル","판테온의 영혼","Almas do Panteão","Души Пантеона","Almas del Panteón","วิญญาณกลุ่มทวยเทพ","眾神之魂",35,"",[],[],"","","","",4263,1,"","","","","","","","","",[],"","","",1,""
49,"UniqueFragment","Pieces","Morceaux","Bruchstücke","欠片","조각","Peças","Фрагменты","Fragmentos","ชิ้นส่วน (Piece)","碎片",36,"",[],[],1,1,"","",4263,"","","","","","","","","",1,[],"","","","",""
50,"AbyssJewel","Abyss Jewels","Joyaux abyssaux","Abgrund-Juwelen","アビスジュエル","심연 주얼","Joias Abissais","Самоцветы Бездны","Joyas de abismo","จิวเวลอะบิส","深淵珠寶",37,"",[],[],"",1,"","",4263,"",1,"","","","","","","",1,[],"",1,"","",""
51,"IncursionItem","Incursion Items","Objets d'Incursion","Incursion-Gegenstände","インカージョンアイテム","기습 아이템","Itens Incursion","Предметы Вмешательства","Objetos de Incursión","ไอเทมย้อนเวลา","穿越物品",38,1,[],[],1,"","","",4263,1,"","","","","","","","","",[],"","","","",""
52,"DelveSocketableCurrency","Delve Socketable Currency","Objets enchâssables Delve","Delve: Einfassbare Währung","デルヴスタック可能カレンシー","탐광 결합형 화폐","Item Monetário Encaixável Delve","Валюта Спуска","Objetos monetarios engarzables de Delve","เงินตรามีรูของเหมือง","掘獄插槽通貨",39,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
53,"Incubator","Incubators","Incubateurs","Inkubatoren","インキュベーター","인큐베이터","Incubadores","Инкубаторы","Incubadoras","ตัวบ่มฟัก","培育器",40,"",[],[],"",1,"","",4263,"","","","","","","","","",1,[],"","","","",""
54,"UniqueShard","Shards","Éclats","Splitter","シャード","파편","Fragmentos","Осколки","Esquirlas","เศษ","碎片","","",[],[],"","","","",4263,"","","","","","","","","",1,[],"","","","",""
55,"UniqueShardBase","Shard Hearts","Cœurs d'éclat","Splitterherzen","欠片の心臓","파편 심장","Fragmentos de Coração","Стержни осколков","Corazones de esquirla","ชิ้นส่วนของหัวใจ","碎片之心","","",[],[],"","","","",4263,"","","","","","","","","",1,[],"","","","",""
56,"DONOTUSE11","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
57,"Warstaff","Quarterstaves","Bâtons de combat","Kampfstäbe","クォータースタッフ","육척봉","Cajados","Боевые посохи","Bastones","ไม้พลองวรยุทธ์","細杖",5,"",[],[],"","",1,"",4263,"",1,1,1,1,1,5,1,1,1,"[2,0]","",1,"","",1
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency","Objets enchâssables et empilables Delve","Delve: Stapelbare, einfassbare Währung","デルヴスタック可能ソケット可能カレンシー","탐광 중첩 및 결합형 화폐","Item Monetário Aglomerável e Encaixável Delve","Валюта Спуска","Objetos monetarios apilables y engarzables de Delve","เงินตรามีรูของเหมืองแบบรวมกองได้","掘獄可堆疊有插槽通貨",39,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
59,"AtlasUpgradeItem","Atlas Upgrade Items","Objets d'amélioration de l'Atlas","Aufwertungsgegenstände für den Atlas","アトラスアップグレードアイテム","아틀라스 업그레이드 아이템","Itens de Aprimoramento de Região do Atlas","Предметы улучшения Атласа","Objetos de mejora del Atlas","ไอเทมอัพเกรดแอตลาส","輿圖升級道具",41,"",[],[],"","","","",607,"","","","","","","","","",1,[],"","","","",""
60,"DONOTUSE4","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
61,"HiddenItem","Hidden Items","Objets cachés","Verborgene Gegenstände","隠しアイテム","숨겨진 아이템","Itens Escondidos","Сокрытые предметы","Objetos ocultos","ไอเทมซ่อนเร้น","隱藏道具","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
62,"DONOTUSE1","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
63,"DONOTUSE2","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
64,"DONOTUSE3","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
65,"HeistContract","Contracts","Contrats","Aufträge","依頼書","계약","Contratos","Контракты","Contratos","สัญญาจ้าง","契約書",42,"",[],[],"",1,"","",4263,"",1,"","","","","","","",1,[],"",1,"","",""
66,"HeistEquipmentWeapon","Heist Gear","Équipements de Malfaiteur","Heist-Ausrüstung","ハイストギア","강탈 장비","Equipamento Heist","Разбойничьи принадлежности","Accesorio de Heist","อุปกรณ์สวมใส่กองโจร","劫盜裝備",43,"",[],[],"","","","",4263,"","","","","",1,"","","",1,[],"",1,"","",""
67,"HeistEquipmentTool","Heist Tools","Outils de Malfaiteur","Heist-Werkzeug","ハイストツール","강탈 도구","Ferramentas Heist","Разбойничий инструмент","Herramientas de Heist","เครื่องมือกองโจร","劫盜工具",44,"",[],[],"","","","",4263,"","","","","",1,"","","",1,[],"",1,"","",""
68,"HeistEquipmentUtility","Heist Cloaks","Capes de Malfaiteur","Heist-Umhänge","ハイストクローク","강탈 망토","Capas Heist","Разбойничьи накидки","Capas de Heist","ผ้าคลุมกองโจร","劫盜披風",45,"",[],[],"","","","",4263,"","","","","",1,"","","",1,[],"",1,"","",""
69,"HeistEquipmentReward","Heist Brooches","Broches de Malfaiteur","Heist-Broschen","ハイストブローチ","강탈 브로치","Broches Heist","Разбойничьи броши","Broches de Heist","เข็มกลัดกองโจร","劫盜胸針",46,"",[],[],"","","","",4263,"","","","","",1,"","","",1,[],"",1,"","",""
70,"HeistBlueprint","Blueprints","Plans","Grundrisse","計画書","도면","Plantas","Чертежи","Planos","พิมพ์เขียว","藍圖",47,"",[],[],"",1,"","",4263,"",1,"","","","","","","",1,[],"",1,"","",""
71,"Trinket","Trinkets","Babioles","Schmuckstücke","トリンケット","장신구","Adornos","Украшения","Abalorios","เครื่องประดับโจร","飾品",48,"",[],[],"","","","",4263,"",1,1,"","","","","","",1,[],"","","","",""
72,"HeistObjective","Heist Targets","Objectifs de Casse","Auftragsziele","ハイストターゲット","강탈 대상","Alvos Heist","Предметы кражи","Objetivos de Heist","เป้าหมายโจรกรรม","劫盜目標",49,"",[],[],"","","","",4263,1,"","","","","","","","","",[],"","","","",""
73,"ExpeditionLogbook","Expedition Logbooks","Journaux de bord d'Expédition","Expeditions-Logbücher","エクスペディションログブック","탐험 일지","Diários de Bordo Expedition","Журналы экспедиции","Registros de expedición","สมุดปูมเดินทางกองสำรวจ","探險日誌",50,"",[],[],"","","",77,4141,"","","","","","","","","","",[],"","","","",""
74,"IncubatorStackable","Incubators","Incubateurs","Inkubatoren","インキュベーター","인큐베이터","Incubadores","Инкубаторы","Incubadoras","ตัวบ่มฟัก","培育器",40,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
75,"ArchnemesisMod","Archnemesis Mods","Mods d'Archnemesis","Archnemesis-Modifikatoren","アーチネメシスモッド","강적 속성","Mods Archnemesis","Свойства Возмездия","Mods. de Archnemesis","ม็อดอริคู่อาฆาต","宿敵詞綴","","",[],[],"",1,"","",4263,1,"","","","","","","","","",[],"","","","",""
76,"Meta Skill Gem","","","","","","","","","","",64,"",[],[],"","","","",4263,"",1,"","","","","","","","",[],"","","","",""
77,"Spear","Spears","Lances","Speere","スピア","창","Lanças","Копья","Lanzas","หอก","長矛",57,"",[],[],"","","","",4263,"",1,1,1,1,1,10,"",1,1,"[1,2,0]","",1,"","",1
78,"Crossbow","Crossbows","Arbalètes","Armbrüste","クロスボウ","쇠뇌","Bestas","Самострелы","Ballestas","หน้าไม้","十字弓",58,"",[],[],"","","","",4263,"",1,1,1,1,1,12,1,1,1,[0],"",1,"","",1
79,"Focus","Foci","Foci","Fokusse","フォーカス","집중구","Focos","Фокусы","Focos","โฟกัส","法器",59,"",[],[],"","","","",4263,"",1,1,1,1,1,11,1,1,1,"[3,5]","",1,"","",1
80,"InstanceLocalItem","Instance Local Items","Objets locaux d'instance","Instanzgebundene lokale Gegenstände","インスタンスローカルアイテム","인스턴스 특정 아이템","Itens Locais da Instância","Местные предметы области","Objetos locales de instancia","ไอเทมประจำอินสแตนซ์","地區物品",51,1,[],[],"","","","",4263,1,"","","","","","","","","",[],"","","","",""
81,"SentinelDrone","Sentinels","Sentinelles","Wächter","センチネル","파수꾼","Sentinelas","Часовые","Centinelas","หุ่นอารักษ์","護衛",52,"",[],[],"","","","",4263,"",1,"","","","","","","","",[],1,"","","",""
82,"MemoryLine","Memories","Souvenirs","Erinnerungen","記憶","기억","Memórias","Воспоминания","Recuerdos","ความทรงจำ","記憶",54,"",[],[],"","","","",4263,"","","","","","","","","","",[],1,"","","",""
83,"Flail","Flails","Fléaux d'armes","Flegel","フレイル","도리깨","Manguais","Кистени","Manguales","ลูกตุ้ม","鏈錘",60,"",[],[],"","","","",4263,"",1,1,1,1,1,14,1,1,1,"[1,2,0]","",1,"","",1
84,"Relic","Relics","Reliques","Relikte","レリック","유물","Relíquias","Реликвии","Reliquias","วัตถุตกทอด","聖物",53,"",[],[],1,1,"","",4263,"","","","","","","","","","",[],"","","","",""
85,"SanctumSpecialRelic","Sanctified Relics","Reliques sanctifiées","Heilige Relikte","聖別されたレリック","축성된 유물","Relíquias Santificadas","Священные реликвии","Reliquias santificadas","วัตถุตกทอดบริสุทธิ์","神化聖物",53,"",[],[],1,1,"","",4263,"",1,"","","","","","","","",[],1,"","","",""
86,"Breachstone","Breachstones","Pierres de Brèche","Riss-Steine","ブリーチストーン","균열석","Pedras de Fenda","Камни Разлома","Piedras de fisura","ศิลาบรีช","裂痕石",55,"",[],[],1,1,"",67,4121,"","","","","","","","","","",[],"","","",1,""
87,"GiftBox","","","","","","","","","","","","",[],[],"","","","",4263,1,"","","","","","","","","",[],"","","","",""
88,"VaultKey","Vault Keys","Clés de la Salle des coffres","Reliquienkammer-Schlüssel","聖廟の鍵","금고실 열쇠","Chaves do Cofre","Ключи от хранилищ","Llaves de la cámara","กุญแจคลังวัตถุโบราณ","遺鑰",56,"",[],[],"",1,"","",4263,1,"","","","","","","","","",[],"","","",1,""
89,"ItemisedSanctum","Trial Coins","Pièces de l'Épreuve","Prüfungsmünzen","試練のコイン","시련 주화","Moedas da Provação","Монеты Испытания","Monedas de la prueba","เหรียญบททดสอบ","試煉代幣",33,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
90,"DONOTUSE12","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
91,"UncutSkillGem_OLD","","","","","","","","","","",65,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
92,"Buckler","Bucklers","Bocles","Faustschild","バックラー","버클러","Broquéis","Баклеры","Broqueles","บัคเลอร์","輕盾",62,"",[],[],"","","","",4263,"",1,1,1,1,1,15,1,1,1,"[3,5]","",1,"","",1
93,"Thrown One Hand Axe","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","",16,"","","",[],"","","","",""
94,"Thrown Two Hand Axe","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","",17,"","","",[],"","","","",""
95,"ConventionTreasure","","","","","","","","","","","","",[],[],"",1,"","",4263,1,"","","","","","","","","",[],"","","","",""
96,"TrapTool","Traps","Pièges","Fallen","トラップ","덫","Armadilhas","Ловушки","Trampas","กับดัก","陷阱",63,"",[],[],"","","","",4263,"",1,1,1,1,1,2,1,1,1,[],"",1,"","",1
97,"Crossbow Attachment REMOVE","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
98,"SkillGemToken","Currency","Objet monétaire","Währung","カレンシー","화폐","Item Monetário","Вещи на обмен","Objetos monetarios","เงินตรา","通貨",6,"",[],[],"",1,"","",4263,"","","","","","","","","","",[7],"","","","",""
99,"Nothing","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","",1,"","","","",[],"","","","",""
100,"UltimatumKey","Inscribed Ultimatum","Ultimatum gravé","Inschrift des Ultimatums","刻印されたアルティメイタム","새겨진 결전","Ultimato Talhado","Начертанные Ультиматумы","Ultimátum inscrito","คำขาดจารึก","最後通牒雕刻",33,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
101,"UncutSupportGem_OLD","","","","","","","","","","",65,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
102,"UncutReservationGem_OLD","","","","","","","","","","",65,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
103,"Thrown Shield","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","",18,"","","",[],"","","","",""
104,"SoulCore","Augment","Augmentation","Augmentation","オーグメント","증강물","Aprimoramento","Усилители","Mejora","วัตถุติดตั้ง","增幅",67,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
105,"TowerAugmentation","Tablet","Tablette","Tafel","石板","서판","Tábua","Плитки","Tablilla","แผ่นหิน","碑牌",68,"",[],[],"",1,"","",4177,"","","","","","","","","","",[],"","","","",""
106,"Omen","Omen","Présage","Omen","お告げ","징조","Presságio","Предзнаменования","Augurio","ลางบอกเหตุ","預兆",70,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
107,"PinnacleKey","Pinnacle Keys","Clés de la Finalité","Über-Schlüssel","ピナクルキー","최종 열쇠","Chaves Supremas","Древние ключи","Llaves de jefes finales","กุญแจอภิมหาบอส","巔峰鑰匙",71,"",[],[],1,1,"","",4263,"","","","","","","","","","",[],"","","","",""
108,"Talisman","Talismans","Talismans","Talismane","タリスマン","부적","Talismãs","Талисманы","Talismanes","เครื่องราง","魔符",72,"",[],[],"","","",1208,4263,"",1,"",1,"",1,19,"",1,"","[2,0]","",1,"","",1
109,"UncutSkillGemStackable","Uncut Skill Gems","Gemmes d'aptitude brutes","Ungeschnittene Fertigkeitengemme","スキルジェムの原石","미가공 스킬 젬","Gemas de Habilidade Brutas","Неогранённые камни умений","Gemas de habilidad sin tallar","หินสกิลหยาบ","未切割的技能寶石",65,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
110,"UncutSupportGemStackable","Uncut Support Gems","Gemmes de soutien brutes","Ungeschnittene Unterstützungsgemme","サポートジェムの原石","미가공 보조 젬","Gemas de Reforço Brutas","Неогранённые камни поддержки","Gemas de asistencia sin tallar","หินเสริมหยาบ","未切割的輔助寶石",65,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
111,"UncutReservationGemStackable","Uncut Spirit Gems","Gemmes d'Esprit brutes","Ungeschnittene Willegemme","スピリットジェムの原石","미가공 정신력 젬","Gemas Espirituais Brutas","Неогранённые камни духа","Gemas de espíritu sin tallar","หินพลังวิญญาณหยาบ","未切割的精魂寶石",65,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
112,"IncursionArm","Transcendent Arm","Bras transcendant","Transzendenter Arm","超越の義手","초월의 팔","Braço Transcendental","Вознесённая рука","Brazo trascendente","แขนเหนือมนุษย์","超凡之臂",73,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
113,"IncursionLeg","Transcendent Leg","Jambe transcendante","Transzendentes Bein","超越の義足","초월의 다리","Perna Transcendental","Вознесённая нога","Pierna trascendente","ขาเหนือมนุษย์","超凡之腿",73,"",[],[],"",1,"","",4263,"","","","","","","","","","",[],"","","","",""
