"rownum","Id","BonusMods","BuffDefinition","BuffStatValues","StatsKeys","StatValues"
46,"GrantMod_MonsterCriticalStrikeChance1",[4602],"",[],[],[]
47,"GrantMod_MonsterStunDamageIncrease1",[4604],"",[],[],[]
48,"GrantMod_MonsterArmourPenetration1",[4635],"",[],[],[]
49,"GrantMod_MonsterIncreasedAccuracy1",[4637],"",[],[],[]
50,"GrantMod_MonsterAdditionalProjectiles1",[4643],"",[],[],[]
51,"GrantMod_MonsterAreaOfEffect1",[4645],"",[],[],[]
52,"GrantMod_MonsterBurningGroundOnDeath1",[4616],"",[],[],[]
53,"GrantMod_MonsterChilledGroundOnDeath1",[4619],"",[],[],[]
54,"GrantMod_MonsterShockedGroundOnDeath1",[4622],"",[],[],[]
55,"GrantMod_MonsterBurningGroundTrail1",[4653],"",[],[],[]
56,"GrantMod_MonsterChilledGroundTrail1",[4655],"",[],[],[]
57,"GrantMod_MonsterShockedGroundTrail1",[4657],"",[],[],[]
58,"GrantMod_MonsterAlwaysPoison1",[4612],"",[],[],[]
59,"GrantMod_MonsterAlwaysBleed1",[4614],"",[],[],[]
60,"GrantMod_MonsterIgniteChanceIncrease1",[4647],"",[],[],[]
61,"GrantMod_MonsterFreezeDamageIncrease1",[4649],"",[],[],[]
62,"GrantMod_MonsterShockChanceIncrease1",[4651],"",[],[],[]
63,"GrantMod_MonsterDamageGainedAsFire1",[4594],"",[],[],[]
64,"GrantMod_MonsterDamageGainedAsCold1",[4596],"",[],[],[]
65,"GrantMod_MonsterDamageGainedAsLightning1",[4598],"",[],[],[]
66,"GrantMod_MonsterDamageGainedAsChaos1",[4639],"",[],[],[]
67,"HildaBeastMapBoss",[16624],"",[],[],[]
68,"GrantMod_MonsterFlameBeacons1",[4675],"",[],[],[]
69,"GrantMod_MonsterFrostBeacons1",[4677],"",[],[],[]
70,"GrantMod_MonsterLightningBeacons1",[4679],"",[],[],[]
71,"GrantMod_MonsterStrongerMinions1",[4684],"",[],[],[]
72,"GrantMod_MonsterPhysicalDamageAura1",[4687],"",[],[],[]
73,"GrantMod_MonsterIncreasedSpeedAura1",[4689],"",[],[],[]
74,"GrantMod_MonsterEnergyShieldAura1",[4692],"",[],[],[]
75,"GrantMod_MonsterResistanceAura1",[4695],"",[],[],[]
76,"GrantMod_MonsterTemporalAura1",[4697],"",[],[],[]
77,"GrantMod_MonsterHinderAura1",[4700],"",[],[],[]
78,"GrantMod_MonsterPreventRecoveryAura1",[4702],"",[],[],[]
79,"GrantMod_MonsterImmuneAura1",[4704],"",[],[],[]
80,"GrantMod_MonsterImmuneAura2",[4706],"",[],[],[]
81,"GrantMod_MonsterManaSiphonAura1",[4709],"",[],[],[]
82,"GrantMod_MonsterManaSiphonAura2",[4711],"",[],[],[]
83,"GrantMod_MonsterHealingNova1",[4713],"",[],[],[]
84,"GrantMod_MonsterFlaskRemovalAura1",[4715],"",[],[],[]
85,"GrantMod_MonsterRevivesMinions1",[4717],"",[],[],[]
86,"GrantMod_MonsterMinionsTakeLifeInstead1",[4723],"",[],[],[]
87,"GrantMod_MonsterShroudWalker1",[4726],"",[],[],[]
88,"GrantMod_MonsterShroudWalker2",[4728],"",[],[],[]
89,"GrantMod_MonsterPeriodicEnrage1",[4730],"",[],[],[]
90,"GrantMod_MonsterPeriodicEnrage2",[4732],"",[],[],[]
91,"GrantMod_MonsterCorpseExploder1",[4735],"",[],[],[]
92,"GrantMod_MonsterLightningMirage1",[4737],"",[],[],[]
93,"GrantMod_MonsterLightningMirage2",[4739],"",[],[],[]
94,"GrantMod_MonsterMagmaBarrier1",[4741],"",[],[],[]
95,"GrantMod_MonsterGlacialPrison1",[4743],"",[],[],[]
96,"GrantMod_MonsterFlamewaller1",[4745],"",[],[],[]
97,"GrantMod_MonsterLightningStorms1",[4747],"",[],[],[]
98,"GrantMod_MonsterLivingCrystals1",[4751],"",[],[],[]
99,"GrantMod_MonsterVolatilePlants1",[4753],"",[],[],[]
100,"GrantMod_MonsterVolatilePlants2",[4755],"",[],[],[]
101,"GrantMod_MonsterVolatileRocks1",[4757],"",[],[],[]
102,"GrantMod_MonsterVolatileRocks2",[4759],"",[],[],[]
103,"GrantMod_MonsterProximalTangibility1",[4761],"",[],[],[]
