"rownum","BaseItemType","ValueMulti","Client","Client (French)","Client (German)","Client (Japanese)","Client (Korean)","Client (Portuguese)","Client (Russian)","Client (Spanish)","Client (Thai)","Client (Traditional Chinese)"
16,1309,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラーヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
17,1310,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラーヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
18,1311,1.2,"Selwyn Eddard","Selwyn Eddard","Selwyn Eddard","セルウィン・エダード","셀윈 에다드","Selwyn Eddard","Селвин Эддард","Selwyn Eddard","เซลวิน เอ็ดดาร์ด","塞爾溫．愛達德"
19,1312,1.2,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
20,1313,1.2,"Grond Ironeye","Grond Œil de fer","Grond Eisenauge","グロンド・アイアンアイ","츠베트 마트베이","Grond Olhoférreo","Гронд Железный Глаз","Grond Ojodehierro","กรอนด์ ไอรอนอาย","格朗德．鐵眼"
21,1314,1.2,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
22,1315,1.2,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
23,1316,1.2,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
24,1317,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
25,1318,1.2,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administrador Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
26,1319,1.2,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administrador Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
27,1320,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
28,1321,1.2,"Remus Hestor","Remus Hestor","Remus Hestor","リーマス・へスター","레무스 헤스터","Remus Hestor","Ремус Гестор","Remus Hestor","รีมัส เฮสเทอร์","雷木斯．赫斯托"
29,1322,1.2,"Nishem","Nishem","Nishem","ニシェム","니쉼","Nishem","Нишем","Nishem","นิเชม","尼西姆"
30,1323,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
31,1324,1.2,"Anton Laffrey","Anton Laffrey","Anton Laffrey","アントン・ラフレイ","안톤 라프리","Anton Laffrey","Антон Лаффрей","Anton Laffrey","แอนตัน แลฟฟรีย์","安東．拉弗里"
32,1325,1.5,"Tsvet Matvei","Tsvet Matveï","Tsvet Matvei","ツヴェット・マトヴェイ","츠베트 마트베이","Tsvet Matvei","Цвет Матвей","Tsvet Matvei","สเวต์ มัตเว","斯維．瑪菲伊"
33,1326,1.5,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
34,1327,1.5,"The Midnight Tinkerer","L'Horloger de minuit","Der Mitternachtstüftler","真夜中の修理人","심야의 수선공","O Faz-tudo da Meia-noite","Полуночный изобретатель","El inventor de medianoche","นักประดิษฐ์ราตรี","午夜匠師"
35,1328,1.5,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
36,1329,1.5,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
37,1330,1.5,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
38,1331,3,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administrador Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
39,1332,3,"Cardinal Uthelius","Cardinal Uthélius","Kardinal Uthelius","枢機卿ウテリウス","우셀리우스 추기경","Cardial Uthelius","Кардинал Утелиус","Cardenal Uthelius","พระคาร์ดินัลอูเธเลียส","紅衣主教．烏斯留斯"
40,1333,3,"Castor Pollinius III","Castor Pollinius III","Castor Pollinius III","カストル・ポリニウス3世","카스토르 폴리니우스 III","Castor Pollinius III","Кастор Поллиний III","Castor Pollinius III","แคสทอร์ พอลลิเนียสที่สาม","雙子波利尼烏斯三世"
41,1334,0.3,"","","","","","","","","",""
42,1335,0.3,"","","","","","","","","",""
43,1336,0.3,"","","","","","","","","",""
44,1337,0.3,"","","","","","","","","",""
45,1338,0.3,"","","","","","","","","",""
46,1339,0.3,"","","","","","","","","",""
47,1340,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
48,1341,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
49,1342,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
50,1343,0,"Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯"
51,1344,0,"Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯"
52,1345,0,"Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克"
53,1346,0,"Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克"
54,1347,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
55,1348,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
56,1349,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
57,1350,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
58,1351,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
59,1352,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
60,1353,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
61,1354,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
62,1355,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
63,1356,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
64,1357,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
65,1358,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
66,1359,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
67,1360,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
68,1361,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
69,1362,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
70,1363,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
71,1364,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
72,1365,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
73,1366,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","弗斯特"
74,1368,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","弗斯特"
75,1369,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","弗斯特"
76,1370,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
77,1371,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
78,1372,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
79,1373,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
