"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Action","DescriptionRuthless","DescriptionRuthless (French)","DescriptionRuthless (German)","DescriptionRuthless (Japanese)","DescriptionRuthless (Korean)","DescriptionRuthless (Portuguese)","DescriptionRuthless (Russian)","DescriptionRuthless (Spanish)","DescriptionRuthless (Thai)","DescriptionRuthless (Traditional Chinese)","ActionRuthless","AchievementItems"
16,"CartEscortHillock1","Modify a Weapon's quality to 24%","Fait passer la Qualité d'une arme à 24%","Verändert die Qualität einer Waffe auf 24%","武器の品質を24%にする","무기의 퀄리티를 24%로 수정","Modifica a qualidade de uma arma para 24%","Улучшить качество оружия до 24%","Modifica la calidad de un arma al 24%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 24%","調整武器品質至 24%","\r\n\r\n\r\n\r\nset_quality weapon 24</div></div>","","","","","","","","","","","",[]
17,"CartEscortHillock2","Modify a Weapon's quality to 26%","Fait passer la Qualité d'une arme à 26%","Verändert die Qualität einer Waffe auf 26%","武器の品質を26%にする","무기의 퀄리티를 26%로 수정","Modifica a qualidade de uma arma para 26%","Улучшить качество оружия до 26%","Modifica la calidad de un arma al 26%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 26%","調整武器品質至 26%","\r\n\r\n\r\n\r\nset_quality weapon 26</div></div>","","","","","","","","","","","",[]
18,"CartEscortHillock3","Modify a Weapon's quality to 28%","Fait passer la Qualité d'une arme à 28%","Verändert die Qualität einer Waffe auf 28%","武器の品質を28%にする","무기의 퀄리티를 28%로 수정","Modifica a qualidade de uma arma para 28%","Улучшить качество оружия до 28%","Modifica la calidad de un arma al 28%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 28%","調整武器品質至 28%","\r\n\r\n\r\n\r\nset_quality weapon 28</div></div>","","","","","","","","","","","",[]
19,"CartEscortHillock4","Modify a Weapon's quality to 30%","Fait passer la Qualité d'une arme à 30%","Verändert die Qualität einer Waffe auf 30%","武器の品質を30%にする","무기의 퀄리티를 30%로 수정","Modifica a qualidade de uma arma para 30%","Улучшить качество оружия до 30%","Modifica la calidad de un arma al 30%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 30%","調整武器品質至 30%","\r\n\r\n\r\n\r\nset_quality weapon 30</div></div>","","","","","","","","","","","",[]
20,"LabDefenceHillock1","Modify a Flask's quality to 22%","Fait passer la Qualité d'un Flacon à 22%","Verändert die Qualität eines Fläschchens auf 22%","フラスコの品質を22%にする","플라스크의 퀄리티를 22%로 수정","Modifica a qualidade de um frasco para 22%","Улучшить качество флакона до 22%","Modifica la calidad de un frasco al 22%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 22%","調整藥劑品質至 22%","\r\n\r\n\r\n\r\nset_quality flask 22</div></div>","","","","","","","","","","","",[]
21,"LabDefenceHillock2","Modify a Flask's quality to 24%","Fait passer la Qualité d'un Flacon à 24%","Verändert die Qualität eines Fläschchens auf 24%","フラスコの品質を24%にする","플라스크의 퀄리티를 24%로 수정","Modifica a qualidade de um frasco para 24%","Улучшить качество флакона до 24%","Modifica la calidad de un frasco al 24%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 24%","調整藥劑品質至 24%","\r\n\r\n\r\n\r\nset_quality flask 24</div></div>","","","","","","","","","","","",[]
22,"LabDefenceHillock3","Modify a Flask's quality to 26%","Fait passer la Qualité d'un Flacon à 26%","Verändert die Qualität eines Fläschchens auf 26%","フラスコの品質を26%にする","플라스크의 퀄리티를 26%로 수정","Modifica a qualidade de um frasco para 26%","Улучшить качество флакона до 26%","Modifica la calidad de un frasco al 26%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 26%","調整藥劑品質至 26%","\r\n\r\n\r\n\r\nset_quality flask 26</div></div>","","","","","","","","","","","",[]
23,"LabDefenceHillock4","Modify a Flask's quality to 28%","Fait passer la Qualité d'un Flacon à 28%","Verändert die Qualität eines Fläschchens auf 28%","フラスコの品質を28%にする","플라스크의 퀄리티를 28%로 수정","Modifica a qualidade de um frasco para 28%","Улучшить качество флакона до 28%","Modifica la calidad de un frasco al 28%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 28%","調整藥劑品質至 28%","\r\n\r\n\r\n\r\nset_quality flask 28</div></div>","","","","","","","","","","","",[]
24,"LabDefenceLeo1","","","","","","","","","","","","Modify a Flask's quality to 22%","Fait passer la qualité d'un Flacon à 22%","Verändert die Qualität eines Fläschchens auf 22%","フラスコの品質を22%に改変する","플라스크의 퀄리티를 22%로 수정","Modifica a qualidade de um frasco para 22%","Улучшить качество флакона до 22%","Modifica la calidad de un frasco al 22%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 22%","調整藥劑品質至 22%","set_quality flask 22",[]
25,"LabDefenceLeo2","","","","","","","","","","","","Modify a Flask's quality to 24%","Fait passer la qualité d'un Flacon à 24%","Verändert die Qualität eines Fläschchens auf 24%","フラスコの品質を24%に改変する","플라스크의 퀄리티를 24%로 수정","Modifica a qualidade de um frasco para 24%","Улучшить качество флакона до 24%","Modifica la calidad de un frasco al 24%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 24%","調整藥劑品質至 24%","set_quality flask 24",[]
26,"LabDefenceLeo3","","","","","","","","","","","","Modify a Flask's quality to 26%","Fait passer la qualité d'un Flacon à 26%","Verändert die Qualität eines Fläschchens auf 26%","フラスコの品質を26%に改変する","플라스크의 퀄리티를 26%로 수정","Modifica a qualidade de um frasco para 26%","Улучшить качество флакона до 26%","Modifica la calidad de un frasco al 26%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 26%","調整藥劑品質至 26%","set_quality flask 26",[]
27,"LabDefenceLeo4","","","","","","","","","","","","Modify a Flask's quality to 28%","Fait passer la qualité d'un Flacon à 28%","Verändert die Qualität eines Fläschchens auf 28%","フラスコの品質を28%に改変する","플라스크의 퀄리티를 28%로 수정","Modifica a qualidade de um frasco para 28%","Улучшить качество флакона до 28%","Modifica la calidad de un frasco al 28%","แก้ไข ขวดยา ให้มีค่าคุณภาพ 28%","調整藥劑品質至 28%","set_quality flask 28",[]
28,"LabDefenceJorgin1","Transform a non-unique Amulet into a Tier 1 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 1","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 1","非ユニークアミュレットをティア1タリスマンに変化させる","비-고유 목걸이를 1등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 1","Превратить неуникальный амулет в талисман 1 уровня","Transforma un amuleto que no es único en un talismán de grado 1","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 1","轉化 1 個非傳奇項鍊為階級 1 的魔符","transform_into_talisman 1","Transform a non-unique Amulet into a Tier 1 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 1","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 1","非ユニークアミュレットをティア1タリスマンに変化させる","비-고유 목걸이를 1등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 1","Превратить неуникальный амулет в талисман 1 уровня","Transforma un amuleto que no es único en un talismán de grado 1","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 1","轉化 1 個非傳奇項鍊為階級 1 的魔符","transform_into_talisman 1",[]
29,"LabDefenceJorgin2","Transform a non-unique Amulet into a Tier 2 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 2","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 2","非ユニークアミュレットをティア2タリスマンに変化させる","비-고유 목걸이를 2등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 2","Превратить неуникальный амулет в талисман 2 уровня","Transforma un amuleto que no es único en un talismán de grado 2","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 2","轉化 1 個非傳奇項鍊為階級 2 的魔符","transform_into_talisman 2","Transform a non-unique Amulet into a Tier 2 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 2","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 2","非ユニークアミュレットをティア2タリスマンに変化させる","비-고유 목걸이를 2등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 2","Превратить неуникальный амулет в талисман 2 уровня","Transforma un amuleto que no es único en un talismán de grado 2","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 2","轉化 1 個非傳奇項鍊為階級 2 的魔符","transform_into_talisman 2",[]
30,"LabDefenceJorgin3","Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 3","轉化 1 個非傳奇項鍊為階級 3 的魔符","transform_into_talisman 3","Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 3","轉化 1 個非傳奇項鍊為階級 3 的魔符","transform_into_talisman 3",[]
31,"LabDefenceJorgin4","Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 4","轉化 1 個非傳奇項鍊為階級 3 的魔符","transform_into_talisman 3","Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um amuleto não único em um talismã de nível 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 4","轉化 1 個非傳奇項鍊為階級 3 的魔符","transform_into_talisman 3",[]
32,"LabDefenceTora1","Add 20m experience to a Gem","Ajoute 20 millions d'expérience à une Gemme","Fügt einer Gemme 20m Erfahrungspunkte hinzu","ジェムに20m経験値追加する","젬에 경험치 20,000,000 추가","Adiciona 20 m de experiência a uma gema","Добавить 20 миллионов опыта камню","Agrega 20 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 20 ล้าน ให้กับ หิน","增加 2000 萬經驗至一顆寶石","add_gem_experience 20000000","Add 10m experience to a Gem","Ajoute 10 millions d'expérience à une Gemme","Fügt einer Gemme 10m Erfahrungspunkte hinzu","ジェムに10m経験値追加する","젬에 경험치 10,000,000 추가","Adiciona 10 m de experiência a uma gema","Добавить 10 миллионов опыта камню","Agrega 10 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 10 ล้าน ให้กับ หิน","增加 1000 萬經驗至一顆寶石","add_gem_experience 10000000",[]
33,"LabDefenceTora2","Add 70m experience to a Gem","Ajoute 70 millions d'expérience à une Gemme","Fügt einer Gemme 70m Erfahrungspunkte hinzu","ジェムに70m経験値追加する","젬에 경험치 70,000,000 추가","Adiciona 70 m de experiência a uma gema","Добавить 70 миллионов опыта камню","Agrega 70 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 70 ล้าน ให้กับ หิน","增加 7000 萬經驗至一顆寶石","add_gem_experience 70000000","Add 35m experience to a Gem","Ajoute 35 millions d'expérience à une Gemme","Fügt einer Gemme 35m Erfahrungspunkte hinzu","ジェムに35m経験値追加する","젬에 경험치 35,000,000 추가","Adiciona 35 m de experiência a uma gema","Добавить 35 миллионов опыта камню","Agrega 35 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 35 ล้าน ให้กับ หิน","增加 3500 萬經驗至一顆寶石","add_gem_experience 35000000",[]
34,"LabDefenceTora3","Add 200m experience to a Gem","Ajoute 200 millions d'expérience à une Gemme","Fügt einer Gemme 200m Erfahrungspunkte hinzu","ジェムに200m経験値追加する","젬에 경험치 200,000,000 추가","Adiciona 200 m de experiência a uma gema","Добавить 200 миллионов опыта камню","Agrega 200 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 200 ล้าน ให้กับ หิน","增加 2 億經驗至一顆寶石","add_gem_experience 200000000","Add 70m experience to a Gem","Ajoute 70 millions d'expérience à une Gemme","Fügt einer Gemme 70m Erfahrungspunkte hinzu","ジェムに70m経験値追加する","젬에 경험치 70,000,000 추가","Adiciona 70 m de experiência a uma gema","Добавить 70 миллионов опыта камню","Agrega 70 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 70 ล้าน ให้กับ หิน","增加 7000 萬經驗至一顆寶石","add_gem_experience 70000000",[]
35,"LabDefenceTora4","Add 200m experience to a Gem","Ajoute 200 millions d'expérience à une Gemme","Fügt einer Gemme 200m Erfahrungspunkte hinzu","ジェムに200m経験値追加する","젬에 경험치 200,000,000 추가","Adiciona 200 m de experiência a uma gema","Добавить 200 миллионов опыта камню","Agrega 200 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 200 ล้าน ให้กับ หิน","增加 2 億經驗至一顆寶石","add_gem_experience 200000000","Add 150m experience to a Gem","Ajoute 150 millions d'expérience à une Gemme","Fügt einer Gemme 150m Erfahrungspunkte hinzu","ジェムに150m経験値追加する","젬에 경험치 150,000,000 추가","Adiciona 150 m de experiência a uma gema","Добавить 150 миллионов опыта камню","Agrega 150 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 150 ล้าน ให้กับ หิน","增加 1 億 5000 萬經驗至一顆寶石","add_gem_experience 150000000",[]
36,"LabDefenceVorici1","Modify an item to have 1 White Socket","Modifie un objet afin qu'il ait 1 Châsse blanche","Verändert einen Gegenstand, um 1 weiße Fassung anzunehmen","アイテムのソケット1個を白にする","아이템이 하얀 홈을 1개 보유하도록 수정","Modifica um item para ter 1 encaixe branco","Изменить предмет, перекрасив 1 гнездо в белый цвет","Modifica un objeto para que tenga 1 engarce blanco","แก้ไขไอเทมให้มี รูสีขาว 1 รู","調整物品使其具有 1 個白色插槽","roll_white_sockets 0","Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","Remodèle à 10 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 10 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを10回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 10회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre os encaixes de um item dez vezes, mantendo o resultado com a maior quantidade de encaixes conectados","Перековать количество связей между гнёздами на предмете 10 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 10 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 10 次，採最多相連插槽數量的結果","modify_sockets_N_times 10 links",[]
