"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","string_32"
10,"Sorceress2","Cold Spells","Sorts de froid","Kältezauber","冷気スペル","냉기 주문","Magias de Gelo","Чары холода","Hechizos de hielo","เวทน้ำแข็ง","冰冷法術","Slow your enemies down. Freeze them in place. Control their movement.","Ralentissez vos ennemis. Gelez-les sur place. Contrôlez leurs mouvements.","Verlangsamt Eure Gegner. Friert sie an Ort und Stelle ein. Kontrolliert ihre Bewegung.","敵を遅くしろ。凍結せて動きを止めろ。奴らの動きを操作しろ。","적을 감속시키고 제자리에 동결시킵니다. 적의 움직임을 제한합니다.","Desacelere seus inimigos. Congele-os onde estiverem. Controle seus movimentos.","Замедляй врагов. Заморозь их на месте. Управляй их движением.","Ralentiza a tus enemigos. Congélalos para que no puedan moverse. Controla su movimiento.","ทำให้ศัตรูเชื่องช้า แช่แข็งพวกมันให้แน่นิ่ง คุมการเคลื่อนที่ของพวกมัน","使敵人緩速。將其冰凍在原地。控制敵人的行動。","Art/Videos/CharacterCreation/SorceressCold.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureSorceress2.dds"
11,"Sorceress3","Lightning Spells","Sorts de foudre","Blitzzauber","雷スペル","번개 주문","Magias de Raio","Чары молнии","Hechizos de rayo","เวทสายฟ้า","閃電法術","Bounce lightning around your foes. Shock them for even higher damage.","Faites rebondir la foudre entre vos ennemis. Électrocutez-les pour infliger des dégâts encore plus élevés.","Lasst Blitze um eure Feinde herum einschlagen. Schockt sie für noch mehr Schaden.","敵の周りに雷を巡らせろ。感電させ大ダメージを与えろ。","적 주위에 번개를 튕깁니다. 충격을 줘서 더 큰 피해를 줍니다.","Atinja seus inimigos com relâmpagos. Eletrize-os para causar ainda mais dano.","Метай молнии в своих врагов. Поражай их шоком, чтобы нанести ещё больший урон.","Haz que el rayo rebote entre tus enemigos. Electrocútalos para infligirles aún más daño.","ชิ่งสายฟ้าไปตามศัตรู ช็อคเพื่อสร้างความเสียหายสูงยิ่งไปกว่าเดิม","引導在敵人間來回彈跳的閃電。使敵人感電以造成更高的傷害。","Art/Videos/CharacterCreation/SorceressLightning.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureSorceress3.dds"
12,"Witch1","Minions","Créatures","Kreaturen","ミニオン","소환수","Lacaios","Приспешники","Esbirros","มิเนียน","召喚物","Send forth armies of the dead. Command them to do your bidding.","Envoyez des armées de morts. Ordonnez-leur de vous obéir.","Schickt Armeen der Toten los. Befehlt ihnen, euren Willen zu erfüllen.","死者の軍隊を前進させろ！彼らを命令に従わせろ。","망자의 군대를 앞세웁니다. 이들을 지배해서 마음대로 부립니다.","Envie o exército dos mortos. Force-os a executar suas ordens.","Управляй армией мертвецов. Прикажи им исполнить твою волю.","Envía ejércitos de muertos al campo de batalla. Dales órdenes para que cumplan tu voluntad.","ส่งคนตายไปเป็นทัพ สั่งการได้ดังใจอยาก","派出亡靈大軍。指揮它們為你效勞。","Art/Videos/CharacterCreation/Witch_Necro.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWitch1.dds"
13,"Witch2","Chaos Magic","Magie du chaos","Chaosmagie","混沌魔法","카오스 마법","Magias de Caos","Магия хаоса","Magia de caos","มนต์เคออส","混沌魔法","Let loose plague and withering afflictions. A slow but painful death.","Semez la peste et les afflictions flétrissantes. Une mort lente et douloureuse.","Lasst die Pest und verheerende Seuchen los. Ein langsamer, aber schmerzhafter Tod.","疫病と病苦を解き放て。ゆっくりとした、しかし痛みを伴う死を。","역병과 고사시키는 질환을 방출합니다. 느리지만 고통스러운 죽음을 선사합니다.","Libere pragas e aflições definhantes. Uma morte lenta mas dolorosa.","Выпусти чуму и иссушающие недуги. Медленная, но мучительная смерть.","Libera una plaga y enfermedades marchitantes. Una muerte lenta y dolorosa.","ปล่อยโรคระบาดโรคร้ายให้เหี่ยวเฉา ตายช้าทว่าทรมาน","釋放瘟疫和凋零的折磨。帶來緩慢而痛苦的死亡。","Art/Videos/CharacterCreation/Witch_Chaos.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWitch2.dds"
14,"Witch3","Osteomancy","Ostéomancie","Osteomantie","骨魔術","뼈점술","Osteomancia","Остеомантия","Osteomancia","ศาสตร์กระดูก","操骨術","Spikes of bone grow at your command. A fast and deadly magic.","Des pointes d'os poussent selon votre volonté. Une magie rapide et mortelle.","Auf Euer Geheiß hin wachsen Knochenstachel. Eine schnelle und tödliche Magie.","骨の釘を意のままに成長させろ。速い、致命の魔法。","명령에 따라 뼈 가시가 자랍니다. 빠르고 치명적인 마법입니다.","Estacas ósseas crescem onde você quiser. Uma magia rápida e mortal.","Шипы из костей вырастают по твоему приказу. Быстрая и смертоносная магия.","Invoca estacas de hueso que crecen a tus órdenes. Una magia rápida y letal.","เสกหนามกระดูกให้งอกได้ทุกเมื่อ เป็นมนต์ว่องไวและอันตรายยิ่ง","骸骨尖刺在你的命令下長出。迅速且致命的魔法。","Art/Videos/CharacterCreation/Witch_Bone.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWitch3.dds"
15,"Monk1","Quick Strikes","Frappes rapides","Schnelle Schläge","速攻","빠른 타격","Golpes Rápidos","Быстрые удары","Golpes rápidos","ฟาดฉับไว","迅擊","Overwhelm them with a ceaseless flurry of blows. Don't let up.","Submergez-les avec un flot incessant de coups. N'arrêtez jamais.","Überwältigt sie mit einem unaufhörlichen Schlaghagel. Lasst nicht nach.","絶え間ない連打で彼らを圧倒する。気を緩めるな。","난타로 적을 압도합니다. 한시도 누그러지지 않습니다.","Cubra-os com uma sequência incessante de golpes. Não pare.","Обрушь на них непрерывный шквал ударов. Не сдавайся.","Abrúmalos con una lluvia incesante de golpes y no les des tregua.","จู่โจมพวกมันไม่รู้จบจนราบคาบ อย่าได้รามือ","以接連不斷的攻擊鎮壓他們。別停下。","Art/Videos/CharacterCreation/Monk_Quick.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMonk1.dds"
16,"Monk2","Mobility","Mobilité","Mobilität","機動力","기동성","Mobilidade","Подвижность","Movilidad","พลิ้วไหว","機動性","Weave through hordes. Dodge out of danger. Close in for the kill.","Faufilez-vous à travers les hordes. Esquivez le danger. Puis approchez-vous pour tuer.","Schlängelt Euch durch die Horden. Entgeht der Gefahr. Setzt zum entscheidenden Schlag an.","群れの間をくぐり抜けろ。危険を回避しろ。間合いを詰めて仕留めろ。","적 사이사이를 날렵하게 누빕니다. 위험이 닥치면 회피합니다. 적에게 접근하여 처치를 노립니다.","Desvie pelas hordas. Esquive-se do perigo. Se aproxime para matar.","Пробирайся сквозь орды. Уклоняйся от опасности. Подходи, чтобы убить.","Deslízate entre las hordas, esquiva el peligro y acércate para dar la estocada final.","ฝ่าฝูงศัตรู หลบอันตราย รุดเข้าสังหาร","在敵群中穿梭。閃避危險。靠近以擊殺。","Art/Videos/CharacterCreation/Monk_Mobility.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMonk2.dds"
17,"Monk3","Combos","Enchaînements","Kombinationen","コンボ","연계","Combos","Комбо-удары","Combos","คอมโบ","連擊","Build up power before unleashing devastating finishers.","Accumulez de la puissance avant de déclencher des attaques finales dévastatrices.","Baut Eure Kraft auf, bevor Ihr verheerende Schläge austeilt.","壊滅的なとどめの一撃を放つ前に、力を溜めろ。","힘을 축적했다가 파괴적인 마무리 공격을 날립니다.","Acumule poder antes de liberar finalizadores devastadores.","Наращивай силу, прежде чем наносить сокрушительные завершающие удары.","Acumula poder para liberar remates devastadores.","สะสมพลังแล้วปล่อยกระบวนท่าปลิดชีพ","在釋放毀滅性的終結技之前累積力量。","Art/Videos/CharacterCreation/Monk_Combo.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMonk3.dds"
18,"Mercenary1","Ammunition","Munitions","Munition","弾薬","탄약","Munição","Боеприпасы","Munición","กระสุน","彈藥","Switch between varied crossbow ammunition. Adapt to enemy behaviour. Exploit their weaknesses.","Choisissez parmi différentes munitions d'arbalète. Adaptez-vous au comportement des ennemis. Exploitez leurs faiblesses.","Wechselt zwischen verschiedener Armbrustmunition. Passt Euch dem Verhalten der Gegner an. Nutzt ihre Schwächen aus.","多彩なクロスボウの弾薬を切り替えろ。敵の行動に適応し、彼らの弱点を突け。","석궁 탄약을 교체합니다. 적의 행동에 대응하고, 적의 약점을 이용합니다.","Alterne entre munições variadas de besta. Se adapte ao comportamento dos inimigos. Explore suas fraquezas.","Меняй различные боеприпасы для самострела. Подстраивайся под поведение противника. Используй их слабости.","Cambia entre diferentes municiones de ballesta. Adáptate al comportamiento de tus enemigos. Utiliza sus debilidades.","เลือกใช้กระสุนหน้าไม้ ปรับตัวตามท่าทีศัตรู ใช้จุดอ่อนของพวกมันให้เป็นผล","在不同的十字弓彈藥之間切換。適應不同敵人的習慣。放大並利用他們的弱點。","Art/Videos/CharacterCreation/MercAmmunition.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMercenary1.dds"
19,"Mercenary2","Elemental Rounds","Munitions élémentaires","Elementargeschosse","元素弾","원소 탄환","Cartuchos Elementais","Стихийные боезаряды","Saetas elementales","ลูกศรธาตุ","元素彈藥","Use cold to freeze them. Use fire rounds to set them aflame. Unleash cascading lightning bolts.","Utilisez le froid pour les geler, des munitions de feu pour les enflammer et décochez des carreaux de foudre en cascade.","Friert sie mit Kälte ein. Entzündet sie mit Feuerbolzen. Verschießt kaskadenartige Blitze.","冷気を用いて凍らせろ。火弾を使い発火しろ。連続して雷弾を放て。","냉기를 이용해 적을 동결시킵니다. 화염 탄환을 사용해 불태웁니다. 쏟아지는 번개 볼트를 날립니다.","Use gelo para congelá-los. Use disparos de fogo para incendiá-los. Lance raios em cascata.","Используй холод, чтобы заморозить их. Используй огненные снаряды, чтобы поджечь их. Выпусти каскады молний.","Usa el hielo para congelarlos, saetas de fuego para incendiarlos y saetas de rayo en cascada para desatar todo tu poder.","แช่แข็งพวกมันด้วยน้ำแข็ง จุดไฟพวกมันด้วยลูกศรไฟ ปลดปล่อยสายฟ้าออกมาเป็นระลอก","使用寒冰凍結他們。使用火焰彈藥讓他們著火。釋放大量傾瀉的雷彈。","Art/Videos/CharacterCreation/MercElementalRounds.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMercenary2.dds"
20,"Mercenary3","Versatile Range","Portée polyvalente","Universelle Reichweite","可変性射程","융통성 있는 원거리","Alcance Versátil","Урон издалека","Alcance versátil","หลากหลายระยะ","萬用射程","Adapt to enemy behaviour. Pick them off from afar. Destroy any that get close.","Adaptez-vous au comportement des ennemis. Eliminez-les à distance. Abattez ceux qui s'approchent.","Passt Euch dem Verhalten des Gegners an. Schaltet sie aus der Ferne aus. Zerstört alle, die sich nähern.","敵の行動に適応しろ。遠距離から狙い撃て。近づくものは破壊しろ。","적 행동에 대응합니다. 멀리서 적을 공격하며, 가까이 오는 적이 있으면 처단합니다.","Se adapte ao comportamento dos inimigos. Elimine-os de longe. Destrua qualquer um que se aproxime.","Подстраивайся под поведение противника. Отстреливай их издалека. Уничтожай всех, кто приблизится.","Adáptate al comportamiento de tus enemigos. Liquídalos desde lejos y destruye a los que se acerquen.","ปรับตัวตามท่าที่ศัตรู สอยพวกมันจากระยะไกล ทำลายผู้ที่เข้าใกล้","適應不同敵人的習慣。從遠處將他們解決。摧毀任何靠近的敵人。","Art/Videos/CharacterCreation/MercLongRange.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMercenary3.dds"
