"rownum","Id","Audio","OGGFiles","f32_32","f32_36","InheritFrom"
10,"TwilightOrder_Stigmata_Mace","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderStigmata/Vocals/Mace/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataMace/TwilightOrderStigmata_Mace_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataMace/TwilightOrderStigmata_Mace_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataMace/TwilightOrderStigmata_Mace_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataMace/TwilightOrderStigmata_Mace_Dialogue_Aggro_04.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
11,"TwilightOrder_Stigmata_Archer","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderStigmata/Vocals/Archer/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataArcher/TwilightOrderStigmata_Archer_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataArcher/TwilightOrderStigmata_Archer_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataArcher/TwilightOrderStigmata_Archer_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataArcher/TwilightOrderStigmata_Archer_Dialogue_Aggro_04.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
12,"TwilightOrder_Stigmata_Axe","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderStigmata/Vocals/Axe/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataAxe/TwilightOrderStigmata_Axe_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataAxe/TwilightOrderStigmata_Axe_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataAxe/TwilightOrderStigmata_Axe_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/StigmataAxe/TwilightOrderStigmata_Axe_Dialogue_Aggro_04.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
13,"TwilightOrder_Officer","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrder/Vocals/Officer/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderOfficer/TwilightOrder_Officer_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderOfficer/TwilightOrder_Officer_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderOfficer/TwilightOrder_Officer_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderOfficer/TwilightOrder_Officer_Dialogue_Aggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderOfficer/TwilightOrder_Officer_Dialogue_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderOfficer/TwilightOrder_Officer_Dialogue_Aggro_06.dialogue.ogg""]",0.5,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
14,"TwilightOrder_Cleric","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrder/Vocals/Cleric/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderCleric/TwilightOrder_Cleric_Vocals_Aggro_Tomorrow_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderCleric/TwilightOrder_Cleric_Vocals_Aggro_Tomorrow_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderCleric/TwilightOrder_Cleric_Vocals_Aggro_Tomorrow_03.dialogue.ogg""]",0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
15,"TwilightOrder_Sorcerer","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrder/Vocals/Sorcerer/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
16,"Karui_Ngamahu_2HAxe","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_2/Ngamahu_Monsters/NgamahuAxe/Vocals/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiNgamahu2HAxe/KaruiNgamahu_DialogueAggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiNgamahu2HAxe/KaruiNgamahu_DialogueAggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiNgamahu2HAxe/KaruiNgamahu_DialogueAggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiNgamahu2HAxe/KaruiNgamahu_DialogueAggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiNgamahu2HAxe/KaruiNgamahu_DialogueAggro_05.dialogue.ogg""]",0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
17,"Karui_Tasalio_FishingTaiaha","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_2/Tasalio_Monsters/Tasalio_FishingTaiaha/Vocals/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioFishingTaiaha/KaruiTasalioFishingTaiaha_DialogueAggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioFishingTaiaha/KaruiTasalioFishingTaiaha_DialogueAggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioFishingTaiaha/KaruiTasalioFishingTaiaha_DialogueAggro_03.dialogue.ogg""]",0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
18,"FallenKaruiSoulCaster","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/KaruiSoulCaster/Vocals/SoulCaster_AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiSoulCaster/KaruiSoulCaster_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiSoulCaster/KaruiSoulCaster_Dialogue_Aggro_02.dialogue.ogg""]",0.25,0.25,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
19,"Karui_Tasalio_SpearThrower","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_2/Tasalio_Monsters/Tasalio_SpearThrower/Vocals/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioSpearThrower/KaruiTasalioSpearThrower_DialogueAggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioSpearThrower/KaruiTasalioSpearThrower_DialogueAggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioSpearThrower/KaruiTasalioSpearThrower_DialogueAggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioSpearThrower/KaruiTasalioSpearThrower_DialogueAggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioSpearThrower/KaruiTasalioSpearThrower_DialogueAggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiTasalioSpearThrower/KaruiTasalioSpearThrower_DialogueAggro_06.dialogue.ogg""]",0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
20,"FallenKaruiShield","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/FallenKarui/FallenShield/Vocals/FallenShield_AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenShield/FallenKaruiShield_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenShield/FallenKaruiShield_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenShield/FallenKaruiShield_Dialogue_Aggro_03.dialogue.ogg""]",0.25,0.25,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
21,"FallenKaruiHorn","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/FallenKarui/FallenHorn/Vocals/FallenHorn_AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenHorn/FallenKaruiHorn_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenHorn/FallenKaruiHorn_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenHorn/FallenKaruiHorn_Dialogue_Aggro_03.dialogue.ogg""]",0.25,0.25,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
22,"Karui_Tasalio_WhipMace","event:/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_2/Tasalio_Monsters/Tasalio_WhipMace/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
23,"Excavator_Orb","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderExcavator/Vocals/Orb/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorOrb/Excavator_Orb_Dialogue_Aggro01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorOrb/Excavator_Orb_Dialogue_Aggro02.dialogue.ogg""]",0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
24,"Excavator_Scepter","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderExcavator/Vocals/Scepter/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorScepter/Excavator_Scepter_Vocals_Aggro01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorScepter/Excavator_Scepter_Vocals_Aggro02.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
25,"Excavator_Maul","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderExcavator/Vocals/Maul/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorMaul/Excavator_Maul_Dialogue_Aggro01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorMaul/Excavator_Maul_Dialogue_Aggro02.dialogue.ogg""]",0.5,0.25,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
26,"Excavator_Cleaver","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderExcavator/Vocals/Cleaver/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorCleaver/Excavator_Cleaver_Dialogue_Aggro01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorCleaver/Excavator_Cleaver_Dialogue_Aggro02.dialogue.ogg""]",0.25,0.25,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
27,"Excavator_Raptor","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrderExcavator/Vocals/Raptor/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorRaptor/Excavator_Raptor_Dialogue_Aggro01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorRaptor/Excavator_Raptor_Dialogue_Aggro02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorRaptor/Excavator_Raptor_Dialogue_Aggro03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/ExcavatorRaptor/Excavator_Raptor_Dialogue_Aggro04.dialogue.ogg""]",0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
28,"Breach_FallenGodLunaris","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/BreachFallenGodLunaris/Vocals/AggroSG",[],0,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
29,"Breach_FingersBat","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/FingersBat/Vocals/EmergeSG",[],0,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
30,"Breach_PaleFodder2","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/BreachHellscapePaleFodder2/Vocals/AggroSG",[],0,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
31,"Breach_CorruptedRanger","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/CorruptedRanged/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
32,"Breach_CorruptedIceMage","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/Breach_CorruptedIceMage/Vocal/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
33,"Breach_ElitePale1","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/BreachHellscapePaleElite1/VO/VO_AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
34,"Breach_SpikeThrower","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/DemonicSpikeThrowerBreach/Vocal/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
35,"VaalZealotDaggers","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act3/G3_14/VaalZealots/Vocals/Dagger/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_12.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_13.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_14.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_15.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_16.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotDagger/VaalDagger_Aggro_17.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
