"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32_44","AchievementItemsKey","i32_64"
79,3,38,[7742],[1140],6700,4,"",0
80,3,39,[7742],[1170],7030,4,"",0
81,3,40,[7742],[1200],7102,4,"",0
82,3,41,[7742],[1230],7737,4,"",0
83,3,42,[7742],[1260],8119,4,"",0
84,3,43,[7742],[1290],8202,4,"",0
85,3,44,[7742],[1320],8936,4,"",0
86,3,45,[7742],[1350],9376,4,"",0
87,3,46,[7742],[1380],9472,4,"",0
88,3,47,[7742],[1410],10319,4,"",0
89,3,48,[7742],[1440],10828,4,"",0
90,3,49,[7742],[1470],10939,4,"",0
91,3,50,[7742],[1500],11917,4,"",0
92,3,51,[7742],[1530],12505,4,"",0
93,3,52,[7742],[1560],12633,4,"",0
94,3,53,[7742],[1590],13763,4,"",0
95,3,54,[7742],[1620],14441,4,"",0
96,3,55,[7742],[1650],14589,4,"",0
97,3,56,[7742],[1680],15894,4,"",0
98,3,57,[7742],[1710],16677,4,"",0
99,3,58,[7742],[1740],16848,4,"",0
100,3,59,[7742],[1770],18355,4,"",0
101,3,60,[7742],[1800],19260,4,"",0
102,3,61,[7742],[1830],19457,4,"",0
103,3,62,[7742],[1860],21197,4,"",0
104,3,63,[7742],[1890],22242,4,"",0
105,3,64,[7742],[1920],22470,4,"",0
106,3,65,[7742],[1950],24479,4,"",0
107,3,66,[7742],[1980],25686,4,"",0
108,3,67,[7742],[2010],25949,4,"",0
109,3,68,[7742],[2040],28270,4,"",0
110,3,69,[7742],[2070],29664,4,"",0
111,3,70,[7742],[2100],29967,4,"",0
112,3,71,[7742],[2130],32647,4,"",0
113,3,72,[7742],[2160],34257,4,"",0
114,3,73,[7742],[2190],34607,4,"",0
115,3,74,[7742],[2220],37702,4,"",0
116,3,75,[7742],[2250],39562,4,"",0
117,3,76,[7742],[2280],39966,4,"",0
118,3,77,[7742],[2310],43540,4,"",0
119,3,78,[7742],[2340],45688,4,"",0
120,3,79,[7742],[2370],46155,4,"",0
121,3,80,[7742],[2400],50282,4,"",0
122,3,81,[7742],[2430],52762,4,"",0
123,3,82,[7742],[2460],53302,4,"",0
124,3,83,[7742],[2490],58069,4,"",0
125,3,84,[7742],[2520],60932,4,"",0
126,3,85,[7742],[2550],61555,4,"",0
127,3,86,[7742],[2580],67060,4,"",0
128,3,87,[7742],[2610],70367,4,"",0
129,3,88,[7742],[2640],71087,4,"",0
130,3,89,[7742],[2670],77444,4,"",0
131,3,90,[7742],[2700],81264,4,"",0
132,3,91,[7742],[2730],82095,4,"",0
133,3,92,[7742],[2760],89436,4,"",0
134,3,93,[7742],[2790],93847,4,"",0
135,3,94,[7742],[2820],94807,4,"",0
136,3,95,[7742],[2850],103285,4,"",0
137,3,96,[7742],[2880],108379,4,"",0
138,3,97,[7742],[2910],109487,4,"",0
139,3,98,[7742],[2940],119279,4,"",0
140,3,99,[7742],[2970],125161,4,"",0
141,3,100,[7742],[3000],126441,4,"",0
142,3,101,[7742],[3030],137749,4,"",0
143,3,102,[7742],[3060],144542,4,"",0
144,3,103,[7742],[3090],146020,4,"",0
145,3,104,[7742],[3120],159078,4,"",0
146,3,105,[7742],[3150],166924,4,"",0
147,4,0,[7743],[0],0,0,"",0
148,4,1,[7743],[30],121,0,"",6
149,4,2,[7743],[60],233,0,"",13
150,4,3,[7743],[90],396,0,"",20
151,4,4,[7743],[120],598,0,"",25
152,4,5,[7743],[150],850,0,"",29
153,4,6,[7743],[180],1111,0,"",35
154,4,7,[7743],[210],1273,0,"",0
155,4,8,[7743],[240],1385,0,"",0
156,4,9,[7743],[270],1576,0,"",0
157,4,10,[7743],[300],1714,0,"",0
158,4,11,[7743],[330],1811,0,"",0
159,4,12,[7743],[360],2072,0,"",0
160,4,13,[7743],[390],2235,0,"",0
161,4,14,[7743],[420],2205,0,"",0
162,4,15,[7743],[450],2345,0,"",0
163,4,16,[7743],[480],2402,0,"",0
164,4,17,[7743],[510],2369,0,"",0
165,4,18,[7743],[540],2581,0,"",0
166,4,19,[7743],[570],2709,0,"",0
167,4,20,[7743],[600],2736,0,"",0
168,4,21,[7743],[630],2981,0,"",0
169,4,22,[7743],[660],3128,0,"",0
170,4,23,[7743],[690],3160,0,"",0
171,4,24,[7743],[720],3443,0,"",0
172,4,25,[7743],[750],3612,0,"",0
173,4,26,[7743],[780],3649,0,"",0
174,4,27,[7743],[810],3976,0,"",0
175,4,28,[7743],[840],4172,0,"",0
176,4,29,[7743],[870],4215,0,"",0
177,4,30,[7743],[900],4591,0,"",0
178,4,31,[7743],[930],4818,0,"",0
179,4,32,[7743],[960],4867,0,"",0
180,4,33,[7743],[990],5302,0,"",0
181,4,34,[7743],[1020],5564,0,"",0
182,4,35,[7743],[1050],5621,0,"",0
183,4,36,[7743],[1080],6123,0,"",0
184,4,37,[7743],[1110],6425,0,"",0
185,4,38,[7743],[1140],6491,0,"",0
186,4,39,[7743],[1170],7072,0,"",0
187,4,40,[7743],[1200],7420,0,"",0
188,4,41,[7743],[1230],7496,0,"",0
189,4,42,[7743],[1260],8167,0,"",0
190,4,43,[7743],[1290],8569,0,"",0
191,4,44,[7743],[1320],8657,0,"",0
192,4,45,[7743],[1350],9431,0,"",0
193,4,46,[7743],[1380],9896,0,"",0
194,4,47,[7743],[1410],9998,0,"",0
195,4,48,[7743],[1440],10892,0,"",0
196,4,49,[7743],[1470],11429,0,"",0
197,4,50,[7743],[1500],11546,0,"",0
198,4,51,[7743],[1530],12578,0,"",0
199,4,52,[7743],[1560],13199,0,"",0
200,4,53,[7743],[1590],13334,0,"",0
201,4,54,[7743],[1620],14526,0,"",0
202,4,55,[7743],[1650],15242,0,"",0
203,4,56,[7743],[1680],15398,0,"",0
204,4,57,[7743],[1710],16775,0,"",0
205,4,58,[7743],[1740],17603,0,"",0
206,4,59,[7743],[1770],17783,0,"",0
207,4,60,[7743],[1800],19373,0,"",0
208,4,61,[7743],[1830],20328,0,"",0
209,4,62,[7743],[1860],20536,0,"",0
210,4,63,[7743],[1890],22373,0,"",0
211,4,64,[7743],[1920],23476,0,"",0
212,4,65,[7743],[1950],23716,0,"",0
213,4,66,[7743],[1980],25837,0,"",0
214,4,67,[7743],[2010],27111,0,"",0
215,4,68,[7743],[2040],27388,0,"",0
216,4,69,[7743],[2070],29838,0,"",0
217,4,70,[7743],[2100],31309,0,"",0
218,4,71,[7743],[2130],31629,0,"",0
219,4,72,[7743],[2160],34458,0,"",0
220,4,73,[7743],[2190],36157,0,"",0
221,4,74,[7743],[2220],36527,0,"",0
222,4,75,[7743],[2250],39794,0,"",0
223,4,76,[7743],[2280],41756,0,"",0
224,4,77,[7743],[2310],42183,0,"",0
225,4,78,[7743],[2340],45956,0,"",0
226,4,79,[7743],[2370],48222,0,"",0
227,4,80,[7743],[2400],48715,0,"",0
228,4,81,[7743],[2430],53072,0,"",0
229,4,82,[7743],[2460],55689,0,"",0
230,4,83,[7743],[2490],56258,0,"",0
231,4,84,[7743],[2520],61290,0,"",0
232,4,85,[7743],[2550],64312,0,"",0
233,4,86,[7743],[2580],64970,0,"",0
234,4,87,[7743],[2610],70780,0,"",0
235,4,88,[7743],[2640],74271,0,"",0
236,4,89,[7743],[2670],75030,0,"",0
237,4,90,[7743],[2700],81740,0,"",0
238,4,91,[7743],[2730],85771,0,"",0
239,4,92,[7743],[2760],86648,0,"",0
240,4,93,[7743],[2790],94398,0,"",0
241,4,94,[7743],[2820],99053,0,"",0
242,4,95,[7743],[2850],100066,0,"",0
243,4,96,[7743],[2880],109015,0,"",0
244,4,97,[7743],[2910],114391,0,"",0
245,4,98,[7743],[2940],115561,0,"",0
246,4,99,[7743],[2970],125895,0,"",0
247,4,100,[7743],[3000],132104,0,"",0
248,4,101,[7743],[3030],133455,0,"",0
249,4,102,[7743],[3060],145390,0,"",0
250,4,103,[7743],[3090],152560,0,"",0
251,4,104,[7743],[3120],154120,0,"",0
252,4,105,[7743],[3150],167903,0,"",0
253,7,0,[7745],[0],0,0,"",0
254,7,1,[7745],[15],96,0,"",0
255,7,2,[7745],[40],203,0,"",0
256,7,3,[7745],[75],366,0,"",0
257,7,4,[7745],[100],520,0,"",0
258,7,5,[7745],[125],763,0,"",0
259,7,6,[7745],[150],1136,0,"",0
260,7,7,[7745],[175],1349,0,"",0
261,7,8,[7745],[200],1661,0,"",0
262,7,9,[7745],[225],2007,0,"",0
263,7,10,[7745],[250],2213,0,"",0
264,8,0,[7746],[0],0,0,"",0
265,8,1,[7746],[30],101,0,"",6
266,8,2,[7746],[60],261,0,"",13
267,8,3,[7746],[90],451,0,"",20
268,8,4,[7746],[120],719,0,"",25
269,8,5,[7746],[150],1021,0,"",29
270,8,6,[7746],[180],1379,0,"",35
271,8,7,[7746],[210],1658,0,"",0
272,8,8,[7746],[240],1808,0,"",0
273,8,9,[7746],[270],2077,0,"",0
274,8,10,[7746],[300],2259,0,"",0
275,8,11,[7746],[330],2377,0,"",0
276,8,12,[7746],[360],2721,0,"",0
277,8,13,[7746],[390],2970,0,"",0
278,8,14,[7746],[420],2929,0,"",0
279,8,15,[7746],[450],3116,0,"",0
280,8,16,[7746],[480],3191,0,"",0
281,8,17,[7746],[510],3148,0,"",0
282,8,18,[7746],[540],3429,0,"",0
283,8,19,[7746],[570],3599,0,"",0
284,8,20,[7746],[600],3635,0,"",0
285,8,21,[7746],[630],3961,0,"",0
286,8,22,[7746],[660],4156,0,"",0
287,8,23,[7746],[690],4198,0,"",0
288,8,24,[7746],[720],4574,0,"",0
289,8,25,[7746],[750],4799,0,"",0
290,8,26,[7746],[780],4848,0,"",0
291,8,27,[7746],[810],5282,0,"",0
292,8,28,[7746],[840],5543,0,"",0
293,8,29,[7746],[870],5599,0,"",0
294,8,30,[7746],[900],6100,0,"",0
295,8,31,[7746],[930],6401,0,"",0
296,8,32,[7746],[960],6466,0,"",0
297,8,33,[7746],[990],7044,0,"",0
298,8,34,[7746],[1020],7392,0,"",0
299,8,35,[7746],[1050],7467,0,"",0
300,8,36,[7746],[1080],8135,0,"",0
301,8,37,[7746],[1110],8537,0,"",0
302,8,38,[7746],[1140],8624,0,"",0
303,8,39,[7746],[1170],9395,0,"",0
304,8,40,[7746],[1200],9858,0,"",0
305,8,41,[7746],[1230],9959,0,"",0
306,8,42,[7746],[1260],10850,0,"",0
307,8,43,[7746],[1290],11385,0,"",0
308,8,44,[7746],[1320],11501,0,"",0
309,8,45,[7746],[1350],12530,0,"",0
310,8,46,[7746],[1380],13148,0,"",0
311,8,47,[7746],[1410],13282,0,"",0
312,8,48,[7746],[1440],14470,0,"",0
313,8,49,[7746],[1470],15184,0,"",0
314,8,50,[7746],[1500],15339,0,"",0
315,8,51,[7746],[1530],16711,0,"",0
316,8,52,[7746],[1560],17535,0,"",0
317,8,53,[7746],[1590],17714,0,"",0
318,8,54,[7746],[1620],19298,0,"",0
319,8,55,[7746],[1650],20250,0,"",0
320,8,56,[7746],[1680],20457,0,"",0
321,8,57,[7746],[1710],22287,0,"",0
322,8,58,[7746],[1740],23386,0,"",0
323,8,59,[7746],[1770],23625,0,"",0
324,8,60,[7746],[1800],25738,0,"",0
325,8,61,[7746],[1830],27007,0,"",0
326,8,62,[7746],[1860],27283,0,"",0
327,8,63,[7746],[1890],29723,0,"",0
328,8,64,[7746],[1920],31189,0,"",0
329,8,65,[7746],[1950],31508,0,"",0
330,8,66,[7746],[1980],34326,0,"",0
331,8,67,[7746],[2010],36018,0,"",0
332,8,68,[7746],[2040],36387,0,"",0
333,8,69,[7746],[2070],39641,0,"",0
334,8,70,[7746],[2100],41596,0,"",0
335,8,71,[7746],[2130],42021,0,"",0
336,8,72,[7746],[2160],45779,0,"",0
337,8,73,[7746],[2190],48037,0,"",0
338,8,74,[7746],[2220],48528,0,"",0
339,8,75,[7746],[2250],52868,0,"",0
340,8,76,[7746],[2280],55475,0,"",0
341,8,77,[7746],[2310],56042,0,"",0
342,8,78,[7746],[2340],61054,0,"",0
343,8,79,[7746],[2370],64065,0,"",0
344,8,80,[7746],[2400],64720,0,"",0
345,8,81,[7746],[2430],70508,0,"",0
346,8,82,[7746],[2460],73985,0,"",0
347,8,83,[7746],[2490],74742,0,"",0
348,8,84,[7746],[2520],81426,0,"",0
349,8,85,[7746],[2550],85442,0,"",0
350,8,86,[7746],[2580],86315,0,"",0
351,8,87,[7746],[2610],94035,0,"",0
352,8,88,[7746],[2640],98672,0,"",0
353,8,89,[7746],[2670],99681,0,"",0
354,8,90,[7746],[2700],108595,0,"",0
355,8,91,[7746],[2730],113951,0,"",0
356,8,92,[7746],[2760],115116,0,"",0
357,8,93,[7746],[2790],125411,0,"",0
358,8,94,[7746],[2820],131596,0,"",0
359,8,95,[7746],[2850],132942,0,"",0
360,8,96,[7746],[2880],144831,0,"",0
361,8,97,[7746],[2910],151973,0,"",0
362,8,98,[7746],[2940],153527,0,"",0
363,8,99,[7746],[2970],167257,0,"",0
364,8,100,[7746],[3000],175506,0,"",0
365,8,101,[7746],[3030],177300,0,"",0
366,8,102,[7746],[3060],193156,0,"",0
367,8,103,[7746],[3090],202682,0,"",0
368,8,104,[7746],[3120],204755,0,"",0
369,8,105,[7746],[3150],223066,0,"",0
370,5,0,[7744],"[0,0]",0,0,"",0
371,5,1,[7744],"[25,1]",110,0,"",0
372,5,2,[7744],"[50,1]",419,0,"",0
373,5,3,[7744],"[75,2]",872,0,"",0
374,5,4,[7744],"[100,2]",1437,0,"",0
375,5,5,[7744],"[125,3]",1899,0,"",0
376,9,0,[7783],[14000],0,0,"",0
377,9,1,[7783],[15000],77,0,"",0
378,9,2,[7783],[16000],166,0,"",0
379,9,3,[7783],[17000],309,0,"",0
380,9,4,[7783],[18000],467,0,"",0
381,9,5,[7783],[19000],635,0,"",0
382,9,6,[7783],[20000],1046,0,"",0
383,9,7,[7783],[21000],1246,0,"",0
384,9,8,[7783],[22000],1423,0,"",0
385,9,9,[7783],[23000],1859,0,"",0
386,9,10,[7783],[24000],1973,0,"",0
