"rownum","Id","BaseItemType","UniqueName","ItemVisualIdentity","FlavourText","Rarity","ItemLevel","bool_92"
159,"GreaterEssenceColdResist",151,"","","","",1,""
160,"GreaterEssenceLightningResist",155,"","","","",1,""
161,"GreaterEssenceSpeedCaster",159,"","","","",1,""
162,"GreaterEssenceRarity",163,"","","","",1,""
163,"GreaterEssenceAlly",167,"","","","",1,""
164,"OrbOfAlchemy",9,"","","","",5,""
165,"StrongboxKey",5492,"","","","",1,""
166,"SacrificialRegalia",2667,"","","","",65,""
167,"JewelleryQualityLife",277,"","","","",30,""
168,"JewelleryQualityMana",278,"","","","",30,""
169,"JewelleryQualityDefences",279,"","","","",30,""
170,"JewelleryQualityPhysical",280,"","","","",30,""
171,"JewelleryQualityFire",281,"","","","",30,""
172,"JewelleryQualityCold",282,"","","","",30,""
173,"JewelleryQualityLightning",283,"","","","",30,""
174,"JewelleryQualityChaos",284,"","","","",30,""
175,"JewelleryQualityAttack",285,"","","","",30,""
176,"JewelleryQualityCaster",286,"","","","",30,""
177,"JewelleryQualitySpeed",287,"","","","",30,""
178,"JewelleryQualityAttribute",288,"","","","",30,""
179,"JewelleryQualityMinion",289,"","","","",30,""
180,"CrimsonAmulet",2564,"","","","",1,""
181,"AzureAmulet",2565,"","","","",1,""
182,"AmberAmulet",2566,"","","","",8,""
183,"JadeAmulet",2567,"","","","",8,""
184,"LapisAmulet",2568,"","","","",8,""
185,"LunarAmulet",2569,"","","","",14,""
186,"BloodstoneAmulet",2570,"","","","",18,""
187,"StellarAmulet",2571,"","","","",25,""
188,"SolarAmulet",2572,"","","","",30,""
189,"GoldAmulet",2573,"","","","",35,""
190,"BiostaticRing",2598,"","","","",52,""
191,"VitalicRing",2599,"","","","",40,""
192,"MnemonicRing",2600,"","","","",40,""
193,"KineticRing",2601,"","","","",40,""
194,"OneiricRing",2602,"","","","",47,""
195,"GraspingRing",2603,"","","","",40,""
196,"LamentAmulet",2579,"","","","",42,""
197,"PortentAmulet",2580,"","","","",42,""
198,"AbsentAmulet",2581,"","","","",50,""
199,"CoronaAmulet",2582,"","","","",40,""
200,"UtilityBelt",2617,"","","","",55,""
201,"FineBelt",2618,"","","","",62,""
202,"StalkingBelt",2619,"","","","",50,""
203,"InvokingBelt",2620,"","","","",32,""
204,"SinewBelt",2621,"","","","",32,""
205,"ForkingBelt",2622,"","","","",32,""
206,"BreachlordSac",481,"","","","",1,""
207,"BreachRing",2687,"","","","",40,""
208,"RefinedBreachRing",2688,"","","","",40,""
209,"EssenceOfTheBreach",144,"","","","",1,""
210,"AlteredCollarbone",4886,"","","","",1,""
211,"VaultKeyWorldDrop",924,"","","","",65,""
212,"CurrencyRerollRemnant",5091,"","","","",1,""
213,"Verisium",5060,"","","","",13,""
