"rownum","Id","Icon_DDSFile","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Reward","QuestFlag"
10,"RingMagic","Art/2DItems/QuestItems/RewardJewellery.dds","Magic Ring","Bague magique","Magischer Ring","マジック指輪","마법 반지","Anel Mágico","Волшебное кольцо","Anillo mágico","แหวนเมจิก","魔法戒指","This quest will reward you with a magic Ring.","Vous obtiendrez une Bague magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Ring.","このクエストはマジック指輪が報酬として与えられる。","마법 반지를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um anel mágico.","В награду за это задание вы получите волшебное кольцо.","Esta misión te dará un anillo mágico como recompensa.","เควสต์นี้จะให้รางวัลเป็น แหวนเมจิก","此任務會給你一顆魔法戒指做為獎勵。","",""
11,"RingRare","Art/2DItems/QuestItems/RewardJewellery.dds","Rare Ring","Bague rare","Seltener Ring","レア指輪","희귀 반지","Anel Raro","Редкое кольцо","Anillo raro","แหวนแรร์","稀有戒指","This quest will reward you with a rare Ring.","Vous obtiendrez une Bague rare en récompense de cette quête.","Diese Quest belohnt dich mit einem seltenen Ring.","このクエストはレア指輪が報酬として与えられる。","희귀 반지를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um anel raro.","В награду за это задание вы получите редкое кольцо.","Esta misión te dará un anillo raro como recompensa.","เควสต์นี้จะให้รางวัลเป็น แหวนแรร์","此任務會給你一顆稀有戒指作為獎勵。","",""
12,"AmuletMagic","Art/2DItems/QuestItems/RewardAmulet.dds","Magic Amulet","Amulette magique","Magisches Amulett","マジックアミュレット","마법 목걸이","Amuleto Mágico","Волшебный амулет","Amuleto mágico","สร้อยเมจิก","魔法項鍊","This quest will reward you with a magic Amulet.","Vous obtiendrez une Amulette magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Amulett.","このクエストはマジックアミュレットが報酬として与えられる。","마법 목걸이를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um amuleto mágico.","В награду за это задание вы получите волшебный амулет.","Esta misión te dará un amuleto mágico como recompensa.","เควสต์นี้จะให้รางวัลเป็น สร้อยเมจิก","此任務會給你一條魔法項鍊做為獎勵。","",""
13,"FlaskMagic","Art/2DItems/QuestItems/RewardFlasks.dds","Magic Utility Flask","Flacon utilitaire magique","Magisches Hilfsfläschchen","マジックユーティリティフラスコ","마법 특수 플라스크","Frasco Utilitário Mágico","Волшебный особый флакон","Frasco de utilidad mágico","ขวดยาช่วยเหลือเมจิก","魔法功能藥劑","This quest will reward you with a magic Utility Flask.","Vous obtiendrez un Flacon utilitaire magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Hilfsfläschchen.","このクエストはマジックユーティリティフラスコが報酬として与えられる。","마법 특수 플라스크를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um frasco utilitário mágico.","В награду за это задание вы получите волшебный особый флакон.","Esta misión te dará un frasco de utilidad mágico como recompensa.","เควสต์นี้จะให้รางวัลเป็น ขวดยาช่วยเหลือเมจิก","此任務會給你一瓶魔法功能藥劑做為獎勵。","",""
14,"BootsMagic","Art/2DItems/QuestItems/RewardBoots.dds","Magic Boots","Bottes magiques","Magische Stiefel","マジック靴","마법 장화","Botas Mágicas","Волшебные сапоги","Botas mágicas","รองเท้าเมจิก","魔法長靴","This quest will reward you with a pair of magic Boots.","Vous obtiendrez une paire de Bottes magiques en récompense de cette quête.","Diese Quest belohnt dich mit einem Paar magischer Stiefel.","このクエストはマジック靴が報酬として与えられる。","마법 장화를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um par de botas mágicas.","В награду за это задание вы получите пару волшебных сапог.","Esta misión te dará un par de botas mágicas como recompensa.","เควสต์นี้จะให้รางวัลเป็น รองเท้าเมจิก","此任務會給你一雙魔法長靴做為獎勵。","",""
15,"GlovesMagic","Art/2DItems/QuestItems/RewardGloves.dds","Magic Gloves","Gants magiques","Magische Handschuhe","マジック手袋","마법 장갑","Luvas Mágicas","Волшебные перчатки","Guantes mágicos","ถุงมือเมจิก","魔法手套","This quest will reward you with a pair of magic Gloves.","Vous obtiendrez une paire de Gants magiques en récompense de cette quête.","Diese Quest belohnt dich mit einem Paar magischer Handschuhe.","このクエストはマジック手袋が報酬として与えられる。","마법 장갑을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um par de luvas mágicas.","В награду за это задание вы получите пару волшебных перчаток.","Esta misión te dará un par de guantes mágicos como recompensa.","เควสต์นี้จะให้รางวัลเป็น ถุงมือเมจิก","此任務會給你一雙魔法手套做為獎勵。","",""
16,"GlovesRare","Art/2DItems/QuestItems/RewardGloves.dds","Rare Gloves","Gants rares","Seltene Handschuhe","レア手袋","희귀 장갑","Luvas Raras","Редкие перчатки","Guantes raros","ถุงมือแรร์","稀有手套","This quest will reward you with a pair of rare Gloves.","Vous obtiendrez une paire de Gants rares en récompense de cette quête.","Diese Quest belohnt dich mit einem Paar seltener Handschuhe.","このクエストはレア手袋が報酬として与えられる。","희귀 장갑을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um par de luvas raras.","В награду за это задание вы получите пару редких перчаток.","Esta misión te dará un par de guantes raros como recompensa.","เควสต์นี้จะให้รางวัลเป็น ถุงมือแรร์","此任務會給你一雙稀有手套做為獎勵。","",""
17,"Helmet","Art/2DItems/QuestItems/RewardArmours.dds","Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔","This quest will reward you with a Helmet.","Vous obtiendrez un Casque en récompense de cette quête.","Diese Quest belohnt dich mit einem Helm.","このクエストは兜が報酬として与えられる。","투구를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um elmo.","В награду за это задание вы получите шлем.","Esta misión te dará un casco como recompensa.","เควสต์นี้จะให้รางวัลเป็น หมวก","此任務會給你一頂頭盔做為獎勵。","",""
18,"Gear","Art/2DItems/QuestItems/RewardGear.dds","Equippable Item","Objet équipable","Ausrüstbarer Gegenstand","装備可能アイテム","장착 가능 아이템","Item Equipável","Снаряжение","Objeto equipable","ไอเทมสวมใส่","可裝備物品","This quest will reward you with an equippable item.","Vous obtiendrez un objet équipable magiques en récompense de cette quête.","Diese Quest belohnt dich mit einem ausrüstbaren Gegenstand.","このクエストは装備可能アイテムが報酬として与えられる。","장착 가능 아이템을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um item equipável.","В награду за это задание вы получите надеваемый предмет снаряжения.","Esta misión te dará un objeto equipable como recompensa.","เควสต์นี้จะให้รางวัลเป็น ไอเทมสวมใส่","此任務會給你一件可裝備物品做為獎勵。","",""
19,"Weapons","Art/2DItems/QuestItems/RewardWeapons.dds","Weapon","Arme","Waffe","武器","무기","Arma","Оружие","Arma","อาวุธ","武器","This quest will reward you with a Weapon.","Vous obtiendrez une Arme en récompense de cette quête.","Diese Quest belohnt dich mit einer Waffe.","このクエストは武器が報酬として与えられる。","무기를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma arma.","В награду за это задание вы получите оружие.","Esta misión te dará un arma como recompensa.","เควสต์นี้จะให้รางวัลเป็น อาวุธ","此任務會給你一把武器做為獎勵。","",""
20,"MapMagic","Art/2DItems/QuestItems/RewardMap.dds","Waystone","Pierre de téléportation","Wegstein","ウェイストーン","경로석","Pedra-guia","Путевой камень","Piedra guía","ศิลานำทาง","換界石","This quest will reward you with a magic Waystone.","Vous obtiendrez une Pierre de téléportation magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Wegstein.","このクエストはマジックのウェイストーンが報酬として与えられる。","마법 경로석을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Pedra-guia mágica.","В награду за это задание вы получите волшебный путевой камень.","Esta misión te dará una piedra guía mágica como recompensa.","เควสต์นี้จะให้รางวัลเป็น ศิลานำทางเมจิก","此任務會給你一個魔法換界石做為獎勵。","",""
21,"CraftingBench","Art/2DItems/QuestItems/RewardCraftingBench.dds","Salvage Bench Unlock","Déblocage de l'Établi de recyclage","Freischaltung der Verwertungswerkbank","サルベージベンチアンロック","분해 작업대 해제","Desbloquear Bancada de Reciclagem","Открытие верстака для разборки","Desbloqueo de la mesa de reciclaje","ปลดล็อกโต๊ะรื้อ","解鎖回收台","This quest will unlock use of the Salvage Bench.","Cette quête débloquera l'utilisation de l'Établi de recyclage.","Diese Quest schaltet die Verwertungswerkbank frei.","このクエストはサルベージベンチの使用をアンロックする。","퀘스트 완료 시 분해 작업대를 사용할 수 있게 됩니다.","Ao concluir esta missão, você desbloqueia a Bancada de Reciclagem.","Это задание откроет доступ к верстаку для разборки.","Esta misión desbloqueará la mesa de reciclaje.","เควสต์นี้จะปลดล็อกการใช้โต๊ะรื้อ","這個任務會解鎖回收台的使用權。","",""
22,"AtlasPassivePoints","Art/2DItems/QuestItems/RewardAtlasPassive.dds","Atlas Passive Points","Points de Talent de l'Atlas","Passive Atlas-Punkte","アトラスパッシブポイント","아틀라스 패시브 포인트","Pontos Passivos do Atlas","Пассивные умения Атласа","Puntos de pasivas del atlas","แต้มพาสซีฟแอตลาส","輿圖天賦點數","This quest will reward you with Atlas Passive Points.","Vous obtiendrez des points de Talent de l'Atlas en récompense de cette quête.","Diese Quest belohnt dich mit passiven Atlas-Punkten.","このクエストはアトラスパッシブポイントが報酬として与えられる。","아틀라스 패시브 포인트를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe pontos passivos do Atlas.","В награду за это задание вы получите очки пассивных умений Атласа.","Esta misión te dará puntos de pasivas del atlas como recompensa.","เควสต์นี้จะให้รางวัลเป็น แต้มพาสซีฟแอตลาส","此任務會給你輿圖天賦點數作為獎勵。","",""
23,"Charm","Art/2DItems/QuestItems/RewardCharms.dds","Charm","Charme","Phiole","チャーム","호신부","Patuá","Оберег","Vial","ของขลัง","護符","This quest will reward you with a Charm.","Vous obtiendrez un Charme en récompense de cette quête.","Diese Quest belohnt dich mit einer Phiole.","このクエストはチャームが報酬として与えられる。","호신부를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um patuá.","В награду за это задание вы получите оберег.","Esta misión te dará un vial como recompensa.","เควสต์นี้จะให้รางวัลเป็น ของขลัง","此任務會給你一個護符作為獎勵。","",""
24,"SpiritDraught1","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","Breuvage spirituel","Geisterschluck","スピリットの霊薬","정신력 영약","Tônico Espiritual","Вытяжка духа","Elixir de espíritu","ยาบำรุงวิญญาณ","精魂藥水","This quest will reward you with a Spirit Draught.","Vous obtiendrez un Breuvage spirituel en récompense de cette quête.","Diese Quest belohnt dich mit einem Geisterschluck.","このクエストはスピリットの霊薬が報酬として与えられる。","정신력 영약을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Tônico Espiritual.","В награду за это задание вы получите вытяжку духа.","Esta misión te dará un elixir de espíritu como recompensa.","เควสต์นี้จะให้รางวัลเป็น ยาบำรุงวิญญาณ","此任務會給你一瓶精魂藥水做為獎勵。",3640,""
25,"SpiritDraught2","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","Breuvage spirituel","Geisterschluck","スピリットの霊薬","정신력 영약","Tônico Espiritual","Вытяжка духа","Elixir de espíritu","ยาบำรุงวิญญาณ","精魂藥水","This quest will reward you with a Spirit Draught.","Vous obtiendrez un Breuvage spirituel en récompense de cette quête.","Diese Quest belohnt dich mit einem Geisterschluck.","このクエストはスピリットの霊薬が報酬として与えられる。","정신력 영약을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Tônico Espiritual.","В награду за это задание вы получите вытяжку духа.","Esta misión te dará un elixir de espíritu como recompensa.","เควสต์นี้จะให้รางวัลเป็น ยาบำรุงวิญญาณ","此任務會給你一瓶精魂藥水做為獎勵。",3661,""
26,"SpiritDraught3","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","Breuvage spirituel","Geisterschluck","スピリットの霊薬","정신력 영약","Tônico Espiritual","Вытяжка духа","Elixir de espíritu","ยาบำรุงวิญญาณ","精魂藥水","This quest will reward you with a Spirit Draught.","Vous obtiendrez un Breuvage spirituel en récompense de cette quête.","Diese Quest belohnt dich mit einem Geisterschluck.","このクエストはスピリットの霊薬が報酬として与えられる。","정신력 영약을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Tônico Espiritual.","В награду за это задание вы получите вытяжку духа.","Esta misión te dará un elixir de espíritu como recompensa.","เควสต์นี้จะให้รางวัลเป็น ยาบำรุงวิญญาณ","此任務會給你一瓶精魂藥水做為獎勵。",3701,""
27,"PrecursorTablet","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Tablet","Tablette","Tafel","石板","서판","Tábua","Плитка","Tablilla","แผ่นหิน","碑牌","This quest will reward you with a Tablet.","Vous obtiendrez une Tablette en récompense de cette quête.","Diese Quest belohnt dich mit einer Tafel.","このクエストは石板が報酬として与えられる。","서판을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma tábua.","В награду за это задание вы получите плитку.","Esta misión te dará una tablilla como recompensa.","เควสต์นี้จะให้รางวัลเป็น แผ่นหิน","此任務會給你一個碑牌做為獎勵。","",""
28,"DistilledEmotion1","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Distilled Emotion","Émotion distillée","Flüssige Emotion","蒸留された感情","정제된 감정","Emoção Destilada","Очищенная эмоция","Emoción destilada","สารกลั่นอารมณ์","精煉的情感","This quest will reward you with a Distilled Emotion.","Vous obtiendrez une Émotion distillée en récompense de cette quête.","Diese Quest belohnt dich mit einer Flüssigen Emotion.","このクエストは蒸留された感情が報酬として与えられる。","정제된 감정을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Emoção Destilada.","В награду за это задание вы получите очищенную эмоцию.","Esta misión te dará una emoción destilada como recompensa.","เควสต์นี้จะให้รางวัลเป็น สารกลั่นอารมณ์","此任務會給你一個精煉的情感做為獎勵。",1090,""
29,"DistilledEmotion2","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Distilled Emotion","Émotion distillée","Flüssige Emotion","蒸留された感情","정제된 감정","Emoção Destilada","Очищенная эмоция","Emoción destilada","สารกลั่นอารมณ์","精煉的情感","This quest will reward you with a Distilled Emotion.","Vous obtiendrez une Émotion distillée en récompense de cette quête.","Diese Quest belohnt dich mit einer Flüssigen Emotion.","このクエストは蒸留された感情が報酬として与えられる。","정제된 감정을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Emoção Destilada.","В награду за это задание вы получите очищенную эмоцию.","Esta misión te dará una emoción destilada como recompensa.","เควสต์นี้จะให้รางวัลเป็น สารกลั่นอารมณ์","此任務會給你一個精煉的情感做為獎勵。",1091,""
30,"DistilledEmotion3","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Distilled Emotion","Émotion distillée","Flüssige Emotion","蒸留された感情","정제된 감정","Emoção Destilada","Очищенная эмоция","Emoción destilada","สารกลั่นอารมณ์","精煉的情感","This quest will reward you with a Distilled Emotion.","Vous obtiendrez une Émotion distillée en récompense de cette quête.","Diese Quest belohnt dich mit einer Flüssigen Emotion.","このクエストは蒸留された感情が報酬として与えられる。","정제된 감정을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Emoção Destilada.","В награду за это задание вы получите очищенную эмоцию.","Esta misión te dará una emoción destilada como recompensa.","เควสต์นี้จะให้รางวัลเป็น สารกลั่นอารมณ์","此任務會給你一個精煉的情感做為獎勵。",1092,""
31,"DistilledEmotion4","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Distilled Emotion","Émotion distillée","Flüssige Emotion","蒸留された感情","정제된 감정","Emoção Destilada","Очищенная эмоция","Emoción destilada","สารกลั่นอารมณ์","精煉的情感","This quest will reward you with a Distilled Emotion.","Vous obtiendrez une Émotion distillée en récompense de cette quête.","Diese Quest belohnt dich mit einer Flüssigen Emotion.","このクエストは蒸留された感情が報酬として与えられる。","정제된 감정을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Emoção Destilada.","В награду за это задание вы получите очищенную эмоцию.","Esta misión te dará una emoción destilada como recompensa.","เควสต์นี้จะให้รางวัลเป็น สารกลั่นอารมณ์","此任務會給你一個精煉的情感做為獎勵。",1093,""
32,"DistilledEmotion5","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Distilled Emotion","Émotion distillée","Flüssige Emotion","蒸留された感情","정제된 감정","Emoção Destilada","Очищенная эмоция","Emoción destilada","สารกลั่นอารมณ์","精煉的情感","This quest will reward you with a Distilled Emotion.","Vous obtiendrez une Émotion distillée en récompense de cette quête.","Diese Quest belohnt dich mit einer Flüssigen Emotion.","このクエストは蒸留された感情が報酬として与えられる。","정제된 감정을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Emoção Destilada.","В награду за это задание вы получите очищенную эмоцию.","Esta misión te dará una emoción destilada como recompensa.","เควสต์นี้จะให้รางวัลเป็น สารกลั่นอารมณ์","此任務會給你一個精煉的情感做為獎勵。",1094,""
33,"BookOfSpecialisation1","Art/2DItems/QuestItems/RewardBook.dds","Book of Specialisation","Livre de Spécialisation","Buch der Spezialisierung","特化の書","특화의 서","Livro de Especialização","Книга специализации","Libro de especialización","คัมภีร์เฉพาะทาง","專精之書","This quest will reward you with a Book of Specialisation.","Vous obtiendrez un Livre de Spécialisation en récompense de cette quête.","Diese Quest belohnt dich mit einem Buch der Spezialisierung.","このクエストは特化の書が報酬として与えられる。","특화의 서를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Livro de Especialização.","В награду за это задание вы получите Книгу специализации.","Esta misión te dará un libro de especialización como recompensa.","เควสต์นี้จะให้รางวัลเป็น คัมภีร์เฉพาะทาง","此任務會給你一本專精之書做為獎勵。",3638,999
34,"BookOfSpecialisation2","Art/2DItems/QuestItems/RewardBook.dds","Book of Specialisation","Livre de Spécialisation","Buch der Spezialisierung","特化の書","특화의 서","Livro de Especialização","Книга специализации","Libro de especialización","คัมภีร์เฉพาะทาง","專精之書","This quest will reward you with a Book of Specialisation.","Vous obtiendrez un Livre de Spécialisation en récompense de cette quête.","Diese Quest belohnt dich mit einem Buch der Spezialisierung.","このクエストは特化の書が報酬として与えられる。","특화의 서를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Livro de Especialização.","В награду за это задание вы получите Книгу специализации.","Esta misión te dará un libro de especialización como recompensa.","เควสต์นี้จะให้รางวัลเป็น คัมภีร์เฉพาะทาง","此任務會給你一本專精之書做為獎勵。",3638,1000
