"rownum","Id","Title","Title (French)","Title (German)","Title (Japanese)","Title (Korean)","Title (Portuguese)","Title (Russian)","Title (Spanish)","Title (Thai)","Title (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","f32_24","UIArt","SoundEffect","Video","[i32]_60","rid_76","rid_92","i32_108","i32_112"
13,"ExpeditionComplete","Expedition Complete","Expédition terminée","Expedition abgeschlossen","エクスペディションを完了した","탐험 완료","Expedição Concluída","Экспедиция завершена","Expedición completada","กองสำรวจสำเร็จแล้ว","探險完成","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupExpeditionOneLine",1081,"Art/Videos/Completion_ATLAS.bk2","[180,56,480,50]","","",50,64
14,"LogbookComplete","Logbook Complete","Journal de bord terminé","Logbuch abgeschlossen","ログブックを完了した","미완료","Diário Concluído","Журнал завершён","Registro de expedición\ncompletado","สมุดปูมเดินทางสำเร็จแล้ว","日誌完成","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupExpeditionOneLine",1081,"Art/Videos/Completion_ATLAS.bk2","[180,56,480,50]","","",50,64
15,"AtlasMasterDoryaniPointGained","Doryani's Science Point Gained","Doryani's Science Point Gained","Doryanis Wissenschaft - Punkt erhalten","ドリヤニの科学のポイントを獲得した","도리아니의 과학 포인트 획득","Ganhou ponto de Ciência de Doryani","Получено очко науки Дориани","Punto de Ciencia de Doryani obtenido","ได้รับแต้มสำหรับวิถีวิทยาศาสตร์ของดอร์ยานี","已獲得多里亞尼的科學點數","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupAtlasDoryaniOneLine",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
16,"AtlasMasterHildaPointGained","Hilda's Hunting Point Gained","Hilda's Hunting Point Gained","Hildas Jagd - Punkt erhalten","ヒルダの狩猟のポイントを獲得した","힐다의 사냥 포인트 획득","Ganhou ponto de Caça de Hilda","Получено очко охоты Хильды","Punto de Caza de Hilda obtenido","ได้รับแต้มสำหรับวิถีพรานของฮิลด้า","已獲得希爾妲的狩獵點數","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupAtlasHildaOneLine",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
17,"AtlasMasterJadoPointGained","Jado's Spycraft Point Gained","Jado's Spycraft Point Gained","Jados Spionagekunst - Punkt erhalten","ジャドの諜報術のポイントを獲得した","자도의 첩보술 포인트 획득","Ganhou ponto de Espionagem de Jado","Получено очко шпионажа Джадо","Punto de Espionaje de Jado obtenido","ได้รับแต้มสำหรับวิถีจารชนของจาโด","已獲得賈多的諜報技術點數","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupAtlasJudoOneLine",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
18,"BreachHive","Breach Hive","Ruche de Brèche","Riss-Schwarm","ブリーチハイヴ","균열 벌레집","Colmeia da Fenda","Улей Разлома","Colmena de fisura","รวงรังบรีช","裂痕巢穴","Established in a nearby map","Établie dans une carte à proximité","Errichtet in einer nahegelegenen Karte.","近くのマップで構築された","주변의 지도에 자리 잡고 있음","Estabelecida em um mapa próximo","Сформировался на карте поблизости","Establecida en un mapa cercano","ก่อตัวในแผนที่ที่อยู่ใกล้ด่านหนึ่ง","已於周遭地圖中建立",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupBreach",1081,"Art/Videos/Completion_CELESTIAL.bk2","[180,56,480,50]","","",50,64
19,"SimulacrumUnlocked","Simulacrum Unlocked","Simulacrum Unlocked","Simulacrum freigeschaltet","シミュラクラムがアンロックされました","복제된 영토 해제됨","Simulacrum Desbloqueado","Разблокирован Симулякр","Simulacro desbloqueado","ปลดล็อกเมืองจำแลงแล้ว","已解鎖幻象異界","His madness flows through you - Seek the Raven Trickster","His madness flows through you - Seek the Raven Trickster","Sein Wahnsinn durchströmt Euch – Sucht den Rabenschwindler.","彼の狂気がお前の中に流れ込んでいる。レイヴン・トリックスターを探せ","그의 광기가 몸속을 흐릅니다. 큰까마귀 협잡꾼을 찾으십시오.","A loucura corre em suas veias. Busque o Corvo Trapaceiro.","Его безумие течёт сквозь тебя - Ищи Ворона-Плута","Su locura fluye a través de ti - Busca al Cuervo embaucador","ความบ้าคลั่งของเขาไหลเวียนผ่านตัวคุณ แสวงหาเทพเรเวนผู้ลวงหลอกเสีย","祂的瘋狂正流貫你全身 - 尋找渡鴉欺詐者",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupDelirium",1081,"Art/Videos/Completion_WHITE.bk2","[180,56,480,50]","","",40,48
20,"HiddenMapRevealed","Hidden Map Revealed","Hidden Map Revealed","Versteckte Karte enthüllt","隠されたマップが公開されました","숨겨진 지도 드러남","Mapa Oculto Revelado","Обнаружена скрытая карта","Mapa oculto revelado","เผยแผนที่เร้นลับแล้ว","已揭露隱藏地圖","View on the World Map","View on the World Map","Auf der Weltkarte anzeigen","ワールドマップで見る","세계 지도에서 확인","Ver no Mapa-múndi","Показать на карте","Ver en el mapa del mundo","ดูบนแผนที่โลก","在世界地圖上查看",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupDefault",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
21,"CitadelMapRevealed","Citadel Map Revealed","Citadel Map Revealed","Zitadellen-Karte enthüllt","城塞マップが公開されました","성채 지도 드러남","Mapa da Cidadela Revelado","Обнаружена карта цитадели","Mapa de Ciudadela revelado","เผยแผนที่ปราการแล้ว","已揭露要塞地圖","View on the World Map","View on the World Map","Auf der Weltkarte anzeigen","ワールドマップで見る","세계 지도에서 확인","Ver no Mapa-múndi","Показать на карте","Ver en el mapa del mundo","ดูบนแผนที่โลก","在世界地圖上查看",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMap",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
22,"RandomContentAdded","Ancient Modifier Discovered","Ancient Modifier Discovered","Uralten Modifikator entdeckt","古代モッドを発見した","고대 속성 발견","Modificador Antigo Descoberto","Открыто древнее свойство","Modificador antiguo descubierto","ค้นพบม็อดโบราณแล้ว","已發現遠古詞綴","View on the World Map","View on the World Map","Auf der Weltkarte anzeigen","ワールドマップで見る","세계 지도에서 확인","Ver no Mapa-múndi","Показать на карте","Ver en el mapa del mundo","ดูบนแผนที่โลก","在世界地圖上查看",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMap",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
