"rownum","Index","SkillGems","bool_20","string_21","string_21 (French)","string_21 (German)","string_21 (Japanese)","string_21 (Korean)","string_21 (Portuguese)","string_21 (Russian)","string_21 (Spanish)","string_21 (Thai)","string_21 (Traditional Chinese)"
60,61,[662],"","","","","","","","","","",""
61,62,[668],"","","","","","","","","","",""
62,63,[96],"","","","","","","","","","",""
63,64,[290],"","","","","","","","","","",""
64,65,[292],"","","","","","","","","","",""
65,66,[293],"","","","","","","","","","",""
66,67,[347],"","","","","","","","","","",""
67,68,[353],"","","","","","","","","","",""
68,69,[468],"","","","","","","","","","",""
69,70,[664],"","","","","","","","","","",""
70,71,[669],"","","","","","","","","","",""
71,72,[670],"","","","","","","","","","",""
72,73,[687],"","","","","","","","","","",""
73,74,[702],"","","","","","","","","","",""
74,75,[712],"","","","","","","","","","",""
75,76,[717],"","","","","","","","","","",""
76,77,[1],"","","","","","","","","","",""
77,78,[4],"","","","","","","","","","",""
78,79,[48],"","","","","","","","","","",""
79,80,[75],"","","","","","","","","","",""
80,81,[76],"","","","","","","","","","",""
81,82,[77],"","","","","","","","","","",""
82,83,[141],"","","","","","","","","","",""
83,84,[166],"","","","","","","","","","",""
84,85,[213],"","","","","","","","","","",""
85,86,[246],"","","","","","","","","","",""
86,87,[366],"","","","","","","","","","",""
87,88,[371],"","","","","","","","","","",""
88,89,[392],"","","","","","","","","","",""
89,90,[445],"","","","","","","","","","",""
90,91,[487],"","","","","","","","","","",""
91,92,[495],"","","","","","","","","","",""
92,93,[498],"","","","","","","","","","",""
93,94,[613],"","","","","","","","","","",""
94,95,[666],"","","","","","","","","","",""
95,96,[667],"","","","","","","","","","",""
96,97,[23],"","","","","","","","","","",""
97,98,[65],"","","","","","","","","","",""
98,99,[79],"","","","","","","","","","",""
99,100,[90],"","","","","","","","","","",""
100,101,[120],"","","","","","","","","","",""
101,102,[203],"","","","","","","","","","",""
102,103,[216],"","","","","","","","","","",""
103,104,[365],"","","","","","","","","","",""
104,105,[367],"","","","","","","","","","",""
105,106,[368],"","","","","","","","","","",""
106,107,[376],"","","","","","","","","","",""
107,108,[387],"","","","","","","","","","",""
108,109,[393],"","","","","","","","","","",""
109,110,[395],"","","","","","","","","","",""
110,111,[396],"","","","","","","","","","",""
111,112,[397],"","","","","","","","","","",""
112,113,[399],"","","","","","","","","","",""
113,114,[480],"","","","","","","","","","",""
114,115,[497],"","","","","","","","","","",""
115,116,[501],"","","","","","","","","","",""
116,117,[503],"","","","","","","","","","",""
117,118,[708],"","","","","","","","","","",""
118,119,[66],"","","","","","","","","","",""
119,120,[93],"","","","","","","","","","",""
120,121,[94],"","","","","","","","","","",""
121,122,[95],"","","","","","","","","","",""
122,123,[152],"","","","","","","","","","",""
123,124,[354],"","","","","","","","","","",""
124,125,[400],"","","","","","","","","","",""
125,126,[402],"","","","","","","","","","",""
126,127,[418],"","","","","","","","","","",""
127,128,[432],"","","","","","","","","","",""
128,129,[466],"","","","","","","","","","",""
129,130,[474],"","","","","","","","","","",""
130,131,[663],"","","","","","","","","","",""
131,132,[714],"","","","","","","","","","",""
132,133,[3],"","","","","","","","","","",""
133,134,[47],"","","","","","","","","","",""
134,135,[52],"","","","","","","","","","",""
135,136,[61],"","","","","","","","","","",""
136,137,[97],"","","","","","","","","","",""
137,138,[106],"","","","","","","","","","",""
138,139,[110],"","","","","","","","","","",""
139,140,[113],"","","","","","","","","","",""
140,141,[122],"","","","","","","","","","",""
141,142,[363],"","","","","","","","","","",""
142,143,[369],"","","","","","","","","","",""
143,144,[372],"","","","","","","","","","",""
144,145,[377],"","","","","","","","","","",""
145,146,[388],"","","","","","","","","","",""
146,147,[391],"","","","","","","","","","",""
147,148,[404],"","","","","","","","","","",""
148,149,[489],"","","","","","","","","","",""
149,150,[491],"","","","","","","","","","",""
150,151,[496],"","","","","","","","","","",""
151,152,[612],"","","","","","","","","","",""
152,153,[0],"","","","","","","","","","",""
153,154,[35],"","","","","","","","","","",""
154,155,[57],"","","","","","","","","","",""
155,156,[59],"","","","","","","","","","",""
156,157,[105],"","","","","","","","","","",""
157,158,[107],"","","","","","","","","","",""
158,159,[108],"","","","","","","","","","",""
159,160,[119],"","","","","","","","","","",""
160,161,[119],"","","","","","","","","","",""
161,162,[168],"","","","","","","","","","",""
162,163,[181],"","","","","","","","","","",""
163,164,[199],"","","","","","","","","","",""
164,165,[200],"","","","","","","","","","",""
165,166,[233],"","","","","","","","","","",""
166,167,[249],"","","","","","","","","","",""
167,168,[362],"","","","","","","","","","",""
168,169,[375],"","","","","","","","","","",""
169,170,[383],"","","","","","","","","","",""
170,171,[385],"","","","","","","","","","",""
171,172,[390],"","","","","","","","","","",""
172,173,[492],"","","","","","","","","","",""
173,174,[494],"","","","","","","","","","",""
174,175,[499],"","","","","","","","","","",""
175,176,[188],"","","","","","","","","","",""
176,177,[189],"","","","","","","","","","",""
177,178,[190],"","","","","","","","","","",""
178,179,[191],"","","","","","","","","","",""
179,180,[192],"","","","","","","","","","",""
180,181,[194],"","","","","","","","","","",""
181,182,[195],"","","","","","","","","","",""
182,183,[426],"","","","","","","","","","",""
183,184,[428],"","","","","","","","","","",""
184,185,[431],"","","","","","","","","","",""
185,186,[713],"","","","","","","","","","",""
186,187,[944],"","","","","","","","","","",""
187,188,[945],"","","","","","","","","","",""
188,189,[947],"","","","","","","","","","",""
189,190,[948],"","","","","","","","","","",""
190,191,[949],"","","","","","","","","","",""
191,192,[950],"","","","","","","","","","",""
192,193,[957],"","Tamed Companion","Compagnon dompté","Gezähmter Gefährte","テイムコンパニオン","길든 반려수","Companheiro Domado","Приручённый компаньон","Compañero domado","สหายที่ถูกกำราบ","馴服的盟友"
193,194,[952],"","","","","","","","","","",""
194,195,[953],"","","","","","","","","","",""
195,196,[956],"","","","","","","","","","",""
196,197,[959],"","","","","","","","","","",""
197,198,[960],"","","","","","","","","","",""
198,199,[713],"","","","","","","","","","",""
199,200,[39],"","Summon Spectre","Invocation de Spectre","Schemen beschwören","スペクター召喚","망령 부르기","Convocar Espectro","Призыв призрака","Invocar espectro","อัญเชิญสเปคเตอร์","召喚幽魂"
200,201,[957],"","Tamed Companion","Compagnon dompté","Gezähmter Gefährte","テイムコンパニオン","길든 반려수","Companheiro Domado","Приручённый компаньон","Compañero domado","สหายที่ถูกกำราบ","馴服的盟友"
201,202,[964],"","","","","","","","","","",""
202,203,[946],"","","","","","","","","","",""
203,204,[715],"","","","","","","","","","",""
204,205,[970],"","","","","","","","","","",""
205,206,[488],"","","","","","","","","","",""
206,207,[1040],"","","","","","","","","","",""
207,208,[1043],"","","","","","","","","","",""
208,209,[1049],"","","","","","","","","","",""
209,210,[1052],"","","","","","","","","","",""
210,211,[1060],"","","","","","","","","","",""
211,212,[1042],"","","","","","","","","","",""
212,213,[716],"","","","","","","","","","",""
213,214,[1059],"","","","","","","","","","",""
214,215,[294],"","","","","","","","","","",""
215,216,[78],"","","","","","","","","","",""
216,217,[104],"","","","","","","","","","",""
217,218,[183],"","","","","","","","","","",""
218,219,[251],"","","","","","","","","","",""
219,220,[252],"","","","","","","","","","",""
220,221,[268],"","","","","","","","","","",""
221,222,[270],"","","","","","","","","","",""
222,223,[277],"","","","","","","","","","",""
223,224,[288],"","","","","","","","","","",""
224,225,[289],"","","","","","","","","","",""
225,226,[360],"","","","","","","","","","",""
226,227,[967],"","","","","","","","","","",""
227,228,[969],"","","","","","","","","","",""
228,229,[971],"","","","","","","","","","",""
229,230,[972],"","","","","","","","","","",""
230,231,[975],"","","","","","","","","","",""
231,232,[976],"","","","","","","","","","",""
232,233,[980],"","","","","","","","","","",""
233,234,[984],"","","","","","","","","","",""
234,235,[985],"","","","","","","","","","",""
235,236,[987],"","","","","","","","","","",""
236,237,[988],"","","","","","","","","","",""
237,238,[1066],"","","","","","","","","","",""
238,239,[1067],"","","","","","","","","","",""
239,240,[1068],"","","","","","","","","","",""
240,241,[1069],"","","","","","","","","","",""
241,242,[1083],"","","","","","","","","","",""
242,243,[1084],"","","","","","","","","","",""
