"rownum","Id","Types","ExtraMods","TypesFiltered","PreviousTier","bool_72","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","[string]_91","BuffTemplates","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[rid]_135","TextAudio","rid_167","MapStats","MapStatValues","MapMods","i32_231","i32_235","i32_239","[i32]_243","i32_259","i32_263","bool_267","[i32]_268","i32_284","i32_288"
10,"PlayerDebuffBuffsExpireFasterDebuffsExpireSlower",[0],[],[],[],1,"Time Paradox","Paradox temporel","Zeitparadox","タイムパラドックス","시간 역설","Paradoxo Temporal","Временной парадокс","Paradoja temporal","กาลเวลาขัดแย้ง ระดับ 1","時間悖論","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",41777,[],[10],1,"[Buff|Buffs] on you expire 50% faster and [Debuff|Debuffs] on you expire 25% slower","Les [Buff|Effets bénéfiques] vous affectant expirent 50% plus rapidement et les [Debuff|Effets néfastes] vous affectant expirent 25% plus lentement","[Buff|Stärkungen] auf Euch klingen 50% schneller ab und [Debuff|Schwächungen] auf Euch klingen 25% langsamer ab","[Buff|バフ]の消失が50%速くなり、[Debuff|デバフ]の消失が25%遅くなる","플레이어에게 적용되는 [Buff|버프]가 50% 더 빠르게 만료되고 [Debuff|디버프]가 25% 더 느리게 만료됨","Os [Buff|bônus] em você expiram 50% mais rápido e as [Debuff|penalidades] em você expiram 25% mais devagar","[Buff|Положительные эффекты] истекают на 50% быстрее, а [Debuff|отрицательные эффекты] истекают на 25% медленнее","Los [Buff|efectos beneficiosos] expiran un 50% más rápido sobre ti, y los [Debuff|efectos nocivos], un 25% más despacio","[Buff|บัฟ]ที่คุณได้รับหมดเวลา เร็วขึ้น 50% และ[Debuff|ดีบัฟ]ต่อตัวคุณหมดเวลา ช้าลง 25%","[Buff|增益效果]消逝速度加快 50%，[Debuff|減益效果]的消逝速度減慢 25%",[],11280,"",[8205],[9],[],0,0,0,[],11,0,"",[],0,0
11,"PlayerDebuffBuffsExpireFasterDebuffsExpireSlower2",[0],[],[],[10],1,"Time Paradox II","Paradox temporel II","Zeitparadox II","タイムパラドックス II","시간 역설 II","Paradoxo Temporal II","Временной парадокс II","Paradoja temporal II","กาลเวลาขัดแย้ง ระดับ 2","時間悖論 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",40852,[],[11],3,"[Buff|Buffs] on you expire 100% faster and [Debuff|Debuffs] on you expire 50% slower","Les [Buff|Effets bénéfiques] vous affectant expirent 100% plus rapidement et les [Debuff|Effets néfastes] vous affectant expirent 50% plus lentement","[Buff|Stärkungen] auf Euch klingen 100% schneller ab und [Debuff|Schwächungen] auf Euch klingen 50% langsamer ab","[Buff|バフ]の消失が100%速くなり、[Debuff|デバフ]の消失が50%遅くなる","플레이어에게 적용되는 [Buff|버프]가 100% 더 빠르게 만료되고 [Debuff|디버프]가 50% 더 느리게 만료됨","Os [Buff|bônus] em você expiram 100% mais rápido e as [Debuff|penalidades] em você expiram 50% mais devagar","[Buff|Положительные эффекты] истекают на 100% быстрее, а [Debuff|отрицательные эффекты] истекают на 50% медленнее","Los [Buff|efectos beneficiosos] expiran un 100% más rápido sobre ti, y los [Debuff|efectos nocivos], un 50% más despacio","[Buff|บัฟ]ที่คุณได้รับหมดเวลา เร็วขึ้น 100% และ[Debuff|ดีบัฟ]ต่อตัวคุณหมดเวลา ช้าลง 50%","[Buff|增益效果]消逝速度加快 100%，[Debuff|減益效果]的消逝速度減慢 50%",[],11280,"",[8205],[15],[],0,0,0,[10],12,0,"",[],0,0
12,"PlayerDebuffBuffsExpireFasterDebuffsExpireSlower3",[0],[],[],[11],1,"Time Paradox III","Paradox temporel III","Zeitparadox III","タイムパラドックス III","시간 역설 III","Paradoxo Temporal III","Временной парадокс III","Paradoja temporal III","กาลเวลาขัดแย้ง ระดับ 3","時間悖論 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",11676,[],[12],5,"[Buff|Buffs] on you expire 200% faster and [Debuff|Debuffs] on you expire 100% slower","Les [Buff|Effets bénéfiques] vous affectant expirent 200% plus rapidement et les [Debuff|Effets néfastes] vous affectant expirent 100% plus lentement","[Buff|Stärkungen] auf Euch klingen 200% schneller ab und [Debuff|Schwächungen] auf Euch klingen 100% langsamer ab","[Buff|バフ]の消失が200%速くなり、[Debuff|デバフ]の消失が100%遅くなる","플레이어에게 적용되는 [Buff|버프]가 200% 더 빠르게 만료되고 [Debuff|디버프]가 100% 더 느리게 만료됨","Os [Buff|bônus] em você expiram 200% mais rápido e as [Debuff|penalidades] em você expiram 100% mais devagar","[Buff|Положительные эффекты] истекают на 200% быстрее, а [Debuff|отрицательные эффекты] истекают на 100% медленнее","Los [Buff|efectos beneficiosos] expiran un 200% más rápido sobre ti, y los [Debuff|efectos nocivos], un 100% más despacio","[Buff|บัฟ]ที่คุณได้รับหมดเวลา เร็วขึ้น 200% และ[Debuff|ดีบัฟ]ต่อตัวคุณหมดเวลา ช้าลง 100%","[Buff|增益效果]消逝速度加快 200%，[Debuff|減益效果]的消逝速度減慢 100%",[],11280,"",[8205],[22],[],0,0,0,"[11,0]",-16843010,-16843010,"",[],0,0
13,"PlayerDebuffDefences1",[0],[],[],[],1,"Damaged Defences","Défenses endommagées","Beschädigte Defensiven","防御損傷","무너진 방어","Defesas Danificadas","Повреждённая защита","Defensas dañadas","ค่าป้องกันเสื่อมถอย ระดับ 1","受損防禦","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",29922,[],[23],1,"20% less [Armour], [Evasion] and [EnergyShield|Energy Shield]","20% de Perte d'[Armour|Armure], d'[Evasion|Évasion] et de [EnergyShield|Bouclier d'énergie]","20% weniger [Armour|Rüstung], [Evasion|Ausweichwert] und [EnergyShield|Energieschild]","[Armour|アーマー]、[Evasion|回避力]および[EnergyShield|エナジーシールド]が20%低下する","[Armour|방어도], [Evasion|회피], [EnergyShield|에너지 보호막] 20% 감폭","ㅤ-20% de [Armour|armadura], [Evasion|evasão] e [EnergyShield|escudo de energia]","На 20% меньше [Armour|брони], [Evasion|уклонения] и [EnergyShield|энергетического щита]","20% menos de [Armour|armadura], [Evasion|evasión] y [EnergyShield|escudo de energía]","ลด[Armour|ค่าเกราะ], [Evasion|การหลบหลีก], [EnergyShield|โล่พลังงาน] อีก 25%","20% 更少 [Armour|護甲]、[Evasion|閃避] 與 [EnergyShield|能量護盾]",[],11160,"",[8205],[4],[],0,0,0,[],14,0,"",[],0,0
14,"PlayerDebuffDefences2",[0],[],[],[13],1,"Damaged Defences II","Défenses endommagées II","Beschädigte Defensiven II","防御損傷 II","무너진 방어 II","Defesas Danificadas II","Повреждённая защита II","Defensas dañadas II","ค่าป้องกันเสื่อมถอย ระดับ 2","受損防禦 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",27982,[],[24],2,"35% less [Armour], [Evasion] and [EnergyShield|Energy Shield]","35% de Perte d'[Armour|Armure], d'[Evasion|Évasion] et de [EnergyShield|Bouclier d'énergie]","35% weniger [Armour|Rüstung], [Evasion|Ausweichwert] und [EnergyShield|Energieschild]","[Armour|アーマー]、[Evasion|回避力]および[EnergyShield|エナジーシールド]が35%低下する","[Armour|방어도], [Evasion|회피], [EnergyShield|에너지 보호막] 35% 감폭","ㅤ-35% de [Armour|armadura], [Evasion|evasão] e [EnergyShield|escudo de energia]","На 35% меньше [Armour|брони], [Evasion|уклонения] и [EnergyShield|энергетического щита]","35% menos de [Armour|armadura], [Evasion|evasión] y [EnergyShield|escudo de energía]","ลด[Armour|ค่าเกราะ], [Evasion|การหลบหลีก], [EnergyShield|โล่พลังงาน] อีก 35%","35% 更少 [Armour|護甲]、[Evasion|閃避] 與 [EnergyShield|能量護盾]",[],11166,"",[8205],[9],[],0,0,0,[13],15,0,"",[],0,0
15,"PlayerDebuffDefences3",[0],[],[],[14],1,"Damaged Defences III","Défenses endommagées III","Beschädigte Defensiven III","防御損傷 III","무너진 방어 III","Defesas Danificadas III","Повреждённая защита III","Defensas dañadas III","ค่าป้องกันเสื่อมถอย ระดับ 3","受損防禦 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",12079,[],[25],3,"50% less [Armour], [Evasion] and [EnergyShield|Energy Shield]","50% de Perte d'[Armour|Armure], d'[Evasion|Évasion] et de [EnergyShield|Bouclier d'énergie]","50% weniger [Armour|Rüstung], [Evasion|Ausweichwert] und [EnergyShield|Energieschild]","[Armour|アーマー]、[Evasion|回避力]および[EnergyShield|エナジーシールド]が50%低下する","[Armour|방어도], [Evasion|회피], [EnergyShield|에너지 보호막] 50% 감폭","ㅤ-50% de [Armour|armadura], [Evasion|evasão] e [EnergyShield|escudo de energia]","На 50% меньше [Armour|брони], [Evasion|уклонения] и [EnergyShield|энергетического щита]","50% menos de [Armour|armadura], [Evasion|evasión] y [EnergyShield|escudo de energía]","ลด[Armour|ค่าเกราะ], [Evasion|การหลบหลีก], [EnergyShield|โล่พลังงาน] อีก 50%","50% 更少 [Armour|護甲]、[Evasion|閃避] 與 [EnergyShield|能量護盾]",[],11166,"",[8205],[15],[],0,0,0,"[14,0]",16,0,"",[],0,0
16,"PlayerDebuffDefences4",[0],[],[],[15],1,"Damaged Defences IV","Défenses endommagées IV","Beschädigte Defensiven IV","防御損傷 IV","무너진 방어 IV","Defesas Danificadas IV","Повреждённая защита IV","Defensas dañadas IV","ค่าป้องกันเสื่อมถอย ระดับ 4","受損防禦 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",40368,[],[26],4,"65% less [Armour], [Evasion] and [EnergyShield|Energy Shield]","65% de Perte d'[Armour|Armure], d'[Evasion|Évasion] et de [EnergyShield|Bouclier d'énergie]","65% weniger [Armour|Rüstung], [Evasion|Ausweichwert] und [EnergyShield|Energieschild]","[Armour|アーマー]、[Evasion|回避力]および[EnergyShield|エナジーシールド]が65%低下する","[Armour|방어도], [Evasion|회피], [EnergyShield|에너지 보호막] 65% 감폭","ㅤ-65% de [Armour|armadura], [Evasion|evasão] e [EnergyShield|escudo de energia]","На 65% меньше [Armour|брони], [Evasion|уклонения] и [EnergyShield|энергетического щита]","65% menos de [Armour|armadura], [Evasion|evasión] y [EnergyShield|escudo de energía]","ลด[Armour|ค่าเกราะ], [Evasion|การหลบหลีก], [EnergyShield|โล่พลังงาน] อีก 65%","65% 更少 [Armour|護甲]、[Evasion|閃避] 與 [EnergyShield|能量護盾]",[],11166,"",[8205],[22],[],0,0,0,"[15,0,14]",17,0,"",[],0,0
17,"PlayerDebuffDefences5",[0],[],[],[16],1,"Damaged Defences V","Défenses endommagées V","Beschädigte Defensiven V","防御損傷 V","무너진 방어 V","Defesas Danificadas V","Повреждённая защита V","Defensas dañadas V","ค่าป้องกันเสื่อมถอย ระดับ 5","受損防禦 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",28328,[],[27],5,"80% less [Armour], [Evasion] and [EnergyShield|Energy Shield]","80% de Perte d'[Armour|Armure], d'[Evasion|Évasion] et de [EnergyShield|Bouclier d'énergie]","80% weniger [Armour|Rüstung], [Evasion|Ausweichwert] und [EnergyShield|Energieschild]","[Armour|アーマー]、[Evasion|回避力]および[EnergyShield|エナジーシールド]が80%低下する","[Armour|방어도], [Evasion|회피], [EnergyShield|에너지 보호막] 80% 감폭","ㅤ-80% de [Armour|armadura], [Evasion|evasão] e [EnergyShield|escudo de energia]","На 80% меньше [Armour|брони], [Evasion|уклонения] и [EnergyShield|энергетического щита]","80% menos de [Armour|armadura], [Evasion|evasión] y [EnergyShield|escudo de energía]","ลด[Armour|ค่าเกราะ], [Evasion|การหลบหลีก], [EnergyShield|โล่พลังงาน] อีก 80%","80% 更少 [Armour|護甲]、[Evasion|閃避] 與 [EnergyShield|能量護盾]",[],11166,"",[8205],[30],[],0,0,0,"[16,0,15,0]",-16843010,-16843010,"",[],0,0
18,"PlayerDebuffResistances1",[0],[],[],[],1,"Reduced Resistances","Résistances réduites","Verringerte Widerstände","耐性減少","저항 감소","Resistências Reduzidas","Сниженные сопротивления","Resistencias reducidas","ลดค่าต้านทาน ระดับ 1","減少抗性","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedResistances",16270,[],[18],1,"-15% to Elemental [Resistances]","-15% aux [Resistances|Résistances] élémentaires","-15% zu Elementar[Resistances|widerständen]","元素[Resistances|耐性] -15%","원소 [Resistances|저항] -15%","ㅤ-15% de [Resistances|resistências] elementais","-15% к [Resistances|сопротивлениям] стихиям","-15% a las [Resistances|resistencias] elementales","[Resistances|ค่าต้านทาน] ธาตุ -15%"," -15% 元素[Resistances|抗性]",[],11172,"",[8205],[4],[],0,0,0,[],19,0,"",[],0,0
19,"PlayerDebuffResistances2",[0],[],[],[18],1,"Reduced Resistances II","Résistances réduites II","Verringerte Widerstände II","耐性減少 II","저항 감소 II","Resistências Reduzidas II","Сниженные сопротивления II","Resistencias reducidas II","ลดค่าต้านทาน ระดับ 2","減少抗性 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedResistances",28878,[],[19],2,"-25% to Elemental [Resistances]","-25% aux [Resistances|Résistances] élémentaires","-25% zu Elementar[Resistances|widerständen]","元素[Resistances|耐性] -250%","원소 [Resistances|저항] -25%","ㅤ-25% de [Resistances|resistências] elementais","-25% к [Resistances|сопротивлениям] стихиям","-25% a las [Resistances|resistencias] elementales","[Resistances|ค่าต้านทาน] ธาตุ -25%"," -25% 元素[Resistances|抗性]",[],11178,"",[8205],[9],[],0,0,0,[18],20,0,"",[],0,0
20,"PlayerDebuffResistances3",[0],[],[],[19],1,"Reduced Resistances III","Résistances réduites III","Verringerte Widerstände III","耐性減少 III","저항 감소 III","Resistências Reduzidas III","Сниженные сопротивления III","Resistencias reducidas III","ลดค่าต้านทาน ระดับ 3","減少抗性 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedResistances",56222,[],[20],3,"-35% to Elemental [Resistances] and -5% to [MaximumResistances|Maximum Elemental Resistances]","-35% aux [Resistances|Résistances] élémentaires et -5% aux [MaximumResistances|Résistances élémentaires maximales]","-35% zu Elementar[Resistances|widerständen] und -5% zu [MaximumResistances|maximalen Elementarwiderständen]","元素[Resistances|耐性] -35%および[MaximumResistances|元素耐性の最大値] -5%","원소 [Resistances|저항] -35%, [MaximumResistances|원소 저항 최대치] -5%","ㅤ-35% de [Resistances|resistências] elementais e -5% de [MaximumResistances|resistências elementais máximas]","-35% к [Resistances|сопротивлениям] стихиям и -5% к [MaximumResistances|максимуму сопротивлений стихиям]","-35% a las [Resistances|resistencias] elementales y -5% a las [MaximumResistances|resistencias elementales máximas]","[Resistances|ค่าต้านทาน] ธาตุ -35% และ[MaximumResistances|ค่าต้านทาน ธาตุ สูงสุด] -5%"," -35% 元素[Resistances|抗性]，-5% [MaximumResistances|最大元素抗性] ",[],11178,"",[8205],[15],[],0,0,0,"[19,0]",21,0,"",[],0,0
