"rownum","Id","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","[rid]_16","string_32","SortCategory","i32_56","[rid]_60","[rid]_76","CraftingCategory","[rid]_108","[rid]_124","bool_140","[rid]_141","[rid]_157","rid_173","rid_189","bool_205"
20,"SetInherentSkillLevel17","[DNT] SetInherentSkillLevel17","[DNT] SetInherentSkillLevel17","[DNT-UNUSED] SetInherentSkillLevel17","[DNT-UNUSED] SetInherentSkillLevel17","[DNT] SetInherentSkillLevel17","WIP","[DNT-UNUSED] SetInherentSkillLevel17","[DNT-UNUSED] SetInherentSkillLevel17","DNT","[DNT-UNUSED] SetInherentSkillLevel17",[],"",3,20,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
21,"SetInherentSkillLevel18","[DNT] SetInherentSkillLevel18","[DNT] SetInherentSkillLevel18","[DNT-UNUSED] SetInherentSkillLevel18","[DNT-UNUSED] SetInherentSkillLevel18","[DNT] SetInherentSkillLevel18","WIP","[DNT-UNUSED] SetInherentSkillLevel18","[DNT-UNUSED] SetInherentSkillLevel18","DNT","[DNT-UNUSED] SetInherentSkillLevel18",[],"",3,21,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
22,"SetInherentSkillLevel19","[DNT] SetInherentSkillLevel19","[DNT] SetInherentSkillLevel19","[DNT-UNUSED] SetInherentSkillLevel19","[DNT-UNUSED] SetInherentSkillLevel19","[DNT] SetInherentSkillLevel19","WIP","[DNT-UNUSED] SetInherentSkillLevel19","[DNT-UNUSED] SetInherentSkillLevel19","DNT","[DNT-UNUSED] SetInherentSkillLevel19",[],"",3,22,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
23,"SetInherentSkillLevel20","[DNT] SetInherentSkillLevel20","[DNT] SetInherentSkillLevel20","[DNT-UNUSED] SetInherentSkillLevel20","[DNT-UNUSED] SetInherentSkillLevel20","[DNT] SetInherentSkillLevel20","WIP","[DNT-UNUSED] SetInherentSkillLevel20","[DNT-UNUSED] SetInherentSkillLevel20","DNT","[DNT-UNUSED] SetInherentSkillLevel20",[],"",3,23,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
24,"SetGemLevel1","[DNT] SetGemLevel1","[DNT] SetGemLevel1","[DNT-UNUSED] SetGemLevel1","[DNT-UNUSED] SetGemLevel1","[DNT] SetGemLevel1","WIP","[DNT-UNUSED] SetGemLevel1","[DNT-UNUSED] SetGemLevel1","DNT","[DNT-UNUSED] SetGemLevel1",[],"",3,24,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
25,"SetGemLevel2","[DNT] SetGemLevel2","[DNT] SetGemLevel2","[DNT-UNUSED] SetGemLevel2","[DNT-UNUSED] SetGemLevel2","[DNT] SetGemLevel2","WIP","[DNT-UNUSED] SetGemLevel2","[DNT-UNUSED] SetGemLevel2","DNT","[DNT-UNUSED] SetGemLevel2",[],"",3,25,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
26,"SetGemLevel3","[DNT] SetGemLevel3","[DNT] SetGemLevel3","[DNT-UNUSED] SetGemLevel3","[DNT-UNUSED] SetGemLevel3","[DNT] SetGemLevel3","WIP","[DNT-UNUSED] SetGemLevel3","[DNT-UNUSED] SetGemLevel3","DNT","[DNT-UNUSED] SetGemLevel3",[],"",3,26,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
27,"SetGemLevel4","[DNT] SetGemLevel4","[DNT] SetGemLevel4","[DNT-UNUSED] SetGemLevel4","[DNT-UNUSED] SetGemLevel4","[DNT] SetGemLevel4","WIP","[DNT-UNUSED] SetGemLevel4","[DNT-UNUSED] SetGemLevel4","DNT","[DNT-UNUSED] SetGemLevel4",[],"",3,27,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
28,"SetGemLevel5","[DNT] SetGemLevel5","[DNT] SetGemLevel5","[DNT-UNUSED] SetGemLevel5","[DNT-UNUSED] SetGemLevel5","[DNT] SetGemLevel5","WIP","[DNT-UNUSED] SetGemLevel5","[DNT-UNUSED] SetGemLevel5","DNT","[DNT-UNUSED] SetGemLevel5",[],"",3,28,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
29,"SetGemLevel6","[DNT] SetGemLevel6","[DNT] SetGemLevel6","[DNT-UNUSED] SetGemLevel6","[DNT-UNUSED] SetGemLevel6","[DNT] SetGemLevel6","WIP","[DNT-UNUSED] SetGemLevel6","[DNT-UNUSED] SetGemLevel6","DNT","[DNT-UNUSED] SetGemLevel6",[],"",3,29,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
30,"SetGemLevel7","[DNT] SetGemLevel7","[DNT] SetGemLevel7","[DNT-UNUSED] SetGemLevel7","[DNT-UNUSED] SetGemLevel7","[DNT] SetGemLevel7","WIP","[DNT-UNUSED] SetGemLevel7","[DNT-UNUSED] SetGemLevel7","DNT","[DNT-UNUSED] SetGemLevel7",[],"",3,30,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
31,"SetGemLevel8","[DNT] SetGemLevel8","[DNT] SetGemLevel8","[DNT-UNUSED] SetGemLevel8","[DNT-UNUSED] SetGemLevel8","[DNT] SetGemLevel8","WIP","[DNT-UNUSED] SetGemLevel8","[DNT-UNUSED] SetGemLevel8","DNT","[DNT-UNUSED] SetGemLevel8",[],"",3,31,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
32,"SetGemLevel9","[DNT] SetGemLevel9","[DNT] SetGemLevel9","[DNT-UNUSED] SetGemLevel9","[DNT-UNUSED] SetGemLevel9","[DNT] SetGemLevel9","WIP","[DNT-UNUSED] SetGemLevel9","[DNT-UNUSED] SetGemLevel9","DNT","[DNT-UNUSED] SetGemLevel9",[],"",3,32,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
33,"SetGemLevel10","[DNT] SetGemLevel10","[DNT] SetGemLevel10","[DNT-UNUSED] SetGemLevel10","[DNT-UNUSED] SetGemLevel10","[DNT] SetGemLevel10","WIP","[DNT-UNUSED] SetGemLevel10","[DNT-UNUSED] SetGemLevel10","DNT","[DNT-UNUSED] SetGemLevel10",[],"",3,33,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
34,"SetGemLevel11","[DNT] SetGemLevel11","[DNT] SetGemLevel11","[DNT-UNUSED] SetGemLevel11","[DNT-UNUSED] SetGemLevel11","[DNT] SetGemLevel11","WIP","[DNT-UNUSED] SetGemLevel11","[DNT-UNUSED] SetGemLevel11","DNT","[DNT-UNUSED] SetGemLevel11",[],"",3,34,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
35,"SetGemLevel12","[DNT] SetGemLevel12","[DNT] SetGemLevel12","[DNT-UNUSED] SetGemLevel12","[DNT-UNUSED] SetGemLevel12","[DNT] SetGemLevel12","WIP","[DNT-UNUSED] SetGemLevel12","[DNT-UNUSED] SetGemLevel12","DNT","[DNT-UNUSED] SetGemLevel12",[],"",3,35,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
36,"SetGemLevel13","[DNT] SetGemLevel13","[DNT] SetGemLevel13","[DNT-UNUSED] SetGemLevel13","[DNT-UNUSED] SetGemLevel13","[DNT] SetGemLevel13","WIP","[DNT-UNUSED] SetGemLevel13","[DNT-UNUSED] SetGemLevel13","DNT","[DNT-UNUSED] SetGemLevel13",[],"",3,36,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
37,"SetGemLevel14","[DNT] SetGemLevel14","[DNT] SetGemLevel14","[DNT-UNUSED] SetGemLevel14","[DNT-UNUSED] SetGemLevel14","[DNT] SetGemLevel14","WIP","[DNT-UNUSED] SetGemLevel14","[DNT-UNUSED] SetGemLevel14","DNT","[DNT-UNUSED] SetGemLevel14",[],"",3,37,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
38,"SetGemLevel15","[DNT] SetGemLevel15","[DNT] SetGemLevel15","[DNT-UNUSED] SetGemLevel15","[DNT-UNUSED] SetGemLevel15","[DNT] SetGemLevel15","WIP","[DNT-UNUSED] SetGemLevel15","[DNT-UNUSED] SetGemLevel15","DNT","[DNT-UNUSED] SetGemLevel15",[],"",3,38,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
39,"SetGemLevel16","[DNT] SetGemLevel16","[DNT] SetGemLevel16","[DNT-UNUSED] SetGemLevel16","[DNT-UNUSED] SetGemLevel16","[DNT] SetGemLevel16","WIP","[DNT-UNUSED] SetGemLevel16","[DNT-UNUSED] SetGemLevel16","DNT","[DNT-UNUSED] SetGemLevel16",[],"",3,39,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
40,"SetGemLevel17","[DNT] SetGemLevel17","[DNT] SetGemLevel17","[DNT-UNUSED] SetGemLevel17","[DNT-UNUSED] SetGemLevel17","[DNT] SetGemLevel17","WIP","[DNT-UNUSED] SetGemLevel17","[DNT-UNUSED] SetGemLevel17","DNT","[DNT-UNUSED] SetGemLevel17",[],"",3,40,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
41,"SetGemLevel18","[DNT] SetGemLevel18","[DNT] SetGemLevel18","[DNT-UNUSED] SetGemLevel18","[DNT-UNUSED] SetGemLevel18","[DNT] SetGemLevel18","WIP","[DNT-UNUSED] SetGemLevel18","[DNT-UNUSED] SetGemLevel18","DNT","[DNT-UNUSED] SetGemLevel18",[],"",3,41,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
42,"SetGemLevel19","[DNT] SetGemLevel19","[DNT] SetGemLevel19","[DNT-UNUSED] SetGemLevel19","[DNT-UNUSED] SetGemLevel19","[DNT] SetGemLevel19","WIP","[DNT-UNUSED] SetGemLevel19","[DNT-UNUSED] SetGemLevel19","DNT","[DNT-UNUSED] SetGemLevel19",[],"",3,42,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
43,"SetGemLevel20","[DNT] SetGemLevel20","[DNT] SetGemLevel20","[DNT-UNUSED] SetGemLevel20","[DNT-UNUSED] SetGemLevel20","[DNT] SetGemLevel20","WIP","[DNT-UNUSED] SetGemLevel20","[DNT-UNUSED] SetGemLevel20","DNT","[DNT-UNUSED] SetGemLevel20",[],"",3,43,[36],[1],"[26,27,28]",[],[],"",[],[],"","",""
44,"BootsSpirit1","","","","","","","","","","",[],"",2,44,[36],[1],[8],[],[],"",[],[],"","",""
45,"BootsMinionLimit1","","","","","","","","","","",[],"",2,44,[36],[1],[8],[],[],"",[],[],"","",""
46,"BootsCooldownRecovery1","","","","","","","","","","",[],"",2,44,[36],[1],[8],[],[],"",[],[],"","",""
47,"BootsSprintSpeed1","","","","","","","","","","",[],"",1,44,[36],[1],[8],[],[],"",[],[],"","",""
48,"GlovesElementalPenetration1","","","","","","","","","","",[],"",1,44,[36],[1],[7],[],[],"",[],[],"","",""
49,"GlovesAttackAreaOfEffect1","","","","","","","","","","",[],"",2,44,[36],[1],[7],[],[],"",[],[],"","",""
50,"GlovesCastSpeed1","","","","","","","","","","",[],"",2,44,[36],[1],[7],[],[],"",[],[],"","",""
51,"GlovesRemnantCollectionRange1","","","","","","","","","","",[],"",2,44,[36],[1],[7],[],[],"",[],[],"","",""
52,"BodyArmourPresenceRadius1","","","","","","","","","","",[],"",2,44,[36],[1],[6],[],[],"",[],[],"","",""
53,"BodyArmourAllAttributes1","","","","","","","","","","",[],"",2,44,[36],[1],[6],[],[],"",[],[],"","",""
54,"HelmetSpellAreaOfEffect1","","","","","","","","","","",[],"",2,44,[36],[1],[5],[],[],"",[],[],"","",""
55,"HelmetManaCostEfficiency1","","","","","","","","","","",[],"",1,44,[36],[1],[5],[],[],"",[],[],"","",""
56,"RingAddedWard1","","","","","","","","","","",[],"",1,44,[36],[1],[9],[],[],"",[],[],"","",""
57,"RingDamageAsExtraFire1","","","","","","","","","","",[],"",1,44,[36],[1],[9],[],[],"",[],[],"","",""
58,"RingAttackSpeed","","","","","","","","","","",[],"",2,44,[36],[1],[9],[],[],"",[],[],"","",""
59,"RingFireAndColdResistance1","","","","","","","","","","",[],"",2,44,[36],[1],[9],[],[],"",[],[],"","",""
60,"RingFireAndLightningResistance1","","","","","","","","","","",[],"",2,44,[36],[1],[9],[],[],"",[],[],"","",""
61,"RingColdAndLightningResistance1","","","","","","","","","","",[],"",2,44,[36],[1],[9],[],[],"",[],[],"","",""
62,"AmuletGlobalMaximumWard1","","","","","","","","","","",[],"",1,44,[36],[1],[10],[],[],"",[],[],"","",""
63,"AmuletAllResistances1","","","","","","","","","","",[],"",2,44,[36],[1],[10],[],[],"",[],[],"","",""
64,"AmuletEnergyGeneration1","","","","","","","","","","",[],"",2,44,[36],[1],[10],[],[],"",[],[],"","",""
65,"AmuletReviveSpeed1","","","","","","","","","","",[],"",2,44,[36],[1],[10],[],[],"",[],[],"","",""
66,"BeltFlaskGeneration1","","","","","","","","","","",[],"",2,44,[36],[1],[11],[],[],"",[],[],"","",""
67,"WeaponSocketEffect1","","","","","","","","","","",[],"",2,44,[36],[1],[18],[],[],"",[],[],"","",""
68,"WeaponDamagePerAilment1","","","","","","","","","","",[],"",2,44,[36],[1],"[19,20]",[],[],"",[],[],"","",""
69,"MartialWeaponAilmentChance1","","","","","","","","","","",[],"",2,44,[36],[1],[19],[],[],"",[],[],"","",""
70,"CasterWeaponMaximumElementalInfusion1","","","","","","","","","","",[],"",2,44,[36],[1],[20],[],[],"",[],[],"","",""
71,"CasterWeaponMaximumEnergyShield1","","","","","","","","","","",[],"",2,44,[36],[1],[20],[],[],"",[],[],"","",""
72,"CasterWeaponFocusExposureEffect1","","","","","","","","","","",[],"",2,44,[36],[1],[20],[],[],"",[],[],"","",""
73,"BucklerParriedMagnitude1","","","","","","","","","","",[],"",2,44,[36],[1],[25],[],[],"",[],[],"","",""
74,"QuiverAdditionalChainChance1","","","","","","","","","","",[],"",2,44,[36],[1],[13],[],[],"",[],[],"","",""
75,"ShieldBucklerIncreasedStunThreshold1","","","","","","","","","","",[],"",2,44,[36],[1],[4],[],[],"",[],[],"","",""
76,"SceptreOfferingEffect1","","","","","","","","","","",[],"",2,44,[36],[1],[23],[],[],"",[],[],"","",""
77,"SceptreMinionMovespeed1","","","","","","","","","","",[],"",2,44,[36],[1],[23],[],[],"",[],[],"","",""
78,"FocusCurseMagnitude1","","","","","","","","","","",[],"",2,44,[36],[1],[24],[],[],"",[],[],"","",""
79,"HelmetCursedMarkedEnemies1","[DNT] Coming Soon","[DNT] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT] Coming Soon","Em breve","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","DNT","[DNT-UNUSED] Coming Soon",[],"",3,44,[36],[1],[5],[],[],"",[],[],"","",""
80,"RingWardEfficiency1","[DNT] Coming Soon","[DNT] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT] Coming Soon","Em breve","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","DNT","[DNT-UNUSED] Coming Soon",[],"",3,44,[36],[1],[9],[],[],"",[],[],"","",""
81,"BeltRunicWardOnCharmUse1","[DNT] Coming Soon","[DNT] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT] Coming Soon","Em breve","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","DNT","[DNT-UNUSED] Coming Soon",[],"",3,44,[36],[1],[],[],[],"",[],[],"","",""
82,"2HCasterWeaponDamageAsExtraColdWhileNotFullWard1","[DNT] Coming Soon","[DNT] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT] Coming Soon","Em breve","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","DNT","[DNT-UNUSED] Coming Soon",[],"",3,44,[36],[1],[],[],[],"",[],[],"","",""
83,"1HCasterWeaponDamageAsExtraColdWhileNotFullWard1","[DNT] Coming Soon","[DNT] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT] Coming Soon","Em breve","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","DNT","[DNT-UNUSED] Coming Soon",[],"",3,44,[36],[1],[],[],[],"",[],[],"","",""
84,"ShieldBucklerWardGainOnBlock1","[DNT] Coming Soon","[DNT] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","[DNT] Coming Soon","Em breve","[DNT-UNUSED] Coming Soon","[DNT-UNUSED] Coming Soon","DNT","[DNT-UNUSED] Coming Soon",[],"",3,44,[36],[1],[],[],[],"",[],[],"","",""
