"rownum","Skill","Level","Price"
249,167,10,1575
250,167,11,1881
251,167,12,2218
252,167,13,2668
253,167,14,3173
254,167,15,3738
255,167,16,4370
256,167,17,5074
257,167,18,5998
258,167,19,7044
259,167,20,8227
260,143,1,40
261,143,2,75
262,143,3,143
263,143,4,302
264,143,5,488
265,143,6,698
266,143,7,866
267,143,8,1048
268,143,9,1298
269,143,10,1575
270,143,11,1881
271,143,12,2218
272,143,13,2668
273,143,14,3173
274,143,15,3738
275,143,16,4370
276,143,17,5074
277,143,18,5998
278,143,19,7044
279,143,20,8227
280,273,1,40
281,273,2,75
282,273,3,143
283,273,4,302
284,273,5,488
285,273,6,698
286,273,7,866
287,273,8,1048
288,273,9,1298
289,273,10,1575
290,273,11,1881
291,273,12,2218
292,273,13,2668
293,273,14,3173
294,273,15,3738
295,273,16,4370
296,273,17,5074
297,273,18,5998
298,273,19,7044
299,273,20,8227
300,245,1,40
301,245,2,75
302,245,3,143
303,245,4,302
304,245,5,488
305,245,6,698
306,245,7,866
307,245,8,1048
308,245,9,1298
309,245,10,1575
310,245,11,1881
311,245,12,2218
312,245,13,2668
313,245,14,3173
314,245,15,3738
315,245,16,4370
316,245,17,5074
317,245,18,5998
318,245,19,7044
319,245,20,8227
320,452,1,28
321,452,2,52
322,452,3,99
323,452,4,209
324,452,5,338
325,452,6,483
326,452,7,599
327,452,8,725
328,452,9,897
329,452,10,1088
330,452,11,1300
331,452,12,1533
332,452,13,1844
333,452,14,2193
334,452,15,2583
335,452,16,3019
336,452,17,3506
337,452,18,4144
338,452,19,4867
339,452,20,5684
340,60,1,28
341,60,2,52
342,60,3,99
343,60,4,209
344,60,5,338
345,60,6,483
346,60,7,599
347,60,8,725
348,60,9,897
349,60,10,1088
350,60,11,1300
351,60,12,1533
352,60,13,1844
353,60,14,2193
354,60,15,2583
355,60,16,3019
356,60,17,3506
357,60,18,4144
358,60,19,4867
359,60,20,5684
360,481,1,28
361,481,2,52
362,481,3,99
363,481,4,209
364,481,5,338
365,481,6,483
366,481,7,599
367,481,8,725
368,481,9,897
369,481,10,1088
370,481,11,1300
371,481,12,1533
372,481,13,1844
373,481,14,2193
374,481,15,2583
375,481,16,3019
376,481,17,3506
377,481,18,4144
378,481,19,4867
379,481,20,5684
380,85,1,28
381,85,2,52
382,85,3,99
383,85,4,209
384,85,5,338
385,85,6,483
386,85,7,599
387,85,8,725
388,85,9,897
389,85,10,1088
390,85,11,1300
391,85,12,1533
392,85,13,1844
393,85,14,2193
394,85,15,2583
395,85,16,3019
396,85,17,3506
397,85,18,4144
398,85,19,4867
399,85,20,5684
400,86,1,28
401,86,2,52
402,86,3,99
403,86,4,209
404,86,5,338
405,86,6,483
406,86,7,599
407,86,8,725
408,86,9,897
409,86,10,1088
410,86,11,1300
411,86,12,1533
412,86,13,1844
413,86,14,2193
414,86,15,2583
415,86,16,3019
416,86,17,3506
417,86,18,4144
418,86,19,4867
419,86,20,5684
420,87,1,28
421,87,2,52
422,87,3,99
423,87,4,209
424,87,5,338
425,87,6,483
426,87,7,599
427,87,8,725
428,87,9,897
429,87,10,1088
430,87,11,1300
431,87,12,1533
432,87,13,1844
433,87,14,2193
434,87,15,2583
435,87,16,3019
436,87,17,3506
437,87,18,4144
438,87,19,4867
439,87,20,5684
440,981,1,28
441,981,2,52
442,981,3,99
443,981,4,209
444,981,5,338
445,981,6,483
446,981,7,599
447,981,8,725
448,981,9,897
449,981,10,1088
450,981,11,1300
451,981,12,1533
452,981,13,1844
453,981,14,2193
454,981,15,2583
455,981,16,3019
456,981,17,3506
457,981,18,4144
458,981,19,4867
459,981,20,5684
460,1041,1,28
461,1041,2,52
462,1041,3,99
463,1041,4,209
464,1041,5,338
465,1041,6,483
466,1041,7,599
467,1041,8,725
468,1041,9,897
469,1041,10,1088
470,1041,11,1300
471,1041,12,1533
472,1041,13,1844
473,1041,14,2193
474,1041,15,2583
475,1041,16,3019
476,1041,17,3506
477,1041,18,4144
478,1041,19,4867
479,1041,20,5684
480,109,1,28
481,109,2,52
482,109,3,99
483,109,4,209
484,109,5,338
485,109,6,483
486,109,7,599
487,109,8,725
488,109,9,897
489,109,10,1088
490,109,11,1300
491,109,12,1533
492,109,13,1844
493,109,14,2193
494,109,15,2583
495,109,16,3019
496,109,17,3506
497,109,18,4144
498,109,19,4867
499,109,20,5684
500,1051,1,28
501,1051,2,52
502,1051,3,99
503,1051,4,209
504,1051,5,338
505,1051,6,483
506,1051,7,599
507,1051,8,725
508,1051,9,897
509,1051,10,1088
510,1051,11,1300
511,1051,12,1533
512,1051,13,1844
513,1051,14,2193
514,1051,15,2583
515,1051,16,3019
516,1051,17,3506
517,1051,18,4144
518,1051,19,4867
519,1051,20,5684
520,393,1,40
521,393,2,75
522,393,3,143
523,393,4,302
524,393,5,488
525,393,6,698
526,393,7,866
527,393,8,1048
528,393,9,1298
529,393,10,1575
530,393,11,1881
531,393,12,2218
532,393,13,2668
533,393,14,3173
534,393,15,3738
535,393,16,4370
536,393,17,5074
537,393,18,5998
538,393,19,7044
539,393,20,8227
540,172,1,40
541,172,2,75
542,172,3,143
543,172,4,302
544,172,5,488
545,172,6,698
546,172,7,866
547,172,8,1048
548,172,9,1298
549,172,10,1575
550,172,11,1881
551,172,12,2218
552,172,13,2668
553,172,14,3173
554,172,15,3738
555,172,16,4370
556,172,17,5074
557,172,18,5998
558,172,19,7044
559,172,20,8227
560,41,1,40
561,41,2,75
562,41,3,143
563,41,4,302
564,41,5,488
565,41,6,698
566,41,7,866
567,41,8,1048
568,41,9,1298
569,41,10,1575
570,41,11,1881
571,41,12,2218
572,41,13,2668
573,41,14,3173
574,41,15,3738
575,41,16,4370
576,41,17,5074
577,41,18,5998
578,41,19,7044
579,41,20,8227
580,115,1,40
581,115,2,75
582,115,3,143
583,115,4,302
584,115,5,488
585,115,6,698
586,115,7,866
587,115,8,1048
588,115,9,1298
589,115,10,1575
590,115,11,1881
591,115,12,2218
592,115,13,2668
593,115,14,3173
594,115,15,3738
595,115,16,4370
596,115,17,5074
597,115,18,5998
598,115,19,7044
599,115,20,8227
