"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_12","[i32]_16","i32_32","i32_36","ShopTag","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)"
10,10,"Footprints","Empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效",1,[13],110,0,847,"","","","","","","","","",""
11,11,"Portal","Portail","Portaleffekt","ポータル","포탈","Portal","Портал","Portal","วาร์ป","時空之門",1,[20],113,0,40,"","","","","","","","","",""
12,12,"Social Frame","Cadre de portrait","Portraitrahmen","ソーシャルフレーム","소셜 액자","Moldura Social","Портретная рамка","Marco social","กรอบรูปตัวละคร","肖像外框",1,[17],101,0,"","Adds a Frame to your character portrait. This can be seen in the Social Panel, Party UI, and on the character select menu.","Ajoute un Cadre à votre portrait de personnage. Celui-ci est visible dans le panneau social, l'interface de groupe et le menu de sélection des personnages.","Fügt dem Charakterportrait einen Rahmen hinzu. Dieser ist im Fenster 'Soziales', in der Benutzeroberfläche der Gruppe und im Auswahlmenü des Charakters sichtbar.","キャラクターポートレイトにフレームを追加します。これはソーシャルパネル、パーティーUI、そしてキャラクター選択画面で見ることができます。","캐릭터 초상화에 액자를 추가합니다. 이 액자는 소셜 화면, 파티 UI, 캐릭터 선택 메뉴에서 볼 수 있습니다.","Adiciona uma moldura ao retrato do personagem. Ela pode ser vista no Painel Social, na interface do grupo e no menu de seleção de personagens.","Добавляет рамку вокруг портрета вашего героя. Её видно на социальной панели, в интерфейсе группы и в меню выбора персонажа.","Agrega un marco al retrato de tu personaje. Podrás verlo en el panel Social, en la interfaz de grupo y en el menú de selección de personajes.","ติดกรอบรูปเข้ากับภาพตัวละครของคุณ คุณสามารถมองเห็นกรอบรูปนี้ได้จากหน้าต่างสังคม, UI ปาร์ตี้ และเมนูเลือกตัวละคร","為你的角色頭像添加外框。可於社交面板、隊伍介面及角色選單中看見。"
13,13,"Portrait","Portrait","Portrait","ポートレートフレーム","초상화","Retrato","Портрет","Retrato","ภาพตัวละคร","角色頭像",1,[16],100,0,"","","","","","","","","","",""
14,14,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物",3,"[18,19]",112,0,35,"","","","","","","","","",""
15,15,"Apparition","Apparition","Erscheinung","幻影","유령","Aparição","Временный эффект","Aparición","ร่างเงา","項鍊特效",1,[14],109,0,"","","","","","","","","","",""
16,16,"Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效",1,[15],111,0,844,"","","","","","","","","",""
17,17,"Skill Gem Effect","Effet d'aptitude","Fertigkeitseffekt","スキルジェムエフェクト","스킬 젬 이펙트","Efeito de Gema de Habilidade","Эффект камня умения","Efecto para gema de habilidad","เอฟเฟคหินสกิล","技能寶石特效",2,[],114,0,"","","","","","","","","","",""
18,18,"Dance","Danse","Tanz","踊り","춤","Dança","Танец","Baile","การเต้นรำ","舞蹈",1,[],97,0,"","","","","","","","","","",""
19,19,"Consumable","Consommable","Verbrauchbar","消耗品","소모품","Consumível","Расходуемое","Consumible","ใช้แล้วหมดไป","消耗品",5,[],200,0,"","","","","","","","","","",""
20,20,"Hideout Item","Objet de Repaire","Versteck-Dekoration","隠れ家アイテム","은신처 아이템","Item de Refúgio","Предмет для убежища","Objeto de guarida","ไอเทมที่ซ่อน","藏身處物品",4,[],99,0,856,"","","","","","","","","",""
21,21,"Miscellaneous","Divers","Sonstiges","その他","기타","Miscelânea","Разное","Misceláneo","อื่นๆ","其它",5,[],98,0,"","","","","","","","","","",""
22,22,"Helmet Skin / Attachment","Apparence & accessoire de casque","Helm-Skin/-zusatz","兜スキン / 装飾品","투구 스킨 / 부착물","Visual / Adorno de Elmo","Внешний вид / Эффект шлема","Aspecto / Accesorio para casco","สกิน/แฟชั่นติดหมวก","頭部外觀 / 特效",1,[],124,0,815,"","","","","","","","","",""
23,23,"Cursor","Curseur","Cursor","カーソル","커서","Cursor","Курсор","Cursor","เคอร์เซอร์","鼠標",1,[23],102,0,857,"","","","","","","","","",""
24,24,"Amulet Skin","Apparence d'amulette","Amulett-Skin","アミュレットスキン","목걸이 스킨","Visual de Amuleto","Внешний вид амулета","Aspecto para amuleto","สกินสร้อย","項鍊外觀",1,[25],121,0,852,"","","","","","","","","",""
25,25,"Belt Skin","Apparence de ceinture","Gürtel-Skin","ベルトスキン","허리띠 스킨","Visual de Cinto","Внешний вид пояса","Aspecto para cinturón","สกินเข็มขัด","腰帶外觀",1,[24],107,0,"","","","","","","","","","",""
26,26,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",1,"[26,27]",105,0,853,"","","","","","","","","",""
27,27,"Passive Jewel Skin","Apparence de Joyau de talent","Juwel-Skin","パッシブジュエルスキン","패시브 주얼 스킨","Visual de Joia Passiva","Внешний вид самоцвета","Aspecto para joya pasiva","สกินจิวเวลพาสซีฟ","天賦珠寶外觀",2,[],103,0,"","","","","","","","","","",""
28,28,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀",1,"[31,32]",120,0,851,"","","","","","","","","",""
29,29,"Hip Attachment","Accessoire à la hanche","Hüftzusatz","腰装飾品","허리 부착물","Adorno de Quadril","Набедренное украшение","Accesorio para la cadera","แฟชั่นติดสะโพก","臀部附加",1,[33],108,0,848,"","","","","","","","","",""
30,30,"Alternate Charge Skin","Apparence de Charges alternatives","Ladungen-Skin","オルタネートチャージスキン","대체 충전 스킨","Visual de Carga Alternativo","Внешний вид зарядов","Aspecto alternativo para cargas","สกินชาร์จแบบพิเศษ","替代能量球外觀",1,[34],104,0,846,"Changes the appearance of your Endurance, Frenzy and Power Charges.","Remplace l'apparence de vos charges d'Endurance, de Frénésie et de Pouvoir.","Ändert das Aussehen der eigenen Widerstands-, Raserei- und Energie-Ladungen.","エンデュランスチャージ、フレンジーチャージ、パワーチャージの見た目を変更します。","인내, 격분, 권능 충전의 외형을 변경합니다.","Muda a aparência de suas cargas de frenesi, poder e tolerância.","Изменяет внешний вид ваших зарядов выносливости, ярости и энергии.","Cambia la apariencia de tus cargas de aguante, frenesí y poder.","เปลี่ยนสกิน Endurance, Power และ Frenzy Charge ของคุณ","改變你的耐力、狂怒和暴擊球外觀。"
31,31,"Extra Effect","Effet supplémentaire","Zusätzlicher Effekt","追加エフェクト","추가 이펙트","Efeito Adicional","Дополнительный эффект","Efecto adicional","เอฟเฟคเสริม","額外效果",1,[],115,0,849,"Extra Effects are special effects that do not apply to specific mtx slot and are triggered on certain conditions, such as opening a chest.","Les effets supplémentaires sont des effets spéciaux qui ne s'appliquent pas à un emplacement de microtransaction spécifique. Ils se déclenchent sous certaines conditions, comme lors de l'ouverture d'un coffre.","Zusätzliche Effekte sind besondere Effekte, die nicht an einen bestimmten Mikrotransaktions-Platz gebunden sind und unter bestimmten Bedingungen ausgelöst werden, beispielsweise beim Öffnen einer Truhe.","追加エフェクトは特定のMTXスロットには適用されない特別なエフェクトで、チェストを開くなどといった特定の条件が満たされた時にトリガーされます。","추가 이펙트는 특정 포인트 아이템 슬롯에 적용되어, 상자를 여는 등의 특정 조건을 충족하면 발동되는 특별 이펙트입니다.","Efeitos extras são efeitos especiais que não estão associados a um espaço de microtransação específico e são ativados sob certas condições, como abrir um baú.","Дополнительные эффекты – это специальные эффекты, которые не помещаются в определённую ячейку микротранзакций, а срабатывают при определённых условиях, например при открытии сундука.","Los efectos adicionales son efectos especiales que no se aplican a un espacio específico de microtransacciones y que se activan cuando se dan ciertas condiciones, como abrir un cofre.","เอฟเฟคเสริมเป็นภาพเอฟเฟคที่ไม่มีช่องติดตั้งของมันเองและจะถูกทริกเกอร์ตามเงื่อนไขบางอย่าง อย่างเช่นการเปิดหีบ","額外特效是不對應特定外觀欄位的特殊效果，會在特定條件下觸發，例如開啟寶箱。"
32,32,"Charm Effect","Effet de Charme","Phioleneffekt","チャームエフェクト","호신부 이펙트","Efeito de Patuá","Эффект оберега","Efecto para vial","เอฟเฟคของขลัง","護符效果",1,"[48,49,50]",106,0,858,"","","","","","","","","",""
33,33,"Character Skin","Effet de personnage","Charakterskin","キャラクタースキン","캐릭터 스킨","Visual de Personagem","Внешний вид персонажа","Aspecto para el personaje","สกินตัวละคร","角色外觀",1,[56],110,0,841,"Effects that add tattoos or scars to your characters skin, or replace their skin entirely.","Des effets qui ajoutent des Tatouages ou des Cicatrices à l'apparence de vos personnages, ou qui la remplace entièrement.","Effekte, die Charakterskins Tätowierungen oder Narben hinzufügen, oder diese gänzlich ersetzen.","キャラクタースキンにタトゥーや傷跡を追加するエフェクトまたはそのスキンを完全に置き換えるエフェクトです。","캐릭터의 피부에 문신이나 흉터를 추가하거나, 피부를 완전히 대체하는 이펙트입니다.","Efeitos que adicionam tatuagens ou cicatrizes à pele dos personagens ou que a substituem completamente.","Эффекты, добавляющие татуировки или шрамы на кожу вашего персонжа, либо целиком заменяющие кожу.","Efectos que agregan tatuajes o cicatrices a la piel de tu personaje o que reeemplazan su aspecto por completo","เอฟเฟคที่เพิ่มลายสัก รอยแผลเป็นให้กับผิวตัวละครของคุณ หรือเปลี่ยนสกินไปโดยสิ้นเชิง","為你的角色皮膚新增刺青或疤痕，或完全替換其皮膚的效果。"
34,34,"Tracking Scroll","Parchemin de suivi","Buchhalter-Schriftrolle","記録のスクロール","추적 주문서","Pergaminho de Acompanhamento","Свиток отслеживания","Pergamino de rastreo","แผ่นบันทึก","追蹤卷軸",1,[],115,0,850,"Tracking Scrolls keep record of specific statistics such as monster kills or number of items picked up. You can pin a specific scroll to your profile to display to your friends, party or guild members, and can also be linked in chat. ","Les Parchemins de suivi conservent des statistiques spécifiques, comme le nombre de Monstres tués ou le nombre d'objets ramassés. Vous pouvez épingler un parchemin spécifique sur votre profil pour l'afficher à vos amis, membres de votre groupe ou de votre guilde et, peuvent également être partagés dans le canal de discussion.","Buchhalter-Schriftrollen zeichnen bestimmte Statistiken auf, wie zum Beispiel die Anzahl getöteter Monster oder eingesammelter Gegenstände. Es kann eine bestimmte Rolle im Profil festgelegt werden, die Freunde, Gruppen- oder Gildenmitglieder sehen können, und die auch im Chat verlinkt werden kann. ","記録のスクロールはモンスターのキル数や拾ったアイテムの数のような特定の統計情報の記録を取ります。特定のスクロールをプロフィールにピン止めしてフレンド、パーティーメンバーまたはギルドメンバーに見せることができるほか、チャットにリンクして投稿することができます。","추적 주문서는 몬스터 처치 수나 주운 아이템의 수 등의 통계를 기록합니다. 특정 주문서를 프로필에 고정하여 친구나 파티, 길드원에게 보여 줄 수 있으며 채팅창에 링크할 수도 있습니다.","Pergaminhos de Acompanhamento registram estatísticas específicas, como a quantidade de monstros abatidos ou de itens coletados. É possível fixar um pergaminho específico no seu perfil para exibi-lo aos seus amigos, membros do grupo ou da guilda, bem como compartilhá-lo no bate-papo.","Свитки отслеживания ведут статистику, такую как убийства монстров или число поднятых предметов. Можно закрепить отдельный свиток в вашем профиле, чтобы показывать его друзьям, членам группы или гильдии, и также можно отправлять его в чат.","Los pergaminos de rastreo mantienen un registro de ciertas estadísticas específicas, como la cantidad de monstruos que matas o la cantidad de objetos que recoges. Puedes fijar un pergamino específico en tu perfil para que lo vean tus amigos, tu grupo o los miembros de tu hermandad, y también se puede enlazar en el chat. ","แผ่นบันทึกจะจดสถิติบางอย่างเอาไว้อย่างเช่นจำนวนการสังหารมอนสเตอร์หรือจำนวนของไอเทมที่ถูกเก็บขึ้นมา คุณสามารถปักหมุดแผ่นบันทึกบางอย่างเข้ากับโปรไฟล์ของคุณเพื่อแสดงให้เพื่อน, ปาร์ตี้ หรือสมาชิกกิลด์ของคุณเห็น และยังสามารถเชื่อมโยงลงไปในแชทได้อีกด้วย","追蹤卷軸會記錄特定統計數據，例如怪物擊殺數或拾取物品數量。你可以將特定卷軸釘選到個人檔案，向你的朋友、隊伍或公會成員展示，也可以在聊天中連結。"
35,35,"Level Up Effect","Effet de Passage de niveau","Stufenaufstieg-Effekt","レベルアップエフェクト","레벨 상승 이펙트","Efeito de Subir Nível","Эффект повышения уровня","Efecto al subir de nivel","เอฟเฟคเลเวลขึ้น","升級特效",1,[],115,0,843,"Effects that play when your character levels up. You can only have 1 Level Up Effect equipped at a time.","Des effets qui s'activent lorsque votre personnage passe un niveau. Vous ne pouvez équiper qu'un seul Effet de Passage de niveau à la fois.","Effekte, die beim Stufenaufstieg des eigenen Charakters abgespielt werden. Es kann jeweils nur einen Stufenaufstieg-Effekt aktiv sein.","キャラクターがレベルアップした時に表示されるエフェクトです。一度に装備できるレベルアップエフェクトは1種類だけです。","캐릭터의 레벨이 오를 때 재생되는 이펙트입니다. 레벨 상승 이펙트는 한 번에 1개만 장착할 수 있습니다.","Efeitos que são exibidos quando seu personagem sobe de nível. É possível ter apenas um efeito de subir nível equipado por vez.","Эффекты, которые отображаются при повышении уровня вашего персонажа. Одновременно можно использовать только 1 эффект повышения уровня.","Son los efectos que se reproducen cuando tu personaje sube de nivel. Solo puedes tener 1 efecto de subida de nivel equipado a la vez.","ภาพเอฟฟเฟคที่เล่นเมื่อตัวละครของคุณเลเวลขึ้น คุณสามารถติดตั้งเอฟเฟคเลเวลขึ้นได้สูงสุด 1 ชิ้นเท่านั้น","角色升級時播放的效果。你一次只能裝備 1 個升級特效。"
36,36,"Dodge Roll Effect","Effet de Roulade","Ausweichrolle-Effekt","ドッジロールエフェクト","회피 구르기 이펙트","Efeito de Cambalhota Evasiva","Эффект уворота кувырком","Efecto al esquivar rodando","เอฟเฟคกลิ้งหลบ","翻滾特效",1,[],115,0,845,"Adds an effect when your dodge roll and sprint.","Ajoute un effet lorsque vous effectuez une Roulade ou que vous Sprintez.","Fügt einen Effekt hinzu, wenn man die Ausweichrolle benutzt oder sprintet.","ドッジロールおよびスプリント時にエフェクトを追加する。","회피 구르기와 달리기 시에 이펙트를 추가합니다.","Adiciona um efeito ao executar uma cambalhota evasiva e correr.","Добавляет эффект при увороте кувырком и спринте.","Agrega un efecto cuando esquivas rodando y esprintas.","เพิ่มเอฟเฟคเมื่อคุณกลิ้งหลบและวิ่ง","在你閃避翻滾和衝刺時新增效果。"
37,37,"Bear Shapeshift Skin","Apparence de Métamorphose en Ours","Bär-Gestaltwandler-Skin","ベアシェープシフトスキン","곰 형태 변환 스킨","Visual de Transformação em Urso","Эффект превращения в медведя","Aspecto para transformación de oso","สกินกลายร่างหมี","巨熊變形外觀",1,[57],115,0,836,"Changes the appearance of your character when shapeshifted into a Bear.","Change l'apparence de votre personnage lorsque vous êtes Métamorphosé en Ours.","Wandelt die Gestalt des Charakters, wenn man die Bärengestalt annimmt.","クマにシェープシフトした時のキャラクターの見た目を変化させる。","곰으로 형태 변환했을 때 캐릭터의 외형을 변경합니다.","Muda a aparência do personagem ao se transformar em urso.","Изменяет внешний вид вашего персонажа при превращении в медведя.","Cambia la apariencia de tu personaje cuando te transformas en oso.","เปลี่ยนสกินของตัวละครของคุณ เมื่อกลายร่างเป็นหมี","改變你的角色變身為巨熊時的外觀。"
38,38,"Wolf Shapeshift Skin","Apparence de Métamorphose en Loup","Wolf-Gestaltwandler-Skin","ウルフシェープシフトスキン","늑대 형태 변환 스킨","Visual de Transformação em Lobo","Эффект превращения в волка","Aspecto para transformación de lobo","สกินกลายร่างหมาป่า","狼人變形外觀",1,[58],115,0,837,"Changes the appearance of your character when shapeshifted into a Wolf.","Change l'apparence de votre personnage lorsque vous êtes Métamorphosé en Loup.","Wandelt die Gestalt des Charakters, wenn man die Wolfgestalt annimmt.","オオカミにシェープシフトした時のキャラクターの見た目を変化させる。","늑대로 형태 변환했을 때 캐릭터의 외형을 변경합니다.","Muda a aparência do personagem ao se transformar em lobo.","Изменяет внешний вид вашего персонажа при превращении в волка.","Cambia la apariencia de tu personaje cuando te transformas en lobo.","เปลี่ยนสกินของตัวละครของคุณ เมื่อกลายร่างเป็นหมาป่า","改變你的角色變身為狼人時的外觀。"
39,39,"Demon Shapeshift Skin","Apparence de Métamorphose en Démon","Dämon-Gestaltwandler-Skin","デーモンシェープシフトスキン","악마 형태 변환 스킨","Visual de Transformação em Demônio","Эффект превращения в демона","Aspecto para transformación de demonio","สกินกลายร่างอสูร","惡魔變形外觀",1,[59],115,0,838,"Changes the appearance of your character when shapeshifted into a Demon.","Change l'apparence de votre personnage lorsque vous êtes Métamorphosé en Démon.","Wandelt die Gestalt des Charakters, wenn man die Dämongestalt annimmt.","デーモンにシェープシフトした時のキャラクターの見た目を変化させる。","악마로 형태 변환했을 때 캐릭터의 외형을 변경합니다.","Muda a aparência do personagem ao se transformar em demônio.","Изменяет внешний вид вашего персонажа при превращении в демона.","Cambia la apariencia de tu personaje cuando te transformas en demonio.","เปลี่ยนสกินของตัวละครของคุณ เมื่อกลายร่างเป็นอสูร","改變你的角色變身為惡魔時的外觀。"
40,40,"Wyvern Shapeshift Skin","Apparence de Métamorphose en Wyverne","Lindwurm-Gestaltwandler-Skin","ワイバーンシェープシフトスキン","와이번 형태 변환 스킨","Visual de Transformação em Serpe","Эффект превращения в виверну","Aspecto para transformación de guiverno","สกินกลายร่างไวเวิร์น","飛龍變形外觀",1,[60],115,0,839,"Changes the appearance of your character when shapeshifted into a Wyvern.","Change l'apparence de votre personnage lorsque vous êtes Métamorphosé en Wyverne.","Wandelt die Gestalt des Charakters, wenn man die Lindwurmgestalt annimmt.","ワイバーンにシェープシフトした時のキャラクターの見た目を変化させる。","와이번으로 형태 변환했을 때 캐릭터의 외형을 변경합니다.","Muda a aparência do personagem ao se transformar em serpe.","Изменяет внешний вид вашего персонажа при превращении в виверну.","Cambia la apariencia de tu personaje cuando te transformas en guiverno.","เปลี่ยนสกินของตัวละครของคุณ เมื่อกลายร่างเป็นไวเวิร์น","改變你的角色變身為飛龍時的外觀。"
41,41,"[DNT]Emote","[DNT]Emote","[DNT]Emote","[DNT]Emote","[DNT]Emote","[DNT]Emote","[DNT]Emote","[DNT]Emote","[DNT]Emote","[DNT]Emote",5,[],115,0,872,"","","","","","","","","",""
42,42,"Account","Compte","Konto","アカウント","계정","Conta","Аккаунт","Cuenta","บัญชี","帳號",6,[],90,0,"","","","","","","","","","",""
