"rownum","MinionStat","PlayerStat","MinionType","MinionType2","bool_64","CompanionStat"
264,21018,[21018],[],[],"",""
265,20750,[20751],[],[],"",""
266,20768,[20769],[],[],"",""
267,20766,[20767],[],[],"",""
268,20864,[20865],[],[],"",""
269,21275,[21343],[],[],"",""
270,21736,[21735],[],[],"",""
271,21739,[438],[],[],"",""
272,21775,[128],[],[],"",1
273,21776,[113],[],[],"",1
274,21777,[110],[],[],"",1
275,21790,[24],[],[],"",1
276,21798,[118],[],[],"",1
277,21801,[563],[],[],"",1
278,21803,[569],[],[],"",1
279,21804,[21805],[],[],"",1
280,21938,[24],[],[],"",""
281,21939,[84],[],[],"",""
282,23529,[424],[],[],"",""
283,23531,[70],[],[],"",""
284,21965,[84],[],[],"",1
285,21966,[424],[],[],"",1
286,21967,[70],[],[],"",1
287,21968,[136],[],[],"",1
288,21969,[145],[],[],"",1
289,19617,"[2016,2015,2017]",[],[],"",1
290,22094,[22095],[],[],"",""
291,1407,[22098],[],[],1,""
292,8327,[22198],[],[],"",""
293,19667,[19195],[],[],"",""
294,1827,[1040],[5],[],1,""
295,2781,[715],[5],[],1,""
296,3559,[3561],[5],[],1,""
297,3391,[703],[5],[],1,""
298,3783,[3784],[5],[],1,""
299,3389,[3390],[5],[],1,""
300,3780,[3781],[5],[],1,""
301,3979,[3978],[5],[],1,""
302,10302,[710],[5],[],1,""
303,3981,[3980],[5],[],1,""
304,4368,[4369],[5],[],1,""
305,12111,[440],[5],[],1,""
306,18015,[119],[5],[],1,""
307,5026,[709],[5],[],1,""
308,4603,[4604],[5],[],1,""
309,18008,[18016],[5],[],1,""
310,12112,[17432],[5],[],1,""
311,3106,[122],[5],[],1,""
312,3107,[129],[5],[],1,""
313,9838,[3266],[5],[],1,""
314,17478,[732],[5],[],1,""
315,7033,[128],[5],[],1,""
316,3446,[3446],[5],[],1,""
317,9046,[9046],[5],[],1,""
318,7148,[7148],[5],[],1,""
319,4001,[4001],[5],[],1,""
320,4358,[4358],[5],[],1,""
321,4357,[4357],[5],[],1,""
322,4518,[4518],[5],[],1,""
323,4519,[4519],[5],[],1,""
324,13329,[13329],[5],[],1,""
325,9048,[9048],[5],[],1,""
326,22423,[22422],[],[],"",""
327,22487,[22486],[],[],"",""
328,22575,[22625],[5],[],1,""
329,22961,[22962],[79],[],"",1
330,25010,[25011],[79],[],"",1
331,22958,[22958],[79],[],"",1
332,22959,[22959],[79],[],"",1
333,22960,[22960],[79],[],"",1
334,22892,[22892],[],[],1,""
335,22893,[22893],[],[],1,""
336,19819,[19819],[],[],1,""
337,19822,[19822],[],[],1,""
338,19825,[19825],[],[],1,""
339,23191,[23192],[],[],"",""
340,23181,[23182],[],[],"",""
341,23435,[23436],[],[],"",""
342,23343,[23327],[],[],"",1
343,23664,[19402],[],[],"",""
344,23668,[17541],[],[],"",""
345,23900,[951],[],[],"",""
346,23901,[949],[],[],"",""
347,23902,[950],[],[],"",""
348,24043,[5197],[],[],"",1
349,21061,[21062],[5],[],1,""
350,21064,[21065],[5],[],1,""
351,21069,[21070],[5],[],1,""
352,21071,[21072],[5],[],1,""
353,21060,[21060],[5],[],1,""
354,24351,[24352],"[71,72,73,74,75]",[],"",""
355,24398,[2108],[],[],"",""
356,24658,[24659],[],[],"",""
357,20179,[1841],[5],[],1,""
358,24759,[1247],[],[],"",""
359,24786,[24785],[],[],"",1
360,24812,[24813],[],[],"",""
361,24825,[24826],[],[],"",""
362,25008,[25008],[82],[],"",1
363,25007,[25007],[82],[],"",1
364,25125,[30],[],[],"",1
365,25126,[31],[],[],"",1
366,25127,[45],[],[],"",1
367,25128,[46],[],[],"",1
368,25129,[52],[],[],"",1
369,25130,[53],[],[],"",1
370,25131,[59],[],[],"",1
371,25132,[60],[],[],"",1
372,25133,[66],[],[],"",1
373,25134,[67],[],[],"",1
374,25136,[6386],[],[],"",""
375,25726,[18720],[],[],"",""
376,25811,[25812],[],[],"",""
377,26004,[26003],[],[],"",1
378,26085,[26086],[],[],"",""
379,26120,[17580],[],[],"",1
380,26117,[26121],[],[],"",1
381,23667,[26121],[],[],"",""
382,26205,[26204],[],[],"",1
383,26274,[24105],[],[],"",""
384,26354,[9511],[],[],"",""
385,26356,[26355],[],[],"",""
386,26410,[17752],[],[],"",1
387,26411,[17754],[],[],"",1
388,26412,[3251],[],[],"",1
389,26413,[2546],[],[],"",1
390,26414,[172],[],[],"",1
391,26424,[23308],[],[],"",""
392,26434,[19908],[],[],"",""
393,26446,[26447],[],[],"",""
394,26463,[26464],[],[],"",1
395,26465,[26465],[],[],"",""
396,26585,[26586],[],[],"",""
