"rownum","Id","Filters","Filters (French)","Filters (German)","Filters (Japanese)","Filters (Korean)","Filters (Portuguese)","Filters (Russian)","Filters (Spanish)","Filters (Thai)","Filters (Traditional Chinese)","FilterGroup","i32_32","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","bool_44","bool_45","bool_46","bool_47","KeywordPopup"
37,"physical","physical","physique","physisch","物理","물리","físico","physical","físico","กายภาพ","物理",2,100,"Physical","Physique","Physisch","物理","물리","Físico","Физический","Físico","กายภาพ","物理",1,1,"",1,1
38,"elemental","elemental","élémentaire","elementar","元素","원소","elemental","elemental","elemental","ธาตุ","元素",2,100,"Elemental","Élémentaire","Elementar","元素","원소","Elemental","Стихийный","Elemental","ธาตุ","元素",1,1,"",1,152
39,"fire","fire","feu","feuer","火","화염","fogo","fire","fuego","ไฟ","火焰",2,100,"Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","ไฟ","火焰",1,1,"","",2
40,"cold","cold","froid","kälte","冷気","냉기","frio","cold","hielo","น้ำแข็ง","冰冷",2,100,"Cold","Froid","Kälte","冷気","냉기","Frio","Холод","Hielo","น้ำแข็ง","冰冷",1,1,"","",3
41,"lightning","lightning","foudre","blitz","雷","번개","eletricidade","lightning","rayo","สายฟ้า","閃電",2,100,"Lightning","Foudre","Blitz","雷","번개","Eletricidade","Молния","Rayo","สายฟ้า","閃電",1,1,"","",4
42,"chaos","chaos","chaos","chaos","混沌","카오스","caos","chaos","caos","เคออส","混沌",2,100,"Chaos","Chaos","Chaos","混沌","카오스","Caos","Хаос","Caos","เคออส","混沌",1,1,"",1,5
43,"damage","damage","dégâts","schaden","ダメージ","피해","dano","damage","daño","ความเสียหาย","傷害",5,100,"Damage","Dégâts","Schaden","ダメージ","피해","Dano","Урон","Daño","ความเสียหาย","傷害",1,"","","",19
44,"attack","attack","attaque","angriff","アタック","공격","ataque","attack","ataque","โจมตี","攻擊",5,100,"Attack","Attaque","Angriff","アタック","공격","Ataque","Атака","Ataque","โจมตี","攻擊","","","",1,99
45,"critical","critical","critique","kritisch","クリティカル","치명타","crítico","critical","crítico","คริติคอล","暴擊",5,100,"Critical","Critique","Kritisch","クリティカル","치명타","Crítico","Критический","Crítico","คริติคอล","暴擊",1,1,"","",76
46,"accuracy","accuracy","précision","treffgenauigkeit","命中力","정확도","precisão","accuracy","precisión","ความแม่นยำ","命中",5,100,"Accuracy","Précision","Treffgenauigkeit","命中力","정확도","Precisão","Меткость","Precisión","ความแม่นยำ","命中",1,1,"","",87
47,"melee","melee","mêlée","nahkampf","近接","근접","corpo a corpo","melee","cuerpo a cuerpo","ประชิด","近戰",5,100,"Melee","Mêlée","Nahkampf","近接","근접","Corpo a Corpo","Ближний бой","Cuerpo a cuerpo","ประชิด","近戰",1,"","","",62
48,"projectile","projectile","projectile","projektil","投射物","투사체","projétil","projectile","proyectil","โพรเจกไทล์","投射物",5,100,"Projectile","Projectile","Projektil","投射物","투사체","Projétil","Снаряд","Proyectil","โพรเจกไทล์","投射物",1,"","","",74
49,"area_of_effect","area of effect","zone d'effet","wirkungsbereich","範囲効果","효과 범위","área de efeito","area of effect","área de efecto","พื้นที่ส่งผล","影響範圍",5,100,"Area Of Effect","Zone d'effet","Wirkungsbereich","範囲効果","효과 범위","Área de Efeito","Область","Área de efecto","พื้นที่ส่งผล","影響範圍",1,"","","",""
50,"penetrates","penetrates|penetration","pénètre|pénétration","durchdringt|durchdringung","貫通","관통","penetra|penetração","penetrates|penetration","penetra|penetración","เจาะทะลุ","穿透|穿透",5,100,"Penetrates","Pénètre","Durchdringt","貫通","관통","Penetra","Пробивание","Penetra","เจาะทะลุ","穿透",1,"","","",158
51,"exposure","exposure","exposition","anfälligkeit","曝露","노출","exposição","exposure","exposición","พ่ายแก่","曝曬",5,100,"Exposure","Exposition","Anfälligkeit","曝露","노출","Exposição","Восприимчивость","Exposición","พ่ายแก่","曝曬",1,"","","",144
52,"magnitude","magnitude","amplitude","magnitude","強度","강도","intensidade","magnitude","magnitud","จำนวนค่า","幅度",5,100,"Magnitude","Amplitude","Magnitude","強度","강도","Intensidade","Величина","Magnitud","จำนวนค่า","幅度",1,"","","",221
53,"grenade","grenade","grenade","granate","グレネード","유탄","granada","grenade","granada","ลูกระเบิด","擲彈",3,100,"Grenade","Grenade","Granate","グレネード","유탄","Granada","Граната","Granada","ลูกระเบิด","擲彈",1,1,"","",316
54,"strike","strike","frappe","schlag","ストライク","타격","golpe","strike","golpe","ฟาด","打擊",5,100,"Strike","Frappe","Schlag","ストライク","타격","Golpe","Удар","Golpe","ฟาด","打擊",1,"","","",73
55,"slam","slam","fracas","hieb","スラム","강타","pancada","slam","embate","ทุบ","重擊",5,100,"Slam","Fracas","Hieb","スラム","강타","Pancada","Мощный удар","Embate","ทุบ","重擊",1,"","","",63
56,"warcry","warcry","cri de guerre","kriegsschrei","ウォークライ","함성","clamor","warcry","grito de guerra","คำราม","戰吼",5,100,"Warcry","Cri de guerre","Kriegsschrei","ウォークライ","함성","Clamor","Боевой клич","Grito de guerra","คำราม","戰吼",1,"","","",133
57,"rage","rage","rage","rausch","憤怒","격노","fúria","rage","furia","คลั่ง","盛怒",5,100,"Rage","Rage","Rausch","憤怒","격노","Fúria","Свирепость","Furia","คลั่ง","盛怒",1,"","","",41
58,"aftershock","aftershock","réplique","nachbeben","余震","여진","tremor secundário","aftershock","réplica","คลื่นสะท้อน","餘震",5,100,"Aftershock","Réplique","Nachbeben","余震","여진","Tremor Secundário","Остаточная волна","Réplica","คลื่นสะท้อน","餘震",1,"","","",136
59,"break","break|broken","briser|brisé","brechen|zerbrochen","破壊|破壊された","파괴","quebra|quebrado","break|broken","rotura|rota","หัก","破壞|破壞",5,100,"Break","Briser","Brechen","破壊","파괴","Quebra","Разрушение","Rotura","หัก","破壞",1,"","","",159
60,"thorns","thorns","épines","dornen","棘","가시","espinhos","thorns","espinas","ผิวหนาม","荊棘",5,100,"Thorns","Épines","Dornen","棘","가시","Espinhos","Шипы","Espinas","ผิวหนาม","荊棘",1,"","","",191
61,"armour","armour","armure","rüstung","アーマー","방어도","armadura","armour","armadura","ค่าเกราะ","護甲",6,100,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲",1,"",1,"",83
62,"evasion","evade|evasion","éviter|évasion","ausweichen|ausweichen","回避力","회피","evade|evasão","evade|evasion","evadir|evasión","การหลบหลีก","閃避|閃避",6,100,"Evasion","Évasion","Ausweichen","回避力","회피","Evasão","Уклонение","Evasión","การหลบหลีก","閃避",1,"",1,"",86
63,"block","block","blocage","blocken|blockt","ブロック","막기","bloqueio","block","bloqueo","บล็อค","格擋",6,100,"Block","Blocage","Blocken","ブロック","막기","Bloqueio","Блок","Bloqueo","บล็อค","格擋",1,1,"","",70
64,"parry","parry|parried","parade|paré","parade|parieren|pariert","パリィ|パリィ","흘려보내기|흘려보낸","apara|aparado","parry|parried","parar|parado","แพรี่","招架|受招架",6,100,"Parry","Parade","Parieren","パリィ","흘려보내기","Aparar","Парирование","Parada","แพรี่","招架",1,1,"","",446
65,"regen","regeneration|regenerate","régénération|régénérer","regeneration|regenerieren","自動回復|自動回復","재생","regeneração|regenerar","regeneration|regenerate","regeneración|regenera","ฟื้นฟู","回復|回復",6,100,"Regeneration","Régénération","Regeneration","自動回復","재생","Regeneração","Регенерация","Regeneración","ฟื้นฟู","回復",1,"",1,"",""
66,"recovery","recover","récupérer","wiederherstellen|wiederherstellung","回復","회복","recuperar","recover","recuperar","เติม","恢復",6,100,"Recovery","Récupération","Wiederherstellung","回復","회복","Recuperação","Восстановление","Recuperación","เติม","恢復",1,"",1,"",317
67,"recoup","recoup","recouvrer","wiedergewonnen|wiedergewinnung","回収","회생","recuperação","recoup","recobrar","เยียวยา","補償",6,100,"Recoup","Recouvrement","Wiedergewonnen","回収","회생","Recuperar","Восполнение","Recobrar","เยียวยา","補償",1,"",1,"",190
68,"resistance","resistance","résistance","widerstand","耐性","저항","resistência","resistance","resistencia","ค่าต้านทาน","抗性",6,100,"Resistance","Résistance","Widerstand","耐性","저항","Resistência","Сопротивление","Resistencia","ค่าต้านทาน","抗性",1,"","","",75
69,"leech","leech","drain","raub","リーチ","흡수","roubar","leech","absorción","ดูด","偷取",6,100,"Leech","Drain","Raub","リーチ","흡수","Roubar","Похищение","Absorción","ดูด","偷取",1,1,1,"",380
70,"threshold","threshold","seuil","schwelle","閾値","한계치","resistência-limite","threshold","umbral","ความยาก","門檻",6,100,"Threshold","Seuil","Schwelle","閾値","한계치","Resistência-limite","Порог","Umbral","ความยาก","門檻",1,"","","",""
71,"ailment","ailment","altération","beeinträchtigung","状態異常","상태 이상","afecção","ailment","estado alterado","สถานะเจ็บป่วย","異常狀態",8,100,"Ailment","Altération","Beeinträchtigung","状態異常","상태 이상","Afecção","Состояние","Estado alterado","สถานะเจ็บป่วย","異常狀態","",1,"","",7
72,"ignite","ignite","embrasement","entzünden","発火","점화","incêndio","ignite","quemadura","ลุกไหม้","點燃",8,100,"Ignite","Embrasement","Entzünden","発火","점화","Incêndio","Поджог","Quemadura","ลุกไหม้","點燃",1,1,"","",25
73,"burning","burning","brûlure","brennen","燃焼","화상","abrasador","burning","incendio","ติดไฟ","燃燒",8,100,"Burning","Brûlure","Brennen","燃焼","화상","Abrasador","Горение","Incendio","ติดไฟ","燃燒",1,1,"","",84
74,"chill","chill","frigorification","unterkühlen","冷却","냉각","esfriar","chill","escarchamiento","หนาวเย็น","冰緩",8,100,"Chill","Frigorification","Unterkühlen","冷却","냉각","Esfriar","Охлаждение","Escarchamiento","หนาวเย็น","冰緩",1,1,"","",14
75,"freeze","freeze","gel","einfrieren","凍結","동결","congelar","freeze","congelamiento","แช่แข็ง","冰凍",8,100,"Freeze","Gel","Einfrieren","凍結","동결","Congelar","Заморозка","Congelamiento","แช่แข็ง","冰凍",1,1,"","",23
76,"shock","shock","électrocution","schocken","感電","감전","eletrificar","shock","electrocución","ช็อค","感電",8,100,"Shock","Électrocution","Schocken","感電","감전","Eletrificar","Шок","Electrocución","ช็อค","感電",1,1,"","",44
77,"electrocute","electrocute","foudroiement","elektrisieren","麻痺","전기 처형","eletrocussão","electrocute","parálisis","ช็อตประสาท","觸電",8,100,"Electrocute","Foudroiement","Elektrisieren","麻痺","전기 처형","Eletrocussão","Электризация","Parálisis","ช็อตประสาท","觸電",1,1,"","",59
78,"bleed","bleed","saignement","bluten","出血","출혈","sangramento","bleed","sangrado","เลือดไหล","流血",8,100,"Bleed","Saignement","Bluten","出血","출혈","Sangramento","Кровотечение","Sangrado","เลือดไหล","流血",1,1,"","",12
79,"poison","poison","poison","vergiften","毒","중독","envenenar","poison","veneno","พิษ","中毒",8,100,"Poison","Poison","Vergiften","毒","중독","Envenenar","Яд","Veneno","พิษ","中毒",1,1,"","",40
80,"stun","stun","étourdissement","betäuben","スタン","기절","atordoar","stun","aturdimiento","สตัน","暈眩",8,100,"Stun","Étourdissement","Betäuben","スタン","기절","Atordoar","Оглушение","Aturdimiento","สตัน","暈眩",1,1,"","",55
81,"daze","daze","hébétement","benommen|benommenheit","眩暈","혼미","desorientação","daze","desorientación","งุนงง","目眩",8,100,"Daze","Hébétement","Benommen","眩暈","혼미","Desorientação","Оцепенение","Desorientación","งุนงง","目眩",1,1,"","",252
82,"aggravate","aggravate","aggraver","verschlimmern|verschlimmertes","悪化","가중","agravar","aggravate","agravar","เลือดไหลรุนแรง","加劇",8,100,"Aggravate","Aggraver","Verschlimmern","悪化","가중","Agravar","Усугубление","Agravar","เลือดไหลรุนแรง","加劇",1,1,"","",233
83,"slow","slow","ralentissement","verlangsamen","減速","감속","desacelerar","slow","ralentización","เชื่องช้า","緩速",8,100,"Slow","Ralentissement","Verlangsamen","減速","감속","Desacelerar","Замедление","Ralentización","เชื่องช้า","緩速",1,"","","",93
84,"hinder","hinder","entrave","lähmen","阻害","이동 방해","tolher","hinder","entumecer","ขัดขวาง","阻礙",8,100,"Hinder","Entrave","Lähmen","阻害","이동 방해","Tolher","Скованность","Entumecer","ขัดขวาง","阻礙",1,"","","",24
85,"maim","maim","mutiler","verstümmeln","重傷","힘줄 절단","mutilar","maim","lisiar","ขาหัก","癱瘓",8,100,"Maim","Mutiler","Verstümmeln","重傷","힘줄 절단","Mutilar","Увечье","Lisiar","ขาหัก","癱瘓",1,1,"","",34
86,"knockback","knockback","repoussement","zurückstoßen|rückstoß","ノックバック","밀어내기","empurrar","knockback","empuje","ผลักออกไป","擊退",8,100,"Knockback","Repoussement","Zurückstoßen","ノックバック","밀어내기","Empurrar","Отбрасывание","Empuje","ผลักออกไป","擊退",1,1,"","",28
87,"jagged_ground","jagged ground","sol irrégulier","zerklüfter boden","ギザギザ領域","요철 지대","chão de estacas","jagged ground","suelo irregular","พื้นหยัก","碎裂地面",8,100,"Jagged Ground","Sol irrégulier","Zerklüfteter Boden","ギザギザ領域","요철 지대","Chão de Estacas","Вздыбленная земля","Suelo irregular","พื้นหยัก","碎裂地面",1,"","","",78
88,"power_charge","power charge","charge de pouvoir","energie-ladung|energieladung","パワーチャージ","권능 충전","carga de poder","power charge","carga de poder","Power Charge","暴擊球",7,100,"Power Charge","Charge de pouvoir","Energie-Ladung","パワーチャージ","권능 충전","Carga de Poder","Заряд энергии","Carga de poder","Power Charge","暴擊球",1,"","","",151
89,"frenzy_charge","frenzy charge","charge de frénésie","raserei-ladung|rasereiladung","フレンジーチャージ","격분 충전","carga de frenesi","frenzy charge","carga de frenesí","Frenzy Charge","狂怒球",7,100,"Frenzy Charge","Charge de frénésie","Raserei-Ladung","フレンジーチャージ","격분 충전","Carga de Frenesi","Заряд ярости","Carga de frenesí","Frenzy Charge","狂怒球",1,"","","",151
90,"endurance_charge","endurance charge","charge d'endurance","widerstands-ladung|widerstandsladung","エンデュランスチャージ","인내 충전","carga de tolerância","endurance charge","carga de aguante","Endurance Charge","耐力球",7,100,"Endurance Charge","Charge d'endurance","Widerstands-Ladung","エンデュランスチャージ","인내 충전","Carga de Tolerância","Заряд выносливости","Carga de aguante","Endurance Charge","耐力球",1,"","","",151
91,"cooldown","cooldown","temps de recharge","abklingzeit","クールダウン","재사용 대기시간","recarga","cooldown","enfriamiento","คูลดาวน์","冷卻",9,100,"Cooldown","Temps de recharge","Abklingzeit","クールダウン","재사용 대기시간","Recarga","Перезарядка","Enfriamiento","คูลดาวน์","冷卻",1,"","","",375
92,"maximum","maximum","maximum","maximum","最大","최대치","máximo","maximum","máximo","สูงสุด","最大",9,100,"Maximum","Maximum","Maximum","最大","최대치","Máximo","Максимум","Máximo","สูงสุด","最大",1,"","","",""
93,"dodge_roll","dodge roll","roulade","ausweichrolle","ドッジロール","회피 구르기","cambalhota evasiva","dodge roll","esquivar rodando","กลิ้งหลบ","閃避翻滾",11,100,"Dodge Roll","Roulade","Ausweichrolle","ドッジロール","회피 구르기","Cambalhota Evasiva","Кувырок","Esquivar rodando","กลิ้งหลบ","閃避翻滾","","","","",""
94,"flask","flask","flacon","fläschchen","フラスコ","플라스크","frasco","flask","frasco","ขวดยา","藥劑",11,100,"Flask","Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑","","",1,"",124
95,"charm","charm","charme","phiole","チャーム","호신부","patuá","charm","vial","ของขลัง","護符",6,100,"Charm","Charme","Phiole","チャーム","호신부","Patuá","Оберег","Vial","ของขลัง","護符",1,"","","",292
96,"charge","charge","charge","füllung","チャージ","돌진","carga","charge","carga","Charge|ชาร์จ","充能",9,100,"Charge","Charge","Füllung","チャージ","돌진","Carga","Заряд","Carga","Charge|ชาร์จ","充能",1,"","","",151
97,"faster","faster","plus rapidement","schneller","早く","빠르게","mais rápido","faster","más rápido","เร็วขึ้น","較快",9,100,"Faster","Plus rapidement","Schneller","早く","빠르게","Mais Rápido","Быстрее","Más rápido","เร็วขึ้น","較快","","","","",""
98,"slower","slower","plus lentement","langsamer","遅く","느리게","mais devagar","slower","más despacio","ช้าลง","較慢",9,100,"Slower","Plus lentement","Langsamer","遅く","느리게","Mais devagar","Медленнее","Más despacio","ช้าลง","較慢","","","","",93
99,"duration","duration","durée","dauer","持続時間","지속시간","duração","duration","duración","ระยะเวลา","持續時間",9,100,"Duration","Durée","Dauer","持続時間","지속시간","Duração","Длительность","Duración","ระยะเวลา","持續時間",1,"","","",185
100,"taken","taken","subis","erlitten als","受ける","받음","sofrido","taken","recibido","ได้รับ","承受",11,100,"Taken","Subis","Erlitten als","受ける","받음","Sofrido","Получает","Recibido","ได้รับ","承受","","","","",""
101,"movement","movement","déplacement","bewegung","移動","이동","movimento","movement","movimiento","เคลื่อนที่","移動",10,100,"Movement","Déplacement","Bewegung","移動","이동","Movimento","Передвижение","Movimiento","เคลื่อนที่","移動",1,"","",1,""
102,"speed","speed","vitesse","geschwindigkeit","スピード","속도","velocidade","speed","velocidad","ความเร็ว","速度",11,100,"Speed","Vitesse","Geschwindigkeit","スピード","속도","Velocidade","Скорость","Velocidad","ความเร็ว","速度","","","",1,""
103,"range","range","portée","reichweite","射程","범위","alcance","range","alcance","ระยะ","範圍",11,100,"Range","Portée","Reichweite","射程","범위","Alcance","Дальность","Alcance","ระยะ","範圍","","",1,"",""
104,"you","you","vous","ihr","プレイヤー","플레이어","você","you","tú","คุณ","你",11,100,"You","Vous","Ihr","プレイヤー","플레이어","Você","Вы","Tú","คุณ","你","","","",1,""
105,"ally","allies|ally","alliés|allié","verbündete|verbündeter","味方|味方","동료","aliados|aliado","allies|ally","aliados|aliado","เพื่อน","友方|友方",11,100,"Ally","Allié","Verbündete|Verbündeter","味方","동료","Aliado","Союзник","Aliado","เพื่อน","友方","","","",1,130
106,"enemy","enemies|enemy","ennemis|ennemi","gegner|gegner","敵|敵","적","inimigos|inimigo","enemies|enemy","enemigos|enemigo","ศัตรู","敵人|敵人",11,100,"Enemy","Ennemi","Gegner","敵","적","Inimigo","Враг","Enemigo","ศัตรู","敵人","","","",1,""
