"rownum","Id","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32_56","bool_60","EffectCategory","NextEffect","string_85","BoonDesc","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32_109","i32_113","bool_117","[rid]_118","Guard","FirstEffect","i32_158","i32_162","bool_166","bool_167","HASH16"
10,"BoonGainSacredWaterWhenDamaged",[16208],[2],"Reparations","Réparations","Reparationen","賠償","배상","Reparações","Репарации","Compensaciones","ชดเชยชดใช้","補償","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentGiftIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentGift","Gain 2 [SacredWater|Sacred Water] when you take Damage from an Enemy [HitDamage|Hit]","Vous gagnez 2 [SacredWater|Eaux sacrées] lorsque vous subissez des Dégâts provenant d'une [HitDamage|Hit|Touche] ennemie","Erhaltet 2 [SacredWater|Heiliges Wasser], wenn Ihr Schaden durch einen gegnerischen [HitDamage|Treffer] erleidet","敵の[HitDamage|ヒット]によりダメージを受けた時に[SacredWater|神聖な水]を2獲得する","적 [HitDamage|명중]으로 피해를 받으면 [SacredWater|신성한 물] 2개 획득","Receba 2 [SacredWater|Águas Sagradas] ao receber Dano de um [HitDamage|Acerto] de inimigo ","Дарует 2 [SacredWater|святой воды], когда вы получаете урон от [HitDamage|удара] врага ","Ganas 2 de [SacredWater|agua sagrada] cuando recibes daño de un [HitDamage|impacto] enemigo","ได้รับ [SacredWater|วารีศักดิ์สิทธิ์] 2\r\nเมื่อคุณได้รับความเสียหายจากการปะทะของศัตรู","當你被敵人[HitDamage|擊中]時，獲得 2 [SacredWater|神聖之水]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",46242
11,"AfflictionLoseSacredWaterWhenDamaged",[16210],[20],"Leaking Waterskin","Outre trouée","Undichte Wasserhaut","破れた革の水筒","새는 물주머니","Cantil Furado","Прохудившийся бурдюк","Odre agujereado","ถุงเก็บน้ำรั่ว","漏水袋","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLeakingWaterskinIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLeakingWaterskin","","","","","","","","","","","Lose 20 [SacredWater|Sacred Water] when you take Damage from an Enemy [HitDamage|Hit]","Vous perdez 20 [SacredWater|Eaux sacrées] lorsqu'un ennemi vous inflige des Dégâts au [HitDamage|Toucher]","Verliert 20 [SacredWater|Heiliges Wasser], wenn Ihr Schaden durch einen gegnerischen [HitDamage|Treffer] erleidet","敵の[HitDamage|ヒット]によりダメージを受けた時に[SacredWater|神聖な水]を20失う","적 [HitDamage|명중]으로 피해를 받으면 [SacredWater|신성한 물] 20개 상실","Perde 20 [SacredWater|Águas Sagradas] ao receber Dano de um [HitDamage|Acerto] Inimigo","Вы теряете 20 [SacredWater|святой воды], когда получаете урон от [HitDamage|удара]врага","Pierdes 20 de [SacredWater|agua sagrada] cuando recibes daño de un [HitDamage|impacto] enemigo","สูญเสีย [SacredWater|วารีศักดิ์สิทธิ์] 20\r\nเมื่อคุณได้รับความเสียหายจากการปะทะของศัตรู","當你被敵人[HitDamage|擊中]時，失去 20 [SacredWater|神聖之水]",3,0,"",[],[],"",3,0,"","",61003
12,"AfflictionLoseSacredWaterOnRoomComplete",[16211],[30],"Gate Toll","Droit de péage","Pfortenzoll","扉の通行料","통행세","Pedágio","Плата за проход","Peaje de puerta","อากรประตู","通行稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionGateTollIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionGateToll","","","","","","","","","","","Lose 30 [SacredWater|Sacred Water] on room completion","Vous perdez 30 [SacredWater|Eaux sacrées] lorsque vous terminez une salle","Verliert 30 [SacredWater|Heiliges Wasser] beim Abschluss eines Raums","部屋を完了すると[SacredWater|神聖な水]を30失う","방 완료 시 [SacredWater|신성한 물] 30개 상실","Perde 30 [SacredWater|Águas Sagradas] ao concluir a sala","Вы теряете 30 [SacredWater|святой воды] при завершении зала","Pierdes 30 de [SacredWater|agua sagrada] al completar la sala","สูญเสีย [SacredWater|วารีศักดิ์สิทธิ์] 30 เมื่อผ่านห้อง","完成房間時，失去 30 [SacredWater|神聖之水]",3,0,"",[],[],"",3,0,"","",35767
13,"AfflictionNoSacredWaterFromMonsters",[16212],[1],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Monsters no longer drop [SacredWater|Sacred Water]","Les monstres ne cèdent plus d'[SacredWater|Eaux sacrées]","Monster lassen kein [SacredWater|Heiliges Wasser] mehr fallen","モンスターが[SacredWater|神聖な水]をドロップしなくなる","몬스터가 [SacredWater|신성한 물]을 떨어뜨리지 않음","Monstros não deixam mais cair [SacredWater|Água Sagrada] ","Из монстров больше не выпадает [SacredWater|святая вода]","Los monstruos ya no dan [SacredWater|agua sagrada]","มอนสเตอร์ ไม่ดรอป [SacredWater|วารีศักดิ์สิทธิ์] อีกต่อไป","怪物不再掉落[SacredWater|神聖之水]",3,0,"",[],[],"",3,0,"","",59642
14,"AfflictionLoseLifeAndEnergyShieldInXRooms8","[20687,20686]","[250,8]","Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,15,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing {1} Rooms","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé {1} salles.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss von {1} Räumen","部屋を{1}つ完了した時に[Physical|物理]ダメージを{0}受ける","방 {1}개 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar {1} salas ","Вы получаете {0} [Physical|физического] урона после завершения {1} залов","Recibes {0} de daño [Physical|físico] tras completar {1} salas","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านไปได้ 8 ห้อง","完成 {} 個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],"",3,0,"","",59642
15,"AfflictionLoseLifeAndEnergyShieldInXRooms7","[20687,20686]","[250,7]","Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,16,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing {1} Rooms","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé {1} salles.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss von {1} Räumen","部屋を{1}つ完了した時に[Physical|物理]ダメージを{0}受ける","방 {1}개 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar {1} salas ","Вы получаете {0} [Physical|физического] урона после завершения {1} залов","Recibes {0} de daño [Physical|físico] tras completar {1} salas","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านไปได้ 7 ห้อง","完成 {} 個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],14,3,0,"","",59642
16,"AfflictionLoseLifeAndEnergyShieldInXRooms6","[20687,20686]","[250,6]","Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,17,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing {1} Rooms","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé {1} salles.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss von {1} Räumen","部屋を{1}つ完了した時に[Physical|物理]ダメージを{0}受ける","방 {1}개 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar {1} salas ","Вы получаете {0} [Physical|физического] урона после завершения {1} залов","Recibes {0} de daño [Physical|físico] tras completar {1} salas","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านไปได้ 6 ห้อง","完成 {} 個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],14,3,0,"","",59642
17,"AfflictionLoseLifeAndEnergyShieldInXRooms5","[20687,20686]","[250,5]","Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,18,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing {1} Rooms","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé {1} salles.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss von {1} Räumen","部屋を{1}つ完了した時に[Physical|物理]ダメージを{0}受ける","방 {1}개 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar {1} salas ","Вы получаете {0} [Physical|физического] урона после завершения {1} залов","Recibes {0} de daño [Physical|físico] tras completar {1} salas","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านไปได้ 5 ห้อง","完成 {} 個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],14,3,0,"","",59642
18,"AfflictionLoseLifeAndEnergyShieldInXRooms4","[20687,20686]","[250,4]","Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,19,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing {1} Rooms","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé {1} salles.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss von {1} Räumen","部屋を{1}つ完了した時に[Physical|物理]ダメージを{0}受ける","방 {1}개 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar {1} salas ","Вы получаете {0} [Physical|физического] урона после завершения {1} залов","Recibes {0} de daño [Physical|físico] tras completar {1} salas","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านไปได้ 4 ห้อง","完成 {} 個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],14,3,0,"","",59642
19,"AfflictionLoseLifeAndEnergyShieldInXRooms3","[20687,20686]","[250,3]","Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,20,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing {1} Rooms","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé {1} salles.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss von {1} Räumen","部屋を{1}つ完了した時に[Physical|物理]ダメージを{0}受ける","방 {1}개 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar {1} salas ","Вы получаете {0} [Physical|физического] урона после завершения {1} залов","Recibes {0} de daño [Physical|físico] tras completar {1} salas","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านไปได้ 3 ห้อง","完成 {} 個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],14,3,0,"","",59642
20,"AfflictionLoseLifeAndEnergyShieldInXRooms2","[20687,20686]","[250,2]","Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,21,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing {1} Rooms","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé {1} salles.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss von {1} Räumen","部屋を{1}つ完了した時に[Physical|物理]ダメージを{0}受ける","방 {1}개 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar {1} salas ","Вы получаете {0} [Physical|физического] урона после завершения {1} залов","Recibes {0} de daño [Physical|físico] tras completar {1} salas","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านไปได้ 2 ห้อง","完成 {} 個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],14,3,0,"","",59642
21,"AfflictionLoseLifeAndEnergyShieldInXRooms1",[16839],[250],"Death Toll","Tribut mortuaire","Blutzoll","死の通行料","죽음의 대가","Preço da Morte","Список погибших","Peaje por matar","อากรมรณะ","死亡稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","","","","","","","","","","Take {0} [Physical] Damage after completing the next Room","Vous subissez {0} Dégâts [Physical|Physiques] après avoir terminé la prochaine salle.","Erleidet {0} [Physical|physischen] Schaden nach dem Abschluss vom nächsten Raum","次の部屋を完了した時に[Physical|物理]ダメージを{0}受ける","다음 방 완료 후 [Physical|물리] 피해를 {0} 받음","Receba {0} de dano [Physical|Físico] após completar a próxima sala ","Вы получаете {0} [Physical|физического] урона после завершения следующего зала","Recibes {0} de daño [Physical|físico] tras completar la siguiente sala","รับความเสียหาย [Physical|กายภาพ] {1} เมื่อผ่านห้องถัดไป","完成下一個房間後受到 {} [Physical|物理]傷害",3,0,"",[],[],14,3,0,1,"",59642
22,"AfflictionNoSacredWaterFromChests",[16213],[1],"Exhausted Wells","Puits taris","Erschöpfte Brunnen","涸れ井戸","마른 우물","Poços Vazios","Исчерпанные колодцы","Pozos agotados","บ่อเหือดแห้ง","枯竭水井","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionExhaustedWellsIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionExhaustedWells","","","","","","","","","","","Chests no longer grant [SacredWater|Sacred Water]","Les coffres n'octroient plus d'[SacredWater|Eaux sacrées]","Truhen gewähren kein [SacredWater|Heiliges Wasser] mehr","チェストが[SacredWater|神聖な水]を付与しなくなる","상자에서 [SacredWater|신성한 물]이 나오지 않음","Baús não concedem mais [SacredWater|Água Sagrada] ","Из сундуков больше не выпадает [SacredWater|святая вода]","Los cofres ya no contienen [SacredWater|agua sagrada]","หีบ ไม่ให้ [SacredWater|วารีศักดิ์สิทธิ์] อีกต่อไป","保險箱不再掉落[SacredWater|神聖之水]",3,0,"",[],[],"",3,0,"","",35912
23,"AfflictionMonsterLife",[991],[50],"Spiked Shell","Carapace épineuse","Stachelpanzer","棘付きの殻","가시 껍질","Casulo Espinhento","Шипастая раковина","Caparazón de vida","กระดองติดหนาม","尖刺貝殼","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShellIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShell","","","","","","","","","","","Monsters have 50% increased Maximum Life","Les monstres ont 50% d'Augmentation de Vie maximale","Monster haben 50% erhöhtes maximales Leben","モンスターの最大ライフが50%増加する","몬스터의 최대 생명력 50% 증가","Monstros têm Vida Máxima aumentada em 50%","У монстров на 50% увеличенный максимум здоровья","Los monstruos tienen su vida máxima aumentada un 50%","มอนสเตอร์ มีพลังชีวิตสูงสุด เพิ่มขึ้น 50%","怪物有 50% 更多最大生命",3,0,"",[],[],"",3,0,"","",13875
