"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
41,"Omens","Omens","Présages","Omen","お告げ","징조","Presságios","Предзнаменования","Augurios","ลางบอกเหตุ","徵兆"
42,"OmensSpecial","Special Omens","Présages spéciaux","Besondere Omen","特殊お告げ","특별 징조","Presságios Especiais","Особые предзнаменования","Augurios especiales","ลางบอกเหตุพิเศษ","特殊徵兆"
43,"Idol","Idols","Idoles","Götzen","アイドル","우상","Ídolos","Идолы","Ídolos","เทวรูป","魔偶"
44,"UncutGems","Uncut Gems","Gemmes brutes","Ungeschnittene Gemme","ジェムの原石","미가공 젬","Gemas Brutas","Неогранённые камни","Gemas sin tallar","หินหยาบ","未切割的寶石"
45,"UncutSupportGems","Uncut Support Gems","Gemmes de soutien brutes","Ungeschnittene Unterstützungsgemme","サポートジェムの原石","미가공 보조 젬","Gemas de Reforço Brutas","Неогранённые камни поддержки","Gemas de asistencia sin tallar","หินเสริมหยาบ","未切割的輔助寶石"
46,"UncutSkillGems","Uncut Skill Gems","Gemmes d'aptitude brutes","Ungeschnittene Fertigkeitengemme","スキルジェムの原石","미가공 스킬 젬","Gemas de Habilidade Brutas","Неогранённые камни умений","Gemas de habilidad sin tallar","หินสกิลหยาบ","未切割的技能寶石"
47,"UncutReservationGems","Uncut Reservation Gems","Gemme de réservation brutes","Ungeschnittene Reservierungsgemme","リザーブジェムの原石","미가공 점유 젬","Gemas de Reserva Brutas","Неогранённые камни удержания","Gemas de reserva sin tallar","หินสำรองหยาบ","未切割的保留寶石"
48,"Abyss","Abyss","Abysse","Abgrund","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵"
49,"AbyssTickets","Abyssal Bones","Ossements abyssaux","Abgrundknochen","アビスの骨","심연의 뼈","Ossos Abissais","Глубинные кости","Huesos abisales","กระดูกอะบิส","深淵骸骨"
50,"Gems","Gems","Gemmes","Gemmen","ジェム","젬","Gemas","Камни","Gemas","หิน","寶石"
51,"LineageSupports","Lineage Support Gems","Gemmes de soutien de lignage","Abstammungs-Unterstützungsgemmen","リネージュサポートジェム","혈통 보조 젬","Gemas de Reforço de Origem","Династические камни поддержки","Gemas de asistencia de linaje","หินเสริมสายสกุล","族裔輔助寶石"
52,"Incursion","Atziri's Temple","Temple d'Atziri","Atziris Tempel","アッツィリ神殿","앗지리의 사원","Templo de Atziri","Храм Атзири","Templo de Atziri","วิหารอัถสิริ","阿茲里的神廟"
53,"AbyssalEye","Abyssal Eyes","Yeux abyssaux","Abgründige Augen","アビサルアイ","심연의 눈","Olhos Abissais","Глаза Бездны","Ojos abisales","ดวงตาอะบิส","深淵之眼"
54,"Favourites","Favourites","Favoris","Favoriten","お気に入り","즐겨찾기","Favoritos","Избранное","Favoritos","รายการโปรด","最愛"
