"rownum","Id","BuffDefinition","Buff_StatValues","AuraRadius","[i32]_44","[i32]_60","BuffVisual","f32_92","bool_96","Stats","i32_113","i32_117","bool_121","rid_122","bool_138"
53,"AuguryOfPenitenceRoyale",548,"[10,-5]",30,[3],[],"",0,1,[],1,0,"","",""
54,"NearbyEnemiesChilledRoyale",1406,[],20,[3],[1],"",0,1,[],1,0,"","",""
55,"MonsterAuraPhysicalThorns1",96,[0],36,"[1,2]",[],"",0,1,[554],1,0,"","",""
56,"MonsterAuraElementalThorns1",97,[0],36,"[1,2]",[],"",0,1,[555],1,0,"","",""
57,"MonsterAuraMediumDamage1",100,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
58,"MonsterAuraDamage1",102,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
59,"PlayerMonsterAuraDamage1",102,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
60,"MonsterAuraLargeDamage1",101,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
61,"MonsterAuraLargeDamageUniqueMap",101,[0],50,[2],[],"",0,1,[26],1,0,"","",""
62,"MonsterAuraSpeed1",104,"[0,0]",50,"[1,2]",[],"",0,1,"[1892,172]",1,0,"","",""
63,"PlayerMonsterAuraSpeed1",104,"[0,0]",50,"[1,2]",[],"",0,1,"[1892,172]",1,0,"","",""
64,"StrIntMissionAuraSpeed1",103,"[0,0,0]",30,[2],[],"",0,1,"[70,213,172]",1,0,"","",""
65,"MonsterAuraSpeedUniqueMap1",103,"[0,0,0]",50,[2],[],"",0,1,"[70,213,172]",1,0,"","",""
66,"MonsterAuraLifeRegen1",105,[0],50,"[1,2]",[],"",0,1,[440],1,0,"","",""
67,"MonsterAuraResists1",106,[0],50,"[1,2]",[],"",0,1,[136],1,0,"","",""
68,"PlayerMonsterAuraResists1",106,[0],50,"[1,2]",[],"",0,1,[136],1,0,"","",""
69,"MonsterAuraEnergyShield1",107,[0],50,"[1,2]",[],"",0,1,[21020],1,0,"","",""
70,"PlayerMonsterAuraEnergyShield1",107,[0],50,"[1,2]",[],"",0,1,[21020],1,0,"","",""
71,"StrIntMissionAuraEnergyShield1",107,[0],30,[2],[],"",0,1,[21020],1,0,"","",""
72,"MonsterAuraAccuracyAndCrits1",109,"[0,0]",50,"[1,2]",[],"",0,1,"[84,544]",1,0,"","",""
73,"MonsterImplicitAuraAccuracyAndCrits",109,"[0,0]",50,"[1,2]",[],"",0,1,"[84,544]",1,0,"","",""
74,"MonsterImplicitAuraAccuracyAndCritsSextant",109,"[0,0]",140,"[1,2]",[],"",0,1,"[84,544]",1,0,"","",""
75,"MonsterAuraEnemyLifeDegen1",111,[0],50,[3],[],"",0,1,[441],1,0,"","",""
76,"MonsterAuraEnemyLifeDegen2_",111,[0],50,[3],[],"",0,1,[441],1,0,"","",""
77,"MonsterAuraEssenceEnemyLifeDegen1",116,[0],50,[3],[],"",0,1,[441],1,0,"","",""
78,"MonsterAuraEnemyLifeDegenDexMission",111,[0],50,[3],[],"",0,1,[441],1,0,"","",""
79,"MonsterAuraEnemyLifeDegenCold",565,[0],10,[3],[],"",0,1,[3712],1,0,"","",""
80,"MonsterAuraEnemyLifeDegenFire",564,[0],10,[3],[],"",0,1,[2477],1,0,"","",""
81,"MonsterAuraEnemyLifeDegenLightning",566,[0],10,[3],[],"",0,1,[3713],1,0,"","",""
82,"MonsterAuraElementalDamage1",115,[0],50,"[1,2]",[],"",0,1,[476],1,0,"","",""
83,"MonsterThornsPhysical1",919,[],0,[],[],842,0,1,[],1,0,"","",""
84,"MonsterThornsElemental1",920,[],0,[],[],843,0,1,[],1,0,"","",""
85,"MonsterThornsPhysical1Large",919,[],0,[],[],844,0,1,[],1,0,"","",""
86,"MonsterThornsElemental1Large",920,[],0,[],[],845,0,1,[],1,0,"","",""
87,"StrIntMissionAuraElementalDamage1",115,[0],30,[2],[],"",0,1,[476],1,0,"","",""
88,"MonsterImplicitAuraSpeed1",103,"[0,0,0]",45,"[1,2]",[],"",0,1,"[70,213,172]",1,0,"","",""
89,"MonsterImplicitAuraSpeedSextant_",103,"[0,0,0]",140,"[1,2]",[],"",0,1,"[70,213,172]",1,0,"","",""
90,"MonsterImplicitAuraLifeRegen1",105,[0],50,"[1,2]",[],"",0,1,[440],1,0,"","",""
91,"MonsterImplicitAuraLifeRegenBossStrIntMission",105,[0],75,"[1,2]",[],"",0,1,[440],1,0,"","",""
92,"MonsterImplicitAuraLifeRegenSextant",105,[0],140,"[1,2]",[],"",0,1,[440],1,0,"","",""
93,"MonsterImplicitAuraLargeDamage1",101,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
94,"MonsterImplicitAuraResists1",106,[0],50,"[1,2]",[],"",0,1,[136],1,0,"","",""
95,"MonsterImplicitAuraResistsSextant",106,[0],140,"[1,2]",[],"",0,1,[136],1,0,"","",""
96,"MonsterImplicitAuraMediumDamage1",100,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
97,"MonsterImplicitAuraEnergyShield1",107,[0],50,"[1,2]",[],"",0,1,[21020],1,0,"","",""
98,"MonsterImplicitAuraEnergyShieldBubble1",108,[0],50,"[1,2]",[],"",0,1,[21020],1,0,"","",""
99,"MonsterAuraCannotDie1",148,[0],50,[2],[],"",0,1,[389],1,0,"","",""
100,"MonsterAuraSlow1",149,[0],40,[3],[],"",0,1,[172],1,0,"","",""
101,"StrIntMissionAuraSlow1",149,[0],30,[3],[],"",0,1,[172],1,0,"","",""
102,"MonsterAuraSlowUniqueMap1",149,[0],50,[3],[],"",0,1,[172],1,0,"","",""
103,"MonsterImplicitAuraSlow1",149,[0],40,[3],[],"",0,1,[172],1,0,"","",""
104,"MonsterImplicitAuraSlow2",149,[0],40,[3],[],"",0,1,[172],1,0,"","",""
105,"MonsterImplicitAuraCannotDie1",148,[0],50,[2],[],"",0,1,[389],1,0,"","",""
106,"MonsterImplicitAuraCannotDie2",148,[0],16,[2],[],"",0,1,[389],1,0,"","",""
107,"MonsterImplicitDamageReductionAura",150,[0],40,[2],[],"",0,1,[467],1,0,"","",""
108,"MonsterImplicitDamageReductionAura2",150,[0],40,[2],[],"",0,1,[467],1,0,"","",""
109,"MonsterAuraAddedColdDamage",187,[0],50,"[1,2]",[],"",0,1,[437],1,0,"","",""
110,"StrIntMissionAuraAddedColdDamage",187,[0],30,[2],[],"",0,1,[437],1,0,"","",""
111,"MonsterAuraUniqueMapColdDamage",187,[0],60,[2],[],"",0,1,[437],1,0,"","",""
112,"MonsterAuraAddedFireDamage",188,[0],50,"[1,2]",[],"",0,1,[436],1,0,"","",""
113,"MonsterAmbrosiaAuraAddedFireDamage",190,[0],50,"[1,2]",[],"",0,1,[436],1,0,"","",""
114,"StrIntMissionAuraAddedFireDamage",188,[0],30,[2],[],"",0,1,[436],1,0,"","",""
115,"MonsterAuraUniqueMapFireDamage",188,[0],60,[2],[],"",0,1,[436],1,0,"","",""
116,"MonsterAuraAddedFireDamageSkeletonArmy",188,[0],50,"[1,2]",[],"",0,1,[436],1,0,"","",""
117,"MonsterAuraAddedLightningDamage",189,[0],50,"[1,2]",[],"",0,1,[438],1,0,"","",""
118,"MonsterAmarissaAuraAddedLightningDamage",191,[0],50,"[1,2]",[],"",0,1,[438],1,0,"","",""
119,"StrIntMissionAuraAddedLightningDamage",189,[0],30,[2],[],"",0,1,[438],1,0,"","",""
120,"MonsterAuraUniqueMapLightningDamage",189,[0],60,[2],[],"",0,1,[438],1,0,"","",""
121,"MonsterAuraAlwaysCrit1",193,[0],60,"[1,2]",[],"",0,1,[339],1,0,"","",""
122,"StrIntMissionAuraAlwaysCrit1",193,[0],30,[2],[],"",0,1,[339],1,0,"","",""
123,"MonsterAuraEvasion1",194,[0],50,"[1,2]",[],"",0,1,[113],1,0,"","",""
124,"MonsterAuraUniqueMapEvasion",194,[0],60,[2],[],"",0,1,[113],1,0,"","",""
125,"ChaosDegenerationAuraPlayersUniqueBodyStr3",231,[0],30,"[3,4]",[],"",0,1,[443],1,0,"","",""
126,"ChaosDegenerationAuraNonPlayersUniqueBodyStr3",231,[0],30,"[3,5]",[],"",0,1,[443],1,0,"","",""
127,"ChaosDegenerationAuraNonPlayersUnique__1",112,[0],30,"[3,5]",[],"",0,1,[443],1,0,"","",""
128,"ChaosDegenerationAuraPlayersUnique__1",112,[0],30,"[3,4]",[],"",0,1,[443],1,0,"","",""
129,"ChaosDegenerationAuraNonPlayersUnique__1Royale__",112,[0],30,"[3,5]",[],"",0,1,[443],1,0,"","",""
130,"ChaosDegenerationAuraPlayersUnique__1Royale",112,[0],30,"[3,4]",[],"",0,1,[443],1,0,"","",""
131,"DamageAuraUniqueHelmetDexInt2",234,[0],75,"[1,2,10]",[],"",0,1,[24],1,0,"","",""
132,"DamageAuraSkeletonMonster",397,[0],60,[2],[],"",0,1,[24],1,0,"","",""
133,"MonsterPhysicalThorns",96,[0],0,[],[],"",0,1,[554],1,0,"","",""
134,"MonsterElementalThorns",97,[0],0,[],[],"",0,1,[555],1,0,"","",""
135,"MonsterNemesisTransformed",280,"[0,0,0,0]",0,[],[],"",0,1,"[732,467,1892,172]",1,0,"","",""
136,"MonsterNemesisSoulEater",283,"[0,0,0,0]",50,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
137,"MonsterStrIntRelicSoulEater",283,"[0,0,0,0]",42,"[2,3]",[],308,0,1,"[1895,1896,1898,3017]",1,0,"","",""
138,"MonsterIntMinionSoulEater",283,"[0,0,0,0]",70,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
139,"MonsterDexMissionSoulEater",283,"[0,0,0,0]",50,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
140,"MonsterImplicitNemesisSoulEaterDescent2",283,"[0,0,0,0]",30,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
141,"MonsterImplicitNemesisSoulEaterInvasion",283,"[0,0,0,0]",30,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
142,"MonsterNemesisSoulEaterSideAreaBoss",283,"[0,0,0,0]",70,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
143,"MonsterNemesisSoulEaterMapAlira_",283,"[0,0,0,0]",150,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
144,"MonsterArchnemesisSoulEater",283,"[0,0,0,0]",70,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
145,"PlayerMonsterArchnemesisSoulEater",283,"[0,0,0,0]",70,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
146,"MonsterBreachLightningSoulEater",743,"[0,0,0,0]",70,"[2,3]",[],"",0,1,"[1895,1896,1898,3017]",1,0,"","",""
147,"MonsterNemesisStealthMode",286,"[0,0]",0,[],[],"",0,1,"[1918,6927]",1,0,"","",""
148,"MonsterNemesisVines",963,[],0,[],[],"",0,1,[],1,0,"","",""
149,"MonsterNemesisVinesLarge",964,[],0,[],[],"",0,1,[],1,0,"","",""
150,"MonsterNemesisPhysicalProjectiles_",956,[],0,[],[],"",0,1,[],1,0,"","",""
151,"MonsterNemesisFireProjectiles",954,[],0,[],[],"",0,1,[],1,0,"","",""
152,"MonsterLightningMirage",969,[],0,[],[],"",0,1,[],1,0,"","",""
153,"PlayerMonsterLightningMirage",969,[],0,[],[],"",0,1,[],1,0,"","",""
154,"MonsterLightningMirageLarge",970,[],0,[],[],"",0,1,[],1,0,"","",""
155,"MonsterNemesisColdBeam",988,[],0,[],[],"",0,1,[],1,0,"","",""
156,"UndyingBreathCurseAuraUniqueStaff5",295,[0],75,[3],[],"",0,1,[1275],1,0,"","",""
157,"UndyingBreathDamageAuraUniqueStaff5",296,[0],75,"[2,10]",[],"",0,1,[24],1,0,"","",""
158,"UniqueSpecialCorruptionNearbyEnemiesBlinded",1406,[],30,[3],[9],"",0,1,[],1,0,"","",""
159,"UniqueSpecialCorruptionNearbyEnemiesMalediction",1406,[],30,[3],[12],"",0,1,[],1,0,"","",""
160,"UniqueSpecialCorruptionNearbyEnemiesCrushed",1406,[],30,[3],"[11,-15]","",0,1,[],1,0,"","",""
161,"StrDexMasterSlowAura",149,[0],30,[3],[],"",0,1,[172],1,0,"","",""
162,"MonsterCannotBeDamaged",349,[0],0,[],[],"",0,1,[135],1,0,"","",""
163,"MonsterCannotBeDamagedUniqueMap",349,[0],0,[],[],"",0,1,[135],1,0,"","",""
164,"MonsterCannotBeDamagedSudokuBossDisplay",350,[0],0,[],[],"",0,1,[22501],1,0,"","",""
165,"DexMissionCorruptedBeastEffect1",355,[],0,[],[],"",0,1,[],1,0,"","",""
166,"IntMissionDamageBoostAura",297,[0],50,"[2,3,10]",[],"",0,1,[24],1,0,"","",""
167,"StrIntMissionManaRegenRelic",352,[0],30,[],[],"",0,1,[123],1,0,"","",""
168,"MonsterAddedFireDamageAndIgnite",361,"[0,0]",0,[],[],"",0,1,"[436,600]",1,0,"","",""
169,"MonsterAddedColdDamageAndFreeze",362,"[0,0]",0,[],[],"",0,1,"[437,445]",1,0,"","",""
170,"MonsterAddedLightningDamageAndShock",363,"[0,0]",0,[],[],"",0,1,"[438,651]",1,0,"","",""
171,"MonsterAddedPhysicalDamageAndBleed",367,"[0,0]",0,[],[],"",0,1,"[26,2311]",1,0,"","",""
172,"StrDexMissionAddedFireDamage",364,[0],0,[],[],"",0,1,[436],1,0,"","",""
173,"StrDexMissionAddedColdDamage",365,[0],0,[],[],"",0,1,[437],1,0,"","",""
174,"StrDexMissionAddedLightningDamage",366,[0],0,[],[],"",0,1,[438],1,0,"","",""
175,"MonsterBloodlinesShrouded",373,"[0,0]",0,[],[],386,0,1,"[2553,2511]",1,0,"","",""
176,"TormentSpiritExperimenter",382,[0],35,[3],[],"",0,1,[467],1,0,"","",""
177,"TormentSpiritCharlatanRegenerationAura",105,[0],40,"[1,2]",[],"",0,1,[440],1,0,"","",""
178,"TormentSpiritCharlatanDegenerationAura",113,[0],40,[3],[],"",0,1,[2508],1,0,"","",""
179,"TormentSpiritCutthroat",101,[0],45,"[1,2]",[],"",0,1,[26],1,0,"","",""
180,"TormentHauntedMonsterCutthroat",391,"[0,0]",45,"[1,2]",[],"",0,1,"[26,70]",1,0,"","",""
181,"TormentSpiritEmbezzler",393,"[0,0,0]",40,[3],[],"",0,1,"[1016,1017,1018]",1,0,"","",""
182,"TormentSpiritSmuggler",107,[0],45,"[1,2]",[],"",0,1,[553],1,0,"","",""
183,"TormentHauntedSmuggler",107,[0],45,"[1,2]",[],"",0,1,[553],1,0,"","",""
184,"TormentSpiritShavronne",642,"[0,0]",45,"[1,2]",[],"",0,1,"[553,1201]",1,0,"","",""
185,"TormentHauntedMonsterShavronne",642,"[0,0]",45,"[1,2]",[],"",0,1,"[553,1201]",1,0,"","",""
186,"MonsterBloodlinesThorns",121,"[0,0]",0,[],[],"",0,1,"[554,555]",1,0,"","",""
187,"MonsterBloodlinesThornsLargeModel",122,"[0,0]",0,[],[],"",0,1,"[554,555]",1,0,"","",""
188,"MonsterBloodlinesBurningAura",380,[0],30,[3],[],"",0,1,[2477],1,0,"","",""
189,"MonsterBloodlinesBurningAura2",380,[0],30,[3],[],"",0,1,[2477],1,0,"","",""
190,"MonsterBloodlinesBurningAura3",380,[0],30,[3],[],"",0,1,[2477],1,0,"","",""
191,"MonsterBloodlinesBurningAura4",380,[0],30,[3],[],"",0,1,[2477],1,0,"","",""
192,"MonsterBloodlinesBurningAura5",380,[0],30,[3],[],"",0,1,[2477],1,0,"","",""
193,"MonsterBloodlinesBurningAura6",380,[0],30,[3],[],"",0,1,[2477],1,0,"","",""
194,"MonsterBloodlinesBurningAura7",380,[0],30,[3],[],"",0,1,[2477],1,0,"","",""
195,"MonsterBloodlinesChillingAura",381,[0],30,[3],[],"",0,1,[7902],1,0,"","",""
196,"MonsterBloodlinesShockingAura",382,[0],30,[3],[],"",0,1,[467],1,0,"","",""
197,"TormentTouchedEffect",388,[],0,[],[],"",0,1,[],1,0,"","",""
198,"TormentPossessedEffect",389,[],0,[],[],"",0,1,[],1,0,"","",""
199,"NearbyAlliesHaveCullingStrikeUniqueTwoHandAxe9",417,[0],50,"[2,10]",[],"",0,1,[579],1,0,"","",""
200,"NearbyAlliesHaveIncreasedItemRarityUniqueTwoHandAxe9",418,[0],50,"[2,10]",[],"",0,1,[148],1,0,"","",""
201,"NearbyAlliesHaveCullingStrikeUnique__1",417,[0],30,"[2,10]",[],"",0,1,[579],1,0,"","",""
202,"NearbyAlliesHaveIncreasedItemRarityUnique__1",418,[0],30,"[2,10]",[],"",0,1,[148],1,0,"","",""
203,"NearbyAlliesHaveCriticalStrikeMultiplierUnique__1",1165,[0],30,"[2,10]",[],"",0,1,[95],1,0,"","",""
204,"NearbyAlliesHaveFortifyUnique__1__",1366,[10],30,"[2,10]",[],"",0,1,[],1,0,"","",""
205,"UniqueAnimateWeaponAura",472,[],1,[9],[],"",0,1,[],1,0,"","",""
206,"TalismanT2SacrificalBlades",296,[0],30,"[2,10]",[],"",0,1,[24],1,0,"","",""
207,"BlindAuraUnique__1",1406,[],25,[3],[9],195,0,1,[],1,0,"","",""
208,"NearbyEnemiesAreHinderedUnique__1",1408,[0],35,[3],[],1285,0,1,[10769],1,0,"","",""
209,"HearbyEnemiesAreHinderedHarbinger",1408,[0],50,[3],[],1285,0,1,[10769],1,0,"","",""
210,"LightningDegenAuraUnique__1",471,[0],32,[3],[],"",0,1,[3930],1,0,"","",""
211,"EssenceDaemonAlternatingBuffsSpeedDodge4",671,"[0,0,0,0]",0,[],[],"",0,1,"[172,213,70,6927]",1,0,"","",""
212,"EssenceDaemonAlternatingBuffsSpeedDodge5",671,"[0,0,0,0]",0,[],[],"",0,1,"[172,213,70,6927]",1,0,"","",""
213,"EssenceDaemonAlternatingBuffsSpeedDodge6",671,"[0,0,0,0]",0,[],[],"",0,1,"[172,213,70,6927]",1,0,"","",""
214,"EssenceDaemonAlternatingBuffsSpeedDodge7",671,"[0,0,0,0]",0,[],[],"",0,1,"[172,213,70,6927]",1,0,"","",""
215,"EssenceDaemonAlternatingBuffsDamage4",674,"[0,0]",0,[],[],"",0,1,"[623,467]",1,0,"","",""
216,"EssenceDaemonAlternatingBuffsDamage5",674,"[0,0]",0,[],[],"",0,1,"[623,467]",1,0,"","",""
217,"EssenceDaemonAlternatingBuffsDamage6",674,"[0,0]",0,[],[],"",0,1,"[623,467]",1,0,"","",""
218,"EssenceDaemonAlternatingBuffsDamage7",674,"[0,0]",0,[],[],"",0,1,"[623,467]",1,0,"","",""
219,"EssenceDaemonAlternatingBuffsCrit5",677,"[0,0]",0,[],[],"",0,1,"[97,339]",1,0,"","",""
220,"EssenceDaemonAlternatingBuffsCrit6",677,"[0,0]",0,[],[],"",0,1,"[97,339]",1,0,"","",""
221,"EssenceDaemonAlternatingBuffsCrit7_",677,"[0,0]",0,[],[],"",0,1,"[97,339]",1,0,"","",""
222,"EssenceHorrorCharges1",694,[],0,[],[],"",0,1,[],1,0,"","",""
223,"ElementalDamageTakenWhileStationaryEssence1",667,[0],0,[],[],"",0,1,[4628],1,0,"","",""
224,"BurningGroundWhileMovingEssence1",668,[],0,[],[],"",0,1,[],1,0,"","",""
225,"MonsterGainFrenzyEnduranceChargeEvery5Seconds",688,[],0,[],[],"",0,1,[],1,0,"","",""
226,"RemnantOfCorruptionMonsterAura",689,"[0,0,0]",30,[3],[],"",0,1,"[172,2508,2969]",1,0,"","",""
227,"VaultTreasureDaemon",711,[0],12,[12],[],"",0,1,[4825],1,0,"","",""
228,"DaemonAlternatingBuffsStatueMaker",705,"[0,0,0,0]",0,[],[],"",0,1,"[24,11,467,12]",1,0,"","",""
229,"VaultBossTreasurePileDamageBuff",711,[0],25,[],[],"",0,1,[4825],1,0,"","",""
230,"ShaperTouched1",390,[],0,[],[],688,0,1,[],1,0,"","",""
231,"ShaperHealed1",390,[],0,[],[],688,0,1,[],1,0,"","",""
232,"ShaperDaemon1",390,[],0,[],[],688,0,1,[],1,0,"","",""
233,"ShaperDaemon2",390,[],0,[],[],688,0,1,[],1,0,"","",""
234,"ShaperDaemon3_",390,[],0,[],[],688,0,1,[],1,0,"","",""
235,"ShaperDaemon4",390,[],0,[],[],688,0,1,[],1,0,"","",""
236,"NearbyEnemiesAreIntimidatedUnique__1",1406,[],25,[3],[7],"",0,1,[],1,0,"","",""
237,"MonsterNearbyEnemiesAreIntimidated",834,"[10,-10]",25,[3],[],"",0,1,"[467,24]",1,0,"","",""
238,"NearbyAlliesMovementVelocityUnique__1",774,[0],50,"[1,2,10]",[],"",0,1,[172],1,0,"","",""
239,"PowerChargeOnManaSpentUnique__1",857,[],0,[],[],"",0,1,[],1,0,"","",""
240,"EnemyPhysicalDamageTakenAuraUber1_",1095,[0],60,[3],[],"",0,1,[535],1,0,"","",""
241,"EnemyElementalDamageTakenAuraUber1",1414,[0],60,[3],[],"",0,1,[3363],1,0,"","",""
242,"PowerChargeOnManaSpentUber1",857,[],0,[],[],"",0,1,[],1,0,"","",""
243,"GainCriticalStrikeChanceOnManaSpentUnique__1",896,[],0,[],[],"",0,1,[],1,0,"","",""
244,"MaximumVoidArrowsUnique__1",938,[],0,[],[],"",0,1,[],1,0,"","",""
245,"BestiaryModAgileRhexAura1_",1004,"[0,0]",0,[],[],"",0,1,"[6927,172]",1,0,"","",""
246,"BestiaryModUrsaeAura1",1007,"[0,0,0]",0,[],[],"",0,1,"[3266,715,24]",1,0,"","",""
247,"BestiaryModLynxAura1",1010,"[0,0,0]",0,[],[],"",0,1,"[70,84,544]",1,0,"","",""
248,"BestiaryModCrabAura1",1013,"[0,0]",50,"[1,2,23]",[],"",0,1,"[467,437]",1,0,"","",""
249,"BestiaryModSquidAura1",1014,"[0,0]",50,"[1,2,23]",[],"",0,1,"[438,980]",1,0,"","",""
