"rownum","Id","BuffDefinition","bool_24","i32_25","Stat","bool_45","i32_46","Rarity","bool_66","Mods","i32_83","bool_87","[rid]_88","i32_104","rid_108","rid_124","i32_140","bool_144","u16_145","bool_147"
40,"IsUsingWolfBarrage",[],"",1,[],"",1,"","",[],0,"",[],1,232,"",0,"",0,""
41,"IsTaunted",[],"",1,[3298],"",1,"","",[],0,"",[],1,"","",0,"",0,""
42,"HasMoltenShell",[129],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
43,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,"","",[],0,"",[67],1,"","",0,"",0,""
44,"HasVolatileSurge",[711],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
45,"IsTaggedBySentinel",[],"",1,[15069],"",1,"","",[],0,"",[],1,"","",0,"",0,""
46,"IsTaggedBySentinelUnique",[],"",1,[15190],"",1,"","",[],0,"",[],1,"","",0,"",0,""
47,"EssenceWith4Affixes",[],"",1,[],"",1,"","",[],1,"",[],1,"","",4,"",0,""
48,"HasAffixesX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",4,"",0,""
49,"HasSpecialEssences",[],"",1,[],"",1,"","",[10264],0,"",[],1,"","",0,1,0,""
50,"IsChilled",[],"",1,[1795],"",1,"","",[],0,"",[],1,"","",0,"",0,""
51,"HasAffixesX5",[],"",1,[],"",1,"","",[],0,"",[],1,"","",5,"",0,""
52,"HasEssenceX6",[],"",1,[],"",1,"","",[],6,"",[],1,"","",0,"",0,""
53,"IsHarvestTier3OrAbove",[],"",1,[17518],"",3,"","",[],0,"",[],1,"","",0,"",0,""
