"rownum","Id","UIFile","ClientString","IsEnabled","i32_33","QuestFlags","QuestFlagComplete","i32_69","[i32]_73","bool_89","bool_90","i32_91","bool_95"
75,"Breaches","Metadata/UI/InGameState/TutorialPanel/Breaches.ui",3771,"",2,[],"",10,[],"",1,0,1
76,"CurrentLeague","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3162,"",0,[],"",100,[],"",1,0,1
77,"HidePopups","",59,"",0,[],714,100,[],"","",0,1
78,"FirstWeaponTutorial","",59,"",0,[],4529,100,[],"",1,0,1
79,"FirstOffhandTutorial","",59,"",0,[],4554,100,[],"",1,0,1
80,"GamepadAimTutorial","",59,"",0,[],4561,100,[],"",1,0,1
81,"CheckpointTutorial","",59,"",0,[],4766,100,[],"",1,0,1
82,"UncutSkillTutorial","",59,"",0,[],4767,100,[],"",1,0,1
83,"GamepadBindPortalTutorial","",59,"",0,[],4690,100,[],"",1,0,1
84,"HealingWellTutorial","",59,"",0,[],4751,100,[],"",1,0,1
85,"WaterLoweredTutorial","",59,"",0,[],4018,100,[],"",1,0,1
86,"DodgeRollTutorial","",59,"",0,[],4533,100,[],"",1,0,1
87,"SummonMinionTutorial","",59,"",0,[],4946,100,[],"",1,0,1
88,"DirectMinionTutorial","",59,"",0,[],4995,100,[],"",1,0,1
89,"FirstUncutSkillGemTutorial","",59,"",0,[],4555,100,[],"",1,0,1
90,"PersistentBuffTutorial","",59,"",0,[],5043,100,[],"",1,0,1
91,"BossCheckpointTutorial","",59,"",0,[],5137,100,[],"",1,0,1
92,"TreasureIslandTutorial","",59,"",0,[],548,100,[],"",1,0,1
93,"EyeOfHinekoraTutorial","",59,"",0,[],821,100,[],"",1,0,1
94,"WyvernUnlockedTutorial","",59,"",0,[],5434,100,[],"",1,0,1
95,"IncursionConsoleFirstLook","",59,"",0,[],"",100,[731],"",1,0,1
96,"IncursionConsoleFirstLookAbove75","",59,"",0,[],"",100,[4260],"",1,0,1
97,"FirstRemnantTutorial","",59,"",0,[],5546,100,[],"",1,0,1
98,"SprintTutorial","",59,"",0,[],5547,100,[],"",1,0,1
99,"CheckPointQuickTravelTutorial","",59,"",0,[],5549,100,[],"",1,0,1
100,"GrelwoodHighlightTutorial","",59,"",0,[],1448,100,[],"",1,0,1
101,"AncientArsenalHighlightTutorial","",59,"",0,[],1450,100,[],"",1,0,1
102,"ExpeditionDetonatorTutorial","",59,"",0,[],5568,100,[],"",1,0,1
103,"FirstTabletTutorial","",59,"",0,[],5596,100,[],"",1,0,1
104,"MysticRefugeHighlightTutorial","",59,"",0,[],1820,100,[],"",1,0,1
105,"FirstAtlasPointTutorial","",59,"",0,[],5706,100,[],"",1,0,1
