"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotSize","SlotStyle","SubGroup"
131,"Metadata/Items/SoulCores/EmergentPossibility",774,379,641,131,1,1,1,78,3,4
132,"Metadata/Items/SoulCores/EmergentProtection",775,479,641,132,1,1,1,78,3,4
133,"Metadata/Items/SoulCores/EmergentInstinct",776,579,641,133,1,1,1,78,3,4
134,"Metadata/Items/SoulCores/CarvedCunning",777,279,811,134,1,1,1,78,3,4
135,"Metadata/Items/SoulCores/CarvedMajesty",778,379,811,135,1,1,1,78,3,4
136,"Metadata/Items/SoulCores/CarvedMischief",779,479,811,136,1,1,1,78,3,4
137,"Metadata/Items/SoulCores/CarvedTenacity",780,579,811,137,1,1,1,78,3,4
138,"Metadata/Items/SoulCores/RuneWard1Lesser",5067,339,511,138,1,1,1,78,0,0
139,"Metadata/Items/SoulCores/RuneWard1Normal",5068,429,511,139,1,1,1,78,2,0
140,"Metadata/Items/SoulCores/RuneWard1Greater",5069,519,511,140,1,1,1,78,3,0
141,"Metadata/Items/SoulCores/RuneWard2Lesser",5071,649,511,141,1,1,1,78,0,0
142,"Metadata/Items/SoulCores/RuneWard2Normal",5072,739,511,142,1,1,1,78,2,0
143,"Metadata/Items/SoulCores/RuneWard2Greater",5073,829,511,143,1,1,1,78,3,0
144,"Metadata/Items/SoulCores/RuneOfTheAncients1",5096,29,421,144,1,1,1,78,2,1
145,"Metadata/Items/SoulCores/RuneOfTheAncients2",5097,129,421,145,1,1,1,78,2,1
146,"Metadata/Items/SoulCores/RuneOfTheAncients3",5098,229,421,146,1,1,1,78,2,1
147,"Metadata/Items/SoulCores/RuneOfTheAncients4",5099,329,421,147,1,1,1,78,2,1
148,"Metadata/Items/SoulCores/RuneOfTheAncients5",5100,429,421,148,1,1,1,78,2,1
149,"Metadata/Items/SoulCores/RuneOfTheAncients6",5101,529,421,149,1,1,1,78,2,1
150,"Metadata/Items/SoulCores/RuneOfTheAncients7",5102,629,421,150,1,1,1,78,2,1
151,"Metadata/Items/SoulCores/RuneOfTheAncients8",5103,729,421,151,1,1,1,78,2,1
152,"Metadata/Items/SoulCores/RuneOfTheAncients9",5104,829,421,152,1,1,1,78,2,1
153,"Metadata/Items/SoulCores/RuneOfTheAncients10",5105,29,521,153,1,1,1,78,2,1
154,"Metadata/Items/SoulCores/RuneOfTheAncients11",5106,129,521,154,1,1,1,78,2,1
155,"Metadata/Items/SoulCores/RuneOfTheAncients12",5107,229,521,155,1,1,1,78,2,1
156,"Metadata/Items/SoulCores/RuneOfTheAncients13",5108,329,521,156,1,1,1,78,2,1
157,"Metadata/Items/SoulCores/RuneOfTheAncients14",5109,529,521,157,1,1,1,78,2,1
158,"Metadata/Items/SoulCores/RuneOfTheAncients15",5110,629,521,158,1,1,1,78,2,1
159,"Metadata/Items/SoulCores/RuneOfTheAncients16",5111,729,521,159,1,1,1,78,2,1
160,"Metadata/Items/SoulCores/RuneOfTheAncients17",5112,829,521,160,1,1,1,78,2,1
161,"Metadata/Items/SoulCores/RuneOfTheAncients18",5113,29,621,161,1,1,1,78,2,1
162,"Metadata/Items/SoulCores/RuneOfTheAncients19",5114,129,621,162,1,1,1,78,2,1
163,"Metadata/Items/SoulCores/RuneOfTheAncients20",5115,229,621,163,1,1,1,78,2,1
164,"Metadata/Items/SoulCores/RuneOfTheAncients21",5116,329,621,164,1,1,1,78,2,1
165,"Metadata/Items/SoulCores/RuneOfTheAncients22",5117,429,621,165,1,1,1,78,2,1
166,"Metadata/Items/SoulCores/RuneOfTheAncients23",5118,529,621,166,1,1,1,78,2,1
167,"Metadata/Items/SoulCores/RuneOfTheAncients24",5119,629,621,167,1,1,1,78,2,1
168,"Metadata/Items/SoulCores/RuneOfTheAncients25",5120,729,621,168,1,1,1,78,2,1
169,"Metadata/Items/SoulCores/RuneOfTheAncients26",5121,829,621,169,1,1,1,78,2,1
170,"Metadata/Items/SoulCores/RuneWardSpecial1",5075,179,111,170,1,1,1,78,0,1
171,"Metadata/Items/SoulCores/RuneWardSpecial2",5076,279,111,171,1,1,1,78,0,1
172,"Metadata/Items/SoulCores/RuneWardSpecial3",5077,379,111,172,1,1,1,78,0,1
173,"Metadata/Items/SoulCores/RuneWardSpecial4",5078,479,111,173,1,1,1,78,0,1
174,"Metadata/Items/SoulCores/RuneWardSpecial8",5079,179,211,177,1,1,1,78,2,1
175,"Metadata/Items/SoulCores/RuneWardSpecial9",5080,579,111,178,1,1,1,78,0,1
176,"Metadata/Items/SoulCores/RuneWardSpecial10",5081,279,211,179,1,1,1,78,2,1
177,"Metadata/Items/SoulCores/RuneWardSpecial13",5082,379,211,182,1,1,1,78,2,1
178,"Metadata/Items/SoulCores/RuneWardSpecial14",5083,479,211,183,1,1,1,78,2,1
179,"Metadata/Items/SoulCores/RuneWardSpecial15",5084,679,111,184,1,1,1,78,0,1
180,"Metadata/Items/SoulCores/RuneWardSpecial16",5085,579,211,185,1,1,1,78,2,1
181,"Metadata/Items/SoulCores/RuneWardSpecial18",5086,229,311,187,1,1,1,78,3,1
182,"Metadata/Items/SoulCores/RuneWardSpecial19",5087,329,311,188,1,1,1,78,3,1
183,"Metadata/Items/SoulCores/RuneWardSpecial20",5088,429,311,189,1,1,1,78,3,1
184,"Metadata/Items/SoulCores/RuneWardSpecial21",5089,679,211,190,1,1,1,78,2,1
185,"Metadata/Items/SoulCores/RuneWardSpecial23",5090,529,311,192,1,1,1,78,3,1
186,"Metadata/Items/SoulCores/RuneWardSpecial24",5091,629,311,193,1,1,1,78,3,1
187,"Metadata/Items/SoulCores/RuneConvertFire",5092,129,731,194,1,1,1,78,3,1
188,"Metadata/Items/SoulCores/RuneConvertCold",5093,229,731,195,1,1,1,78,3,1
189,"Metadata/Items/SoulCores/RuneConvertLightning",5094,329,731,196,1,1,1,78,3,1
190,"Metadata/Items/SoulCores/RuneConvertChaos",5095,429,731,197,1,1,1,78,3,1
191,"Metadata/Items/SoulCores/RuneWarpingAdditionalSuffix",5131,529,731,199,1,1,1,78,3,1
192,"Metadata/Items/SoulCores/RuneWarpingCreateJewelSocket",5132,629,731,200,1,1,1,78,3,1
193,"Metadata/Items/SoulCores/RuneWarpingAdditionalCraftedMod",5133,729,731,201,1,1,1,78,3,1
194,"Metadata/Items/SoulCores/RuneWarpingTimeInfluence",5134,29,831,202,1,1,1,78,3,1
195,"Metadata/Items/SoulCores/RuneWarpingMarksmanInfluence",5135,129,831,203,1,1,1,78,3,1
196,"Metadata/Items/SoulCores/RuneWarpingBerserkerInfluence",5136,229,831,204,1,1,1,78,3,1
197,"Metadata/Items/SoulCores/RuneWarpingDestructionInfluence",5137,329,831,205,1,1,1,78,3,1
198,"Metadata/Items/SoulCores/RuneWarpingSoulInfluence",5138,429,831,206,1,1,1,78,3,1
199,"Metadata/Items/SoulCores/RuneWarpingDecayInfluence",5139,529,831,207,1,1,1,78,3,1
200,"Metadata/Items/SoulCores/RuneWarpingOlrothsLegacy",5140,829,831,208,1,1,1,78,3,1
201,"Metadata/Items/SoulCores/RuneUpgrade",703,629,831,209,1,1,1,78,3,1
202,"Metadata/Items/SoulCores/AugmentAnoint",781,429,471,210,1,1,1,78,3,4
203,"Metadata/Items/SoulCores/IdolPanther",721,479,266,211,1,1,1,78,2,3
204,"Metadata/Items/SoulCores/IdolStoat",723,579,266,212,1,1,1,78,2,3
205,"Metadata/Items/SoulCores/IdolHawk",722,679,266,213,1,1,1,78,2,3
