"rownum","QuestFlag","i32_16","RewardStats","RewardStatsValues","QuestKey","i32_68","Message","i32_88","bool_92","Achievement"
75,5431,0,[145],[5],"",0,"",0,"",""
76,1543,1,[],[],"",0,"",1,"",""
77,1544,0,[136],[5],"",0,"",0,"",""
78,1545,0,[16091],[10],"",0,"",0,"",""
79,1546,0,"[118,122]","[5,5]","",0,"",0,"",""
80,2934,0,[25370],[1],"",0,"",0,"",""
81,2931,0,[25370],[1],"",0,"",0,"",""
82,4666,0,[25370],[1],"",0,"",0,"",""
83,4720,0,[25370],[1],"",0,"",0,"",""
84,4664,0,[25370],[1],"",0,"",0,"",""
85,4661,0,[25370],[1],"",0,"",0,"",""
86,2977,0,[25370],[1],"",0,"",0,"",""
87,2972,0,[25370],[1],"",0,"",0,"",""
88,4986,0,[25370],[1],"",0,"",0,"",""
89,3000,0,[25370],[1],"",0,"",0,"",""
90,4322,0,[25370],[1],"",0,"",0,"",""
91,4792,0,[25370],[1],"",0,"",0,"",""
92,3174,0,[25370],[1],"",0,"",0,"",""
93,4337,0,[25370],[1],"",0,"",0,"",""
94,3188,0,[25370],[1],"",0,"",0,"",""
95,4335,0,[25370],[1],"",0,"",0,"",""
96,4776,0,[25370],[1],"",0,"",0,"",""
97,4782,0,[25370],[1],"",0,"",0,"",""
98,3725,0,[25370],[1],"",0,"",0,"",""
99,4824,0,[25370],[1],"",0,"",0,"",""
100,4826,0,[25370],[1],"",0,"",0,"",""
101,4827,0,[25370],[1],"",0,"",0,"",""
102,4677,0,[25370],[1],"",0,"",0,"",""
103,4644,0,[25370],[1],"",0,"",0,"",""
104,4830,0,[25370],[1],"",0,"",0,"",""
105,4829,0,[25370],[1],"",0,"",0,"",""
106,3907,0,[25370],[1],"",0,"",0,"",""
107,873,0,[25370],[1],"",0,"",0,"",""
108,4622,0,[25370],[1],"",0,"",0,"",""
109,4623,0,[25370],[1],"",0,"",0,"",""
110,5205,0,[25370],[1],"",0,"",0,"",""
111,4625,0,[25370],[1],"",0,"",0,"",""
112,5206,0,[25370],[1],"",0,"",0,"",""
113,4627,0,[25370],[1],"",0,"",0,"",""
114,5207,0,[25370],[1],"",0,"",0,"",""
115,5208,0,[25370],[1],"",0,"",0,"",""
116,5209,0,[25370],[1],"",0,"",0,"",""
117,375,0,[25370],[1],"",0,"",0,"",""
118,394,0,[25370],[1],"",0,"",0,"",""
119,536,0,[25370],[1],"",0,"",0,"",""
120,5340,0,[25370],[1],"",0,"",0,"",""
121,538,0,[25370],[1],"",0,"",0,"",""
122,539,0,[25370],[1],"",0,"",0,"",""
123,541,0,[25370],[1],"",0,"",0,"",""
124,542,0,[25370],[1],"",0,"",0,"",""
125,421,0,[25370],[1],"",0,"",0,"",""
126,424,0,[25370],[1],"",0,"",0,"",""
127,426,0,[25370],[1],"",0,"",0,"",""
128,1822,1,[],[],"",0,"",0,"",""
129,5638,0,[1990],[30],"",0,"",0,"",""
130,5639,0,"[15698,17579,134]","[15,12,12]","",0,"",0,"",""
