"rownum","Id","Class","KeystoneArt","KeystoneArtActive","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","u16_88","i32_90"
10,"JadoKeystone11",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone11.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive11.dds","[26701,26702,26735]","[50,-35,35]","Untold Histories","Untold Histories","Ungeschriebene Geschichten","語られざる歴史","전해지지 않은 역사","Histórias Omitidas","Нерасказанные истории","Historias sin contar","Untold Histories","未述歷史","We are keepers of a world lost\r\nto the marches of time.","We are keepers of a world lost\r\nto the marches of time.","Wir sind die Hüter einer Welt, die\r\nim Laufe der Zeit verloren gegangen ist.","我々は、時の歩みに失われた\r\n世界の守り手だ。","우리는 행군하는 시간과 함께 사라진\r\n세계를 지키는 수호자다.","Somos os protetores de um mundo\r\nperdido nas marchas do tempo.","Мы – хранители мира, \r\nпогрязшего в болотах времени.","Somos los protectores de un mundo\r\nperdido por el paso del tiempo.","เราคือผู้พิทักษ์โลกที่สาบสูญ\r\nไปตามกาลเวลาที่ผันเปลี่ยน","我們守護著一個已被時間洪流淹沒的世界。",60847,4
11,"JadoKeystone12",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone12.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive12.dds",[26623],[5],"Ancient Activations","Ancient Activations","Urzeitliche Kräfte","古代装置の起動","고대의 가동","Ativações Antigas","Древняя активность","Activaciones antiguas","Ancient Activations","遠古啟動","There is a great mystery all around us.\r\nBe careful what you disturb.","There is a great mystery all around us.\r\nBe careful what you disturb.","Wir sind von einem großen Mysterium umgeben.\r\nSeid Euch dessen allezeit bewusst.","我々の周りには大いなる謎がある。\r\n不用意に触れるな。","우리 주위에는 크나큰 수수께끼가 있다.\r\n무엇이든 건드릴 때는 조심해야 한다.","Grande é o mistério que nos cerca.\r\nCuidado com o que você perturba.","Нас окружает великая тайна.\r\nОсторожнее с тем, чей покой нарушаешь.","Hay un gran misterio a nuestro alrededor.\r\nTen cuidado con lo que despiertas.","รอบตัวเราล้วนมีเรื่องลี้ลับมากมาย\r\nจะรบกวนสิ่งใดก็ระวังไว้ให้ดี","我們四周都存在著巨大的謎題。\r\n小心別擾動你不該碰的東西。",11861,4
12,"DoryaniKeystone1",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone1.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive1.dds",[4799],[1],"Stitch the Flesh","Suturer la Chair","Das Fleisch zusammennähen","肉の縫合","살점 꿰매기","Costurar a Carne","Сшивание плоти","Coser la carne","Stitch the Flesh","血肉縫補","Did you think I would let a simple thing\r\nlike dying interfere with our work?","Pensez-vous réellement que j'allais laisser une chose\r\naussi futile que la mort entraver notre œuvre ?","Glaubt Ihr etwa, ich würde zulassen, dass so etwas Banales wie der Tod unsere Arbeit beeinträchtigt?","死ごときで我らの仕事を\r\n邪魔できると思ったのか？","내가 죽음처럼 단순한 것이\r\n우리 일을 방해하도록 용납할 거라 생각했나?","Acha que eu deixaria algo tão simples quanto\r\na morte interferir no nosso trabalho?","Неужели ты думаешь, что я позволю такой простой\r\nвещи, как смерть, помешать нашей работе?","¿Crees que dejaría que una cosa tan simple\r\ncomo la muerte interfiriera en nuestro trabajo?","เจ้าคิดรึว่าข้าจะยอมให้เรื่องดาดๆ อย่างความตาย\r\nมาขัดขวางงานของเราได้?","你以為我會讓死亡這種小事\r\n干擾我們的工作嗎？",871,1
13,"DoryaniKeystone2",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone2.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive2.dds","[20547,13468,13682]","[1,150,100]","Refined Formula","Refined Formula","Verbesserte Formel","洗練された製法","다듬어진 조합법","Fórmula Refinada","Улучшенная формула","Fórmula refinada","Refined Formula","精煉配方","Let's make this a little more... efficient.","Let's make this a little more... efficient.","Machen wir das doch ein wenig ... effizienter.","もう少し……手際よくやろう。","이걸 조금 더... 효율적으로 만들어 보자.","Vamos tornar isso um pouco mais... eficiente.","Давай сделаем её немного... эффективнее.","Hagamos que esto sea un poco más eficiente...","เรามาทำเรื่องนี้ให้มี...\r\nประสิทธิภาพกว่าเดิมสักนิดเถิด","讓我們把這個變得更……有效率一點。",37172,1
14,"DoryaniKeystone3",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone3.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive3.dds","[25457,24901,25323]","[1,2,3]","Evolutionary Pressure","Evolutionary Pressure","Evolutionärer Druck","進化圧","진화 압력","Pressão Evolucionária","Эволюционное давление","Presión evolutiva","Evolutionary Pressure","演化壓力","The leylines can affect more than just\r\nthe terrain... curious...","The leylines can affect more than just\r\nthe terrain... curious...","Die Ley-Linien können mehr beeinflussen als nur das Gelände ... interessant ...","レイラインは地形だけでなく、\r\n他のものにも影響を及ぼすのか……興味深い……","지맥은 단순히 지형에만 영향을 미치는\r\n것이 아니다... 신기하군...","Os fluxos energéticos podem afetar mais\r\ndo que apenas o terreno... Interessante...","Энергетические линии могут влиять\r\nне только на ландшафт... любопытно...","Las líneas ley pueden afectar más que solo el terreno... Qué curioso...","เส้นพลังงานให้ผลได้มากกว่า\r\nภูมิประเทศรึ... น่าฉงนนัก...","地脈影響的不只是地形……\r\n有趣……",489,1
15,"DoryaniKeystone4",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone4.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive4.dds",[19867],[25],"Improved Calibration","Calibrage perfectionné","Verbesserte Kalibrierung","改良された調整","개선된 보정","Calibração Melhorada","Улучшенная калибровка","Calibración mejorada","Improved Calibration","進階校準","The more we work with these leylines,\r\nthe more I feel I... understand them...","Plus nous travaillons avec ces lignes telluriques,\r\nplus j'ai l'impression de… les comprendre…","Je öfter wir mit diesen Ley-Linien arbeiten, desto größer ist mein Gefühl, dass ich sie … verstehe …","このレイラインを扱えば扱うほど、\r\nそれを......理解しつつあると感じる......","우리 일에서 지맥을 많이 다룰수록,\r\n점점 이해가 되는 것 같다...","Quanto mais trabalhamos com esses fluxos\r\nenergéticos, mais sinto que... os compreendo...","Чем больше я работаю с этими энергетическими линиями,\r\nтем больше мне кажется, что я... понимаю их...","Cuanto más trabajamos con estas líneas ley,\r\nmás siento... que las entiendo...","ยิ่งเราทำงานกับเส้นพลังงานเหล่านี้มากเท่าไร\r\nข้ายิ่งรู้สึกว่า... เข้าใจมันเข้าไปทุกที...","我們與這些地脈共事越久，\r\n我越覺得自己……理解它們了……",13356,2
16,"DoryaniKeystone5",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone5.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive5.dds",[26583],[1],"Disengaged Safeties","Disengaged Safeties","Deaktivierte Sicherheitsvorrichtungen","解除された安全装置","풀린 안전 시설","Seguranças Liberadas","Отключённые предохранители","Seguros desactivados","Disengaged Safeties","解除安全鎖","Our long-term survival no longer matters.\r\nWe are already dead men walking.","Our long-term survival no longer matters.\r\nWe are already dead men walking.","Unser langfristiges Überleben spielt keine Rolle mehr.\r\nWir sind bereits wandelnde Tote.","長期的な生存など、もはや意味を持たない。\r\n我々はすでに死んだも同然だ。","우리의 장기적인 생존은 이제 중요하지 않다. 우린 이미\r\n죽어서 걸어 다니는 셈이니 말이야.","Nossa sobrevivência a longo prazo já\r\nnão importa. Já somos mortos-vivos.","Наше долгосрочное выживание больше не\r\nимеет значения. Мы уже ходячие мертвецы.","Nuestra supervivencia a largo plazo ya no importa. Ya somos muertos andantes.","การอยู่รอดระยะยาวมิใช่เรื่องสำคัญแล้วแล\r\nเราใกล้สิ้นลมอยู่ทุกเมื่อเชื่อวัน","我們的長期存活已無關緊要。\r\n我們都已是行走的死人。",5655,2
17,"DoryaniKeystone6",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone6.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive6.dds",[25025],[35],"Careful Procurement","Récupération méticuleuse","Sorgfältige Beschaffung","慎重な調達","신중한 확보","Aquisição Cuidadosa","Тщательное снабжение","Adquisición cuidadosa","Careful Procurement","謹慎採購","We will need quite a few resources if\r\nwe are to succeed. I will teach you.","Nous aurons besoin de nombreuses ressources si\r\nnous voulons réussir. Laissez-moi vous montrer.","Für den Erfolg werden wir eine ganze Menge Ressourcen benötigen. Ich werde es Euch zeigen.","成功するにはかなりの資源が必要となる。\r\n私が教えよう。","우리가 성공하려면 상당한 양의 자원이 필요하다.\r\n내가 가르쳐 주지.","Precisaremos de muitos recursos para\r\ntermos sucesso. Eu vou lhe ensinar.","Нам понадобится немало ресурсов,\r\nчтобы преуспеть. Я обучу тебя.","Necesitaremos muchos recursos si\r\nqueremos tener éxito. Yo te enseñaré.","เราต้องการทรัพยากรไม่น้อย\r\nจึงจะทำการใหญ่ได้สำเร็จ\r\nข้าจะสอนเจ้าเป็นแน่","如果我們想獲得成功，\r\n會需要相當多的資源。我會教你怎麼做。",60922,2
18,"DoryaniKeystone7",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone7.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive7.dds",[26630],[15],"Volatile Connection","Volatile Connection","Instabile Verbindung","不安定な接続","폭발성 연결","Conexão Volátil","Неустойчивое соединение","Conexión volátil","Volatile Connection","不穩定連結","I need more data on a new process.\r\nPlease, do what you do best.","I need more data on a new process.\r\nPlease, do what you do best.","Ich brauche mehr Daten über einen neuen Prozess.\r\nBitte tut, was Ihr am besten könnt.","新しい工程について、もっとデータが必要だ。\r\n頼む、君の本領を発揮してくれ。","새로운 절차에 대한 정보가 더 필요하다.\r\n네가 제일 잘하는 일을 해 다오.","Preciso de mais informações sobre um novo processo.\r\nPeço que faça o que você faz de melhor.","Мне нужно больше данных о новом процессе.\r\nПрошу, делай то, что делаешь лучше всего.","Necesito más información sobre un nuevo proceso. Por favor, haz lo que mejor sabes hacer.","ข้าต้องการข้อมูลสำหรับกระบวนการใหม่\r\nช่วยทำเรื่องที่เจ้าชำนาญด้วยเถิด","我需要更多關於新流程的數據。\r\n拜託，去做你最擅長的事吧。",25817,3
19,"DoryaniKeystone8",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone8.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive8.dds","[26736,24922]","[1,2]","Mechanical Guardians","Mechanical Guardians","Mechanische Wächter","機械仕掛けの守護者","기계 수호자","Guardiões Mecânicos","Механические стражи","Guardianes mecánicos","Mechanical Guardians","機械守衛","Their creators are long since dust,\r\nbut their duty remains.","Their creators are long since dust,\r\nbut their duty remains.","Ihre Schöpfer sind schon längst zu Staub zerfallen,\r\naber ihre Pflicht ruft noch immer.","作り手たちははるか昔に塵となったが、\r\nだが、その使命は残り続けている。","이것을 만든 이들은 먼지가 된 지 오래지만,\r\n이들의 의무만은 남아 있다.","Seus criadores já se foram há muito tempo,\r\nmas seu dever permanece.","Их создатели давно стали пылью,\r\nно их долг остаётся.","Sus creadores hace tiempo se han vuelto polvo, pero su deber sigue vivo.","ผู้สร้างของพวกมันเป็นผุยผงมาเนิ่นนาน\r\nทว่าหน้าที่พวกมันยังยืนยง","他們的創造者早已化為塵土，\r\n但他們的職責依然長存。",4793,3
20,"DoryaniKeystone9",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone9.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive9.dds",[26737],[10],"Hidden Patterns","Hidden Patterns","Verborgene Muster","隠されたパターン","숨은 패턴","Padrões Ocultos","Скрытые закономерности","Patrones ocultos","Hidden Patterns","隱藏規律","It's all connected. The Grand Project...\r\nI can almost see its intent...","It's all connected. The Grand Project...\r\nI can almost see its intent...","Alles ist verbunden. Das große Projekt ...\r\nIch kann seinen Zweck beinahe verstehen ...","すべては繋がっている。大いなる計画……\r\nその意図が、もう少しで見えそうだ……","모든 것은 연결되어 있다. 웅대한 계획...\r\n그것의 의도가 보일 것만 같군...","Tudo está interligado. O projeto grandioso...\r\nQuase consigo compreender sua intenção.","Всё это взаимосвязано. Великий план...\r\nЯ почти вижу его замысел...","Todo está conectado. Este proyecto colosal... ya casi puedo ver su propósito.","ทุกอย่างล้วนสัมพันธ์กัน\r\nโครงการมหึมานี้...\r\nข้าใกล้จะเห็นเจตนาของมันแล้ว","一切都是相連的。宏偉計劃……\r\n我幾乎能看見它的意圖……",21335,3
21,"DoryaniKeystone10",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone10.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive10.dds",[25903],[1],"Dam the River","Dam the River","Den Fluss aufstauen","流れを堰き止めよ","강에 둑 쌓기","Barragem do Rio","Запруживание реки","Condena el río","Dam the River","截流攔河","There's some sort of energy flow\r\nunderneath reality. Could it be...?","There's some sort of energy flow\r\nunderneath reality. Could it be...?","Es gibt unterhalb der Realität eine Art \r\nvon Energiefluss. Könnte es sein ...?","現実の奥底に、何かしらのエネルギーの\r\n流れが存在している。これはもしや……？","현실의 아래에는 일종의 에너지 흐름이\r\n존재한다. 그건 혹시...?","Existe algum tipo de fluxo de energia\r\nsob a realidade. Será que isso é...","Существует какой-то поток энергии\r\nпод реальностью. Может ли это быть...?","Hay alguna clase de flujo de energía por debajo de la realidad. ¿Podría ser que...?","มีพลังงานบางอย่างไหลเวียน\r\nภายใต้โลกความจริง\r\nหรือว่านี่คือ...?","現實之下有某種能量在流動。\r\n難道說……？",56534,4
22,"DoryaniKeystone11",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone11.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive11.dds",[26605],[20],"Remnants of Greatness","Remnants of Greatness","Überreste von Größe","偉大さの残滓","위대함의 잔재","Vestígios de Grandeza","Остатки величия","Remanentes de grandeza","Remnants of Greatness","偉大遺跡","They are drawn to the power of the\r\nGrand Project. They know not why.","They are drawn to the power of the\r\nGrand Project. They know not why.","Sie werden von der Macht des großen\r\nProjektes angezogen. Sie wissen nicht ,warum.","彼らは大いなる計画の力に引き寄せられている。\r\nその理由も知らぬまま。","그들은 웅대한 계획의 힘에 이끌린다.\r\n이유를 모른 채로.","Eles são atraídos pelo poder do projeto\r\ngrandioso. Não sabem o motivo.","Их манит сила Великого плана.\r\nИм неведомо, почему.","Los atrae el poder del proyecto colosal, pero no saben por qué.","พวกมันถูกดึงดูดด้วยฤทธิ์\r\nของโครงการมหึมา\r\nพวกมันหาได้รู้เหตุผลไม่","他們被宏偉計劃的力量所吸引，\r\n自己卻不明白為何如此。",62105,4
23,"DoryaniKeystone12",1,"Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystone12.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/DoryaniKeystoneActive12.dds","[25875,20675,26632]","[1,25,5]","Head of the Snake","Head of the Snake","Der Kopf der Schlange","蛇の頭","뱀의 머리","Cabeça da Cobra","Голова змеи","Cabeza de la serpiente","Head of the Snake","蛇首","We need a smarter strategy.\r\nWe must aim for the top.","We need a smarter strategy.\r\nWe must aim for the top.","Wir brauchen eine klügere Strategie.\r\nWir müssen auf den Kopf zielen.","より賢明な戦略が必要だ。\r\n我々は頂点を目指さねばならない。","우리에겐 더 영리한 전략이 필요하다.\r\n우리는 최고를 목표로 해야만 해.","Precisamos de uma estratégia mais\r\ninteligente e mirar no topo.","Нам требуется стратегия умнее.\r\nМы должны метить выше.","Necesitamos una estrategia más inteligente.\r\nTenemos que apuntar a lo más alto.","เราต้องการกลยุทธ์ที่ฉลาดกว่านี้\r\nเราต้องแสวงหาผู้นำ","我們需要更聰明的策略。\r\n我們必須瞄準頂端。",18015,4
