"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Icon","NextUpgradeOptions","i32_48","Tier","Radius","i32_64","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool_132"
10,"ArcingTower","Arc Tower","Tourelle d'Arc électrique","Lichtbogen-Turm","アークタワー","연쇄 번개 탑","Torre de Arco Voltaico","Башня цепи молний","Torre de arco eléctrico","ป้อมสายฟ้าชิ่ง","電弧塔","Damage: Medium\r\nCasts Arc\r\n\r\nIneffective against Blighted Monsters of the same type","Dégâts : Moyens\r\nIncante un Arc électrique\r\n\r\nInefficace contre les Monstres infestés du même type","Schaden: Mittel\r\nZaubert Lichtbogen\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージ: 中\r\nアークを放つ\r\n\r\n同じタイプのブライトモンスターに効果がない","피해: 중간\r\n연쇄 번개 시전\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Dano: Médio\r\nConjura Arco Voltaico\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Урон: средний\r\nСотворяет Цепь молний\r\n\r\nНеэффективна против зараженных монстров такого же типа","Daño: medio\r\nLanza Arco eléctrico\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ความเสียหาย: ปานกลาง\r\nร่าย สายฟ้าชิ่ง\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","傷害：中\r\n施放電弧\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconArcing",[],-1027797953,"IV",45,8,"",9725,"[9724,9726,9727,11363,11370,16546]","[24,2227,167,8138,11375,16545]",""
11,"BuffTower1","Empowering Tower Mk I","Tourelle d'Amélioration I","Verstärkender Turm I","エンパワーリングタワー Mk I","강화의 탑 Mk I","Torre Fortalecedora Mk I","Усиливающая башня - Модель I","Torre potenciadora Mk I","ป้อมเพิ่มพลัง รุ่นที่ 1","賦予塔 I","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Améliore l'efficacité des autres Tourelles\r\nN'inflige pas de Dégâts aux Ennemis","Verbessert die Effektivität anderer Türme\r\nVerursacht keinen Schaden","他のタワーの効果を向上\r\n敵にダメージを与えない","다른 탑들의 효율성 향상\r\n적에게 주는 피해 없음","Melhora a efetividade das outras torres\r\nNão causa dano aos inimigos","Увеличивает эффективность других башен\r\nНе наносит урона врагам","Mejora la eficacia de otras torres\r\nNo inflige daño a los enemigos","เพิ่มประสิทธิผลของป้อมอื่นๆ\r\nไม่สร้างความเสียหายให้กับศัตรู","強化其它防守塔的效果\r\n不對敵人產生傷害","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[12],-1750551302,"I",35,15,"",9729,"[9728,9730,9731,9732,11370,16546]","[4349,213,9731,9732,11375,16545]",1
12,"BuffTower2","Empowering Tower Mk II","Tourelle d'Amélioration II","Verstärkender Turm II","エンパワーリングタワー Mk II","강화의 탑 Mk II","Torre Fortalecedora Mk II","Усиливающая башня - Модель II","Torre potenciadora Mk II","ป้อมเพิ่มพลัง รุ่นที่ 2","賦予塔 II","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Améliore l'efficacité des autres Tourelles\r\nN'inflige pas de Dégâts aux Ennemis","Verbessert die Effektivität anderer Türme\r\nVerursacht keinen Schaden","他のタワーの効果を向上\r\n敵にダメージを与えない","다른 탑들의 효율성 향상\r\n적에게 주는 피해 없음","Melhora a efetividade das outras torres\r\nNão causa dano aos inimigos","Увеличивает эффективность других башен\r\nНе наносит урона врагам","Mejora la eficacia de otras torres\r\nNo inflige daño a los enemigos","เพิ่มประสิทธิผลของป้อมอื่นๆ\r\nไม่สร้างความเสียหายให้กับศัตรู","強化其它防守塔的效果\r\n不對敵人產生傷害","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[13],-2021019078,"II",45,15,"",9729,"[9728,9730,9731,9732,11370,16546]","[4349,213,9731,9732,11375,16545]",1
13,"BuffTower3","Empowering Tower Mk III","Tourelle d'Amélioration III","Verstärkender Turm III","エンパワーリングタワー Mk III","강화의 탑 Mk III","Torre Fortalecedora Mk III","Усиливающая башня - Модель III","Torre potenciadora Mk III","ป้อมเพิ่มพลัง รุ่นที่ 3","賦予塔 III","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Améliore l'efficacité des autres Tourelles\r\nN'inflige pas de Dégâts aux Ennemis","Verbessert die Effektivität anderer Türme\r\nVerursacht keinen Schaden","他のタワーの効果を向上\r\n敵にダメージを与えない","다른 탑들의 효율성 향상\r\n적에게 주는 피해 없음","Melhora a efetividade das outras torres\r\nNão causa dano aos inimigos","Увеличивает эффективность других башен\r\nНе наносит урона врагам","Mejora la eficacia de otras torres\r\nNo inflige daño a los enemigos","เพิ่มประสิทธิผลของป้อมอื่นๆ\r\nไม่สร้างความเสียหายให้กับศัตรู","強化其它防守塔的效果\r\n不對敵人產生傷害","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff","[14,15]",1692746775,"III",55,15,"",9729,"[9728,9730,9731,9732,11370,16546]","[4349,213,9731,9732,11375,16545]",1
14,"BuffPlayersTower","Imbuing Tower","Tourelle d'Élévation","Stärkender Turm","強化タワー","부여의 탑","Torre Imbuidora","Насыщающая башня","Torre infusora","ป้อมเสริมแรง","湧泉塔","Improves the effectiveness of Players in range.\r\nDoes not Damage Enemies","Améliore l'efficacité des Joueurs à proximité\r\nN'inflige pas de Dégâts aux Ennemis","Verbessert die Effektivität von Charakteren in Reichweite\r\nVerursacht keinen Schaden","範囲内のプレイヤーを強化\r\n敵にダメージを与えない","범위 내 플레이어의 효율성 향상\r\n적에게 주는 피해 없음","Melhora a efetividade dos jogadores ao alcance\r\nNão causa dano aos inimigos","Увеличивает эффективность игроков в области действия.\r\nНе наносит урона врагам","Mejora la eficacia de los jugadores que están en su rango de acción\r\nNo inflige daño a los enemigos","เพิ่มประสิทธิผลของผู้เล่นที่อยู่ในระยะ\r\nไม่สร้างความเสียหายให้กับศัตรู","強化範圍內玩家的效果\r\n不對敵人產生傷害","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuffPlayer",[],-720723365,"IV",55,16,"",9734,"[9733,9735,9736,11364,11370,16544]","[4349,9735,9736,11364,11375,16545]",1
15,"WeakenEnemiesTower","Smothering Tower","Tourelle de Strangulation","Entkräftender Turm","弱体化タワー","질식의 탑","Torre Suavizadora","Удушающая башня","Torre asfixiante","ป้อมลดกำลัง","禁閉塔","Weakens Enemies in range\r\nDoes not Damage Enemies","Affaiblit les ennemis à proximité\r\nN'inflige pas de Dégâts aux Ennemis","Schwächt Gegner in Reichweite\r\nVerursacht keinen Schaden","範囲内の敵を弱体化\r\n敵にダメージを与えない","범위 내 적 약화\r\n적에게 주는 피해 없음","Enfraquece inimigos ao alcance\r\nNão causa dano aos inimigos","Ослабляет врагов в области действия\r\nНе наносит урона врагам","Debilita a los enemigos que están en su rango de acción\r\nNo inflige daño a los enemigos","ทำให้ศัตรูที่อยู่ในระยะอ่อนแอลง\r\nไม่สร้างความเสียหายให้กับศัตรู","弱化範圍內的敵人\r\n不對敵人產生傷害","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconWeakining",[],1166693452,"IV",55,17,"",9738,"[9737,9739,9740,11365,11370,16546]","[4349,9739,9740,11365,11375,16545]",1
16,"StunningTower1","Seismic Tower Mk I","Tourelle Sismique I","Seismischer Turm I","サイズミックタワー Mk I","지진의 탑 Mk I","Torre Sísmica Mk I","Сейсмическая башня - Модель I","Torre sísmica Mk I","ป้อมกระทุ้งปฐพี รุ่นที่ 1","地裂塔 I","Damage: Low\r\nRepeats 3 times\r\nAlways Stuns\r\nDamages and Stuns nearby Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Dégâts : Moyens\r\nSe reproduit 3 fois\r\nÉtourdit à coup sûr\r\nInflige des Dégâts et Étourdit les Ennemis à proximité\r\n\r\nInefficace contre les Monstres infestés du même type","Schaden: Niedrig\r\nWiederholt sich 3 Mal\r\nBetäubt immer\r\nSchädigt und betäubt Gegner im Umkreis\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージ: 低\r\n繰り返し回数: 3\r\n常にスタンを付与\r\n周囲の敵にダメージを与えスタンさせる\r\n\r\n同じタイプのブライトモンスターに効果がない","피해: 낮음\r\n3회 반복\r\n항상 기절\r\n주변의 적 피해 및 기절\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Dano: Baixo\r\nRepete 3 vezes\r\nSempre atordoa\r\nAtordoa e causa dano aos inimigos próximos\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Урон: низкий\r\nПовторяет атаку 3 раза\r\nВсегда оглушает\r\nНаносит урон и оглушает ближайших врагов\r\n\r\nНеэффективна против зараженных монстров такого же типа","Daño: bajo\r\nRepite 3 veces\r\nSiempre aturde\r\nDaña y aturde a los enemigos cercanos\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ความเสียหาย: ต่ำ\r\nเกิดซ้ำ 3 ครั้ง\r\nสร้างสถานะ มึนงง เสมอ\r\nสร้างความเสียหายและสร้างสถานะ มึนงง ต่อศัตรูที่อยู่ใกล้\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","傷害：低\r\n重複 3 次\r\n必定暈眩\r\n傷害和暈眩附近敵人\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[17],-239063143,"I",45,9,"",9742,"[9741,9743,9744,9745,11370,16546]","[24,332,7266,9786,11375,16545]",""
17,"StunningTower2","Seismic Tower Mk II","Tourelle Sismique II","Seismischer Turm II","サイズミックタワー Mk II","지진의 탑 Mk II","Torre Sísmica Mk II","Сейсмическая башня - Модель II","Torre sísmica Mk II","ป้อมกระทุ้งปฐพี รุ่นที่ 2","地裂塔 II","Repeats 5 times","Se reproduit 5 fois","Wiederholt sich 5 Mal","繰り返し回数: 5","5회 반복","Repete 5 vezes","Повторяет атаку 5 раз","Repite 5 veces","เกิดซ้ำ 5 ครั้ง","重複 5 次","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[18],242248516,"II",45,9,"",9742,"[9741,9743,9744,9745,11370,16546]","[24,332,7266,9786,11375,16545]",""
18,"StunningTower3","Seismic Tower Mk III","Tourelle Sismique III","Seismischer Turm III","サイズミックタワー Mk III","지진의 탑 Mk II","Torre Sísmica Mk III","Сейсмическая башня - Модель III","Torre sísmica Mk III","ป้อมกระทุ้งปฐพี รุ่นที่ 3","地裂塔 III","Repeats 7 times","Se reproduit 7 fois","Wiederholt sich 7 Mal","繰り返し回数: 7","7회 반복","Repete 7 vezes","Повторяет атаку 7 раз","Repite 7 veces","เกิดซ้ำ 7 ครั้ง","重複 7 次","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","[19,20]",-854560930,"III",45,9,"",9742,"[9741,9743,9744,9745,11370,16546]","[24,332,7266,9786,11375,16545]",""
19,"TemporalTower","Temporal Tower","Tourelle Temporelle","Verlangsamender Turm","テンポラルタワー","시간의 탑","Torre Temporal","Башня времени","Torre temporal","ป้อมกาลเวลา","時空塔","Persistently Slows Monsters \r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Ralentit continuellement les Ennemis\r\nN'inflige pas de Dégâts aux Ennemis\r\n\r\nInefficace contre les Monstres infestés du même type","Verlangsamt Monster dauerhaft\r\nVerursacht keinen Schaden\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","継続的にモンスターを減速させる\r\n敵にダメージを与えない\r\n\r\n同じタイプのブライトモンスターに効果がない","유지되며 몬스터 감속\r\n주변의 적 피해 및 기절\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Desacelera monstros persistentemente\r\nNão causa dano aos inimigos\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Необратимо замедляет монстров\r\nНе наносит урона врагам\r\n\r\nНеэффективна против зараженных монстров такого же типа","Ralentiza constantemente a los monstruos \r\nNo inflige daño a los enemigos\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ทำให้มอนสเตอร์ช้าลงอย่างต่อเนื่อง\r\nไม่สร้างความเสียหายให้กับศัตรู\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","持續緩速怪物\r\n不對敵人產生傷害\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTemporal",[],1524497081,"IV",45,10,"",9747,"[9746,9748,9749,11366,11370,16546]","[4349,9783,9784,11366,16545]",1
20,"PetrificationTower","Stone Gaze Tower","Tourelle de Regard pétrifiant","Versteinender Turm","ストーンゲイズタワー","돌의 응시 탑","Torre do Olhar Petrificante","Башня каменного взора","Torre de mirada de piedra","ป้อมตรึงศิลา","石化凝視塔","Periodically Petrifies Monsters\r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Pétrifie périodiquement les Ennemis\r\nN'inflige pas de Dégâts aux Ennemis\r\n\r\nInefficace contre les Monstres infestés du même type","Versteinert Monster zeitweise\r\nVerursacht keinen Schaden\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","定期的にモンスターを石化させる\r\n敵にダメージを与えない\r\n\r\n同じタイプのブライトモンスターに効果がない","몬스터 주기적 석화\r\n주변의 적 피해 및 기절\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Petrifica monstros periodicamente\r\nNão causa dano aos inimigos\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Периодически обращает монстров в камень\r\nНе наносит урона врагам\r\n\r\nНеэффективна против зараженных монстров такого же типа","Petrifica periódicamente a los monstruos \r\nNo inflige daño a los enemigos\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ทำให้มอนสเตอร์กลายเป็นหินเป็นระยะ\r\nไม่สร้างความเสียหายให้กับศัตรู\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","定期石化怪物\r\n不對敵人產生傷害\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPetrification",[],-241524287,"IV",45,11,"",9751,"[9750,9752,9753,11374,11370,16546]","[212,3224,9782,11376,11375,16545]",""
21,"MinionTower1","Summoning Tower Mk I","Tourelle d'Invocation I","Beschwörender Turm I","サモニングタワー Mk I","소환의 탑 Mk I","Torre Invocadora Mk I","Призывающая башня - Модель I","Torre invocadora Mk I","ป้อมอัญเชิญ รุ่นที่ 1","召喚塔 I","Summons 3 Minions\r\nMinion Damage: Low\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Invoque 3 Créature\r\nDégâts des Créatures : Bas\r\nVie des Créatures : Basse\r\nRéinvoque des Créatures quand les précédentes sont mortes\r\n\r\nInefficace contre les Monstres infestés du même type","Beschwört 3 Kreaturen\r\nKreaturenschaden: Niedrig\r\nKreaturenleben: Niedrig\r\nKann nur Kreaturen beschwören, sobald die vorherigen Kreaturen tot sind\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","3体のミニオンを召喚\r\nミニオンダメージ: 低\r\nミニオンライフ: 低\r\n古いミニオンが死亡したときのみ再召喚する\r\n\r\n同じタイプのブライトモンスターに効果がない","소환수 3마리 소환\r\n소환수 피해: 낮음\r\n소환수 생명력: 낮음\r\n이전 소환수 사망 시 소환 가능\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Invoca 3 lacaios\r\nDano dos lacaios: Baixo\r\nVida dos lacaios: Baixa\r\nSó é possível invocar lacaios quando os lacaios anteriores morrerem\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Призывает 3 приспешников\r\nУрон приспешника: низкий\r\nЗдоровье приспешника: малое\r\nПризывет новых приспешников только после смерти предыдущих\r\n\r\nНеэффективна против зараженных монстров такого же типа","Invoca 3 esbirros\r\nDaño de esbirros: bajo\r\nVida de esbirros: baja\r\nSolo puede invocar esbirros si los esbirros anteriores ya han muerto\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","อัญเชิญ มิเนียน 3 ตัว\r\nความเสียหายของมิเนียน: ต่ำ\r\nพลังชีวิตของมิเนียน: ต่ำ\r\nจะอัญเชิญมิเนียนเพิ่มเมื่อมิเนียนตัวก่อนตายแล้วเท่านั้น\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","召喚 3 個召喚物\r\n召喚物傷害：低\r\n召喚物生命：低\r\n在前個召喚物死後才能再召喚下個召喚物\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[22],93106736,"I",30,12,"",9755,"[9754,9756,9757,9758,9755,11370,16546]","[478,606,154,9781,10892,11375,16545]",""
22,"MinionTower2","Summoning Tower Mk II","Tourelle d'Invocation II","Beschwörender Turm II","サモニングタワー Mk II","소환의 탑 Mk II","Torre Invocadora Mk II","Призывающая башня - Модель II","Torre invocadora Mk II","ป้อมอัญเชิญ รุ่นที่ 2","召喚塔 II","Summons 5 Minions","Invoque 5 Créatures","Beschwört 5 Kreaturen","5体のミニオンを召喚","소환수 5마리 소환","Invoca 5 lacaios","Призывает 5 приспешников","Invoca 5 esbirros","อัญเชิญ มิเนียน 5 ตัว","召喚 5 個召喚物","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[23],499014349,"II",30,12,"",9755,"[9754,9756,9757,9758,9755,11370,16546]","[478,606,154,9781,10892,11375,16545]",""
23,"MinionTower3","Summoning Tower Mk III","Tourelle d'Invocation III","Beschwörender Turm III","サモニングタワー Mk III","소환의 탑 Mk III","Torre Invocadora Mk III","Призывающая башня - Модель III","Torre invocadora Mk III","ป้อมอัญเชิญ รุ่นที่ 3","召喚塔 III","Summons 7 Minions","Invoque 7 Créatures","Beschwört 7 Kreaturen","7体のミニオンを召喚","소환수 7마리 소환","Invoca 7 lacaios","Призывает 7 приспешников","Invoca 7 esbirros","อัญเชิญ มิเนียน 7 ตัว","召喚 7 個召喚物","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","[24,25]",1389469754,"III",30,12,"",9755,"[9754,9756,9757,9758,9755,11370,16546]","[478,606,154,9781,10892,11375,16545]",""
24,"FlyingMinionTower","Scout Tower","Tourelle d'Observation","Spähturm","スカウトタワー","정찰병 탑","Torre Exploradora","Поисковая башня","Torre vigía","ป้อมสอดแนม","哨兵塔","Summons 10 Flying Minions\r\nMinion Damage: High\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Invoque 10 Créatures volantes\r\nDégâts des Créatures : Élevés\r\nVie des Créatures : Basse\r\nRéinvoque des Créatures quand les précédentes sont mortes\r\n\r\nInefficace contre les Monstres infestés du même type","Beschwört 10 fliegende Kreaturen\r\nKreaturenschaden: Hoch\r\nKreaturenleben: Niedrig\r\nKann nur Kreaturen beschwören, sobald die vorherigen Kreaturen tot sind\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","10体の飛行型ミニオンを召喚\r\nミニオンダメージ: 高\r\nミニオンライフ: 低\r\n古いミニオンが死亡したときのみ再召喚する\r\n\r\n同じタイプのブライトモンスターに効果がない","비행 소환수 10마리 소환\r\n소환수 피해: 높음\r\n소환수 생명력: 낮음\r\n이전 소환수 사망 시 소환 가능\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Invoca 10 lacaios voadores\r\nDano dos lacaios: Alto\r\nVida dos lacaios: Baixa\r\nSó é possível invocar lacaios quando os lacaios anteriores morrerem\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Призывает 10 летающих приспешников\r\nУрон приспешников: высокий\r\nЗдоровье приспешников: малое\r\nПризывет новых приспешников только после смерти предыдущих\r\n\r\nНеэффективна против зараженных монстров такого же типа","Invoca 10 esbirros voladores\r\nDaño de esbirros: alto\r\nVida de esbirros: baja\r\nSolo puede invocar esbirros cuando los esbirros anteriores hayan muerto\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","อัญเชิญ มิเนียนบินได้ 10 ตัว\r\nความเสียหายของมิเนียน: สูง\r\nพลังชีวิตของมิเนียน: ต่ำ\r\nจะอัญเชิญมิเนียนเพิ่มเมื่อมิเนียนตัวก่อนตายแล้วเท่านั้น\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","召喚 10 個飛行的召喚物\r\n召喚物傷害：高\r\n召喚物生命：低\r\n在前個召喚物死後才能再召喚下個召喚物\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlyingMinion",[],1443410162,"IV",75,13,"",9760,"[9759,9761,9762,9760,11367,11370,12341,16546]","[478,606,154,10892,11372,11375,9781,16545]",""
25,"TankyMinionTower","Sentinel Tower","Tourelle de Protection","Wachturm","センチネルタワー","파수꾼 탑","Torre Sentinela","Сторожевая башня","Torre centinela","ป้อมเฝ้ายาม","衛士塔","Summons 1 Durable Minion\r\nMinion Damage: Low\r\nMinion Life: High\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Invoque 1 Créature robuste\r\nDégâts de la Créature : Bas\r\nVie de la Créature : Élevée\r\nRéinvoque une Créature quand la précédente est morte\r\n\r\nInefficace contre les Monstres infestés du même type","Beschwört 1 robuste Kreatur\r\nKreaturenschaden: Niedrig\r\nKreaturenleben: Hoch\r\nKann nur Kreaturen beschwören, sobald die vorherigen Kreaturen tot sind\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","1体の耐久型ミニオンを召喚\r\nミニオンダメージ: 低\r\nミニオンライフ: 高\r\n古いミニオンが死亡したときのみ再召喚する\r\n\r\n同じタイプのブライトモンスターに効果がない","끈질긴 소환수 1마리 소환\r\n소환수 피해: 낮음\r\n소환수 생명력: 높음\r\n이전 소환수 사망 시 소환 가능\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Invoca 1 lacaio durável\r\nDano dos lacaios: Baixo\r\nVida dos lacaios: Alta\r\nSó é possível invocar lacaios quando os lacaios anteriores morrerem\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Призывает 1 живучего приспешника\r\nУрон приспешника: низкий\r\nЗдоровье приспешника: большое\r\nПризывет новых приспешников только после смерти предыдущих\r\n\r\nНеэффективна против зараженных монстров такого же типа","Invoca 1 esbirro resistente\r\nDaño de esbirros: bajo\r\nVida de esbirros: alta\r\nSolo puede invocar esbirros cuando los esbirros anteriores hayan muerto\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","อัญเชิญ มิเนียนแข็งแรง 1 ตัว\r\nความเสียหายของมิเนียน: ต่ำ\r\nพลังชีวิตของมิเนียน: สูง\r\nจะอัญเชิญมิเนียนเพิ่มเมื่อมิเนียนตัวก่อนตายแล้วเท่านั้น\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","召喚 1 個耐打的召喚物\r\n召喚物傷害：低\r\n召喚物生命：高\r\n在前個召喚物死後才能再召喚下個召喚物\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTankyMinion",[],467940328,"IV",45,14,"",9764,"[9763,9765,9766,9764,11370,16546]","[478,606,154,10892,11375,16545]",""
26,"FlameTower1","Fireball Tower Mk I","Tourelle de Boule de feu I","Feuerball-Turm I","ファイヤーボールタワー Mk I","화염구 탑 Mk I","Torre de Bola de Fogo Mk I","Башня огненного шара - Модель I","Torre de bola de fuego Mk I","ป้อมบอลไฟ รุ่นที่ 1","火球塔 I","Damage: Medium\r\nCasts a Fireball\r\n\r\nIneffective against Blighted Monsters of the same type","Dégâts : Moyens\r\nIncante 1 Boule de feu\r\n\r\nInefficace contre les Monstres infestés du même type","Schaden: Mittel\r\nZaubert einen Feuerball\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージ: 中\r\n1個のファイヤーボールを放つ\r\n\r\n同じタイプのブライトモンスターに効果がない","피해: 중간\r\n화염구 시전\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Dano: Médio\r\nConjura Bola de Fogo\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Урон: средний\r\nСотворяет Огненный шар\r\n\r\nНеэффективна против зараженных монстров такого же типа","Daño: medio\r\nLanza una bola de fuego\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ความเสียหาย: ปานกลาง\r\nร่าย บอลไฟ 1 ลูก\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","傷害：中\r\n施放 1 顆火球\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[27],172162436,"I",45,0,"",9768,"[9767,9769,9770,9771,11370,16546]","[24,213,168,1770,11375,16545]",""
27,"FlameTower2","Fireball Tower Mk II","Tourelle de Boule de feu II","Feuerball-Turm II","ファイヤーボールタワー Mk II","화염구 탑 Mk II","Torre de Bola de Fogo Mk II","Башня огненного шара - Модель II","Torre de bola de fuego Mk II","ป้อมบอลไฟ รุ่นที่ 2","火球塔 II","Casts 3 Fireballs","Incante 3 Boules de feu","Zaubert 3 Feuerbälle","3個のファイヤーボールを放つ","화염구 3개 시전","Conjura 3 Bolas de Fogo","Сотворяет 3 огненных шара","Lanza 3 bolas de fuego","ร่าย บอลไฟ 3 ลูก","施放 3 顆火球","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[28],1399853640,"II",60,0,"",9768,"[9767,9769,9770,9771,11370,16546]","[24,213,168,1770,11375,16545]",""
28,"FlameTower3","Fireball Tower Mk III","Tourelle de Boule de feu III","Feuerball-Turm III","ファイヤーボールタワー Mk III","화염구 탑 Mk III","Torre de Bola de Fogo Mk III","Башня огненного шара - Модель III","Torre de bola de fuego Mk III","ป้อมบอลไฟ รุ่นที่ 3","火球塔 III","Casts 5 Fireballs","Incante 5 Boules de feu","Zaubert 5 Feuerbälle","5個のファイヤーボールを放つ","화염구 5개 시전","Conjura 5 Bolas de Fogo","Сотворяет 5 огненных шаров","Lanza 5 bolas de fuego","ร่าย บอลไฟ 5 ลูก","施放 5 顆火球","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","[29,30]",155134479,"III",75,0,"",9768,"[9767,9769,9770,9771,11370,16546]","[24,213,168,1770,11375,16545]",""
