"rownum","rid_0","string_16","[rid]_24"
10,10,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
11,11,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
12,12,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
13,13,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
14,14,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
15,15,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
16,16,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
17,17,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
18,18,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
19,19,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
20,20,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
21,21,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
22,22,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
23,23,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
24,24,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
25,25,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
26,26,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
27,27,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
28,28,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
29,29,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
30,31,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
31,32,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
32,33,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
33,34,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
34,0,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
35,1,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
36,2,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
37,3,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
38,4,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
39,5,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
40,6,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
41,7,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
42,8,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
43,9,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
44,10,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
45,11,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
46,12,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
47,13,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
48,14,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
49,15,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
50,16,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
51,17,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
52,18,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
53,19,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
54,20,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
55,21,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
56,22,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
57,23,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
58,24,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
59,25,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
60,26,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
61,27,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
62,28,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
63,29,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
64,31,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
65,32,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
66,33,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
67,34,"愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
68,0,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
69,1,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
70,2,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
71,3,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
72,4,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
73,5,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
74,6,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
75,7,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
76,8,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
77,9,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
78,10,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
79,11,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
80,12,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
81,13,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
82,14,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
83,15,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
84,16,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
85,17,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
86,18,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
87,19,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
88,20,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
89,21,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
90,22,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
91,23,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
92,24,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
93,25,"⼀䬀愀爀甀椀䈀氀愀挀欀猀洀椀琀栀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
