"rownum","WorldArea","MonsterPacks","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","i32_40","[i32]_44","MapPin","Decorations","MapContentSet","CorruptedPin","i32_124","i32_128","MapPinCompleted","ObjectiveDescription","SpecialMapText","SpecialMapText (French)","SpecialMapText (German)","SpecialMapText (Japanese)","SpecialMapText (Korean)","SpecialMapText (Portuguese)","SpecialMapText (Russian)","SpecialMapText (Spanish)","SpecialMapText (Thai)","SpecialMapText (Traditional Chinese)","SpecialMapFlavourText","SpecialMapFlavourText (French)","SpecialMapFlavourText (German)","SpecialMapFlavourText (Japanese)","SpecialMapFlavourText (Korean)","SpecialMapFlavourText (Portuguese)","SpecialMapFlavourText (Russian)","SpecialMapFlavourText (Spanish)","SpecialMapFlavourText (Thai)","SpecialMapFlavourText (Traditional Chinese)","SpecialMapHelpText","SpecialMapHelpText (French)","SpecialMapHelpText (German)","SpecialMapHelpText (Japanese)","SpecialMapHelpText (Korean)","SpecialMapHelpText (Portuguese)","SpecialMapHelpText (Russian)","SpecialMapHelpText (Spanish)","SpecialMapHelpText (Thai)","SpecialMapHelpText (Traditional Chinese)","i32_188","i32_192","f32_196","f32_200","f32_204","bool_208","bool_209","MapContent","bool_226","string_227","string_227 (French)","string_227 (German)","string_227 (Japanese)","string_227 (Korean)","string_227 (Portuguese)","string_227 (Russian)","string_227 (Spanish)","string_227 (Thai)","string_227 (Traditional Chinese)","f32_235"
10,246,[698],"The woods give their leaves to the seasons. Man takes the rest.","Les bois donnent leurs feuilles aux saisons. L'homme prend le reste.","Die Wälder geben ihre Blätter an die Jahreszeiten ab. Der Mensch holt sich den Rest.","この森は葉を季節に捧げる。人が残りを奪っていく。","나무들이 사계절에 잎을 내줍니다. 나머지는 모두 인간이 취합니다.","Os bosques dão suas folhas às estações. O homem toma o resto.","Леса отдают свои листья временам года. Человек забирает остальное.","El bosque ofrece sus hojas a las estaciones. El hombre se lleva el resto.","ป่าเขามอบใบไม้ให้แก่ฤดูกาล\r\nส่วนมนุษย์พรากสิ่งที่เหลือ\r\nไปจนสิ้น","森林的樹葉隨季節而去。人類則取走剩下的。",0,[0],0,12,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
11,247,[701],"Humanity trapped within a cage of desperation and agony.","L'humanité enfermée dans une cage de désespoir et d'agonie.","Die Menschheit ist gefangen in einem Käfig aus Verzweiflung und Qualen.","絶望と苦痛の檻に囚われた人類。","인류는 절망과 고통의 우리에 갇혀 있습니다.","A humanidade presa em uma jaula de desespero e agonia.","Человечество заперто в клетке отчаяния и агонии.","La humanidad está atrapada en una jaula de desesperación y agonía.","มนุษยชาติถูกขัง\r\nในความจนตรอกทุกข์ทรมาน","人類受困於絕望與苦痛的囚籠。",0,[0],0,50,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
12,248,[550],"Leaves cling to trees as souls cling to life.","Les feuilles s'accrochent aux arbres comme les âmes s'accrochent à la vie.","Blätter klammern sich an die Bäume wie Seelen an das Leben.","魂が命にしがみつくよう、葉が木々にしがみついている。","잎이 나무에 매달려 있는 모양이 꼭 혼이 생명에 매달리는 것 같습니다.","Folhas se agarram às árvores como as almas se agarram à vida.","Листья цепляются за деревья, как души цепляются за жизнь.","Las hojas se aferran a los árboles como las almas se aferran a la vida.","ใบไม้เกาะต้น\r\nดั่งวิญญาณเกาะชีวิต","樹葉攀附著樹木，正如靈魂攀附著生命。",0,[0],0,13,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
13,250,[715],"Sturdy walls held out an armada, but not the famine it brought.","Les murs solides ont résisté à une armada, mais pas à la famine engendrée.","Stabile Mauern hielten eine Armada ab, aber nicht die Hungersnot, die sie brachte.","頑丈な壁は艦隊を防いだが、それがもたらした飢饉は防げなかった。","무적 함대를 막아 낸 견고한 벽도, 그와 함께 닥친 기근을 막지는 못했습니다.","Muralhas resistentes seguraram uma armada, mas não a fome que ela trouxe.","Крепкие стены выдержали натиск армады, но не голод, который она принесла.","Los robustos muros detuvieron a un ejército, pero no a la hambruna que trajo consigo.","กำแพงที่แข็งแกร่งป้องกันการรุกรานจากกองเรือ\r\nแต่หาได้ป้องกันความอดอยากที่มาจากกองเรือนั้นไม่","堅實的牆壁能夠抵禦軍隊，卻無法阻止它帶來的飢荒。",0,[0],0,14,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
14,251,[545],"The last vestiges of earth, lost beyond the sky.","Les derniers vestiges de la terre, perdus au-delà du ciel.","Die letzten Überreste der Erde, verloren jenseits des Himmels.","空の向こうで失われた、大地の最後の名残。","땅의 마지막 흔적이 하늘 너머로 사라졌습니다.","Os últimos vestígios da terra, perdidos além do céu.","Последние остатки земли, затерянные за небом.","Los últimos vestigios de la tierra, perdidos más allá del cielo.","ร่องรอยแผ่นดินสุดท้ายที่สูญหาย\r\nล่วงเลยไปจากฟากฟ้า","大地最後的痕跡，消失在天際之外。",0,[0],0,15,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
15,252,[547],"Silent stones mark ancient graves and forgotten sorrows.","De mornes pierres commémorent d'anciennes tombes et des chagrins oubliés.","Stumme Steine markieren alte Gräber und vergessene Sorgen.","静かな石が古の墓や忘れられし悲しみを印している。","소리 없는 돌이 고대의 무덤과 잊힌 슬픔이 있는 자리를 알려 줍니다.","Pedras silenciosas marcam sepulturas antigas e tristezas esquecidas.","Молчаливые камни отмечают древние могилы и забытые печали.","Unas piedras silenciosas marcan tumbas antiguas y lamentos olvidados.","ศิลาที่เงียบงันเป็นเครื่องระลึกหลุมศพโบราณ\r\nและความเศร้าโศกที่ถูกลืม","沉寂的石頭代表著古老的墳墓和忘卻的悲傷。",0,[0],0,16,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
16,253,[553],"Those killed in battle do not rest peacefully.","Ceux tués au combat ne trouvent pas facilement le repos.","Die im Kampf Gefallenen ruhen nicht in Frieden.","戦いで斃れた者に安息はない。","전투에서 죽은 이들은 평화로이 안식하지 못합니다.","Os mortos em batalha não descansam em paz.","Погибшие в бою не находят себе покоя.","Aquellos que murieron en combate no descansan en paz.","ผู้ที่สิ้นชีพในการศึก\r\nหาได้จากไปอย่างสงบไม่","在戰鬥中逝去之人註定無法安息。",0,[0],0,17,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
17,255,[565],"The tears of a ravaged earth.","Les larmes d'une terre dévastée.","Die Tränen einer verwüsteten Erde.","荒らされし大地の涙。","유린당한 대지의 눈물입니다.","As lágrimas de uma terra devastada.","Слезы опустошённой земли.","Las lágrimas de una tierra arrasada.","รอยแยกของปฐพี\r\nที่ถูกล้างผลาญ","備受摧殘大地的淚水。",0,[0],0,18,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
18,256,[543],"The fetid home of foul generations.","Le foyer fétide de générations immondes.","Die faulige Heimat verderbter Generationen.","穢れた血筋の悪臭を放つ住処。","추악한 자들이 대를 이어 살아온 악취 나는 터전입니다.","O lar fétido de gerações pérfidas.","Зловонный дом отвратительных поколений.","El hogar fétido de infames generaciones.","บ้านเน่าเหม็น\r\nของรุ่นที่โสโครก","汙穢世代的腐臭家園。",0,[0],0,19,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
19,257,[695],"Rushing waters threaten to move the earth.","Les eaux impétueuses menacent d'emporter la terre.","Rauschende Wasser drohen die Erde zu bewegen.","大地を動かさんと水が押し寄せる。","세차게 흐르는 물에 땅이 들썩일 지경입니다.","Águas turbulentas ameaçam mover a terra.","Бурные потоки воды грозят сдвинуть землю.","Unas aguas torrenciales amenazan con mover la tierra.","กระแสน้ำขู่เคลื่อนปฐพี","奔騰的水流威脅著要改動地貌。",0,[0],0,48,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
20,265,[703],"Even the sparse vegetation does not linger here long.","Même la végétation clairsemée n'y subsiste pas longtemps.","Selbst die spärliche Vegetation verweilt hier nicht lange.","まばらな植物さえもここには長く留まらない。","이곳에서는 드문드문 자란 초목도 오래 살아남지 못합니다.","Mesmo a vegetação esparsa não permanece aqui por muito tempo.","Даже скудная растительность не задерживается здесь надолго.","Hasta la escasa vegetación perdura poco aquí.","กระทั่งพืชหร็อมแหร็ม\r\nก็อยู่ที่นี่ไม่นานนัก","就連稀疏的植被都無法長久留存在這裡。",0,[0],0,20,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
21,263,[719],"Stagnant oils mix to form a deadly concoction.","Les huiles stagnantes se mélangent pour former une concoction mortelle.","Stagnierende Öle vermischen sich zu einem tödlichen Gemisch.","淀んだ油が混じり合い、危険な調合物を作る。","고인 기름이 섞여 치명적인 혼합물이 됩니다.","Óleos estagnados se misturam para formar um composto mortal.","Застоявшиеся масла смешиваются, образуя смертоносную гущу.","Los aceites estancados se mezclan para formar una sustancia mortal.","น้ำมันที่ขังตัว\r\nผสมเป็นสารที่่อันตรายยิ่ง","汙濁之油調合而成的致命混合物。",0,[0],0,21,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
22,259,[589],"Vast lairs of silk span the treetops.","De vastes repaires de soie couvrent la cime des arbres.","Riesige Höhlen aus Seide überspannen die Baumkronen.","広大な絹の巣が樹上に広がる。","거미줄로 만들어진 넓은 소굴이 나무 꼭대기에 걸쳐 있습니다.","Vastas tocas de seda se estendem pelas copas das árvores.","Огромные шёлковые нити покрывают верхушки деревьев.","Unas guaridas de seda enormes se extienden por las copas de los árboles.","ดินแดนใยแมงมุมยิ่งใหญ่\r\nทอดไปทั่วยอดไม้","巨大的絲綢巢穴佔領樹梢。",0,[0],0,22,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
23,260,[605],"Darkness enshrouds these endless chasms.","Les ténèbres enveloppent ces gouffres sans fin.","Dunkelheit umhüllt diese endlosen Abgründe.","闇が底のない谷を覆っている。","끝없는 균열을 어둠이 뒤덮고 있습니다.","A escuridão envolve esses abismos intermináveis.","Тьма окутывает эти бесконечные пропасти.","La oscuridad envuelve a estos abismos sin fin.","ความมืดบดบัง\r\nหุบเหวไร้ที่สิ้นเหล่านี้","黑暗籠罩著這些綿延不絕的峽谷。",0,[0],0,23,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
24,264,[659],"Hubris convinces men they can survive the mistakes of their forebears.","L'arrogance fait croire aux hommes qu'ils peuvent survivre aux erreurs de leurs prédécesseurs.","Hochmut redet den Menschen ein, sie könnten die Fehler ihrer Vorfahren überleben.","傲慢は人に先祖の過ちは自分にとって問題ないと思わせる。","오만에 빠진 인간은 선조들의 잘못에서 살아남을 수 있다고 믿습니다.","A arrogância faz com que os homens se convençam de que podem sobreviver aos erros de seus antepassados.","Гордыня убеждает людей, что они смогут пережить ошибки своих предков.","La arrogancia convence a los hombres de que pueden sobrevivir a los errores de sus antepasados.","ความอหังการทำให้มนุษย์เชื่อว่าพวกเขา\r\nรอดพ้นจากความผิดพลาดของบรรพบุรุษตนได้","傲慢使人們相信，他們可以從先人的錯誤中生存下來。",0,[0],0,24,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
25,240,[551],"Poisoned trees bear pestilent fruits.","Des arbres empoisonnés produisent des fruits pestilentiels.","Vergiftete Bäume tragen giftige Früchte.","毒された木々が病の果実を実らせる。","독에 물든 나무들이 병든 과실을 맺습니다.","Árvores envenenadas produzem frutos pestilentos.","Отравленные деревья приносят ядовитые плоды.","Los árboles envenenados dan frutos pestilentes.","ต้นไม้อาบพิษออกผลแพร่โรค","有毒的樹會結出有害的果實。",0,[0],0,25,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
26,236,[693],"The ground shifts underfoot with disturbing ease.","Le sol se dérobe sous les pieds avec une facilité déconcertante.","Der Boden bewegt sich unter den Füßen mit beunruhigender Leichtigkeit.","不気味なほど簡単に足下で地面が動く。","발아래의 바닥이 꺼림칙할 만큼 쉽게 움직입니다.","O solo se move sob os pés com uma facilidade perturbadora.","Земля уходит из-под ног с пугающей лёгкостью.","La tierra se mueve bajo los pies con una perturbadora facilidad.","ผืนดินใต้เท้าแปรเปลี่ยน\r\nได้ง่ายผิดวิสัยนัก","腳下的地面不停移動，令人不安。",0,[0],0,26,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
27,254,[615],"Shafts of light raise life where they fall.","La vie renaît où perce la lumière.","Lichtstrahlen erwecken Leben, wo sie hinfallen.","彼らが倒れた場所で光の柱が立ち登る。","빛줄기가 닿는 자리에서 생명이 피어납니다.","Raios de luz trazem vida onde tocam.","Лучи света возрождают жизнь там, куда они падают.","Los rayos de luz mejoran la vida allá donde caen.","ปล่องแสงนำพาชีวิต","光明所及之處，生命蓬勃發展。",0,[0],0,27,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
28,258,[721],"A wound carved into the world, never to heal.","Une blessure gravée dans le monde, qui ne guérira jamais.","Eine Wunde, die in die Welt geritzt wurde, um niemals zu heilen.","決して癒えぬ、世界に刻まれた傷。","세상에 새겨진 상처는 결코 낫지 않습니다.","Uma ferida esculpida no mundo que nunca vai cicatrizar.","Рана, нанесённая миру, никогда не заживёт.","Una herida grabada en el mundo, que nunca sanará.","แผลที่แหวกลึกไปในโลก\r\nไร้วันเยียวยา","一道深深刻在世界裡的傷口，永遠無法痊癒。",0,[0],0,28,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
29,288,[627],"The path grows treacherous as the world falls away.","Le chemin devient de plus en plus périlleux à mesure que le monde s'écroule.","Der Pfad wird immer gefährlicher, während die Welt untergeht.","世界が崩壊し、道は危険になる。","세계가 무너져 내리며 길은 더 위태로워집니다.","O caminho se torna traiçoeiro à medida que o mundo desmorona.","Мир рушится, и путь становится всё более опасным.","El camino se vuelve traicionero a medida que el mundo se desmorona.","หนทางยากลำบาก\r\nยามโลกล่มสลาย","隨著世界崩落，路途也越來越險惡。",0,[0],1,"",0,4,6,4833,5,124,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,65,200,"","",[],"","","","","","","","","","","",0
30,245,[642],"They watched the birds to foretell what any fool could see.","Ils ont observé les oiseaux pour prédire ce que n'importe quel imbécile pouvait voir.","Sie beobachteten die Vögel, um vorherzusagen, was jeder Narr sehen konnte.","どんな愚者でも見ればわかることを、彼らは鳥を観察して予言した。","그들은 아무리 바보라도 알 수 있는 것을 예견하겠다고 새를 관찰했습니다.","Eles observavam os pássaros para prever o que qualquer tolo poderia ver.","Они наблюдали за птицами, чтобы предсказать то, что мог увидеть любой глупец.","Miraron a los pájaros para predecir lo que hasta cualquier tonto podía ver.","พวกเขาจับตามองนก\r\nเพื่อพยากรณ์สิ่งที่คนโง่\r\nมองเห็นได้เด่นชัด","他們觀察鳥來獲得傻子都看得出來的預言。",0,[0],0,33,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
31,271,[559],"The final court for aristocrats no longer deemed fit to rule.","L'ultime recours pour les aristocrates jugés inaptes à régner.","Das letzte Gericht für Adlige, die nicht mehr als regierungsfähig angesehen werden.","統治に相応しくないと判断された貴族たちの最後の宮廷。","군림할 자격이 없다고 생각되는 귀족들이 마지막으로 거치는 법정입니다.","O último julgamento dos aristocratas que perderam o direito de governar.","Последний суд для аристократов, которым больше не видать власти.","La corte final para los aristócratas que ya no se consideran aptos para gobernar.","ศาลสุดท้ายของคนชั้นสูง\r\nที่ไม่คู่ควรแก่การปกครองอีกต่อไป","最後的貴族們在治理上備受大眾唾棄。",0,[0],0,34,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
32,267,[699],"Dark energies congeal the lifeblood of the forest.","De sombres énergies congèlent la force vitale de la forêt.","Dunkle Energien lassen das Lebenselixier des Waldes gerinnen.","邪悪な力が森の血液を凝固させる。","검은 기운이 숲의 생혈을 응고시킵니다.","Energias sombrias coagulam a alma da floresta.","Тёмная энергия замораживает жизненную силу леса.","Unas energías oscuras congelan la esencia del bosque.","เลือดเนื้อป่านี้ข้นแข็ง\r\nไปด้วยพลังงานมืดมน","黑暗能量使森林的生命之血凝結。",0,[0],0,35,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
33,235,[584],"Fishermen once reaped a rich bounty here.","Les pécheurs y firent jadis de belles prises.","Einst machten die Fischer hier reiche Beute.","かつて漁師たちはここで豊かな恵みに与った。","한때 어부들이 고기를 풍족하게 잡던 곳입니다.","Pescadores já capturaram uma rica recompensa aqui.","Когда-то рыбаки собирали здесь богатый улов.","Antaño, los pescadores solían capturar buenas recompensas aquí.","ที่นี่เคยมีชาวประมง\r\nหาปลาได้มากมาย","漁夫曾在這裡滿載而歸。",0,[0],0,36,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
