"rownum","Id","bool_8","i32_9","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","AOFiles","bool_37","i32_38","bool_42","bool_43","i32_44","[rid]_48","BaseItemTypesKey","bool_80","ModsKeys","TagsKeys","ChestEffectsKey","MinLevel","string_133","string_133 (French)","string_133 (German)","string_133 (Japanese)","string_133 (Korean)","string_133 (Portuguese)","string_133 (Russian)","string_133 (Spanish)","string_133 (Thai)","string_133 (Traditional Chinese)","MaxLevel","rid_145","UnlockItem","Encounter_AchievementItemsKeys","Environment","InheritsFrom","bool_217","MinimapIcons","[rid]_234","string_250","i32_258","i32_262","bool_266","Colour","OutlineColour","bool_299","bool_300","LeagueChallenges","IsHardmode","StatsHardmode","bool_334","bool_335","bool_336","i32_337","i32_341","rid_345","bool_361","[rid]_362","[rid]_378","[rid]_394"
10,"Metadata/Chests/RiverbedBoulder2",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirty_2.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1,[],[],[]
11,"Metadata/Chests/RiverbedBoulder3",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirty_3.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1,[],[],[]
12,"Metadata/Chests/RiverbedBoulder4",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirty_4.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1,[],[],[]
13,"Metadata/Chests/RiverbedBoulder5",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirty_5.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1,[],[],[]
14,"Metadata/Chests/RiverbedBoulder6",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirty_6.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1,[],[],[]
15,"Metadata/Chests/GrimTangleBoulder1",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_1.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1,[],[],[]
16,"Metadata/Chests/GrimTangleBoulder2",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_2.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1,[],[],[]
17,"Metadata/Chests/GrimTangleBoulder3",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_3.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1,[],[],[]
18,"Metadata/Chests/GrimTangleBoulder4",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_4.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1,[],[],[]
19,"Metadata/Chests/GrimTangleBoulder5",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_5.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1,[],[],[]
20,"Metadata/Chests/GrimTangleBoulder6",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_6.ao""]","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","MS","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1,[],[],[]
21,"Metadata/Chests/VaalRubble1",1,3,"Loose Rubble","Tas de gravats","Loser Schutt","崩れた瓦礫","헐거워진 돌덩이","Entulho Solto","Шаткий булыжник","Escombros sueltos","กองหินหลวม","鬆動碎石","[""Metadata/Chests/VaalChests/VaalRubblePile01.ao""]",1,10,"",1,105,[],"","",[],[],"",0,"","M","M","","","M","MS","MP","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1,[],[],[]
22,"Metadata/Chests/VaalRubble2",1,3,"Loose Rubble","Tas de gravats","Loser Schutt","崩れた瓦礫","헐거워진 돌덩이","Entulho Solto","Шаткий булыжник","Escombros sueltos","กองหินหลวม","鬆動碎石","[""Metadata/Chests/VaalChests/VaalRubblePile02.ao""]",1,10,"",1,105,[],"","",[],[],"",0,"","M","M","","","M","MS","MP","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1,[],[],[]
23,"Metadata/Chests/VaalRubble3",1,3,"Loose Rubble","Tas de gravats","Loser Schutt","崩れた瓦礫","헐거워진 돌덩이","Entulho Solto","Шаткий булыжник","Escombros sueltos","กองหินหลวม","鬆動碎石","[""Metadata/Chests/VaalChests/VaalRubblePile03.ao""]",1,10,"",1,105,[],"","",[],[],"",0,"","M","M","","","M","MS","MP","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1,[],[],[]
24,"Metadata/Chests/VaalRubble4",1,3,"Loose Rubble","Tas de gravats","Loser Schutt","崩れた瓦礫","헐거워진 돌덩이","Entulho Solto","Шаткий булыжник","Escombros sueltos","กองหินหลวม","鬆動碎石","[""Metadata/Chests/VaalChests/VaalRubblePile04.ao""]",1,10,"",1,105,[],"","",[],[],"",0,"","M","M","","","M","MS","MP","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1,[],[],[]
25,"Metadata/Chests/MossyChest11",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest11.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1,[],[],[]
26,"Metadata/Chests/MossyChest13",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest13.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1,[],[],[]
27,"Metadata/Chests/MossyChest14",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest14.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1,[],[],[]
28,"Metadata/Chests/MossyChest17",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest17.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1,[],[],[]
29,"Metadata/Chests/MossyChest11MagicAndRare",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest11.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"","",[],[],[]
30,"Metadata/Chests/MossyChest13MagicAndRare",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest13.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"","",[],[],[]
31,"Metadata/Chests/MossyChest14MagicAndRare",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest14.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"","",[],[],[]
32,"Metadata/Chests/MossyChest17MagicAndRare",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest17.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"","",[],[],[]
33,"Metadata/Chests/MossyChest20",1,2,"Trunk","Malle","Kiste","トランク","트렁크","Arca","Сундучок","Arcón","หีบ","貨箱","[""Metadata/Chests/MossyChests/MossyChest20.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","F","F","","","F","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1,[],[],[]
34,"Metadata/Chests/MossyChest21",1,2,"Trunk","Malle","Kiste","トランク","트렁크","Arca","Сундучок","Arcón","หีบ","貨箱","[""Metadata/Chests/MossyChests/MossyChest21.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","F","F","","","F","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1,[],[],[]
35,"Metadata/Chests/MossyChest26",1,2,"Chest","Coffre","Truhe","チェスト","상자","Baú","Сундук","Cofre","หีบ","寶箱","[""Metadata/Chests/MossyChests/MossyChest26.ao""]",1,10,"","",100,[],"","",[],[],61,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1,[],[],[]
36,"Metadata/Chests/MudBones01",1,4,"Muddy Bones","Ossements boueux","Schlammige Knochen","泥だらけの骨","진흙 뼈","Ossos Embarrados","Грязные кости","Huesos embarrados","กระดูกอาบโคลน","泥濘骸骨","[""Metadata/Chests/MudBurrow/MudBones01.ao""]","",8,"",1,100,[],"","",[],[],"",0,"","MP","FP","","","MP","FP","MP","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,800,"",1,[],[],[]
37,"Metadata/Chests/MudBones02",1,4,"Muddy Bones","Ossements boueux","Schlammige Knochen","泥だらけの骨","진흙 뼈","Ossos Embarrados","Грязные кости","Huesos embarrados","กระดูกอาบโคลน","泥濘骸骨","[""Metadata/Chests/MudBurrow/MudBones02.ao""]","",8,"",1,100,[],"","",[],[],"",0,"","MP","FP","","","MP","FP","MP","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,800,"",1,[],[],[]
38,"Metadata/Chests/MudBones03",1,4,"Muddy Bones","Ossements boueux","Schlammige Knochen","泥だらけの骨","진흙 뼈","Ossos Embarrados","Грязные кости","Huesos embarrados","กระดูกอาบโคลน","泥濘骸骨","[""Metadata/Chests/MudBurrow/MudBones03.ao""]","",8,"",1,100,[],"","",[],[],"",0,"","MP","FP","","","MP","FP","MP","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,800,"",1,[],[],[]
39,"Metadata/Chests/TutorialSupportGemChest","",4,"Large Chest","Grand coffre","Große Truhe","大きな箱","대형 상자","Baú Grande","Большой сундук","Cofre grande","หีบใหญ่","大箱子","[""Metadata/Chests/Chests/TutorialChest.ao""]",1,0,"","",100,[],"","",[],[],7,0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","","","",[],"",[],"","","",1,0,"",1,[],[],[]
40,"Metadata/Chests/QuestChests/Una/Lutebox","",3,"Una's Lute Box","Boîte à luth d'Una","Unas Lautenkasten","ウナのリュートケース","우나의 류트 상자","Caixa do Alaúde de Una","Ящик с лютней Уны","Estuche del laúd de Una","กล่องลูทของอูน่า","烏娜的魯特琴盒","[""Metadata/Chests/Chests/TutorialChest.ao""]",1,4,"","",100,[],3627,"",[],[],"",0,"","F","M","","","F","MS","M","","",100,"","",[],"","Metadata/Chests/QuestChests/Una/Lutebox",1,"",[],"",0,0,"","","","","",[],"",[],"","","",3,0,"",1,[],[],[]
41,"Metadata/Chests/QuestChests/IslandMap/IslandMapFragment01","",3,"Flayed Sailor","Marin écorché","Gehäuteter Matrose","皮を剥がれた船乗り","박피된 선원","Marinheiro Esfolado","Растерзанный моряк","Marinero desollado","กะลาสีที่ถูกถลกหนัง","被剝皮的水手","[""Metadata/Chests/QuestChests/IslandMap/IslandMapFragment01.ao""]",1,4,"","",100,[],3730,"",[],[],"",0,"","M","M","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/QuestChests/IslandMap/IslandMapFragment01",1,"",[],"",0,0,"","","","","",[],"",[],"","","",3,0,"",1,[],[],[]
42,"Metadata/Chests/QuestChests/IslandMap/IslandMapFragment02","",3,"Dead Man's Chest","Coffre du mort","Totenschatz","船乗りのチェスト","죽은 자의 상자","Baú do Cadáver","Сундук мертвеца","Cofre del hombre muerto","หีบคนตาย","亡者之箱","[""Metadata/Chests/QuestChests/IslandMap/IslandMapFragment02.ao""]",1,4,"","",100,[],3731,"",[],[],"",0,"","M","F","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/QuestChests/IslandMap/IslandMapFragment02",1,"",[],"",0,0,"","","","","",[],"",[],"","","",3,0,"",1,[],[],[]
43,"Metadata/Chests/QuestChests/IslandMap/IslandMapFragment03","",3,"Petrified Pirate","Pirate pétrifié","Versteinerter Pirat","石化した海賊","석화된 해적","Pirata Petrificado","Окаменевший пират","Pirata petrificado","โจรสลัดที่กลายเป็นหิน","石化海盜","[""Metadata/Chests/QuestChests/IslandMap/IslandMapFragment03.ao""]",1,4,"","",110,[],3732,"",[],[],"",0,"","M","M","","","M","MS","M","","",100,"","",[],"","Metadata/Chests/QuestChests/IslandMap/IslandMapFragment03",1,"",[],"",0,0,"","","","","",[],"",[],"","","",3,0,"",1,[],[],[]
44,"Metadata/Chests/QuestChests/IslandMap/IslandMapFragment04","",3,"Corpse Nest","Nid de cadavres","Leichennest","死体のねぐら","시신 둥지","Ninho de Cadáveres","Гнездо в трупе","Nido de cadáveres","รังซากศพ","屍巢","[""Metadata/Chests/QuestChests/IslandMap/IslandMapFragment04.ao""]",1,4,"","",100,[],3733,"",[],[],"",0,"","M","N","","","M","NS","M","","",100,"","",[],"","Metadata/Chests/QuestChests/IslandMap/IslandMapFragment04",1,"",[],"",0,0,"","","","","",[],"",[],"","","",3,0,"",1,[],[],[]
45,"Metadata/Chests/StrongBoxes/MartialStrongbox",1,2,"Blacksmith's Strongbox","Coffre-fort de forgeron","Schmiedtresor","鍛冶屋のストロングボックス","대장장이의 금고","Caixa-forte do Ferreiro","Ларец кузнеца","Caja fuerte del herrero","กล่องนิรภัยช่างตีเหล็ก","鐵匠的保險箱","[""Metadata/Terrain/Gallows/Leagues/StrongBoxes/ArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8061,8004,8005]","[1116,1216]",1,45,"","M","M","","","F","MS","F","","",64,"","",[],"","Metadata/Chests/StrongBoxes/Strongbox","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
46,"Metadata/Chests/StrongBoxes/MartialStrongboxLow",1,2,"Blacksmith's Strongbox","Coffre-fort de forgeron","Schmiedtresor","鍛冶屋のストロングボックス","대장장이의 금고","Caixa-forte do Ferreiro","Ларец кузнеца","Caja fuerte del herrero","กล่องนิรภัยช่างตีเหล็ก","鐵匠的保險箱","[""Metadata/Terrain/Gallows/Leagues/StrongBoxes/ArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8062,8002,8003]","[1116,1216]",1,0,"","M","M","","","F","MS","F","","",44,"","",[],"","Metadata/Chests/StrongBoxes/Strongbox","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
47,"Metadata/Chests/StrongBoxes/MartialStrongboxHigh",1,2,"Blacksmith's Strongbox","Coffre-fort de forgeron","Schmiedtresor","鍛冶屋のストロングボックス","대장장이의 금고","Caixa-forte do Ferreiro","Ларец кузнеца","Caja fuerte del herrero","กล่องนิรภัยช่างตีเหล็ก","鐵匠的保險箱","[""Metadata/Terrain/Gallows/Leagues/StrongBoxes/ArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8063,8006,8007]","[1116,1216]",1,65,"","M","M","","","F","MS","F","","",100,"","",[],"","Metadata/Chests/StrongBoxes/Strongbox","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
48,"Metadata/Chests/StrongBoxes/MartialStrongboxExpedition",1,2,"Blacksmith's Strongbox","Coffre-fort de forgeron","Schmiedtresor","鍛冶屋のストロングボックス","대장장이의 금고","Caixa-forte do Ferreiro","Ларец кузнеца","Caja fuerte del herrero","กล่องนิรภัยช่างตีเหล็ก","鐵匠的保險箱","[""Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedArmourerStrongbox/BuriedArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8063,8006,8007,16799]","[1116,1216]",1,65,"","M","M","","","F","MS","F","","",100,"","",[],"","Metadata/Chests/StrongBoxes/StrongboxExpedition","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
49,"Metadata/Chests/StrongBoxes/CasterStrongbox",1,2,"Arcane Strongbox","Coffre-fort arcanique","Arkaner Tresor","魔法使いのストロングボックス","비전 금고","Caixa-forte Arcana","Ларец колдуна","Caja fuerte arcana","กล่องนิรภัยอาคม","秘術保險箱","[""Metadata/Terrain/Gallows/Leagues/StrongBoxes/ArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8061,8004,8005]","[1117,1216]",1,45,"","M","M","","","F","MS","F","","",64,"","",[],"","Metadata/Chests/StrongBoxes/Strongbox","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
50,"Metadata/Chests/StrongBoxes/CasterStrongboxLow",1,2,"Arcane Strongbox","Coffre-fort arcanique","Arkaner Tresor","魔法使いのストロングボックス","비전 금고","Caixa-forte Arcana","Ларец колдуна","Caja fuerte arcana","กล่องนิรภัยอาคม","秘術保險箱","[""Metadata/Terrain/Gallows/Leagues/StrongBoxes/ArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8062,8002,8003]","[1117,1216]",1,0,"","M","M","","","F","MS","F","","",44,"","",[],"","Metadata/Chests/StrongBoxes/Strongbox","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
51,"Metadata/Chests/StrongBoxes/CasterStrongboxHigh",1,2,"Arcane Strongbox","Coffre-fort arcanique","Arkaner Tresor","魔法使いのストロングボックス","비전 금고","Caixa-forte Arcana","Ларец колдуна","Caja fuerte arcana","กล่องนิรภัยอาคม","秘術保險箱","[""Metadata/Terrain/Gallows/Leagues/StrongBoxes/ArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8063,8006,8007]","[1117,1216]",1,65,"","M","M","","","F","MS","F","","",100,"","",[],"","Metadata/Chests/StrongBoxes/Strongbox","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
52,"Metadata/Chests/StrongBoxes/CasterStrongboxExpedition",1,2,"Arcane Strongbox","Coffre-fort arcanique","Arkaner Tresor","魔法使いのストロングボックス","비전 금고","Caixa-forte Arcana","Ларец колдуна","Caja fuerte arcana","กล่องนิรภัยอาคม","秘術保險箱","[""Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedArmourerStrongbox/BuriedArmourerStrongbox01.ao""]","",10,"","",100,[],"",1,"[8063,8006,8007,16799]","[1117,1216]",1,65,"","M","M","","","F","MS","F","","",100,"","",[],"","Metadata/Chests/StrongBoxes/StrongboxExpedition","","",[],"",-45,45,"","","","","",[],1,[],"","","",3,1000,"",1,[],[],[]
